point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,196 KPH,Pronated,NA,11.483,0.706,3.001,1,Forced Error,NA,False,NA,ForeHand,2.93 Metre,NA,NA,False,False,True,-5.446,-2.639,0.038,Body,1.117,0.0,-1.629,-12.558,-3.85,1.163,12.885,-0.712,0.04,-12.558,-3.85,1.163,0.0,-2.235,2.934,12.885,-0.712,0.04,NA,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,0,0,0,0
1_1_2_1,1,1,2,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,155 KPH,Pronated,NA,11.399,-1.826,2.968,1,Ace,NA,False,NA,ForeHand,1.11 Metre,Cross Court,NA,False,False,True,-4.581,4.117,0.027,Wide,1.109,0.0,2.262,11.399,-1.826,2.968,-4.581,4.117,0.027,,,,,,,,,,NA,0,0,0,1,0,0,1,0,ATPHH26,ATPKB09,0,0,0,0
1_1_3_1,1,1,3,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,198 KPH,Pronated,NA,11.383,0.723,2.911,13,Forced Error,NA,False,Ground,ForeHand,1.83 Metre,NA,NA,False,False,True,-5.083,-2.962,0.031,Wide,1.067,0.0,-1.889,-13.92,-3.323,0.823,12.03,-3.87,0.038,-12.746,-4.513,1.295,-0.0,-1.553,1.328,7.63,0.217,0.025,1902,0,0,0,0,0,1,2,0,ATPHH26,ATPKB09,0,0,0,0
1_1_4_1,1,1,4,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,166 KPH,Pronated,NA,11.421,-1.797,2.948,1,Forced Error,NA,True,NA,BackHand,1.17 Metre,NA,NA,False,False,True,-5.066,3.672,0.027,Wide,1.171,0.0,1.826,-11.913,6.51,1.287,-4.523,2.024,0.033,,,,,,,,,,NA,0,0,0,0,0,0,3,0,ATPHH26,ATPKB09,0,0,0,0
1_2_1_1,1,2,1,1,ATPKB09,ATPHH26,,DeuceCourt,201.37 KPH,NA,0.32 Metre,11.307,0.735,2.755,0,Faulty Serve,Net Error,True,NA,ForeHand,0.63 Metre,NA,Net Error,False,False,True,0.324,-0.231,0.026,T,0.632,-0.025,-0.155,11.307,0.735,2.755,0.324,-0.231,0.026,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPHH26,ATPKB09,1,0,0,0
1_2_1_2,1,2,1,2,ATPKB09,ATPHH26,ATPHH26,DeuceCourt,151 KPH,Kick,NA,11.354,0.669,2.779,2,Unforced Error,NA,False,Ground,ForeHand,2.18 Metre,NA,Long Error,False,False,True,-5.516,-2.179,0.037,Body,1.289,0.0,-1.017,12.744,1.839,1.061,-12.467,1.617,0.03,-12.124,-3.711,1.554,0.0,-1.46,1.972,9.217,0.831,0.041,2499.84,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,1,0,0,0
1_2_2_1,1,2,2,1,ATPKB09,ATPHH26,ATPHH26,AdCourt,193.99 KPH,NA,0.23 Metre,11.34,-0.622,2.787,0,Faulty Serve,Net Error,True,NA,ForeHand,0.79 Metre,NA,Net Error,False,False,True,0.232,0.549,0.026,T,0.789,0.002,0.321,11.34,-0.622,2.787,0.232,0.549,0.026,,,,,,,,,,0,1,0,0,0,0,0,0,1,ATPHH26,ATPKB09,1,0,0,0
1_2_2_2,1,2,2,2,ATPKB09,ATPHH26,ATPHH26,AdCourt,152 KPH,Slice,NA,11.314,-0.921,2.744,4,Winner,NA,False,Ground,ForeHand,1.07 Metre,Down the Line,NA,False,False,True,-4.735,2.672,0.027,Body,1.152,-0.0,1.791,-14.745,2.089,1.449,6.325,3.148,0.033,-11.89,3.914,1.504,0.0,1.601,1.023,5.331,0.767,0.025,1936.2,0,0,0,0,0,0,0,1,ATPHH26,ATPKB09,1,0,0,0
1_2_3_1,1,2,3,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,199 KPH,Flat,NA,11.316,0.728,2.736,1,Forced Error,NA,False,NA,ForeHand,2.22 Metre,NA,NA,False,False,True,-5.758,-0.507,0.035,T,1.088,0.0,-0.03,-13.597,-1.248,1.157,4.221,4.994,0.032,-13.597,-1.248,1.157,0.0,3.366,2.218,4.221,4.994,0.032,913.26,0,0,0,0,0,0,0,2,ATPHH26,ATPKB09,1,0,0,0
1_2_4_1,1,2,4,1,ATPKB09,ATPHH26,ATPKB09,AdCourt,190.04 KPH,NA,0.1 Metre,11.263,-0.651,2.77,0,Faulty Serve,Wide Error,False,NA,BackHand,0.99 Metre,NA,NA,False,False,True,-4.831,-0.095,0.029,T,0.987,0.0,-0.177,11.263,-0.651,2.77,-4.831,-0.095,0.029,,,,,,,,,,NA,1,0,0,0,0,0,1,2,ATPHH26,ATPKB09,1,0,0,0
1_2_4_2,1,2,4,2,ATPKB09,ATPHH26,ATPKB09,AdCourt,147 KPH,NA,NA,11.391,-0.834,2.755,1,Forced Error,NA,True,NA,BackHand,1.26 Metre,NA,NA,False,False,True,-5.35,0.078,0.032,T,1.264,0.0,0.059,-12.291,-0.056,1.528,-2.213,-0.746,0.022,,,,,,,,,,902.58,0,0,0,0,0,0,1,2,ATPHH26,ATPKB09,1,0,0,0
1_2_5_1,1,2,5,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,199 KPH,Flat,NA,11.175,0.835,2.69,11,Unforced Error,NA,False,Ground,BackHand,2.05 Metre,NA,Long Error,False,False,True,-5.537,-1.138,0.039,T,1.104,0.0,-0.426,-12.965,-1.238,1.009,12.885,4.615,0.039,-12.805,-2.23,1.183,0.0,-0.013,1.466,8.747,1.783,0.037,1533,0,0,0,0,0,0,2,2,ATPHH26,ATPKB09,1,0,0,0
1_2_6_1,1,2,6,1,ATPKB09,ATPHH26,ATPKB09,AdCourt,189 KPH,Slice,NA,11.245,-0.672,2.723,3,Winner,NA,False,Ground,ForeHand,1.22 Metre,Down the Line,NA,False,False,True,-4.665,0.258,0.029,T,0.966,0.0,0.089,4.762,-2.226,0.828,-11.068,-3.655,0.038,-14.106,0.374,1.262,0.0,-1.612,1.379,2.678,-1.991,0.026,2498.82,0,0,0,0,0,0,3,2,ATPHH26,ATPKB09,1,0,0,0
1_3_1_1,1,3,1,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,200.48 KPH,Pronated,0.22 Metre,-11.411,-0.718,2.965,0,Faulty Serve,Long Error,False,NA,ForeHand,1.33 Metre,NA,NA,False,False,True,6.625,-0.052,0.026,T,1.326,-0.0,-0.25,-11.411,-0.718,2.965,6.625,-0.052,0.026,,,,,,,,,,NA,1,0,0,0,0,0,0,0,ATPHH26,ATPKB09,1,1,0,0
1_3_1_2,1,3,1,2,ATPHH26,ATPKB09,ATPKB09,DeuceCourt,157 KPH,Pronated,NA,-11.592,-0.858,2.98,2,Unforced Error,NA,True,Ground,ForeHand,0.73 Metre,NA,Net Error,False,False,True,4.894,0.919,0.025,T,1.202,0.0,0.589,-12.085,2.291,0.691,,,,11.633,1.251,1.386,0.0,1.801,1.059,-5.477,2.047,0.033,3196.68,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,1,1,0,0
1_3_2_1,1,3,2,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,193 KPH,Pronated,NA,-11.458,1.724,2.964,1,Ace,NA,False,NA,ForeHand,1.23 Metre,Cross Court,NA,False,False,True,6.111,-0.653,0.028,T,1.233,-0.0,0.228,-11.458,1.724,2.964,6.111,-0.653,0.028,,,,,,,,,,NA,0,0,0,1,0,0,0,1,ATPHH26,ATPKB09,1,1,0,0
1_3_3_1,1,3,3,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,205.02 KPH,Pronated,0.87 Metre,-11.405,-0.696,2.957,0,Faulty Serve,Long Error,False,NA,BackHand,1.39 Metre,NA,NA,False,False,True,7.271,3.67,0.034,Wide,1.39,-0.0,2.01,-11.405,-0.696,2.957,7.271,3.67,0.034,,,,,,,,,,NA,1,0,0,0,0,1,1,1,ATPHH26,ATPKB09,1,1,0,0
1_3_3_2,1,3,3,2,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,136 KPH,Pronated,NA,-11.664,-0.881,3.004,7,Winner,NA,False,Ground,BackHand,1.12 Metre,Cross Court,NA,False,False,True,3.891,1.431,0.024,Body,1.091,0.0,1.03,-12.878,-2.672,0.875,5.676,1.071,0.024,11.272,2.363,1.591,0.0,0.231,2.617,-10.903,-1.79,0.033,1617.06,0,0,0,0,0,0,1,1,ATPHH26,ATPKB09,1,1,0,0
1_3_4_1,1,3,4,1,ATPHH26,ATPKB09,ATPKB09,AdCourt,183 KPH,Pronated,NA,-11.326,1.833,2.944,2,Unforced Error,NA,True,Ground,BackHand,0.83 Metre,NA,Net Error,False,False,True,6.074,-2.066,0.028,Body,1.262,-0.0,-0.556,-10.711,-1.767,1.005,,,,12.332,-3.799,1.09,0.0,-2.516,1.638,-6.707,-1.997,0.037,2164.62,0,0,0,0,0,0,2,1,ATPHH26,ATPKB09,1,1,0,0
1_3_5_1,1,3,5,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,206 KPH,Pronated,NA,-11.403,-0.659,2.899,1,Forced Error,NA,True,NA,ForeHand,1.11 Metre,NA,NA,False,False,True,5.331,3.155,0.033,Wide,1.109,-0.0,1.981,12.715,4.647,1.208,0.116,-0.424,0.028,,,,,,,,,,NA,0,0,0,0,0,0,2,2,ATPHH26,ATPKB09,1,1,0,0
1_3_6_1,1,3,6,1,ATPHH26,ATPKB09,ATPKB09,AdCourt,172 KPH,Pronated,NA,-11.433,2.026,2.927,2,Winner,NA,False,NA,BackHand,1.47 Metre,Down the Line,NA,False,False,True,5.329,-3.581,0.03,Wide,1.215,-0.0,-1.593,11.984,-6.321,1.231,-8.985,-4.065,0.04,11.984,-6.321,1.231,0.0,-4.874,1.468,-8.985,-4.065,0.04,1302.48,0,0,0,0,0,0,3,2,ATPHH26,ATPKB09,1,1,0,0
1_3_7_1,1,3,7,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,195 KPH,Flat,NA,-11.414,-0.68,2.98,1,Ace,NA,False,NA,ForeHand,1.21 Metre,Cross Court,NA,False,False,True,6.026,4.128,0.032,Wide,1.213,-0.0,2.473,-11.414,-0.68,2.98,6.026,4.128,0.032,,,,,,,,,,0,0,0,0,1,0,0,3,3,ATPHH26,ATPKB09,1,1,0,0
1_3_8_1,1,3,8,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,184 KPH,Flat,NA,-11.45,1.684,2.923,1,Forced Error,NA,True,NA,ForeHand,0.77 Metre,NA,NA,False,False,True,4.423,-0.424,0.024,T,0.976,0.0,0.157,13.3,-1.485,1.336,-0.082,-1.307,0.029,13.3,-1.485,1.336,-0.01,-1.495,0.772,-0.082,-1.307,0.029,1763.28,0,0,0,0,0,1,4,3,ATPHH26,ATPKB09,1,1,0,0
1_4_1_1,1,4,1,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,169 KPH,Slice,NA,-11.253,-0.588,2.747,9,Winner,NA,False,Ground,ForeHand,1.4 Metre,Down the Line,NA,False,False,True,5.504,3.396,0.033,Wide,1.183,-0.0,1.884,-12.148,-4.102,1.304,10.466,-3.275,0.035,12.18,5.547,1.121,0.0,2.157,1.56,-9.018,-0.325,0.038,1353.18,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,2,1,0,0
1_4_2_1,1,4,2,1,ATPKB09,ATPHH26,ATPHH26,AdCourt,180 KPH,Slice,NA,-11.27,0.578,2.757,2,Winner,NA,False,NA,BackHand,1.07 Metre,Down the Line,NA,False,False,True,4.76,-0.294,0.025,T,1.016,-0.0,-0.136,13.596,-0.338,1.334,-5.128,-3.091,0.031,13.596,-0.338,1.334,0.0,-2.272,1.066,-5.128,-3.091,0.031,1321.38,0,0,0,0,0,0,1,0,ATPHH26,ATPKB09,2,1,0,0
1_4_3_1,1,4,3,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,187 KPH,Slice,NA,-11.315,-0.728,2.725,1,Forced Error,NA,True,NA,BackHand,0.71 Metre,NA,NA,False,False,True,5.274,2.268,0.029,Body,1.072,0.0,1.182,13.307,4.198,1.165,0.099,0.413,0.029,13.307,4.198,1.165,-0.006,1.048,0.707,0.099,0.413,0.029,2068.92,0,0,0,0,0,0,1,1,ATPHH26,ATPKB09,2,1,0,0
1_4_4_1,1,4,4,1,ATPKB09,ATPHH26,ATPKB09,AdCourt,184 KPH,Slice,NA,-11.264,0.655,2.74,3,Unforced Error,NA,False,Ground,BackHand,1.64 Metre,NA,Long Error,False,False,True,5.705,-0.864,0.028,T,1.105,-0.0,-0.454,9.123,2.493,0.32,-12.085,3.655,0.031,13.861,-1.22,1.217,0.0,-2.5,1.217,-5.976,-3.055,0.038,NA,0,0,0,0,0,0,2,1,ATPHH26,ATPKB09,2,1,0,0
1_4_5_1,1,4,5,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,197 KPH,Slice,NA,-11.265,-0.688,2.742,5,Unforced Error,NA,True,Ground,BackHand,0.83 Metre,NA,Net Error,False,False,True,6.195,0.844,0.025,T,1.181,-0.0,0.239,13.785,3.828,1.325,0.345,0.064,0.026,13.453,1.761,1.097,0.0,1.301,1.019,-5.571,1.284,0.033,1741.14,0,0,0,0,0,0,3,1,ATPHH26,ATPKB09,2,1,0,0
1_5_1_1,1,5,1,1,ATPHH26,ATPKB09,ATPKB09,DeuceCourt,197 KPH,Pronated,NA,11.369,0.612,2.914,12,Unforced Error,NA,False,Ground,ForeHand,3.13 Metre,NA,Long Error,False,False,True,-4.405,-1.249,0.028,T,0.972,0.0,-0.77,12.896,0.968,0.565,-12.885,4.178,0.035,-13.339,-2.097,1.32,0.0,1.252,1.462,6.317,3.151,0.033,2609.1,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,2,2,0,0
1_5_2_1,1,5,2,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,166 KPH,Pronated,NA,11.391,-1.868,2.961,1,Forced Error,NA,False,NA,BackHand,2.23 Metre,NA,NA,False,False,True,-5.291,3.209,0.027,Wide,1.179,0.0,1.409,-12.221,5.807,1.423,12.582,2.364,0.04,-12.221,5.807,1.423,0.0,4.024,2.234,12.582,2.364,0.04,1183.44,0,0,0,0,0,0,0,1,ATPHH26,ATPKB09,2,2,0,0
1_5_3_1,1,5,3,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,199.03 KPH,NA,1.56 Metre,11.37,0.716,2.983,0,Faulty Serve,Wide Error,False,NA,ForeHand,0.94 Metre,NA,Wide Error,False,False,True,-0.651,-4.615,0.028,Wide,0.941,-0.061,-2.228,11.37,0.716,2.983,-0.651,-4.615,0.028,,,,,,,,,,0,1,0,0,0,0,0,1,1,ATPHH26,ATPKB09,2,2,0,0
1_5_3_2,1,5,3,2,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,147 KPH,Pronated,NA,11.526,0.817,2.912,5,Winner,NA,False,Ground,ForeHand,1.08 Metre,Cross Court,NA,False,False,True,-4.027,-0.824,0.027,T,1.048,0.0,-0.591,9.677,-2.2,1.24,-6.421,2.357,0.034,-11.595,-1.102,1.662,-0.0,0.441,1.359,6.9,1.475,0.025,3059.88,0,0,0,0,0,0,1,1,ATPHH26,ATPKB09,2,2,0,0
1_5_4_1,1,5,4,1,ATPHH26,ATPKB09,ATPHH26,AdCourt,186 KPH,Pronated,NA,11.338,-1.803,2.891,1,Forced Error,NA,False,NA,ForeHand,2.36 Metre,NA,NA,False,False,True,-5.034,0.405,0.029,T,1.046,-0.0,-0.302,-13.128,1.641,1.333,2.262,4.615,0.028,-13.128,1.641,1.333,0.0,8.136,2.36,2.262,4.615,0.028,1450.14,0,0,0,0,0,0,2,1,ATPHH26,ATPKB09,2,2,0,0
1_5_5_1,1,5,5,1,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,199.83 KPH,Pronated,0.86 Metre,11.411,0.788,2.887,0,Faulty Serve,Wide Error,False,NA,BackHand,1.04 Metre,NA,NA,False,False,True,-4.992,0.856,0.029,T,1.044,0.0,0.765,11.411,0.788,2.887,-4.992,0.856,0.029,,,,,,,,,,0,1,0,0,0,0,0,3,1,ATPHH26,ATPKB09,2,2,0,0
1_5_5_2,1,5,5,2,ATPHH26,ATPKB09,ATPHH26,DeuceCourt,149 KPH,Pronated,NA,11.521,0.886,2.921,1,Unforced Error,NA,False,NA,BackHand,1.76 Metre,NA,Wide Error,False,False,True,-4.358,-1.885,0.028,Body,1.114,0.0,-1.271,-11.047,-2.793,1.56,8.846,4.615,0.038,-11.047,-2.793,1.56,-0.0,1.57,1.756,8.846,4.615,0.038,NA,0,0,0,0,0,0,3,1,ATPHH26,ATPKB09,2,2,0,0
1_6_1_1,1,6,1,1,ATPKB09,ATPHH26,ATPHH26,DeuceCourt,169 KPH,Slice,NA,11.237,0.779,2.735,2,Winner,NA,False,NA,BackHand,1.88 Metre,Down the Line,NA,False,False,True,-5.422,-3.146,0.038,Wide,1.184,0.0,-1.687,-12.229,-5.272,1.31,11.297,-3.657,0.036,-12.229,-5.272,1.31,-0.0,-4.235,1.881,11.297,-3.657,0.036,1179.36,0,0,0,0,0,0,0,0,ATPHH26,ATPKB09,3,2,0,0
1_6_2_1,1,6,2,1,ATPKB09,ATPHH26,ATPHH26,AdCourt,186.83 KPH,Slice,0.52 Metre,11.368,-0.746,2.774,0,Faulty Serve,Long Error,False,NA,ForeHand,1.29 Metre,NA,NA,False,False,True,-6.917,1.902,0.033,Body,1.288,0.0,1.047,11.368,-0.746,2.774,-6.917,1.902,0.033,,,,,,,,,,0,1,0,0,0,0,0,0,1,ATPHH26,ATPKB09,3,2,0,0
1_6_2_2,1,6,2,2,ATPKB09,ATPHH26,ATPKB09,AdCourt,145 KPH,Kick,NA,11.372,-0.786,2.774,5,Unforced Error,NA,False,Ground,ForeHand,2.73 Metre,NA,Long Error,False,False,True,-5.307,1.241,0.033,T,1.232,0.0,0.825,-13.48,3.517,0.75,12.398,1.762,0.04,-12.145,1.665,1.552,0.0,0.044,1.625,8.867,-1.342,0.027,3157.44,0,0,0,0,0,0,0,1,ATPHH26,ATPKB09,3,2,0,0
1_6_3_1,1,6,3,1,ATPKB09,ATPHH26,ATPKB09,DeuceCourt,174 KPH,Slice,NA,11.339,0.637,2.742,1,Forced Error,NA,False,NA,BackHand,2.62 Metre,NA,NA,False,False,True,-5.841,-3.704,0.036,Wide,1.22,0.0,-2.015,-12.37,-5.805,1.265,12.885,2.755,0.04,-12.37,-5.805,1.265,-0.0,-2.033,2.622,12.885,2.755,0.04,1147.32,0,0,0,0,0,0,1,1,ATPHH26,ATPKB09,3,2,0,0
1_6_4_1,1,6,4,1,ATPKB09,ATPHH26,ATPKB09,AdCourt,192.25 KPH,Pronated,2.52 Metre,11.26,-0.7,2.752,0,Faulty Serve,Long Error,False,NA,BackHand,0.91 Metre,NA,NA,False,False,True,-8.92,2.39,0.033,Body,0.914,-0.021,0.564,11.26,-0.7,2.752,-8.92,2.39,0.033,,,,,,,,,,0,1,0,0,0,0,0,2,1,ATPHH26,ATPKB09,3,2,0,0
