point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,204 KPH,Flat,NA,-11.135,-1.341,2.982,1,Forced Error,NA,True,NA,BackHand,0.6 Metre,NA,NA,False,False,True,4.96,0.938,0.033,T,1.077,-0.0,0.197,13.175,2.28,1.333,0.173,2.345,0.036,13.175,2.28,1.333,0.004,2.18,0.596,0.173,2.345,0.036,1224.48,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,ATPAG37,ATPTB69,ATPAG37,AdCourt,202 KPH,Slice,NA,-11.193,0.847,2.996,7,Unforced Error,NA,True,Ground,ForeHand,0.74 Metre,NA,Net Error,False,False,True,5.137,-0.853,0.033,T,1.109,-0.0,-0.376,14.503,-1.738,1.151,,,,13.372,-1.403,1.239,0.0,-0.904,1.779,-7.391,-0.888,0.032,3433.2,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,ATPAG37,ATPTB69,ATPTB69,DeuceCourt,201 KPH,Flat,NA,-11.055,-1.25,2.972,6,Winner,NA,False,Ground,ForeHand,1.43 Metre,Cross Court,NA,False,False,True,4.474,0.675,0.033,T,0.983,0.0,0.059,8.129,2.005,0.736,-9.716,-3.204,0.036,13.371,2.078,1.298,0.0,2.421,2.267,-8.106,3.053,0.036,3426.9,0,0,0,0,0,0,2,0
1_1_4_1,1,1,4,1,ATPAG37,ATPTB69,ATPTB69,AdCourt,206.49 KPH,NA,0.34 Metre,-11.076,0.655,2.997,0,Faulty Serve,Net Error,True,NA,BackHand,0.9 Metre,NA,Net Error,False,False,True,-0.344,-2.645,0.038,Body,0.896,0.147,-2.295,-11.076,0.655,2.997,-0.344,-2.645,0.038,,,,,,,,,,0,1,0,0,0,0,0,2,1
1_1_4_2,1,1,4,2,ATPAG37,ATPTB69,ATPAG37,AdCourt,172 KPH,Slice,NA,-10.986,0.723,2.983,7,Unforced Error,NA,True,Ground,BackHand,0.85 Metre,NA,Net Error,False,False,True,4.381,-2.884,0.037,Wide,1.054,-0.0,-2.009,13.666,-0.347,1.082,0.097,-1.89,0.033,11.528,-4.132,1.374,-0.0,-1.068,1.884,-9.865,1.54,0.036,885.84,0,0,0,0,0,0,2,1
1_1_5_1,1,1,5,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,208 KPH,Flat,NA,-11.137,-1.197,2.962,1,Ace,NA,False,NA,ForeHand,1.09 Metre,Cross Court,NA,False,False,True,5.331,0.082,0.033,T,1.086,-0.0,-0.352,-11.137,-1.197,2.962,5.331,0.082,0.033,,,,,,,,,,0,0,0,0,1,0,0,3,1
1_2_1_1,1,2,1,1,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,171 KPH,Slice,NA,-11.47,-0.592,2.838,1,Forced Error,NA,False,Ground,ForeHand,3.37 Metre,NA,NA,False,False,True,5.374,3.871,0.036,Wide,1.237,0.0,2.208,13.248,6.669,1.351,-9.847,-4.615,0.035,13.248,6.669,1.351,0.0,-1.016,3.374,-9.847,-4.615,0.035,1774.02,0,0,0,0,0,1,0,0
1_2_2_1,1,2,2,1,ATPTB69,ATPAG37,ATPTB69,AdCourt,162 KPH,Kick,NA,-11.28,1.642,2.78,3,Forced Error,NA,False,Ground,ForeHand,1.27 Metre,NA,NA,False,False,True,5.513,-4.124,0.035,Wide,1.299,-0.0,-2.477,17.904,3.952,0.975,,,,13.952,-6.511,1.57,0.0,-1.897,3.299,-8.385,1.589,0.034,NA,0,0,0,0,0,0,1,0
1_2_3_1,1,2,3,1,ATPTB69,ATPAG37,ATPAG37,DeuceCourt,163 KPH,Slice,NA,-11.422,-0.717,2.849,4,Unforced Error,NA,False,Ground,ForeHand,1.88 Metre,NA,Wide Error,False,False,True,4.342,3.425,0.036,Wide,1.074,0.0,2.072,-14.198,3.412,1.379,10.528,-4.222,0.033,12.871,6.267,1.456,0.0,1.953,1.727,-9.504,-1.008,0.036,2859,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,ATPTB69,ATPAG37,ATPTB69,AdCourt,157 KPH,Kick,NA,-11.366,1.737,2.823,3,Forced Error,NA,False,Passing,ForeHand,1.32 Metre,NA,NA,False,False,True,4.755,-3.96,0.036,Wide,1.219,0.0,-2.495,17.323,4.114,0.43,-6.379,4.334,0.036,13.598,-6.696,1.593,0.0,-1.141,1.761,-8.286,2.202,0.037,3080.22,0,0,0,0,0,0,2,1
1_2_5_1,1,2,5,1,ATPTB69,ATPAG37,ATPTB69,DeuceCourt,202 KPH,Flat,NA,-11.374,-0.754,2.847,1,Ace,NA,False,NA,ForeHand,1.05 Metre,Cross Court,NA,False,False,True,5.075,0.196,0.033,T,1.051,-0.0,-0.122,-11.374,-0.754,2.847,5.075,0.196,0.033,,,,,,,,,,0,0,0,0,1,0,0,3,1
1_3_1_1,1,3,1,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,196 KPH,Slice,NA,11.103,1.338,2.936,1,Ace,NA,False,NA,ForeHand,1.08 Metre,Cross Court,NA,False,False,True,-5.079,-3.689,0.034,Wide,1.076,0.0,-2.01,11.103,1.338,2.936,-5.079,-3.689,0.034,,,,,,,,,,0,0,0,0,1,0,1,0,0
1_3_2_1,1,3,2,1,ATPAG37,ATPTB69,ATPAG37,AdCourt,199.62 KPH,NA,0.2 Metre,11.124,-0.727,2.977,0,Faulty Serve,Net Error,True,NA,ForeHand,0.83 Metre,NA,Net Error,False,False,True,0.197,0.602,0.033,T,0.827,-0.092,0.379,11.124,-0.727,2.977,0.197,0.602,0.033,,,,,,,,,,0,1,0,0,0,0,1,1,0
1_3_2_2,1,3,2,2,ATPAG37,ATPTB69,ATPAG37,AdCourt,166 KPH,Slice,NA,11.07,-0.962,2.951,5,Winner,NA,False,Overhead,ForeHand,1.96 Metre,NA,NA,False,False,True,-5.689,2.933,0.036,Wide,1.306,0.0,1.824,,,,,,,-17.41,4.435,1.199,0.0,2.659,1.565,4.256,2.456,0.036,NA,0,0,0,0,0,0,1,0
1_3_3_1,1,3,3,1,ATPAG37,ATPTB69,ATPAG37,DeuceCourt,209 KPH,Flat,NA,11.06,1.38,2.94,1,Forced Error,NA,True,Ground,BackHand,0.54 Metre,NA,NA,False,False,True,-5.518,-1.277,0.032,T,1.132,0.0,-0.37,-13.381,-2.677,1.243,0.014,-2.63,0.038,-13.381,-2.677,1.243,-0.008,-2.639,0.538,0.014,-2.63,0.038,944.88,0,0,0,0,0,0,2,0
1_3_4_1,1,3,4,1,ATPAG37,ATPTB69,ATPAG37,AdCourt,207.63 KPH,NA,0.19 Metre,11.116,-0.617,2.979,0,Faulty Serve,Net Error,True,NA,ForeHand,0.79 Metre,NA,Net Error,False,False,True,0.189,3.073,0.036,Wide,0.786,0.004,2.378,11.116,-0.617,2.979,0.189,3.073,0.036,,,,,,,,,,0,1,0,0,0,0,0,3,0
