point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,WTA320408,WTA319526,WTA320408,DeuceCourt,154 KPH,Slice,NA,-11.3999996,-1.11399996,2.65799999,1,Forced Error,NA,True,NA,BackHand,0.9 Metre,NA,NA,False,False,True,4.53499985,1.44500005,0.0379999988,Body,,,,12.0469999,3.05200005,1.25600004,0.148000002,1.00600004,0.0350000001,12.0469999,3.05200005,1.25600004,-0.0879999995,1.00699997,0.902999997,0.148000002,1.00600004,0.0350000001,1653.66,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,WTA320408,WTA319526,WTA320408,AdCourt,165 KPH,Slice,NA,-11.3859997,1.41499996,2.60899997,1,Ace,NA,False,NA,ForeHand,1.11 Metre,Cross Court,NA,False,False,True,5.37699986,-0.301999986,0.0370000005,T,,,,-11.3859997,1.41499996,2.60899997,5.37699986,-0.301999986,0.0370000005,,,,,,,,,,1041.84,0,0,0,1,0,0,1,0
1_1_3_1,1,1,3,1,WTA320408,WTA319526,WTA320408,DeuceCourt,155 KPH,Slice,NA,-11.8079996,-0.718999982,2.67600012,1,Forced Error,NA,True,NA,BackHand,0.76 Metre,NA,NA,False,False,True,4.35599995,1.73300004,0.0379999988,Body,,,,11.9870005,3.2579999,1.25899994,0.338999987,1.36399996,0.0350000001,11.9870005,3.2579999,1.25899994,0.00400000019,1.47000003,0.762000024,0.338999987,1.36399996,0.0350000001,1740.96,0,0,0,0,0,1,2,0
1_1_4_1,1,1,4,1,WTA320408,WTA319526,WTA320408,AdCourt,135.8 KPH,NA,0.38 Metre,-11.6899996,1.51499999,2.52200007,0,Faulty Serve,Net Error,True,NA,ForeHand,0.6 Metre,NA,Net Error,False,False,True,-0.381000012,-1.89699996,0.0329999998,Body,,,,-11.6899996,1.51499999,2.52200007,-0.381000012,-1.89699996,0.0329999998,,,,,,,,,,2030.76,1,0,0,0,0,0,3,0
1_1_4_2,1,1,4,2,WTA320408,WTA319526,WTA320408,AdCourt,131 KPH,Slice,NA,-11.5220003,1.41600001,2.57999992,3,Unforced Error,NA,False,Ground,ForeHand,1.59 Metre,NA,Long Error,False,False,True,5.52600002,-2.26999998,0.0340000018,Body,,,,9.48400021,0.629000008,0.367000014,-12.4890003,-2.34100008,0.023,11.0679998,-3.18499994,1.46200001,0.0,-1.329,1.745,-11.8870001,0.453999996,0.0280000009,2859.9,0,0,0,0,0,0,3,0
1_2_1_1,1,2,1,1,WTA319526,WTA320408,WTA319526,DeuceCourt,163 KPH,Slice,NA,-11.368,-1.40499997,2.76699996,1,Forced Error,NA,False,NA,ForeHand,1.78 Metre,NA,NA,False,False,True,4.38500023,3.08200002,0.0419999994,Wide,,,,12.0319996,5.70499992,1.32099998,-5.46700001,-5.05800009,0.0320000015,12.0319996,5.70499992,1.32099998,0.0,-1.71300006,1.78100002,-5.46700001,-5.05800009,0.0320000015,1843.8,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,WTA319526,WTA320408,WTA320408,AdCourt,167.66 KPH,Slice,0.71 Metre,-11.382,0.875,2.75500011,0,Faulty Serve,Long Error,False,NA,NA,1.41 Metre,NA,NA,False,False,True,7.10599995,-1.33899999,0.0379999988,T,,,,-11.382,0.875,2.75500011,7.10599995,-1.33899999,0.0379999988,,,,,,,,,,NA,1,0,0,0,0,0,1,0
1_2_2_2,1,2,2,2,WTA319526,WTA320408,WTA320408,AdCourt,127.48 KPH,Slice,0.9 Metre,-11.6239996,1.14699996,2.82299995,0,DoubleFault,Long Error,False,NA,NA,1.78 Metre,NA,NA,False,False,True,7.30100012,-0.948000014,0.0390000008,T,,,,-11.6239996,1.14699996,2.82299995,7.30100012,-0.948000014,0.0390000008,,,,,,,,,,1137.18,1,1,0,0,0,0,1,0
1_2_3_1,1,2,3,1,WTA319526,WTA320408,WTA319526,DeuceCourt,177.32 KPH,Flat,2.1 Metre,-11.3070002,-1.34000003,2.74099994,0,Faulty Serve,Long Error,False,NA,ForeHand,1.48 Metre,NA,NA,False,False,True,8.49800014,1.20799994,0.0370000005,T,,,,-11.3070002,-1.34000003,2.74099994,8.49800014,1.20799994,0.0370000005,,,,,,,,,,NA,1,0,0,0,1,0,1,1
1_2_3_2,1,2,3,2,WTA319526,WTA320408,WTA319526,DeuceCourt,137 KPH,Slice,NA,-11.5489998,-1.06900001,2.83200002,3,Unforced Error,NA,False,Ground,ForeHand,1.1 Metre,NA,Wide Error,False,False,True,4.78299999,2.9289999,0.0410000011,Wide,,,,13.7720003,3.67499995,0.750999987,-5.95300007,4.25600004,0.0340000018,11.8970003,5.0999999,1.45799994,0.0,0.842000008,1.23199999,-6.57600021,-1.40900004,0.0390000008,1859.22,0,0,0,0,0,0,1,1
1_2_4_1,1,2,4,1,WTA319526,WTA320408,WTA319526,AdCourt,167 KPH,NA,NA,-11.3360004,0.674000025,2.73000002,1,Ace,NA,False,NA,ForeHand,1.21 Metre,Down the Line,NA,False,False,True,5.66599989,0.0379999988,0.0370000005,T,,,,-11.3360004,0.674000025,2.73000002,5.66599989,0.0379999988,0.0370000005,,,,,,,,,,941.1,0,0,0,1,0,0,2,1
1_2_5_1,1,2,5,1,WTA319526,WTA320408,WTA319526,DeuceCourt,176 KPH,Slice,NA,-11.2279997,-1.35000002,2.75900006,3,Unforced Error,NA,False,Ground,ForeHand,1.5 Metre,NA,NA,False,False,True,5.12200022,0.989000022,0.0370000005,T,,,,,,,,,,11.3360004,2.13400006,1.36699998,0.0,1.03100002,1.20700002,-6.49499989,0.370000005,0.0359999985,1577.76,0,0,0,0,0,1,3,1
1_3_1_1,1,3,1,1,WTA320408,WTA319526,WTA320408,DeuceCourt,159.05 KPH,NA,0.16 Metre,11.4429998,1.08399999,2.58699989,0,Faulty Serve,Net Error,True,NA,BackHand,0.76 Metre,NA,Net Error,False,False,True,0.155000001,-2.3499999,0.0350000001,Body,,,,11.4429998,1.08399999,2.58699989,0.155000001,-2.3499999,0.0350000001,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_3_1_2,1,3,1,2,WTA320408,WTA319526,WTA320408,DeuceCourt,116 KPH,Slice,NA,11.5959997,0.921000004,2.57800007,3,Unforced Error,NA,False,Ground,BackHand,1.37 Metre,NA,NA,False,False,True,-4.44999981,-0.638999999,0.0359999985,T,,,,-13.6160002,-1.98500001,1.39600003,8.53899956,0.90200001,0.0359999985,-11.8850002,-1.72399998,1.32299995,0.0,0.379000008,1.59800005,10.4630003,2.22900009,0.0299999993,1766.1,0,0,0,0,0,0,0,0
1_3_2_1,1,3,2,1,WTA320408,WTA319526,WTA320408,AdCourt,155.36 KPH,NA,0.8 Metre,11.5190001,-1.36399996,2.59599996,0,Faulty Serve,Net Error,True,NA,ForeHand,0.48 Metre,NA,Net Error,False,False,True,0.800000012,0.943000019,0.0359999985,T,,,,11.5190001,-1.36399996,2.59599996,0.800000012,0.943000019,0.0359999985,,,,,,,,,,849.54,1,0,0,0,0,0,1,0
1_3_2_2,1,3,2,2,WTA320408,WTA319526,WTA319526,AdCourt,132 KPH,Slice,NA,11.5699997,-1.71000004,2.55100012,2,Unforced Error,NA,False,Ground,ForeHand,1.42 Metre,NA,NA,False,False,True,-4.3829999,2.41799998,0.0329999998,Body,,,,13.1850004,-0.521000028,0.681999981,-7.6420002,-0.193000004,0.0370000005,-11.0509996,3.77200007,1.37399995,0.0,1.68599999,1.32299995,9.13899994,0.128000006,0.0340000018,2116.56,0,0,0,0,0,0,1,0
