point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,43970,38551,38551,DeuceCourt,185 KPH,Slice,NA,11.6160002,0.82099998,2.93199992,8,Winner,NA,False,Ground,ForeHand,2.06 Metre,Down the Line,NA,False,False,True,-6.06400013,-1.02400005,0.0399999991,T,,,,-12.8610001,0.92900002,1.07599998,8.93000031,3.7249999,0.0390000008,-12.625,-2.05299997,1.27900004,0.0,-0.707000017,2.6960001,10.3929996,-0.112000003,0.0359999985,3173.04,0,0,0,0,0,0,0,0,43970,38551,0,0,0,0
1_1_2_1,1,1,2,1,43970,38551,38551,AdCourt,189 KPH,Flat,NA,11.6059999,-1.24000001,2.89199996,12,Winner,NA,False,Ground,BackHand,1.33 Metre,Down the Line,NA,False,False,True,-4.23999977,0.216000006,0.0399999991,T,,,,-12.0349998,-2.29500008,0.936999977,10.0179996,-3.47199988,0.0340000018,-13.5489998,0.882000029,1.47800004,-0.0,0.662,2.18300009,7.51999998,0.653999984,0.0410000011,1834.5,0,0,0,0,0,0,0,1,43970,38551,0,0,0,0
1_1_3_1,1,1,3,1,43970,38551,38551,DeuceCourt,194 KPH,Slice,NA,11.5640001,0.93599999,2.91499996,8,Winner,NA,False,Passing,BackHand,1.02 Metre,Down the Line,NA,False,False,True,-4.32600021,-1.48800004,0.0399999991,Body,,,,-12.0080004,-4.08799982,1.00300002,6.49399996,-2.44700003,0.0340000018,-12.552,-3.24000001,1.153,0.0,-1.84200001,1.26600003,6.03900003,-1.45799994,0.0390000008,2525.52,0,0,0,0,0,0,0,2,43970,38551,0,0,0,0
1_1_4_1,1,1,4,1,43970,38551,43970,AdCourt,197 KPH,Flat,NA,11.4540005,-1.324,2.93600011,1,Forced Error,NA,True,Ground,ForeHand,0.83 Metre,NA,NA,True,False,True,-5.03499985,3.17499995,0.0329999998,Wide,1.12,-0.0,1.87600005,-12.4720001,5.12300014,1.19500005,-0.0540000014,0.685000002,0.0399999991,-12.4720001,5.12300014,1.19500005,0.0860000029,1.06799996,0.832000017,-0.0540000014,0.685000002,0.0399999991,1393.44,0,0,0,0,0,0,0,3,43970,38551,0,0,0,0
1_1_5_1,1,1,5,1,43970,38551,38551,DeuceCourt,206.73 KPH,Pronated,0.48 Metre,11.4840002,0.88499999,2.92700005,0,Faulty Serve,Long Error,False,NA,NA,1.32 Metre,NA,NA,True,False,True,-6.88399982,0.68599999,0.0379999988,T,,,,11.4840002,0.88499999,2.92700005,-6.88399982,0.68599999,0.0379999988,,,,,,,,,,0,1,0,0,0,0,0,1,3,43970,38551,0,0,0,0
1_1_5_2,1,1,5,2,43970,38551,38551,DeuceCourt,134.31 KPH,Pronated,0.34 Metre,11.6450005,0.592999995,2.81399989,0,DoubleFault,Net Error,True,NA,NA,0.91 Metre,NA,Net Error,True,False,True,0.340000004,-1.99199998,0.0399999991,Body,0.912999988,-0.0769999996,-1.95200002,11.6450005,0.592999995,2.81399989,0.340000004,-1.99199998,0.0399999991,,,,,,,,,,2597.76,1,1,0,0,0,0,1,3,43970,38551,0,0,0,0
1_2_1_1,1,2,1,1,38551,43970,,DeuceCourt,178.74 KPH,Pronated,0.27 Metre,11.6140003,1.34399998,2.57399988,0,Faulty Serve,Long Error,False,NA,BackHand,1.27 Metre,NA,NA,False,False,True,-6.67399979,-1.597,0.0419999994,Body,,,,11.6140003,1.34399998,2.57399988,-6.67399979,-1.597,0.0419999994,,,,,,,,,,NA,1,0,0,0,1,0,0,0,43970,38551,0,1,0,0
1_2_1_2,1,2,1,2,38551,43970,43970,DeuceCourt,133 KPH,Pronated,NA,11.5579996,1.40100002,2.54999995,8,Forced Error,NA,False,Ground,BackHand,2.52 Metre,NA,NA,False,False,True,-5.26499987,-0.957000017,0.0399999991,T,,,,15.0030003,4.26900005,1.05299997,-7.82000017,-4.83500004,0.0299999993,-14.3889999,-1.75300002,1.21200001,-0.0,-0.479000002,1.83899999,8.73900032,-0.075000003,0.0390000008,1433.94,0,0,0,0,0,0,0,0,43970,38551,0,1,0,0
1_2_2_1,1,2,2,1,38551,43970,43970,AdCourt,167 KPH,Pronated,NA,11.665,-1.44500005,2.56100011,6,Forced Error,NA,True,Volley,ForeHand,0.4 Metre,NA,NA,False,False,True,-6.38800001,3.93600011,0.0340000018,Wide,,,,7.51800013,-1.91499996,0.388000011,0.216999993,-4.03499985,0.0329999998,-14.1569996,7.00199986,0.986000001,-0.0,1.35500002,1.73599994,9.13199997,-2.15199995,0.0340000018,0,0,0,0,0,0,0,0,1,43970,38551,0,1,0,0
1_2_3_1,1,2,3,1,38551,43970,43970,DeuceCourt,191 KPH,Pronated,1.51 Metre,11.5349998,1.23800004,2.60299993,0,Faulty Serve,Long Error,False,NA,ForeHand,1.36 Metre,NA,NA,False,False,True,-7.90899992,-3.92400002,0.0340000018,Wide,,,,11.5349998,1.23800004,2.60299993,-7.90899992,-3.92400002,0.0340000018,,,,,,,,,,NA,1,0,0,0,0,0,0,2,43970,38551,0,1,0,0
1_2_3_2,1,2,3,2,38551,43970,43970,DeuceCourt,135 KPH,Pronated,NA,11.6219997,1.38300002,2.56299996,6,Unforced Error,NA,True,Drop,ForeHand,0.95 Metre,NA,Net Error,False,False,True,-4.74300003,-1.19599998,0.0390000008,T,1.21599996,-0.0,-0.73299998,14.0600004,-0.330000013,1.00399995,0.606000006,-0.694000006,0.0410000011,-13.9020004,-2.19400001,1.09099996,-0.0,-1.95200002,2.38800001,9.81599998,-2.2809999,0.0340000018,NA,0,0,0,0,0,0,0,2,43970,38551,0,1,0,0
1_2_4_1,1,2,4,1,38551,43970,43970,AdCourt,172.7 KPH,NA,1.28 Metre,11.5550003,-1.40199995,2.58400011,0,Faulty Serve,Net Error,True,NA,ForeHand,0.94 Metre,NA,Net Error,True,False,True,1.28199995,2.9920001,0.0320000015,Wide,0.939999998,-0.0280000009,1.61500001,11.5550003,-1.40199995,2.58400011,1.28199995,2.9920001,0.0320000015,,,,,,,,,,NA,1,0,0,0,0,0,0,3,43970,38551,0,1,0,0
