point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,31798,43970,43970,DeuceCourt,170 KPH,Pronated,NA,-11.308,-0.394,3.071,8,Winner,NA,False,Passing,BackHand,1.19 Metre,Cross Court,NA,False,False,True,4.458,1.037,0.041,T,,,,16.137,-3.995,0.935,-5.932,3.346,0.025,10.595,1.396,1.754,0.0,1.815,1.641,-7.611,1.942,0.027,1994.46,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,31798,43970,31798,AdCourt,203 KPH,NA,NA,,,,5,Winner,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
1_1_3_1,1,1,3,1,31798,43970,43970,DeuceCourt,190 KPH,Flat,NA,-11.276,-0.665,3.086,2,Unforced Error,NA,False,NA,BackHand,1.78 Metre,NA,NA,False,False,True,4.848,3.666,0.026,Wide,,,,,,,,,,12.306,5.718,1.399,-0.0,-1.719,1.779,-3.02,-3.878,0.034,1237.2,0,0,0,0,0,0,1,1
NA,1,1,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,2
1_1_4_2,1,1,4,2,31798,43970,31798,AdCourt,0 KPH,NA,NA,,,,5,Unforced Error,NA,False,Volley,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1055.94,0,0,0,0,0,0,1,2
1_1_5_1,1,1,5,1,31798,43970,31798,DeuceCourt,196 KPH,NA,NA,,,,1,Forced Error,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1237.2,0,0,0,0,0,0,2,2
1_1_6_1,1,1,6,1,31798,43970,31798,AdCourt,202 KPH,Pronated,NA,-11.057,0.805,3.088,3,Forced Error,NA,False,Passing,ForeHand,1.72 Metre,NA,NA,False,False,True,4.171,-0.242,0.04,T,,,,15.649,3.307,1.05,-7.784,4.615,0.025,14.837,-1.034,1.812,0.0,0.66,3.114,-7.74,0.999,0.029,2604.84,0,0,0,0,0,0,3,2
1_2_1_1,1,2,1,1,43970,31798,43970,DeuceCourt,194 KPH,Kick,NA,-11.584,-0.89,2.982,1,Forced Error,NA,True,NA,ForeHand,0.87 Metre,NA,NA,False,False,True,4.224,3.337,0.024,Wide,,,,12.505,5.791,1.839,,,,,,,,,,,,,1215.48,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,43970,31798,43970,AdCourt,200 KPH,NA,NA,,,,3,Winner,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1215.48,0,0,0,0,0,0,1,0
1_2_3_1,1,2,3,1,43970,31798,43970,DeuceCourt,194 KPH,NA,NA,,,,0,Faulty Serve,NA,False,NA,BackHand,0.87 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1215.48,1,0,0,0,0,0,2,0
1_2_3_2,1,2,3,2,43970,31798,43970,DeuceCourt,194 KPH,NA,NA,,,,1,Forced Error,NA,False,NA,BackHand,0.87 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1215.48,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,43970,31798,43970,AdCourt,209 KPH,NA,NA,,,,5,Winner,NA,False,NA,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1215.48,0,0,0,0,0,0,3,0
1_3_1_1,1,3,1,1,31798,43970,31798,DeuceCourt,182 KPH,NA,NA,,,,3,Winner,NA,False,Passing,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2604.84,0,0,0,0,0,0,0,0
NA,1,3,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,0
1_3_2_2,1,3,2,2,31798,43970,43970,AdCourt,189 KPH,Flat,NA,10.978,-0.953,3.026,2,Unforced Error,NA,True,Ground,BackHand,0.91 Metre,NA,Net Error,False,False,True,-4.045,0.227,0.037,T,,,,10.926,-2.574,0.553,,,,-11.222,0.706,1.416,-0.0,-0.904,1.883,9.801,-2.439,0.036,2275.08,0,0,0,0,0,0,1,0
1_3_3_1,1,3,3,1,31798,43970,31798,DeuceCourt,NA,NA,NA,,,,1,Ace,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1
