point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
NA,1,1,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_1_1_2,1,1,1,2,38338,44185,44185,DeuceCourt,0 KPH,NA,NA,,,,2,Unforced Error,NA,False,,BackHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
1_1_2_1,1,1,2,1,38338,44185,38338,AdCourt,149 KPH,Flat,NA,11.593,-0.962,2.706,5,Forced Error,NA,True,Ground,BackHand,0.97 Metre,NA,NA,False,False,True,-6.369,3.378,0.038,Wide,1.441,0.0,2.022,-12.807,4.105,0.712,-0.086,-4.174,0.028,-13.035,4.917,1.215,-0.0,0.346,1.238,5.99,-1.688,0.038,1413.9,0,0,0,0,0,0,0,1
1_1_3_1,1,1,3,1,38338,44185,38338,DeuceCourt,163 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1413.9,0,0,0,0,0,0,1,1
1_1_4_1,1,1,4,1,38338,44185,38338,AdCourt,158 KPH,Flat,NA,11.65,-0.83,2.691,3,Winner,NA,False,Ground,ForeHand,1.25 Metre,Down the Line,NA,False,False,True,-4.777,1.053,0.039,T,1.07,0.0,0.593,13.183,0.419,1.113,-7.407,3.905,0.032,-12.996,1.89,1.118,-0.0,0.991,1.327,7.849,0.581,0.045,1715.04,0,0,0,0,0,0,2,1
1_1_5_1,1,1,5,1,38338,44185,44185,DeuceCourt,152 KPH,Flat,NA,11.703,0.811,2.65,6,Forced Error,NA,False,Passing,ForeHand,1.93 Metre,NA,NA,False,False,True,-4.316,-3.381,0.04,Wide,1.081,0.0,-2.068,14.81,2.127,1.034,-12.885,3.492,0.046,-12.3,-5.605,1.168,0.0,-0.874,1.398,8.477,2.527,0.039,1580.88,0,0,0,0,0,0,3,1
1_1_6_1,1,1,6,1,38338,44185,38338,AdCourt,0 KPH,NA,NA,,,,3,Unforced Error,NA,False,Ground,ForeHand,0 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,2649.42,0,0,0,0,0,0,3,2
NA,1,2,1,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,0,0
1_2_1_2,1,2,1,2,44185,38338,44185,DeuceCourt,131 KPH,Kick,NA,11.442,1.113,2.715,1,Forced Error,NA,True,Ground,ForeHand,1.06 Metre,NA,NA,False,False,True,-3.584,-2.166,0.038,Body,1.064,0.0,-1.13,-11.885,-4.121,1.545,-1.229,0.933,0.038,,,,,,,,,,1567.2,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,44185,38338,44185,AdCourt,NA,NA,NA,,,,1,Ace,NA,False,,ForeHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0
1_2_3_1,1,2,3,1,44185,38338,38338,DeuceCourt,175 KPH,Flat,NA,11.345,1.31,2.663,2,Unforced Error,NA,False,Ground,BackHand,1.48 Metre,NA,Wide Error,False,False,True,-5.664,-1.93,0.039,Body,1.148,0.0,-0.762,12.08,-0.746,0.869,-8.317,4.428,0.032,-12.832,-3.375,1.075,-0.0,-2.204,1.411,8.138,-1.32,0.039,1871.16,0,0,0,0,0,1,2,0
NA,1,2,4,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,1
1_2_4_2,1,2,4,2,44185,38338,44185,AdCourt,131 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,1.06 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1567.2,0,0,0,0,0,0,2,1
1_2_5_1,1,2,5,1,44185,38338,44185,DeuceCourt,190 KPH,NA,NA,,,,1,Forced Error,NA,False,Ground,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1871.16,0,0,0,0,0,0,3,1
1_3_1_1,1,3,1,1,38338,44185,44185,DeuceCourt,131 KPH,NA,NA,,,,4,Forced Error,NA,False,Ground,ForeHand,1.06 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,1567.2,0,0,0,0,0,0,0,0
