point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score,player1,player2,p1_cum_games,p2_cum_games,p1_cum_sets,p2_cum_sets
1_1_1_1,1,1,1,1,24367,40613,40613,DeuceCourt,169 KPH,Flat,NA,11.518,0.872,2.674,4,Winner,NA,False,Ground,ForeHand,1.46 Metre,NA,NA,False,False,True,-4.693,-0.784,0.039,T,0.985,0.0,-0.249,,,,,,,-12.544,-1.818,1.009,-0.0,-2.568,1.521,7.501,-3.213,0.036,834.48,0,0,0,0,0,0,0,0,24367,40613,0,0,0,0
1_1_2_1,1,1,2,1,24367,40613,24367,AdCourt,172 KPH,Flat,NA,11.442,-1.933,2.629,1,Forced Error,NA,False,NA,ForeHand,2.17 Metre,NA,NA,False,False,True,-5.181,1.647,0.04,Body,1.058,0.0,0.578,-12.261,3.043,1.129,12.258,1.933,0.043,-12.261,3.043,1.129,-0.0,2.502,2.168,12.258,1.933,0.043,2820.54,0,0,0,0,0,0,0,1,24367,40613,0,0,0,0
NA,1,1,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,1,24367,40613,0,0,0,0
1_1_3_2,1,1,3,2,24367,40613,40613,DeuceCourt,169 KPH,NA,NA,,,,0,DoubleFault,NA,False,Ground,BackHand,1.46 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,834.48,1,1,0,0,0,0,1,1,24367,40613,0,0,0,0
1_1_4_1,1,1,4,1,24367,40613,40613,AdCourt,169 KPH,NA,NA,,,,8,Forced Error,NA,False,Ground,ForeHand,1.46 Metre,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,834.48,0,0,0,0,1,0,1,2,24367,40613,0,0,0,0
1_1_5_1,1,1,5,1,24367,40613,40613,DeuceCourt,169.17 KPH,NA,0.15 Metre,11.513,0.989,2.667,0,Faulty Serve,Net Error,True,NA,ForeHand,0.87 Metre,NA,Net Error,True,False,True,0.148,-0.278,0.04,T,0.867,0.013,-0.297,11.513,0.989,2.667,0.148,-0.278,0.04,,,,,,,,,,NA,1,0,0,0,0,0,1,3,24367,40613,0,0,0,0
1_1_5_2,1,1,5,2,24367,40613,40613,DeuceCourt,140 KPH,Slice,NA,11.593,1.079,2.682,2,Winner,NA,False,Ground,ForeHand,1.52 Metre,Cross Court,NA,True,True,True,-5.18,-2.753,0.039,Wide,1.281,-0.0,-1.303,-11.007,-4.396,1.511,7.792,4.036,0.036,-11.007,-4.396,1.511,0.0,0.66,1.525,7.792,4.036,0.036,2576.88,0,0,0,0,0,0,1,3,24367,40613,0,0,0,0
1_2_1_1,1,2,1,1,40613,24367,40613,DeuceCourt,136 KPH,NA,NA,11.567,1.223,2.83,3,NA,NA,True,NA,BackHand,0.86 Metre,NA,NA,False,False,True,1.274,-1.261,0.042,T,0.862,-0.099,-0.961,11.567,1.223,2.83,1.274,-1.261,0.042,,,,,,,,,,NA,0,0,0,0,0,0,0,0,24367,40613,0,1,0,0
1_2_2_1,1,2,2,1,40613,24367,24367,AdCourt,186 KPH,NA,NA,,,,4,Unforced Error,NA,False,,BackHand,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,24367,40613,0,1,0,0
1_2_3_1,1,2,3,1,40613,24367,40613,DeuceCourt,172 KPH,Flat,NA,11.526,1.018,2.837,1,Forced Error,NA,False,NA,ForeHand,0.96 Metre,NA,NA,False,False,True,-5.014,-2.245,0.039,Body,0.963,-0.006,-1.185,-13.525,-3.961,0.91,,,,,,,,,,,,,NA,0,0,0,0,0,0,1,1,24367,40613,0,1,0,0
