year,player1,player2,player1_id,player2_id,player1_country,player2_country,player1_seed,player2_seed,court_name,court_id,num_sets_completed,match_type,match_status,match_id,tournament,league,player1_ranking,player2_ranking,player1_points,player2_points
2020,R.NADAL,H.DELLIEN,ATPN409,ATPDA31,ESP,BOL,1,0,Rod Laver Arena,1,3,Men's Singles,C,2020_MS101,australian_open,atp,2,111,9850,638
2020,F.DELBONIS,J.SOUSA,ATPD874,ATPSH90,ARG,POR,0,0,Court 19,21,3,Men's Singles,C,2020_MS102,australian_open,atp,82,90,825,776
2020,C.EUBANKS,P.GOJOWCZYK,ATPE865,ATPG967,USA,GER,0,0,Court 5,7,4,Men's Singles,C,2020_MS103,australian_open,atp,235,145,247,454
2020,J.KOVALIK,P.CARRENOBUSTA,ATPKC04,ATPCD85,SVK,ESP,0,27,Court 13,15,4,Men's Singles,C,2020_MS104,australian_open,atp,131,16,498,2535
2020,N.KYRGIOS,L.SONEGO,ATPKE17,ATPSU87,AUS,ITA,23,0,Melbourne Arena,3,3,Men's Singles,C,2020_MS105,australian_open,atp,45,33,1170,1568
2020,P.CUEVAS,G.SIMON,ATPC882,ATPSD32,URU,FRA,0,0,Court 3,5,3,Men's Singles,C,2020_MS106,australian_open,atp,67,63,917,1005
2020,Y.UCHIYAMA,M.YMER,ATPU134,ATPY268,JPN,SWE,0,0,Court 11,13,3,Men's Singles,C,2020_MS107,australian_open,atp,104,94,696,763
2020,M.VILELLAMARTINEZ,K.KHACHANOV,ATPV824,ATPKE29,ESP,RUS,0,16,Court 19,21,4,Men's Singles,C,2020_MS108,australian_open,atp,191,20,339,2245
2020,G.MONFILS,Y.LU,ATPMC65,ATPL575,FRA,TPE,10,0,1573 Arena,4,3,Men's Singles,C,2020_MS109,australian_open,atp,11,1008,2860,10
2020,I.KARLOVIC,V.POSPISIL,ATPK336,ATPPD07,CRO,CAN,0,0,Court 22,24,3,Men's Singles,C,2020_MS110,australian_open,atp,147,61,444,1006
2020,J.DUCKWORTH,A.BEDENE,ATPD994,ATPBH09,AUS,SLO,0,0,Court 8,10,5,Men's Singles,C,2020_MS111,australian_open,atp,103,58,701,1045
2020,E.GULBIS,F.AUGERALIASSIME,ATPG858,ATPAG37,LAT,CAN,0,20,1573 Arena,4,4,Men's Singles,C,2020_MS112,australian_open,atp,181,21,351,2216
2020,T.FRITZ,T.GRIEKSPOOR,ATPFB98,ATPGJ37,USA,NED,29,0,Court 13,15,3,Men's Singles,C,2020_MS113,australian_open,atp,29,153,1670,423
2020,I.IVASHKA,K.ANDERSON,ATPI305,ATPA678,BLR,RSA,0,0,1573 Arena,4,5,Men's Singles,C,2020_MS114,australian_open,atp,108,81,674,825
2020,A.BOLT,A.RAMOS-VINOLAS,ATPBI81,ATPR772,AUS,ESP,0,0,Court 7,9,5,Men's Singles,C,2020_MS115,australian_open,atp,171,46,380,1165
2020,A.MANNARINO,D.THIEM,ATPME82,ATPTB69,FRA,AUT,0,5,Margaret Court Arena,2,3,Men's Singles,C,2020_MS116,australian_open,atp,35,3,1516,9125
2020,D.MEDVEDEV,F.TIAFOE,ATPMM58,ATPTD51,RUS,USA,4,0,Rod Laver Arena,1,4,Men's Singles,C,2020_MS117,australian_open,atp,4,59,8470,1030
2020,D.KOEPFER,P.MARTINEZ,ATPKE73,ATPMO44,GER,ESP,0,0,Court 14,16,3,Men's Singles,C,2020_MS118,australian_open,atp,66,85,921,800
2020,A.POPYRIN,J.TSONGA,ATPP09Z,ATPT786,AUS,FRA,0,28,Melbourne Arena,3,3,Men's Singles,R,2020_MS120,australian_open,atp,113,62,623,1005
2020,J.ISNER,T.MONTEIRO,ATPI186,ATPMJ08,USA,BRA,19,0,Court 8,10,4,Men's Singles,C,2020_MS121,australian_open,atp,25,84,1850,804
2020,A.TABILO,D.GALAN,ATPTE30,ATPGE33,CHI,COL,0,0,Court 5,7,5,Men's Singles,C,2020_MS122,australian_open,atp,169,115,382,599
2020,M.KECMANOVIC,A.SEPPI,ATPKI95,ATPSA93,SRB,ITA,0,0,Court 10,12,3,Men's Singles,C,2020_MS123,australian_open,atp,44,106,1308,689
2020,D.DZUMHUR,S.WAWRINKA,ATPD923,ATPW367,BIH,SUI,0,15,Melbourne Arena,3,4,Men's Singles,C,2020_MS124,australian_open,atp,119,18,562,2320
2020,D.GOFFIN,J.CHARDY,ATPGB88,ATPCA12,BEL,FRA,11,0,Court 3,5,3,Men's Singles,C,2020_MS125,australian_open,atp,15,75,2555,860
2020,P.HERBERT,C.NORRIE,ATPH996,ATPN771,FRA,GBR,0,0,Court 15,17,5,Men's Singles,C,2020_MS126,australian_open,atp,83,71,812,877
