rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,2,False,8580,3,False,3900,0,False,0,2018,2024
27-05-2024,3,False,7300,7,False,1900,0,False,0,2018,2024
20-05-2024,3,False,7300,7,False,1900,0,False,0,2018,2024
06-05-2024,3,False,7345,6,False,1900,0,False,0,2018,2024
22-04-2024,3,False,8145,7,False,1700,0,False,0,2018,2024
15-04-2024,3,False,8645,5,False,1700,0,False,0,2018,2024
08-04-2024,3,False,8645,4,False,1700,0,False,0,2018,2024
01-04-2024,3,False,8645,4,False,1700,0,False,0,2018,2024
18-03-2024,2,False,8805,3,False,1500,0,False,0,2018,2024
04-03-2024,2,False,8805,19,False,500,0,False,0,2018,2024
26-02-2024,2,False,8805,14,False,500,0,False,0,2018,2024
19-02-2024,2,False,9105,11,False,500,0,False,0,2018,2024
12-02-2024,2,False,9255,10,False,400,0,False,0,2018,2024
05-02-2024,2,False,9255,9,False,400,0,False,0,2018,2024
29-01-2024,2,False,9255,9,False,400,0,False,0,2018,2024
15-01-2024,2,False,8855,0,False,0,0,False,0,2018,2024
08-01-2024,2,False,8855,0,False,0,0,False,0,2018,2024
01-01-2024,2,False,8855,0,False,0,0,False,0,2018,2024
25-12-2023,2,False,8855,0,False,0,0,False,0,2018,2024
18-12-2023,2,False,8855,0,False,0,0,False,0,2018,2024
11-12-2023,2,False,8855,0,False,0,0,False,0,2018,2024
04-12-2023,2,False,8855,0,False,0,0,False,0,2018,2024
27-11-2023,2,False,8855,0,False,0,0,False,0,2018,2024
20-11-2023,2,False,8855,0,False,0,0,False,0,2018,2024
13-11-2023,2,False,8455,2,False,8455,0,False,0,2018,2024
06-11-2023,2,False,8455,2,False,8455,0,False,0,2018,2024
30-10-2023,2,False,8625,2,False,8445,0,False,0,2018,2024
23-10-2023,2,False,8805,2,False,8445,0,False,0,2018,2024
16-10-2023,2,False,8805,2,False,8445,0,False,0,2018,2024
02-10-2023,2,False,8715,2,False,8355,0,False,0,2018,2024
25-09-2023,2,False,8535,2,False,8175,0,False,0,2018,2024
18-09-2023,2,False,8535,2,False,8175,0,False,0,2018,2024
11-09-2023,2,False,8535,2,False,8175,0,False,0,2018,2024
28-08-2023,1,False,9815,1,False,7455,0,False,0,2018,2024
21-08-2023,1,False,9815,1,False,7455,0,False,0,2018,2024
14-08-2023,1,False,9395,1,False,6855,0,False,0,2018,2024
07-08-2023,1,False,9225,1,False,6675,0,False,0,2018,2024
31-07-2023,1,False,9225,1,False,6675,0,False,0,2018,2024
24-07-2023,1,False,9375,1,False,6675,0,False,0,2018,2024
17-07-2023,1,False,9675,1,False,6675,0,False,0,2018,2024
03-07-2023,1,False,7675,2,False,4675,0,False,0,2018,2024
26-06-2023,1,False,7675,2,False,4675,0,False,0,2018,2024
19-06-2023,2,False,7175,3,False,4175,0,False,0,2018,2024
12-06-2023,2,False,7175,3,False,4175,0,False,0,2018,2024
29-05-2023,1,False,6815,2,False,3455,0,False,0,2018,2024
22-05-2023,1,False,6815,2,False,3455,0,False,0,2018,2024
08-05-2023,2,False,6770,1,False,3410,0,False,0,2018,2024
24-04-2023,2,False,6770,3,False,2410,553,True,90,2018,2024
17-04-2023,2,False,6770,4,False,1910,550,True,90,2018,2024
10-04-2023,2,False,6780,3,False,1910,549,True,90,2018,2024
03-04-2023,2,False,6780,3,False,1910,552,True,90,2018,2024
20-03-2023,1,False,7420,3,False,1550,554,True,90,2018,2024
06-03-2023,2,False,6780,13,False,550,552,True,90,2018,2024
27-02-2023,2,False,6780,10,False,550,549,True,90,2018,2024
20-02-2023,2,False,6480,35,False,250,540,True,90,2018,2024
13-02-2023,2,False,6730,0,False,0,534,False,90,2018,2024
06-02-2023,2,False,6730,0,False,0,541,False,90,2018,2024
30-01-2023,2,False,6730,0,False,0,538,False,90,2018,2024
16-01-2023,1,False,6820,0,False,0,548,True,90,2018,2024
09-01-2023,1,False,6820,0,False,0,549,False,90,2018,2024
02-01-2023,1,False,6820,0,False,0,559,True,90,2018,2024
