rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,34,False,1220,34,False,725,572,True,90,2018,2024
27-05-2024,35,False,1165,46,False,525,576,True,90,2018,2024
20-05-2024,36,False,1165,42,False,525,573,True,90,2018,2024
06-05-2024,37,False,1160,47,False,470,569,True,90,2018,2024
22-04-2024,36,False,1191,45,False,440,569,True,90,2018,2024
15-04-2024,40,False,1121,58,False,340,574,True,90,2018,2024
08-04-2024,38,False,1121,54,False,330,571,True,90,2018,2024
01-04-2024,35,False,1171,51,False,330,573,True,90,2018,2024
18-03-2024,38,False,1096,67,False,230,571,True,90,2018,2024
04-03-2024,40,False,1091,67,False,200,566,True,90,2018,2024
26-02-2024,42,False,1061,82,False,150,564,True,90,2018,2024
19-02-2024,41,False,1061,69,False,150,568,True,90,2018,2024
12-02-2024,43,False,1046,72,False,125,575,True,90,2018,2024
05-02-2024,41,False,1046,57,True,125,573,True,90,2018,2024
29-01-2024,38,False,1111,49,True,125,580,True,90,2018,2024
15-01-2024,41,False,1077,47,True,75,571,True,90,2018,2024
08-01-2024,41,False,1062,51,True,50,571,True,90,2018,2024
01-01-2024,44,False,1021,0,False,0,575,True,90,2018,2024
25-12-2023,44,False,1021,0,False,0,576,True,90,2018,2024
18-12-2023,44,False,1021,0,False,0,575,True,90,2018,2024
11-12-2023,44,False,1021,0,False,0,576,True,90,2018,2024
04-12-2023,44,False,1021,0,False,0,576,True,90,2018,2024
27-11-2023,44,False,1021,0,False,0,570,True,90,2018,2024
20-11-2023,44,False,1021,0,False,0,570,True,90,2018,2024
13-11-2023,44,False,1021,44,False,1021,572,True,90,2018,2024
06-11-2023,43,False,1021,43,False,1021,568,True,90,2018,2024
30-10-2023,41,False,1037,41,False,1021,568,True,90,2018,2024
23-10-2023,46,False,1000,44,False,984,569,True,90,2018,2024
16-10-2023,43,False,1000,42,False,984,563,True,90,2018,2024
02-10-2023,42,False,1037,43,False,939,575,True,90,2018,2024
25-09-2023,48,False,980,47,False,874,572,True,90,2018,2024
18-09-2023,48,False,983,44,False,874,575,True,90,2018,2024
11-09-2023,47,False,999,44,False,874,579,True,90,2018,2024
28-08-2023,61,False,855,60,False,694,0,False,0,2018,2024
21-08-2023,62,False,855,60,False,694,0,False,0,2018,2024
14-08-2023,61,False,855,58,False,694,0,False,0,2018,2024
07-08-2023,66,False,840,64,False,624,0,False,0,2018,2024
31-07-2023,65,False,845,59,False,624,1328,True,16,2018,2024
24-07-2023,76,False,771,75,False,534,840,True,46,2018,2024
17-07-2023,75,False,762,75,False,514,834,True,46,2018,2024
03-07-2023,80,False,737,69,False,479,834,False,46,2018,2024
