rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,126,False,514,148,False,205,0,False,0,2019,2024
27-05-2024,121,False,525,136,False,205,0,False,0,2019,2024
20-05-2024,120,False,525,133,False,205,0,False,0,2019,2024
06-05-2024,137,False,463,175,False,135,0,False,0,2019,2024
22-04-2024,135,False,463,163,False,135,0,False,0,2019,2024
15-04-2024,134,False,471,160,False,127,0,False,0,2019,2024
08-04-2024,133,False,471,155,False,127,0,False,0,2019,2024
01-04-2024,127,False,479,146,False,127,0,False,0,2019,2024
18-03-2024,129,False,494,133,False,117,0,False,0,2019,2024
04-03-2024,136,False,471,150,False,86,0,False,0,2019,2024
26-02-2024,146,False,453,192,False,61,0,False,0,2019,2024
19-02-2024,145,False,453,171,False,61,0,False,0,2019,2024
12-02-2024,143,False,453,156,False,54,0,False,0,2019,2024
05-02-2024,144,False,453,170,False,47,0,False,0,2019,2024
29-01-2024,143,False,453,156,False,47,0,False,0,2019,2024
15-01-2024,144,False,429,389,True,7,0,False,0,2019,2024
08-01-2024,145,False,431,346,True,7,0,False,0,2019,2024
01-01-2024,144,False,431,0,False,0,0,False,0,2019,2024
25-12-2023,144,False,431,0,False,0,0,False,0,2019,2024
18-12-2023,144,False,431,0,False,0,0,False,0,2019,2024
11-12-2023,144,False,431,0,False,0,0,False,0,2019,2024
04-12-2023,144,False,431,0,False,0,0,False,0,2019,2024
27-11-2023,137,False,448,0,False,0,0,False,0,2019,2024
20-11-2023,138,False,448,0,False,0,0,False,0,2019,2024
13-11-2023,138,False,448,141,False,448,0,False,0,2019,2024
06-11-2023,134,False,451,134,False,444,0,False,0,2019,2024
30-10-2023,137,False,451,135,False,442,0,False,0,2019,2024
23-10-2023,137,False,451,135,False,442,0,False,0,2019,2024
16-10-2023,132,False,451,130,False,442,0,False,0,2019,2024
02-10-2023,148,False,417,134,False,401,0,False,0,2019,2024
25-09-2023,147,False,417,133,False,401,0,False,0,2019,2024
18-09-2023,149,False,417,131,False,401,0,False,0,2019,2024
11-09-2023,173,False,353,154,False,334,0,False,0,2019,2024
28-08-2023,218,False,287,187,False,258,0,False,0,2019,2024
21-08-2023,218,False,287,187,False,258,0,False,0,2019,2024
14-08-2023,215,False,287,186,False,250,0,False,0,2019,2024
07-08-2023,212,False,287,182,False,242,0,False,0,2019,2024
31-07-2023,210,False,287,175,False,242,0,False,0,2019,2024
24-07-2023,234,False,256,198,False,214,0,False,0,2019,2024
17-07-2023,250,False,234,205,False,192,0,False,0,2019,2024
03-07-2023,239,False,249,198,False,181,0,False,0,2019,2024
26-06-2023,241,False,238,207,False,170,0,False,0,2019,2024
19-06-2023,238,False,238,204,False,170,0,False,0,2019,2024
12-06-2023,239,False,233,203,False,164,0,False,0,2019,2024
29-05-2023,252,False,227,194,False,153,0,False,0,2019,2024
22-05-2023,249,False,227,189,False,153,0,False,0,2019,2024
08-05-2023,249,False,227,174,False,150,0,False,0,2019,2024
24-04-2023,250,False,227,167,False,145,0,False,0,2019,2024
17-04-2023,256,False,215,166,False,134,0,False,0,2019,2024
10-04-2023,259,False,212,157,False,130,0,False,0,2019,2024
03-04-2023,268,False,199,165,False,114,0,False,0,2019,2024
20-03-2023,294,False,180,185,False,84,0,False,0,2019,2024
06-03-2023,285,False,185,173,False,81,0,False,0,2019,2024
27-02-2023,280,False,190,161,False,81,0,False,0,2019,2024
20-02-2023,278,False,190,140,False,81,0,False,0,2019,2024
13-02-2023,275,False,190,122,False,81,0,False,0,2019,2024
06-02-2023,278,False,190,102,False,81,0,False,0,2019,2024
30-01-2023,280,False,190,95,False,81,0,False,0,2019,2024
16-01-2023,297,False,178,71,False,65,0,False,0,2019,2024
09-01-2023,297,False,173,57,False,56,0,False,0,2019,2024
02-01-2023,299,False,173,26,False,56,0,False,0,2019,2024
26-12-2022,299,False,173,26,False,56,0,False,0,2019,2024
19-12-2022,299,False,173,26,False,56,0,False,0,2019,2024
12-12-2022,302,False,173,26,False,56,0,False,0,2019,2024
05-12-2022,303,False,173,26,False,56,0,False,0,2019,2024
28-11-2022,332,False,151,57,True,31,0,False,0,2019,2024
21-11-2022,338,False,145,60,False,23,0,False,0,2019,2024
14-11-2022,350,False,139,57,True,15,0,False,0,2019,2024
07-11-2022,381,False,126,381,False,126,0,False,0,2019,2024
31-10-2022,380,False,126,377,False,124,0,False,0,2019,2024
24-10-2022,373,False,126,372,False,122,0,False,0,2019,2024
17-10-2022,370,False,126,365,False,122,0,False,0,2019,2024
10-10-2022,370,False,126,361,False,122,0,False,0,2019,2024
03-10-2022,362,False,126,351,False,122,0,False,0,2019,2024
26-09-2022,365,False,126,346,False,122,0,False,0,2019,2024
19-09-2022,363,False,126,342,False,122,0,False,0,2019,2024
12-09-2022,378,False,117,353,False,113,0,False,0,2019,2024
29-08-2022,389,False,108,352,False,102,0,False,0,2019,2024
22-08-2022,394,False,106,352,False,101,0,False,0,2019,2024
15-08-2022,399,False,103,355,False,97,0,False,0,2019,2024
08-08-2022,399,False,103,354,False,95,0,False,0,2019,2024
01-08-2022,400,False,103,351,False,95,0,False,0,2019,2024
25-07-2022,397,False,103,348,False,93,0,False,0,2019,2024
18-07-2022,424,False,96,347,False,87,0,False,0,2019,2024
11-07-2022,432,False,90,357,False,81,2189,True,2,2019,2024
27-06-2022,522,False,63,426,False,52,2283,True,2,2019,2024
20-06-2022,516,False,63,418,False,52,2280,True,2,2019,2024
13-06-2022,515,False,63,410,False,52,2273,True,2,2019,2024
06-06-2022,520,False,62,404,False,51,2351,True,2,2019,2024
23-05-2022,535,False,58,397,False,46,2329,True,2,2019,2024
16-05-2022,532,False,58,389,False,46,2324,True,2,2019,2024
09-05-2022,531,False,58,378,False,45,2331,True,2,2019,2024
02-05-2022,535,False,58,372,False,44,2343,True,2,2019,2024
25-04-2022,532,False,58,360,False,44,2340,True,2,2019,2024
18-04-2022,534,False,58,349,False,44,2351,True,2,2019,2024
11-04-2022,549,False,54,314,False,36,2359,True,2,2019,2024
04-04-2022,558,False,53,297,False,35,2362,True,2,2019,2024
21-03-2022,617,False,43,302,False,25,2404,True,2,2019,2024
07-03-2022,677,False,36,315,False,17,2476,True,2,2019,2024
28-02-2022,739,False,29,382,False,9,2479,True,2,2019,2024
21-02-2022,744,False,29,354,False,9,2474,True,2,2019,2024
14-02-2022,749,False,29,318,False,9,2476,True,2,2019,2024
07-02-2022,792,False,25,362,True,5,2473,True,2,2019,2024
31-01-2022,802,False,24,367,True,4,2480,True,2,2019,2024
17-01-2022,852,False,20,0,False,0,2457,True,2,2019,2024
10-01-2022,854,False,20,0,False,0,2457,True,2,2019,2024
03-01-2022,851,False,20,0,False,0,2456,True,2,2019,2024
27-12-2021,849,False,20,693,False,18,2456,True,2,2019,2024
20-12-2021,845,False,20,690,False,18,2447,True,2,2019,2024
13-12-2021,836,False,21,683,False,18,2468,True,2,2019,2024
06-12-2021,808,False,23,677,False,18,2484,True,2,2019,2024
29-11-2021,834,False,21,705,False,16,2478,True,2,2019,2024
22-11-2021,843,False,20,688,True,15,2452,True,2,2019,2024
15-11-2021,868,False,18,706,True,13,2444,True,2,2019,2024
08-11-2021,905,False,16,739,True,11,2425,True,2,2019,2024
01-11-2021,905,False,16,746,False,11,2414,True,2,2019,2024
25-10-2021,1002,False,12,808,True,7,2414,True,2,2019,2024
18-10-2021,997,False,12,813,False,7,2413,True,2,2019,2024
04-10-2021,961,False,14,778,True,7,2424,True,2,2019,2024
27-09-2021,913,False,16,763,True,7,2412,True,2,2019,2024
20-09-2021,917,False,16,744,True,7,1946,True,4,2019,2024
13-09-2021,941,False,15,761,True,6,1948,True,4,2019,2024
30-08-2021,995,False,13,793,True,4,1969,True,4,2019,2024
23-08-2021,989,False,13,779,True,4,1966,True,4,2019,2024
16-08-2021,998,False,13,827,False,4,1981,True,4,2019,2024
09-08-2021,992,False,13,800,False,4,1976,True,4,2019,2024
02-08-2021,990,False,13,787,False,4,1973,True,4,2019,2024
26-07-2021,989,False,13,772,False,4,1970,True,4,2019,2024
19-07-2021,989,False,13,717,True,4,1971,True,4,2019,2024
12-07-2021,1015,False,11,792,True,2,2417,True,2,2019,2024
28-06-2021,1079,False,9,0,False,0,2411,True,2,2019,2024
21-06-2021,1078,False,9,0,False,0,2411,True,2,2019,2024
14-06-2021,1077,False,9,0,False,0,2402,True,2,2019,2024
31-05-2021,1073,False,9,0,False,0,2388,True,2,2019,2024
24-05-2021,1073,False,9,0,False,0,2381,True,2,2019,2024
17-05-2021,1072,False,9,0,False,0,2379,True,2,2019,2024
10-05-2021,1077,False,9,0,False,0,2384,True,2,2019,2024
03-05-2021,1078,False,9,0,False,0,2389,True,2,2019,2024
26-04-2021,1078,False,9,0,False,0,2388,True,2,2019,2024
19-04-2021,1075,False,9,0,False,0,2386,True,2,2019,2024
12-04-2021,1075,False,9,0,False,0,2382,True,2,2019,2024
05-04-2021,1074,False,9,0,False,0,2378,True,2,2019,2024
22-03-2021,1070,False,9,0,False,0,2371,True,2,2019,2024
15-03-2021,1063,False,9,0,False,0,2351,True,2,2019,2024
08-03-2021,1061,False,9,0,False,0,2352,True,2,2019,2024
01-03-2021,1059,False,9,0,False,0,2346,True,2,2019,2024
22-02-2021,1058,False,9,0,False,0,2344,True,2,2019,2024
08-02-2021,1054,False,9,0,False,0,2329,True,2,2019,2024
01-02-2021,1053,False,9,0,False,0,2329,True,2,2019,2024
25-01-2021,1053,False,9,0,False,0,2325,True,2,2019,2024
18-01-2021,1052,False,9,0,False,0,2322,True,2,2019,2024
11-01-2021,1051,False,9,0,False,0,2313,True,2,2019,2024
04-01-2021,1051,False,9,0,False,7,2313,True,2,2019,2024
28-12-2020,1051,False,9,0,False,0,2309,True,2,2019,2024
21-12-2020,1050,False,9,0,False,0,2309,True,2,2019,2024
14-12-2020,1078,False,8,0,False,0,2279,True,2,2019,2024
07-12-2020,1173,False,6,0,False,0,2214,True,2,2019,2024
30-11-2020,1169,True,6,0,False,0,2140,True,2,2019,2024
23-11-2020,1169,True,6,0,False,0,2139,True,2,2019,2024
16-11-2020,1169,True,6,0,False,0,2141,True,2,2019,2024
09-11-2020,1165,True,6,0,False,0,2133,True,2,2019,2024
02-11-2020,1163,True,6,0,False,0,2133,True,2,2019,2024
26-10-2020,1158,True,6,0,False,0,2128,True,2,2019,2024
19-10-2020,1158,True,6,0,False,0,2123,True,2,2019,2024
12-10-2020,1159,True,6,0,False,0,2121,True,2,2019,2024
28-09-2020,1260,True,4,0,False,0,2113,True,2,2019,2024
21-09-2020,1250,True,4,0,False,0,0,False,0,2019,2024
14-09-2020,1250,True,4,0,False,0,0,False,0,2019,2024
31-08-2020,1245,True,4,0,False,0,0,False,0,2019,2024
24-08-2020,1245,True,4,0,False,0,0,False,0,2019,2024
16-03-2020,1249,True,4,932,True,2,0,False,0,2019,2024
09-03-2020,1319,True,3,964,True,1,0,False,0,2019,2024
02-03-2020,1421,True,2,0,False,0,0,False,0,2019,2024
24-02-2020,1417,True,2,0,False,0,0,False,0,2019,2024
17-02-2020,1415,True,2,0,False,0,0,False,0,2019,2024
10-02-2020,1423,True,2,0,False,0,0,False,0,2019,2024
03-02-2020,1420,True,2,0,False,0,0,False,0,2019,2024
20-01-2020,1420,True,2,0,False,0,0,False,0,2019,2024
13-01-2020,1417,True,2,0,False,0,0,False,0,2019,2024
06-01-2020,1419,True,2,0,False,0,0,False,0,2019,2024
30-12-2019,1419,True,2,0,False,0,0,False,0,2019,2024
23-12-2019,1419,True,2,0,False,0,0,False,0,2019,2024
16-12-2019,1419,True,2,0,False,0,0,False,0,2019,2024
09-12-2019,1416,True,2,0,False,0,0,False,0,2019,2024
02-12-2019,1424,True,2,0,False,0,0,False,0,2019,2024
25-11-2019,1426,True,2,0,False,0,0,False,0,2019,2024
18-11-2019,1430,True,2,0,False,0,0,False,0,2019,2024
11-11-2019,1428,True,2,0,False,0,0,False,0,2019,2024
04-11-2019,1436,True,2,1436,True,2,0,False,0,2019,2024
28-10-2019,1438,True,2,1427,True,2,0,False,0,2019,2024
21-10-2019,1436,True,2,1417,True,2,0,False,0,2019,2024
14-10-2019,1430,True,2,1398,True,2,0,False,0,2019,2024
07-10-2019,1434,True,2,1385,True,2,0,False,0,2019,2024
