rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,626,False,53,0,False,0,0,False,0,2003,2024
27-05-2024,630,False,53,0,False,0,0,False,0,2003,2024
20-05-2024,627,False,53,0,False,0,0,False,0,2003,2024
06-05-2024,622,False,53,0,False,0,0,False,0,2003,2024
22-04-2024,623,False,53,0,False,0,0,False,0,2003,2024
15-04-2024,621,False,53,0,False,0,0,False,0,2003,2024
08-04-2024,626,False,53,0,False,0,0,False,0,2003,2024
01-04-2024,629,False,53,0,False,0,0,False,0,2003,2024
18-03-2024,624,False,53,0,False,0,0,False,0,2003,2024
04-03-2024,629,False,53,0,False,0,0,False,0,2003,2024
26-02-2024,630,False,53,0,False,0,0,False,0,2003,2024
19-02-2024,626,False,53,0,False,0,0,False,0,2003,2024
12-02-2024,624,False,53,0,False,0,0,False,0,2003,2024
05-02-2024,622,False,53,0,False,0,0,False,0,2003,2024
29-01-2024,624,False,53,0,False,0,0,False,0,2003,2024
15-01-2024,628,False,53,0,False,0,0,False,0,2003,2024
08-01-2024,627,False,53,0,False,0,0,False,0,2003,2024
01-01-2024,628,False,53,0,False,0,0,False,0,2003,2024
25-12-2023,627,False,53,0,False,0,0,False,0,2003,2024
18-12-2023,627,False,53,0,False,0,0,False,0,2003,2024
11-12-2023,627,False,53,0,False,0,0,False,0,2003,2024
04-12-2023,624,False,53,0,False,0,0,False,0,2003,2024
27-11-2023,615,False,53,0,False,0,0,False,0,2003,2024
20-11-2023,618,False,53,0,False,0,0,False,0,2003,2024
13-11-2023,622,False,53,625,False,53,0,False,0,2003,2024
06-11-2023,622,False,53,613,False,53,0,False,0,2003,2024
30-10-2023,619,False,53,613,False,53,0,False,0,2003,2024
23-10-2023,618,False,53,605,False,53,0,False,0,2003,2024
16-10-2023,622,False,53,598,False,53,0,False,0,2003,2024
02-10-2023,622,False,53,580,False,53,0,False,0,2003,2024
25-09-2023,614,False,53,570,False,53,0,False,0,2003,2024
18-09-2023,614,False,53,560,False,53,0,False,0,2003,2024
11-09-2023,618,False,53,550,False,53,0,False,0,2003,2024
28-08-2023,658,False,45,570,False,45,0,False,0,2003,2024
21-08-2023,656,False,45,559,False,45,0,False,0,2003,2024
14-08-2023,650,False,45,549,False,45,0,False,0,2003,2024
07-08-2023,652,False,45,543,False,45,0,False,0,2003,2024
31-07-2023,652,False,45,533,False,45,0,False,0,2003,2024
24-07-2023,645,False,45,520,False,45,0,False,0,2003,2024
17-07-2023,0,False,0,0,False,0,0,False,0,2003,2024
23-05-2022,0,False,0,349,False,58,0,False,0,2003,2024
16-05-2022,104,False,597,335,False,58,0,False,0,2003,2024
09-05-2022,104,False,602,316,False,58,0,False,0,2003,2024
02-05-2022,107,False,602,306,False,58,0,False,0,2003,2024
25-04-2022,104,False,647,287,False,58,0,False,0,2003,2024
18-04-2022,103,False,647,276,False,58,0,False,0,2003,2024
11-04-2022,108,False,647,213,False,58,0,False,0,2003,2024
04-04-2022,107,False,647,198,False,58,0,False,0,2003,2024
21-03-2022,91,False,719,212,False,40,0,False,0,2003,2024
07-03-2022,90,False,719,188,True,40,0,False,0,2003,2024
28-02-2022,92,False,719,182,True,40,0,False,0,2003,2024
21-02-2022,94,False,709,194,False,30,0,False,0,2003,2024
14-02-2022,93,False,719,182,False,30,0,False,0,2003,2024
07-02-2022,101,False,699,263,True,10,0,False,0,2003,2024
31-01-2022,99,False,719,235,True,10,0,False,0,2003,2024
17-01-2022,97,False,744,0,False,0,0,False,0,2003,2024
10-01-2022,101,False,744,0,False,0,0,False,0,2003,2024
03-01-2022,80,False,829,0,False,0,0,False,0,2003,2024
27-12-2021,80,False,829,91,False,566,0,False,0,2003,2024
20-12-2021,80,False,829,91,False,566,0,False,0,2003,2024
13-12-2021,80,False,829,91,False,566,0,False,0,2003,2024
06-12-2021,80,False,829,91,False,566,0,False,0,2003,2024
29-11-2021,80,False,829,91,False,566,0,False,0,2003,2024
22-11-2021,79,False,829,91,False,566,0,False,0,2003,2024
15-11-2021,79,False,829,90,False,566,0,False,0,2003,2024
08-11-2021,80,False,829,88,False,566,0,False,0,2003,2024
01-11-2021,76,False,874,88,False,566,0,False,0,2003,2024
25-10-2021,61,False,1034,88,False,546,0,False,0,2003,2024
18-10-2021,60,False,1034,88,False,546,0,False,0,2003,2024
04-10-2021,69,False,989,89,False,501,0,False,0,2003,2024
27-09-2021,69,False,983,85,False,495,0,False,0,2003,2024
20-09-2021,68,False,983,82,False,495,0,False,0,2003,2024
13-09-2021,68,False,983,81,False,495,0,False,0,2003,2024
30-08-2021,77,False,948,80,False,450,0,False,0,2003,2024
23-08-2021,75,False,948,76,False,450,0,False,0,2003,2024
16-08-2021,76,False,958,80,False,415,0,False,0,2003,2024
09-08-2021,75,False,958,77,False,415,0,False,0,2003,2024
02-08-2021,75,False,958,75,False,415,0,False,0,2003,2024
26-07-2021,75,False,958,71,False,415,0,False,0,2003,2024
19-07-2021,74,False,958,69,True,415,0,False,0,2003,2024
12-07-2021,113,False,708,151,False,165,0,False,0,2003,2024
28-06-2021,102,False,753,177,True,120,0,False,0,2003,2024
21-06-2021,103,False,753,175,True,120,0,False,0,2003,2024
14-06-2021,101,False,775,166,True,120,0,False,0,2003,2024
31-05-2021,100,False,795,184,True,85,0,False,0,2003,2024
24-05-2021,97,False,795,180,True,85,0,False,0,2003,2024
17-05-2021,96,False,795,173,True,85,0,False,0,2003,2024
10-05-2021,99,False,800,170,True,85,0,False,0,2003,2024
03-05-2021,100,False,800,163,True,85,0,False,0,2003,2024
26-04-2021,105,False,755,243,False,40,0,False,0,2003,2024
19-04-2021,107,False,755,234,False,40,0,False,0,2003,2024
12-04-2021,107,False,755,225,False,40,0,False,0,2003,2024
05-04-2021,108,False,755,214,False,40,0,False,0,2003,2024
22-03-2021,91,False,845,212,False,30,0,False,0,2003,2024
15-03-2021,90,False,845,198,True,30,0,False,0,2003,2024
08-03-2021,88,False,845,182,False,30,0,False,0,2003,2024
01-03-2021,88,False,845,165,False,30,0,False,0,2003,2024
22-02-2021,86,False,845,144,True,30,0,False,0,2003,2024
08-02-2021,81,False,845,82,True,20,0,False,0,2003,2024
01-02-2021,82,False,825,0,False,0,0,False,0,2003,2024
25-01-2021,82,False,825,0,False,0,0,False,0,2003,2024
18-01-2021,82,False,825,0,False,0,0,False,0,2003,2024
11-01-2021,82,False,825,0,False,0,0,False,0,2003,2024
04-01-2021,82,False,825,0,False,510,0,False,0,2003,2024
28-12-2020,81,False,825,0,False,0,0,False,0,2003,2024
21-12-2020,81,False,825,0,False,0,0,False,0,2003,2024
