rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,226,False,272,341,False,72,450,False,128,2009,2024
27-05-2024,227,False,272,313,False,72,457,False,128,2009,2024
20-05-2024,228,False,272,304,False,72,457,False,128,2009,2024
06-05-2024,234,False,258,366,False,50,454,False,128,2009,2024
22-04-2024,220,False,275,369,False,44,459,False,128,2009,2024
15-04-2024,214,False,283,403,False,36,457,False,128,2009,2024
08-04-2024,213,False,283,387,False,36,454,False,128,2009,2024
01-04-2024,196,False,307,411,False,30,450,False,128,2009,2024
18-03-2024,195,False,307,357,False,30,440,False,128,2009,2024
04-03-2024,200,False,301,633,False,8,533,False,98,2009,2024
26-02-2024,200,False,301,603,False,8,534,False,98,2009,2024
19-02-2024,207,False,295,938,True,2,614,False,82,2009,2024
12-02-2024,205,False,295,914,True,2,617,False,82,2009,2024
05-02-2024,208,False,295,896,True,2,615,False,82,2009,2024
29-01-2024,209,False,293,0,False,0,621,False,82,2009,2024
15-01-2024,207,False,293,0,False,0,531,False,102,2009,2024
08-01-2024,209,False,293,0,False,0,529,False,102,2009,2024
01-01-2024,212,False,293,0,False,0,527,False,102,2009,2024
25-12-2023,212,False,293,0,False,0,528,False,102,2009,2024
18-12-2023,212,False,293,0,False,0,528,False,102,2009,2024
11-12-2023,212,False,293,0,False,0,527,False,102,2009,2024
04-12-2023,212,False,293,0,False,0,525,False,102,2009,2024
27-11-2023,213,False,293,0,False,0,529,False,102,2009,2024
20-11-2023,214,False,293,0,False,0,524,False,102,2009,2024
13-11-2023,213,False,293,215,False,293,527,False,102,2009,2024
06-11-2023,190,False,323,209,False,293,530,False,102,2009,2024
30-10-2023,193,False,323,193,False,316,526,False,102,2009,2024
23-10-2023,190,False,330,190,False,316,531,False,102,2009,2024
16-10-2023,174,False,360,188,False,316,432,False,132,2009,2024
02-10-2023,203,False,310,208,False,266,427,False,132,2009,2024
25-09-2023,204,False,310,213,False,259,471,False,116,2009,2024
18-09-2023,200,False,310,205,False,259,466,False,116,2009,2024
11-09-2023,199,False,310,199,False,259,459,False,116,2009,2024
28-08-2023,193,False,315,193,False,248,529,False,100,2009,2024
21-08-2023,197,False,315,193,False,248,521,False,100,2009,2024
14-08-2023,199,False,315,187,False,248,521,False,100,2009,2024
07-08-2023,195,False,315,177,False,248,527,False,100,2009,2024
31-07-2023,191,False,315,171,False,248,523,False,100,2009,2024
24-07-2023,149,False,417,165,False,248,520,False,100,2009,2024
17-07-2023,143,False,437,158,False,248,444,False,120,2009,2024
03-07-2023,175,False,330,265,False,123,446,False,120,2009,2024
26-06-2023,174,False,330,260,False,123,439,False,120,2009,2024
19-06-2023,174,False,330,250,False,123,439,False,120,2009,2024
12-06-2023,178,False,330,242,False,123,439,False,120,2009,2024
29-05-2023,166,False,356,226,False,123,442,False,120,2009,2024
22-05-2023,166,False,356,220,False,123,440,False,120,2009,2024
08-05-2023,170,False,348,216,False,115,450,False,120,2009,2024
24-04-2023,148,False,405,237,False,92,451,False,120,2009,2024
17-04-2023,147,False,389,265,False,76,447,False,120,2009,2024
10-04-2023,147,False,389,256,False,76,446,False,120,2009,2024
03-04-2023,168,False,359,326,False,46,443,False,120,2009,2024
20-03-2023,166,False,359,294,False,46,336,False,170,2009,2024
06-03-2023,166,False,350,363,False,30,258,False,250,2009,2024
27-02-2023,164,False,357,345,False,30,254,False,250,2009,2024
20-02-2023,165,False,357,321,False,30,253,False,250,2009,2024
13-02-2023,167,False,357,299,False,30,256,False,250,2009,2024
06-02-2023,167,False,357,281,False,30,258,False,250,2009,2024
30-01-2023,170,False,357,259,False,30,262,False,250,2009,2024
16-01-2023,153,False,373,177,True,30,264,False,246,2009,2024
09-01-2023,154,False,373,144,False,30,265,False,246,2009,2024
02-01-2023,138,False,403,86,False,30,265,False,246,2009,2024
26-12-2022,138,False,403,85,False,30,265,False,246,2009,2024
19-12-2022,139,False,403,84,False,30,265,False,246,2009,2024
12-12-2022,139,False,403,83,False,30,266,False,246,2009,2024
05-12-2022,140,False,403,78,False,30,268,False,246,2009,2024
28-11-2022,138,False,403,63,False,30,267,False,246,2009,2024
21-11-2022,139,False,403,43,True,30,264,False,246,2009,2024
14-11-2022,139,False,403,19,True,30,262,False,246,2009,2024
07-11-2022,154,False,373,154,False,373,259,False,246,2009,2024
31-10-2022,154,False,366,151,False,366,257,False,246,2009,2024
24-10-2022,159,False,359,149,False,359,256,False,246,2009,2024
17-10-2022,162,False,336,154,False,329,338,False,166,2009,2024
10-10-2022,158,False,365,152,False,329,307,False,181,2009,2024
03-10-2022,151,False,365,145,False,329,301,False,181,2009,2024
26-09-2022,145,False,373,144,False,322,307,False,181,2009,2024
19-09-2022,148,False,373,141,False,322,307,False,181,2009,2024
12-09-2022,147,False,373,138,False,322,311,False,181,2009,2024
29-08-2022,125,False,446,136,False,306,297,False,196,2009,2024
22-08-2022,109,False,496,136,False,306,280,False,211,2009,2024
15-08-2022,111,False,498,134,False,306,278,False,211,2009,2024
08-08-2022,109,False,500,132,False,306,275,False,211,2009,2024
01-08-2022,108,False,500,128,False,306,279,False,211,2009,2024
25-07-2022,136,False,398,174,False,204,285,False,211,2009,2024
18-07-2022,145,False,378,185,False,184,312,False,191,2009,2024
11-07-2022,144,False,393,190,False,177,321,False,191,2009,2024
27-06-2022,143,False,414,190,False,166,298,False,214,2009,2024
20-06-2022,143,False,420,188,False,166,286,False,226,2009,2024
13-06-2022,145,False,420,180,False,166,288,False,226,2009,2024
06-06-2022,148,False,430,173,False,166,265,False,261,2009,2024
23-05-2022,155,False,407,171,False,140,255,False,267,2009,2024
16-05-2022,155,False,407,169,False,140,246,False,287,2009,2024
09-05-2022,153,False,407,160,False,140,241,False,287,2009,2024
02-05-2022,151,False,407,154,False,140,246,False,287,2009,2024
25-04-2022,176,False,329,283,False,60,247,False,287,2009,2024
18-04-2022,173,False,337,271,False,60,244,False,289,2009,2024
11-04-2022,172,False,345,211,False,60,242,False,299,2009,2024
04-04-2022,167,False,349,197,False,60,237,False,305,2009,2024
21-03-2022,169,False,349,174,False,60,260,False,255,2009,2024
07-03-2022,169,False,348,159,False,53,292,False,222,2009,2024
28-02-2022,174,False,347,168,True,46,295,False,224,2009,2024
21-02-2022,174,False,356,151,True,46,283,False,242,2009,2024
14-02-2022,179,False,356,139,False,46,290,False,242,2009,2024
07-02-2022,180,False,356,120,False,46,292,False,242,2009,2024
31-01-2022,179,False,356,102,False,46,289,False,250,2009,2024
17-01-2022,189,False,350,70,True,30,296,False,246,2009,2024
10-01-2022,190,False,350,49,True,30,295,False,246,2009,2024
03-01-2022,201,False,323,0,False,0,291,False,246,2009,2024
27-12-2021,201,False,323,154,False,309,291,False,246,2009,2024
20-12-2021,201,False,323,154,False,309,293,False,246,2009,2024
13-12-2021,199,False,323,153,False,309,292,False,246,2009,2024
06-12-2021,199,False,323,153,False,309,288,False,246,2009,2024
29-11-2021,199,False,323,152,False,309,288,False,246,2009,2024
22-11-2021,198,False,323,151,False,309,284,False,246,2009,2024
15-11-2021,200,False,323,149,False,309,284,False,246,2009,2024
08-11-2021,203,False,323,146,False,309,288,False,246,2009,2024
01-11-2021,205,False,323,143,False,309,288,False,246,2009,2024
25-10-2021,208,False,323,140,True,309,288,False,246,2009,2024
18-10-2021,210,False,318,144,False,304,289,False,246,2009,2024
04-10-2021,226,False,291,147,False,277,303,False,233,2009,2024
27-09-2021,234,False,278,150,True,263,306,False,233,2009,2024
20-09-2021,232,False,282,147,False,263,308,False,235,2009,2024
13-09-2021,230,False,286,145,False,263,304,False,235,2009,2024
30-08-2021,291,False,201,177,False,176,322,False,222,2009,2024
23-08-2021,330,False,153,221,False,126,330,False,209,2009,2024
16-08-2021,330,False,152,222,False,121,330,False,209,2009,2024
09-08-2021,333,False,151,218,False,120,331,False,209,2009,2024
02-08-2021,335,False,151,215,False,120,334,False,209,2009,2024
26-07-2021,330,False,151,210,False,120,332,False,209,2009,2024
19-07-2021,326,False,151,201,False,120,326,False,209,2009,2024
12-07-2021,345,False,131,217,True,100,322,False,209,2009,2024
28-06-2021,410,False,99,253,True,68,345,False,190,2009,2024
21-06-2021,431,False,93,257,True,62,353,False,178,2009,2024
14-06-2021,432,False,93,247,True,62,351,False,178,2009,2024
31-05-2021,474,False,81,245,True,50,400,False,143,2009,2024
24-05-2021,483,False,78,250,True,47,409,False,137,2009,2024
17-05-2021,485,False,77,246,False,46,441,False,117,2009,2024
10-05-2021,484,False,77,243,True,46,445,False,117,2009,2024
03-05-2021,487,False,77,236,True,46,446,False,117,2009,2024
26-04-2021,485,False,77,229,False,46,447,False,117,2009,2024
19-04-2021,515,False,67,254,False,36,451,False,115,2009,2024
12-04-2021,560,False,57,283,False,26,475,False,105,2009,2024
05-04-2021,583,False,51,306,False,20,495,False,99,2009,2024
22-03-2021,575,False,52,274,False,20,496,False,99,2009,2024
15-03-2021,605,False,46,296,False,14,502,False,97,2009,2024
08-03-2021,611,False,44,286,False,12,407,False,135,2009,2024
01-03-2021,611,False,43,267,False,11,408,False,133,2009,2024
22-02-2021,609,False,43,230,True,11,403,False,133,2009,2024
08-02-2021,604,False,43,121,True,11,396,False,133,2009,2024
01-02-2021,612,False,42,68,True,10,406,False,123,2009,2024
25-01-2021,679,False,32,0,False,0,416,False,119,2009,2024
18-01-2021,679,False,32,0,False,0,440,False,109,2009,2024
11-01-2021,675,False,32,0,False,0,439,False,109,2009,2024
04-01-2021,675,False,32,0,False,30,439,False,109,2009,2024
28-12-2020,673,False,32,0,False,0,436,False,109,2009,2024
21-12-2020,673,False,32,0,False,0,435,False,109,2009,2024
14-12-2020,671,False,32,0,False,0,434,False,109,2009,2024
07-12-2020,669,False,32,0,False,0,431,False,109,2009,2024
30-11-2020,666,False,32,0,False,0,429,False,109,2009,2024
23-11-2020,665,False,32,0,False,0,427,False,109,2009,2024
16-11-2020,664,False,32,0,False,0,426,False,109,2009,2024
09-11-2020,663,False,32,0,False,0,425,False,109,2009,2024
02-11-2020,660,False,32,0,False,0,422,False,109,2009,2024
26-10-2020,658,False,32,0,False,0,420,False,109,2009,2024
19-10-2020,657,False,32,0,False,0,418,False,109,2009,2024
12-10-2020,657,False,32,0,False,0,414,False,109,2009,2024
28-09-2020,655,False,32,0,False,0,407,False,109,2009,2024
21-09-2020,714,False,26,0,False,0,418,False,105,2009,2024
14-09-2020,788,False,20,0,False,0,420,False,103,2009,2024
31-08-2020,785,False,20,0,False,0,416,False,103,2009,2024
24-08-2020,783,False,20,0,False,0,416,False,103,2009,2024
16-03-2020,787,False,20,409,False,18,416,False,103,2009,2024
09-03-2020,773,False,20,383,False,18,416,False,100,2009,2024
02-03-2020,873,False,14,446,True,12,409,False,100,2009,2024
24-02-2020,1525,True,2,0,False,0,490,False,80,2009,2024
17-02-2020,1240,True,4,0,False,0,434,False,92,2009,2024
10-02-2020,1126,False,6,0,False,0,411,False,98,2009,2024
03-02-2020,1128,False,6,0,False,0,415,False,98,2009,2024
20-01-2020,1128,False,6,0,False,0,418,False,98,2009,2024
13-01-2020,1126,False,6,0,False,0,417,False,98,2009,2024
06-01-2020,1131,False,6,0,False,0,412,False,98,2009,2024
30-12-2019,1131,False,6,0,False,0,413,False,98,2009,2024
23-12-2019,1135,False,6,0,False,0,415,False,98,2009,2024
16-12-2019,1132,False,6,0,False,0,416,False,98,2009,2024
09-12-2019,1128,False,6,0,False,0,416,False,98,2009,2024
02-12-2019,1131,False,6,0,False,0,417,False,98,2009,2024
25-11-2019,1131,False,6,0,False,0,418,False,98,2009,2024
18-11-2019,1133,False,6,0,False,0,418,False,98,2009,2024
11-11-2019,1133,False,6,0,False,0,413,False,98,2009,2024
04-11-2019,1136,False,6,1136,False,6,378,False,115,2009,2024
28-10-2019,1133,False,6,1125,False,6,347,False,130,2009,2024
21-10-2019,1135,False,6,1113,False,6,323,False,145,2009,2024
14-10-2019,1135,False,6,1103,False,6,322,False,145,2009,2024
07-10-2019,1133,False,6,1084,False,6,320,False,145,2009,2024
30-09-2019,1127,False,6,1067,False,6,281,False,193,2009,2024
23-09-2019,1030,False,8,1055,False,6,274,False,199,2009,2024
16-09-2019,1030,False,8,1041,False,6,261,False,209,2009,2024
09-09-2019,1003,True,9,1034,False,6,253,False,219,2009,2024
26-08-2019,1005,False,9,1016,False,6,249,False,219,2009,2024
19-08-2019,1007,False,9,1000,False,6,249,False,219,2009,2024
12-08-2019,1008,False,9,990,False,6,239,False,236,2009,2024
05-08-2019,1008,False,9,975,True,6,239,False,236,2009,2024
29-07-2019,0,False,0,0,False,0,239,False,209,2009,2024
22-07-2019,0,False,0,0,False,0,242,False,209,2009,2024
15-07-2019,0,False,0,0,False,0,245,False,209,2009,2024
01-07-2019,0,False,0,0,False,0,247,False,209,2009,2024
24-06-2019,0,False,0,0,False,0,245,False,212,2009,2024
17-06-2019,0,False,0,0,False,0,243,False,212,2009,2024
10-06-2019,0,False,0,0,False,0,247,False,212,2009,2024
27-05-2019,0,False,0,0,False,0,242,False,220,2009,2024
20-05-2019,0,False,0,0,False,0,242,False,220,2009,2024
13-05-2019,0,False,0,0,False,0,242,False,220,2009,2024
06-05-2019,0,False,0,0,False,0,242,False,220,2009,2024
29-04-2019,0,False,0,0,False,0,242,False,220,2009,2024
22-04-2019,0,False,0,0,False,0,236,False,237,2009,2024
15-04-2019,0,False,0,0,False,0,238,False,237,2009,2024
08-04-2019,0,False,0,0,False,0,230,False,255,2009,2024
01-04-2019,0,False,0,0,False,0,227,False,270,2009,2024
18-03-2019,0,False,0,0,False,0,221,False,285,2009,2024
11-03-2019,0,False,0,0,False,0,251,False,220,2009,2024
04-03-2019,0,False,0,0,False,0,251,False,220,2009,2024
25-02-2019,0,False,0,0,False,0,249,False,220,2009,2024
18-02-2019,0,False,0,0,False,0,242,False,235,2009,2024
11-02-2019,0,False,0,0,False,0,242,False,235,2009,2024
04-02-2019,0,False,0,0,False,0,241,False,235,2009,2024
28-01-2019,0,False,0,0,False,0,241,False,235,2009,2024
14-01-2019,0,False,0,0,False,0,238,False,235,2009,2024
07-01-2019,0,False,0,0,False,0,236,False,235,2009,2024
31-12-2018,0,False,0,0,False,0,235,False,235,2009,2024
24-12-2018,0,False,0,0,False,0,235,False,235,2009,2024
17-12-2018,1428,True,3,0,False,0,198,False,359,2009,2024
10-12-2018,1445,True,3,0,False,0,189,False,367,2009,2024
03-12-2018,1324,False,4,0,False,0,188,False,370,2009,2024
26-11-2018,1324,True,4,0,False,0,189,False,370,2009,2024
19-11-2018,1324,True,4,0,False,0,189,False,370,2009,2024
12-11-2018,1320,True,4,0,False,0,171,False,435,2009,2024
05-11-2018,1316,True,4,1316,True,4,172,False,433,2009,2024
29-10-2018,1314,True,4,1306,True,4,172,False,433,2009,2024
22-10-2018,1313,True,4,1301,True,4,174,False,433,2009,2024
15-10-2018,1311,True,4,1293,True,4,167,False,447,2009,2024
08-10-2018,1313,True,4,1284,True,4,168,False,447,2009,2024
01-10-2018,1301,True,4,1263,True,4,179,False,414,2009,2024
24-09-2018,1594,True,2,1546,True,2,178,False,414,2009,2024
17-09-2018,1414,True,3,1510,True,2,179,False,411,2009,2024
10-09-2018,1592,True,2,1854,True,1,176,False,420,2009,2024
27-08-2018,877,False,18,1809,True,1,175,False,423,2009,2024
20-08-2018,872,False,18,1787,True,1,176,False,426,2009,2024
13-08-2018,866,False,18,1762,True,1,174,False,424,2009,2024
06-08-2018,748,False,28,1726,True,1,173,False,427,2009,2024
30-07-2018,749,False,28,1693,True,1,173,False,425,2009,2024
23-07-2018,751,False,28,1675,True,1,172,False,425,2009,2024
16-07-2018,754,False,28,1663,True,1,174,False,425,2009,2024
02-07-2018,750,False,28,1606,True,1,172,False,425,2009,2024
25-06-2018,755,False,28,1550,True,1,175,False,413,2009,2024
18-06-2018,733,False,30,1488,True,1,177,False,413,2009,2024
11-06-2018,732,False,30,1456,True,1,176,False,413,2009,2024
28-05-2018,631,False,42,1289,True,1,184,False,379,2009,2024
21-05-2018,628,False,42,1246,True,1,180,False,387,2009,2024
14-05-2018,625,False,43,1222,True,1,179,False,387,2009,2024
07-05-2018,606,False,45,1194,True,1,179,False,387,2009,2024
30-04-2018,602,False,45,1174,True,1,177,False,387,2009,2024
23-04-2018,606,False,45,1157,True,1,178,False,388,2009,2024
16-04-2018,607,False,45,1151,True,1,177,False,388,2009,2024
09-04-2018,608,False,45,1141,True,1,178,False,380,2009,2024
02-04-2018,609,False,45,1141,True,1,179,False,375,2009,2024
19-03-2018,611,False,45,1087,True,1,180,False,370,2009,2024
05-03-2018,612,False,45,1022,True,1,179,False,384,2009,2024
26-02-2018,616,False,45,1006,True,1,179,False,384,2009,2024
19-02-2018,614,False,45,976,True,1,178,False,379,2009,2024
12-02-2018,618,False,45,966,True,1,179,False,379,2009,2024
05-02-2018,616,False,45,950,True,1,179,False,379,2009,2024
29-01-2018,617,False,45,934,True,1,179,False,379,2009,2024
15-01-2018,612,False,45,808,True,1,176,False,379,2009,2024
08-01-2018,612,False,45,772,True,1,177,False,379,2009,2024
01-01-2018,613,False,45,714,True,1,177,False,379,2009,2024
25-12-2017,611,False,45,696,True,1,177,False,379,2009,2024
18-12-2017,593,False,47,675,True,1,177,False,387,2009,2024
11-12-2017,588,False,48,545,True,1,177,False,379,2009,2024
04-12-2017,594,False,47,0,False,0,183,False,371,2009,2024
27-11-2017,592,False,47,0,False,0,184,False,371,2009,2024
20-11-2017,512,False,65,0,False,0,182,False,374,2009,2024
13-11-2017,510,False,66,0,False,0,208,False,302,2009,2024
06-11-2017,512,False,66,512,False,66,210,False,302,2009,2024
30-10-2017,439,False,84,508,False,66,202,False,319,2009,2024
23-10-2017,439,False,86,504,False,66,209,False,314,2009,2024
16-10-2017,434,False,92,498,False,66,222,False,293,2009,2024
09-10-2017,438,False,92,492,False,66,220,False,293,2009,2024
02-10-2017,442,False,92,480,False,66,216,False,293,2009,2024
25-09-2017,384,False,110,472,False,66,213,False,303,2009,2024
18-09-2017,386,False,111,468,False,65,215,False,303,2009,2024
11-09-2017,377,False,117,461,False,65,222,False,294,2009,2024
28-08-2017,410,False,101,510,False,49,228,False,284,2009,2024
21-08-2017,415,False,101,506,False,49,236,False,272,2009,2024
14-08-2017,417,False,101,493,False,49,235,False,272,2009,2024
07-08-2017,440,False,91,540,False,39,239,False,260,2009,2024
31-07-2017,432,False,91,520,False,39,242,False,260,2009,2024
24-07-2017,434,False,91,510,False,39,246,False,260,2009,2024
17-07-2017,431,False,92,498,False,39,247,False,260,2009,2024
10-07-2017,425,False,95,476,False,39,246,False,272,2009,2024
03-07-2017,425,False,95,476,False,39,246,False,272,2009,2024
26-06-2017,420,False,95,459,False,39,246,False,272,2009,2024
19-06-2017,419,False,93,455,False,37,241,False,280,2009,2024
12-06-2017,419,False,93,443,False,37,242,False,276,2009,2024
29-05-2017,461,False,81,519,False,25,260,False,260,2009,2024
22-05-2017,456,False,81,500,False,25,267,False,248,2009,2024
15-05-2017,461,False,80,500,False,24,259,False,260,2009,2024
08-05-2017,470,False,78,497,False,22,259,False,260,2009,2024
01-05-2017,467,False,80,489,False,22,259,False,258,2009,2024
24-04-2017,472,False,80,481,False,22,264,False,258,2009,2024
17-04-2017,471,False,80,470,False,22,266,False,258,2009,2024
10-04-2017,469,False,80,457,False,22,264,False,258,2009,2024
03-04-2017,471,False,80,447,False,22,265,False,258,2009,2024
20-03-2017,476,False,81,416,False,22,245,False,279,2009,2024
06-03-2017,477,False,82,383,False,22,272,False,256,2009,2024
27-02-2017,475,False,82,371,False,22,281,False,246,2009,2024
20-02-2017,473,False,82,347,False,22,281,False,246,2009,2024
13-02-2017,476,False,82,331,False,22,281,False,246,2009,2024
06-02-2017,474,False,82,306,False,22,283,False,246,2009,2024
30-01-2017,468,False,82,293,False,22,280,False,246,2009,2024
16-01-2017,473,False,82,212,False,22,281,False,246,2009,2024
09-01-2017,459,False,87,177,False,22,279,False,246,2009,2024
02-01-2017,457,False,87,127,False,22,282,False,246,2009,2024
26-12-2016,457,False,87,125,False,22,288,False,240,2009,2024
19-12-2016,465,False,85,129,False,20,288,False,240,2009,2024
12-12-2016,459,False,85,120,False,19,287,False,240,2009,2024
05-12-2016,440,False,91,103,True,19,268,False,258,2009,2024
28-11-2016,443,False,91,92,True,19,271,False,258,2009,2024
21-11-2016,499,False,73,372,True,1,286,False,240,2009,2024
14-11-2016,505,False,72,0,False,0,293,False,234,2009,2024
07-11-2016,506,False,72,506,False,72,295,False,234,2009,2024
31-10-2016,582,False,54,570,True,54,330,False,199,2009,2024
24-10-2016,590,False,52,578,True,52,330,False,199,2009,2024
17-10-2016,617,False,46,597,True,46,337,False,199,2009,2024
10-10-2016,606,False,49,589,True,46,334,False,199,2009,2024
03-10-2016,600,False,51,584,True,46,313,False,217,2009,2024
26-09-2016,694,False,34,698,True,28,337,False,199,2009,2024
19-09-2016,718,False,32,700,True,26,342,False,189,2009,2024
12-09-2016,763,False,27,755,True,20,371,False,171,2009,2024
29-08-2016,770,False,27,740,True,20,355,False,179,2009,2024
22-08-2016,757,False,29,727,True,20,329,False,197,2009,2024
15-08-2016,742,False,30,710,True,20,328,False,197,2009,2024
08-08-2016,737,False,30,697,True,20,325,False,197,2009,2024
01-08-2016,735,False,30,682,True,20,325,False,197,2009,2024
25-07-2016,735,False,30,668,True,20,328,False,197,2009,2024
18-07-2016,747,False,29,669,True,19,335,False,191,2009,2024
11-07-2016,751,False,28,672,True,18,360,False,173,2009,2024
27-06-2016,778,False,26,670,True,16,353,False,179,2009,2024
20-06-2016,774,False,27,658,True,16,380,False,161,2009,2024
13-06-2016,780,False,27,651,True,16,384,False,161,2009,2024
06-06-2016,782,False,27,637,True,16,395,False,155,2009,2024
23-05-2016,757,False,29,612,True,16,382,False,165,2009,2024
16-05-2016,747,False,30,598,True,16,413,False,147,2009,2024
09-05-2016,614,False,48,582,True,16,415,False,147,2009,2024
02-05-2016,634,False,46,601,True,14,420,False,147,2009,2024
25-04-2016,627,False,48,589,True,14,460,False,129,2009,2024
18-04-2016,604,False,51,580,True,14,467,False,129,2009,2024
11-04-2016,604,False,51,562,True,14,469,False,129,2009,2024
04-04-2016,608,False,51,549,True,14,470,False,129,2009,2024
21-03-2016,605,False,52,529,True,13,518,False,108,2009,2024
07-03-2016,597,False,52,495,True,12,544,False,102,2009,2024
29-02-2016,597,False,52,483,True,12,547,False,102,2009,2024
22-02-2016,602,False,52,464,True,12,550,False,102,2009,2024
15-02-2016,602,False,52,442,True,12,552,False,102,2009,2024
08-02-2016,603,False,52,428,True,12,549,False,102,2009,2024
01-02-2016,603,False,52,392,True,12,552,False,102,2009,2024
18-01-2016,607,False,52,317,True,12,550,False,102,2009,2024
11-01-2016,643,False,47,394,True,7,554,False,102,2009,2024
04-01-2016,643,False,47,332,True,7,555,False,102,2009,2024
28-12-2015,643,False,47,341,True,7,555,False,102,2009,2024
21-12-2015,644,False,47,321,True,7,628,False,84,2009,2024
14-12-2015,646,False,46,318,True,6,628,False,84,2009,2024
07-12-2015,681,False,40,0,False,0,724,False,66,2009,2024
30-11-2015,680,False,40,0,False,0,723,False,66,2009,2024
23-11-2015,616,False,50,0,False,0,720,False,66,2009,2024
16-11-2015,611,False,50,0,False,0,723,False,66,2009,2024
09-11-2015,606,False,50,602,True,50,727,False,66,2009,2024
02-11-2015,608,False,50,594,True,50,727,False,66,2009,2024
26-10-2015,614,False,50,587,True,50,719,False,66,2009,2024
19-10-2015,608,False,51,582,True,50,717,False,66,2009,2024
12-10-2015,609,False,49,593,True,47,719,False,66,2009,2024
05-10-2015,621,False,47,602,True,45,813,False,48,2009,2024
28-09-2015,621,False,46,591,True,44,811,False,48,2009,2024
21-09-2015,620,False,46,581,True,44,809,False,48,2009,2024
14-09-2015,620,False,46,585,True,43,806,False,48,2009,2024
31-08-2015,627,False,46,558,True,43,901,False,40,2009,2024
24-08-2015,632,False,44,562,True,41,1110,True,22,2009,2024
17-08-2015,641,False,43,553,True,40,1103,True,22,2009,2024
10-08-2015,642,False,43,542,True,40,1099,True,22,2009,2024
03-08-2015,634,False,44,535,True,40,1093,True,22,2009,2024
27-07-2015,634,False,44,529,True,40,1088,False,22,2009,2024
20-07-2015,632,False,44,524,True,40,1095,True,22,2009,2024
13-07-2015,634,False,44,515,True,40,1096,True,22,2009,2024
29-06-2015,628,False,45,478,True,40,1269,False,16,2009,2024
22-06-2015,627,False,44,474,True,39,1257,True,16,2009,2024
15-06-2015,635,False,44,462,True,39,1246,True,16,2009,2024
08-06-2015,632,False,44,446,True,39,1235,False,16,2009,2024
25-05-2015,637,False,42,425,True,37,1819,True,6,2009,2024
18-05-2015,640,False,41,420,True,36,1804,True,6,2009,2024
11-05-2015,806,False,23,559,True,18,1793,True,6,2009,2024
04-05-2015,802,False,23,538,True,18,1789,True,6,2009,2024
27-04-2015,816,False,21,538,True,16,1784,True,6,2009,2024
20-04-2015,862,False,18,567,True,13,1781,True,6,2009,2024
13-04-2015,865,False,18,548,True,13,1782,True,6,2009,2024
06-04-2015,865,False,18,530,True,13,1787,True,6,2009,2024
23-03-2015,920,False,15,549,True,10,0,False,0,2009,2024
09-03-2015,927,False,15,500,True,10,0,False,0,2009,2024
02-03-2015,922,False,15,478,True,10,0,False,0,2009,2024
23-02-2015,923,False,15,450,True,10,0,False,0,2009,2024
16-02-2015,924,False,15,424,True,10,0,False,0,2009,2024
09-02-2015,923,False,15,396,True,10,0,False,0,2009,2024
02-02-2015,926,False,15,357,True,10,0,False,0,2009,2024
19-01-2015,919,False,15,252,True,10,0,False,0,2009,2024
12-01-2015,919,False,15,221,True,10,0,False,0,2009,2024
05-01-2015,919,False,15,161,True,10,0,False,0,2009,2024
29-12-2014,920,False,15,168,True,10,0,False,0,2009,2024
22-12-2014,916,False,15,155,True,10,0,False,0,2009,2024
15-12-2014,913,False,15,127,True,10,0,False,0,2009,2024
08-12-2014,911,False,15,105,True,10,0,False,0,2009,2024
01-12-2014,907,False,15,82,True,10,0,False,0,2009,2024
24-11-2014,1280,True,5,0,False,0,0,False,0,2009,2024
17-11-2014,1273,False,5,1271,True,5,0,False,0,2009,2024
10-11-2014,1269,False,5,1221,True,5,0,False,0,2009,2024
03-11-2014,1270,True,5,1217,True,5,0,False,0,2009,2024
27-10-2014,1280,True,5,1213,True,5,0,False,0,2009,2024
20-10-2014,1351,True,4,1273,True,4,0,False,0,2009,2024
13-10-2014,1501,True,3,1338,True,3,0,False,0,2009,2024
06-10-2014,1372,True,4,1332,True,3,0,False,0,2009,2024
29-09-2014,1378,True,4,1325,True,3,0,False,0,2009,2024
22-09-2014,1236,True,6,1314,True,3,0,False,0,2009,2024
15-09-2014,1301,True,5,1432,True,2,0,False,0,2009,2024
08-09-2014,1298,True,5,1415,True,2,0,False,0,2009,2024
25-08-2014,1239,False,6,1360,True,2,0,False,0,2009,2024
18-08-2014,1240,False,6,1337,True,2,0,False,0,2009,2024
11-08-2014,1242,True,6,1328,True,2,0,False,0,2009,2024
04-08-2014,1297,True,5,1492,True,1,0,False,0,2009,2024
28-07-2014,1294,False,5,1462,True,1,0,False,0,2009,2024
21-07-2014,1299,True,5,1425,True,1,0,False,0,2009,2024
14-07-2014,1295,True,5,1408,True,1,0,False,0,2009,2024
07-07-2014,1288,False,5,1377,True,1,0,False,0,2009,2024
23-06-2014,1360,True,4,0,False,0,0,False,0,2009,2024
