rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,89,False,662,94,False,343,425,False,135,2013,2024
27-05-2024,83,False,702,99,False,286,428,False,135,2013,2024
20-05-2024,83,False,702,98,False,286,431,False,135,2013,2024
06-05-2024,78,False,733,89,True,276,430,False,135,2013,2024
22-04-2024,61,False,871,104,False,226,431,False,135,2013,2024
15-04-2024,66,False,856,107,True,201,430,False,135,2013,2024
08-04-2024,52,False,955,109,True,175,426,False,135,2013,2024
01-04-2024,54,False,955,97,False,175,424,False,135,2013,2024
18-03-2024,54,False,951,104,False,145,419,False,135,2013,2024
04-03-2024,53,False,961,96,False,135,426,False,135,2013,2024
26-02-2024,57,False,921,138,True,85,422,False,135,2013,2024
19-02-2024,55,False,936,122,True,85,421,False,135,2013,2024
12-02-2024,53,False,936,109,True,85,422,False,135,2013,2024
05-02-2024,52,False,946,89,False,85,419,False,135,2013,2024
29-01-2024,52,False,946,82,False,85,424,False,135,2013,2024
15-01-2024,50,False,946,47,True,75,885,True,45,2013,2024
08-01-2024,57,False,906,137,True,25,882,True,45,2013,2024
01-01-2024,56,False,891,0,False,0,881,True,45,2013,2024
25-12-2023,56,False,891,0,False,0,880,True,45,2013,2024
18-12-2023,56,False,891,0,False,0,879,True,45,2013,2024
11-12-2023,56,False,891,0,False,0,878,True,45,2013,2024
04-12-2023,56,False,891,0,False,0,870,True,45,2013,2024
27-11-2023,56,False,891,0,False,0,858,True,45,2013,2024
20-11-2023,57,False,891,0,False,0,854,True,45,2013,2024
13-11-2023,58,False,891,58,False,891,850,True,45,2013,2024
06-11-2023,54,False,911,56,False,891,855,True,45,2013,2024
30-10-2023,54,False,901,58,False,821,851,True,45,2013,2024
23-10-2023,47,False,961,58,False,821,851,True,45,2013,2024
16-10-2023,48,False,961,55,False,821,850,True,45,2013,2024
02-10-2023,47,False,971,53,False,811,852,True,45,2013,2024
25-09-2023,49,False,971,53,False,811,855,True,45,2013,2024
18-09-2023,49,False,971,49,False,811,857,True,45,2013,2024
11-09-2023,49,False,971,49,False,811,867,True,45,2013,2024
28-08-2023,53,False,936,51,False,766,876,True,45,2013,2024
21-08-2023,53,False,936,51,False,766,877,True,45,2013,2024
14-08-2023,52,False,920,49,False,740,869,True,45,2013,2024
07-08-2023,52,False,926,48,False,720,873,True,45,2013,2024
31-07-2023,51,False,916,46,False,720,866,False,45,2013,2024
24-07-2023,61,False,833,50,False,640,862,False,45,2013,2024
17-07-2023,64,False,813,49,False,620,401,False,135,2013,2024
03-07-2023,66,False,778,52,False,585,409,False,135,2013,2024
26-06-2023,65,False,778,48,False,585,398,False,135,2013,2024
19-06-2023,60,False,813,48,False,575,397,False,135,2013,2024
12-06-2023,59,False,813,46,False,575,557,False,90,2013,2024
29-05-2023,79,False,733,51,False,485,560,True,90,2013,2024
