rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,19,False,2030,17,False,1320,433,False,135,2016,2024
27-05-2024,20,False,1990,16,False,1270,436,False,135,2016,2024
20-05-2024,20,False,1985,16,False,1220,441,False,135,2016,2024
06-05-2024,19,False,1960,15,False,1120,888,True,45,2016,2024
22-04-2024,19,False,1955,14,False,1070,885,False,45,2016,2024
15-04-2024,19,False,1955,13,False,1070,886,True,45,2016,2024
08-04-2024,19,False,1955,10,False,1060,891,True,45,2016,2024
01-04-2024,19,False,1980,8,False,1060,895,False,45,2016,2024
18-03-2024,19,False,1990,7,False,1050,890,False,45,2016,2024
04-03-2024,19,False,1985,6,False,1000,891,False,45,2016,2024
26-02-2024,21,False,1825,7,False,750,890,True,45,2016,2024
19-02-2024,30,False,1415,37,False,250,894,False,45,2016,2024
12-02-2024,30,False,1375,42,False,200,0,False,0,2016,2024
05-02-2024,26,False,1525,71,True,100,0,False,0,2016,2024
29-01-2024,25,False,1525,63,True,100,0,False,0,2016,2024
15-01-2024,29,False,1435,0,False,0,0,False,0,2016,2024
08-01-2024,26,False,1435,0,False,0,896,False,45,2016,2024
01-01-2024,28,False,1435,0,False,0,896,False,45,2016,2024
25-12-2023,28,False,1435,0,False,0,895,False,45,2016,2024
18-12-2023,28,False,1435,0,False,0,893,False,45,2016,2024
11-12-2023,28,False,1435,0,False,0,891,False,45,2016,2024
04-12-2023,28,False,1435,0,False,0,881,False,45,2016,2024
27-11-2023,28,False,1435,0,False,0,874,False,45,2016,2024
20-11-2023,28,False,1435,0,False,0,868,False,45,2016,2024
13-11-2023,28,False,1435,28,False,1435,863,False,45,2016,2024
06-11-2023,29,False,1435,28,False,1435,868,False,45,2016,2024
30-10-2023,29,False,1435,28,False,1425,863,False,45,2016,2024
23-10-2023,29,False,1400,27,False,1390,864,False,45,2016,2024
16-10-2023,28,False,1410,27,False,1390,863,False,45,2016,2024
02-10-2023,29,False,1375,26,False,1345,863,False,45,2016,2024
25-09-2023,27,False,1375,25,False,1345,864,False,45,2016,2024
18-09-2023,28,False,1375,25,False,1345,865,False,45,2016,2024
11-09-2023,28,False,1375,25,False,1345,876,False,45,2016,2024
28-08-2023,32,False,1295,25,False,1255,884,False,45,2016,2024
21-08-2023,42,False,1055,32,False,1015,887,False,45,2016,2024
14-08-2023,42,False,1055,30,False,1005,878,False,45,2016,2024
07-08-2023,42,False,1055,28,False,995,881,False,45,2016,2024
31-07-2023,72,False,815,41,False,755,875,False,45,2016,2024
24-07-2023,64,False,815,38,False,755,870,False,45,2016,2024
17-07-2023,63,False,815,35,False,755,859,False,45,2016,2024
03-07-2023,46,False,955,34,False,745,863,False,45,2016,2024
26-06-2023,44,False,945,32,False,735,854,False,45,2016,2024
19-06-2023,43,False,955,28,False,735,855,False,45,2016,2024
12-06-2023,43,False,955,27,False,735,853,False,45,2016,2024
29-05-2023,42,False,990,23,False,725,861,False,45,2016,2024
22-05-2023,44,False,955,23,False,680,850,False,45,2016,2024
08-05-2023,40,False,985,27,False,595,855,False,45,2016,2024
24-04-2023,31,False,1190,26,False,550,860,False,45,2016,2024
17-04-2023,30,False,1190,20,False,550,858,False,45,2016,2024
10-04-2023,32,False,1215,19,False,540,854,False,45,2016,2024
03-04-2023,32,False,1170,21,False,495,858,False,45,2016,2024
20-03-2023,33,False,1170,21,False,485,856,False,45,2016,2024
06-03-2023,35,False,1135,20,False,440,846,False,45,2016,2024
27-02-2023,35,False,1045,22,False,350,842,False,45,2016,2024
20-02-2023,35,False,1105,32,False,260,837,False,45,2016,2024
13-02-2023,36,False,1125,24,True,260,837,False,45,2016,2024
06-02-2023,47,False,895,493,True,10,835,False,45,2016,2024
30-01-2023,47,False,940,453,True,10,828,False,45,2016,2024
16-01-2023,44,False,975,0,False,0,826,False,45,2016,2024
09-01-2023,41,False,987,0,False,0,0,False,0,2016,2024
02-01-2023,43,False,987,0,False,0,0,False,0,2016,2024
26-12-2022,43,False,987,0,False,0,0,False,0,2016,2024
19-12-2022,43,False,987,0,False,0,0,False,0,2016,2024
12-12-2022,43,False,987,0,False,0,0,False,0,2016,2024
05-12-2022,43,False,987,0,False,0,0,False,0,2016,2024
28-11-2022,43,False,987,0,False,0,0,False,0,2016,2024
21-11-2022,43,False,987,0,False,0,0,False,0,2016,2024
14-11-2022,40,False,1047,0,False,0,0,False,0,2016,2024
07-11-2022,40,False,1047,40,False,1047,0,False,0,2016,2024
31-10-2022,40,False,1057,40,False,1037,0,False,0,2016,2024
24-10-2022,39,False,1057,40,False,1037,0,False,0,2016,2024
17-10-2022,37,False,1117,38,False,1037,0,False,0,2016,2024
10-10-2022,35,False,1205,37,False,1037,1296,True,15,2016,2024
03-10-2022,35,False,1205,37,False,1037,1278,True,15,2016,2024
26-09-2022,36,False,1205,37,False,1037,1278,True,15,2016,2024
19-09-2022,37,False,1205,36,False,1037,1261,True,15,2016,2024
12-09-2022,37,False,1205,36,False,1037,1249,True,15,2016,2024
29-08-2022,37,False,1243,35,False,1027,1239,False,15,2016,2024
22-08-2022,37,False,1243,34,False,1027,1233,True,15,2016,2024
15-08-2022,35,False,1253,33,False,1017,1211,False,15,2016,2024
08-08-2022,32,False,1263,31,False,1007,1202,False,15,2016,2024
01-08-2022,31,False,1263,29,False,1007,1215,True,15,2016,2024
25-07-2022,32,False,1263,30,False,987,1182,False,16,2016,2024
18-07-2022,32,False,1263,29,False,987,1164,False,17,2016,2024
11-07-2022,34,False,1168,30,False,857,1180,False,17,2016,2024
27-06-2022,35,False,1168,30,False,837,1127,False,19,2016,2024
20-06-2022,36,False,1168,29,False,837,1118,False,19,2016,2024
13-06-2022,34,False,1168,27,False,837,1120,False,19,2016,2024
06-06-2022,36,False,1203,27,False,837,1074,False,22,2016,2024
23-05-2022,36,False,1178,25,False,792,1059,False,22,2016,2024
16-05-2022,38,False,1149,26,False,767,1055,False,22,2016,2024
09-05-2022,37,False,1163,25,False,697,1056,False,22,2016,2024
02-05-2022,40,False,1163,25,False,677,1043,False,23,2016,2024
25-04-2022,59,False,921,40,False,447,1041,False,23,2016,2024
18-04-2022,60,False,921,39,False,447,1047,False,23,2016,2024
11-04-2022,66,False,893,47,False,338,1045,False,23,2016,2024
04-04-2022,66,False,893,43,False,338,1026,False,24,2016,2024
21-03-2022,66,False,889,38,False,328,992,False,26,2016,2024
07-03-2022,60,False,965,33,False,318,995,False,28,2016,2024
28-02-2022,62,False,965,33,False,318,989,False,28,2016,2024
21-02-2022,78,False,821,55,False,168,994,False,28,2016,2024
14-02-2022,72,False,881,45,False,148,969,False,30,2016,2024
07-02-2022,74,False,866,48,False,128,914,False,34,2016,2024
31-01-2022,77,False,831,58,False,83,912,False,34,2016,2024
17-01-2022,88,False,791,64,False,38,880,False,36,2016,2024
10-01-2022,95,False,764,111,True,6,881,False,36,2016,2024
03-01-2022,99,False,762,0,False,0,886,False,36,2016,2024
27-12-2021,99,False,762,68,False,736,885,False,36,2016,2024
20-12-2021,99,False,762,68,False,736,883,False,36,2016,2024
13-12-2021,99,False,762,68,False,736,886,False,36,2016,2024
06-12-2021,99,False,762,68,False,736,885,False,36,2016,2024
29-11-2021,98,False,769,68,False,736,883,False,36,2016,2024
22-11-2021,97,False,769,67,False,736,885,False,36,2016,2024
15-11-2021,111,False,704,72,False,656,891,False,36,2016,2024
08-11-2021,111,False,704,72,False,656,889,False,36,2016,2024
01-11-2021,111,False,706,70,False,656,897,False,36,2016,2024
25-10-2021,112,False,706,69,False,656,896,False,36,2016,2024
18-10-2021,124,False,631,84,False,576,904,False,36,2016,2024
04-10-2021,140,False,531,97,False,448,961,False,33,2016,2024
27-09-2021,144,False,531,96,False,448,960,False,33,2016,2024
20-09-2021,143,False,538,92,False,448,650,False,68,2016,2024
13-09-2021,147,False,538,90,False,448,653,False,68,2016,2024
30-08-2021,155,False,484,95,False,384,643,False,70,2016,2024
23-08-2021,155,False,484,95,False,384,645,False,70,2016,2024
