rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,160,False,382,260,False,102,327,False,195,2018,2024
27-05-2024,173,False,349,357,False,62,326,False,195,2018,2024
20-05-2024,173,False,349,350,False,62,326,False,195,2018,2024
06-05-2024,176,False,343,336,False,56,326,False,195,2018,2024
22-04-2024,181,False,340,405,False,38,351,False,179,2018,2024
15-04-2024,180,False,340,385,False,38,373,False,163,2018,2024
08-04-2024,180,False,340,370,False,38,372,False,163,2018,2024
01-04-2024,178,False,340,349,False,38,373,False,163,2018,2024
18-03-2024,179,False,340,316,False,38,376,False,163,2018,2024
04-03-2024,184,False,335,337,False,30,489,False,113,2018,2024
26-02-2024,183,False,335,316,False,30,484,False,113,2018,2024
19-02-2024,190,False,319,444,False,14,484,False,113,2018,2024
12-02-2024,193,False,313,557,True,8,542,False,97,2018,2024
05-02-2024,200,False,313,535,True,8,539,False,97,2018,2024
29-01-2024,198,False,313,489,True,8,549,True,97,2018,2024
15-01-2024,179,False,340,0,False,0,546,True,97,2018,2024
08-01-2024,180,False,340,0,False,0,544,True,97,2018,2024
01-01-2024,177,False,346,0,False,0,544,False,97,2018,2024
25-12-2023,177,False,346,0,False,0,544,False,97,2018,2024
18-12-2023,178,False,346,0,False,0,545,False,97,2018,2024
11-12-2023,178,False,346,0,False,0,548,False,97,2018,2024
04-12-2023,179,False,346,0,False,0,544,False,97,2018,2024
27-11-2023,179,False,346,0,False,0,544,False,97,2018,2024
20-11-2023,180,False,346,0,False,0,540,False,97,2018,2024
13-11-2023,176,False,354,173,False,362,538,False,97,2018,2024
06-11-2023,172,False,354,171,False,354,542,False,97,2018,2024
30-10-2023,175,False,354,170,False,354,543,False,97,2018,2024
23-10-2023,176,False,354,170,False,354,543,False,97,2018,2024
16-10-2023,152,False,409,182,False,329,541,False,97,2018,2024
02-10-2023,144,False,430,225,False,245,1379,True,16,2018,2024
25-09-2023,144,False,427,224,False,240,1372,True,16,2018,2024
18-09-2023,146,False,427,217,False,240,1367,True,16,2018,2024
11-09-2023,143,False,423,229,False,220,1354,True,16,2018,2024
28-08-2023,182,False,332,319,False,129,1355,True,16,2018,2024
21-08-2023,184,False,332,313,False,129,1353,True,16,2018,2024
14-08-2023,198,False,316,329,False,113,0,False,0,2018,2024
07-08-2023,194,False,316,324,False,113,0,False,0,2018,2024
31-07-2023,176,False,336,312,False,113,1337,True,16,2018,2024
24-07-2023,175,False,336,305,False,113,1327,True,16,2018,2024
17-07-2023,173,False,338,309,False,106,1316,True,16,2018,2024
03-07-2023,160,False,358,321,False,90,1305,True,16,2018,2024
26-06-2023,160,False,358,317,False,90,1281,True,16,2018,2024
19-06-2023,159,False,358,344,False,74,1207,False,19,2018,2024
12-06-2023,164,False,358,334,False,74,1203,False,19,2018,2024
29-05-2023,167,False,354,336,False,67,949,False,35,2018,2024
22-05-2023,167,False,354,328,False,67,942,False,35,2018,2024
08-05-2023,165,False,357,315,False,67,874,False,43,2018,2024
24-04-2023,165,False,365,333,False,52,735,False,58,2018,2024
17-04-2023,151,False,380,324,False,52,732,False,58,2018,2024
10-04-2023,151,False,380,317,False,52,734,False,58,2018,2024
03-04-2023,154,False,380,304,False,52,736,False,58,2018,2024
20-03-2023,148,False,395,274,False,52,730,False,60,2018,2024
06-03-2023,150,False,392,253,False,49,653,False,70,2018,2024
27-02-2023,150,False,392,235,False,49,579,False,85,2018,2024
20-02-2023,149,False,392,211,False,49,573,False,85,2018,2024
13-02-2023,149,False,392,189,False,49,571,False,85,2018,2024
06-02-2023,147,False,394,164,False,49,568,False,87,2018,2024
30-01-2023,142,False,407,148,False,49,554,False,89,2018,2024
16-01-2023,152,False,374,313,False,14,562,False,89,2018,2024
09-01-2023,153,False,374,282,False,14,564,False,89,2018,2024
02-01-2023,153,False,370,295,True,8,521,False,98,2018,2024
26-12-2022,153,False,370,292,True,8,521,False,98,2018,2024
19-12-2022,153,False,370,288,True,8,521,False,98,2018,2024
12-12-2022,153,False,370,281,True,8,522,False,98,2018,2024
05-12-2022,154,False,370,266,True,8,526,False,98,2018,2024
28-11-2022,156,False,370,234,True,8,530,False,98,2018,2024
21-11-2022,155,False,370,150,True,8,531,False,98,2018,2024
14-11-2022,157,False,362,0,False,0,527,False,98,2018,2024
07-11-2022,156,False,362,156,False,362,522,False,98,2018,2024
31-10-2022,155,False,366,153,False,362,482,False,108,2018,2024
24-10-2022,156,False,367,148,False,362,477,False,108,2018,2024
17-10-2022,186,False,289,181,False,282,474,False,108,2018,2024
10-10-2022,275,False,184,265,False,177,471,False,108,2018,2024
03-10-2022,265,False,184,259,False,177,461,False,108,2018,2024
26-09-2022,272,False,182,256,False,175,465,False,108,2018,2024
19-09-2022,269,False,183,247,False,175,461,False,110,2018,2024
12-09-2022,290,False,169,265,False,159,438,False,120,2018,2024
29-08-2022,291,False,169,255,False,159,418,False,126,2018,2024
22-08-2022,285,False,169,245,False,159,414,False,126,2018,2024
15-08-2022,281,False,169,241,False,159,415,False,126,2018,2024
08-08-2022,270,False,179,237,False,159,407,False,130,2018,2024
01-08-2022,301,False,159,256,False,139,431,False,118,2018,2024
25-07-2022,296,False,163,244,False,139,424,False,122,2018,2024
18-07-2022,307,False,155,251,False,130,424,False,124,2018,2024
11-07-2022,323,False,145,264,False,119,425,False,124,2018,2024
27-06-2022,357,False,120,301,False,94,435,False,124,2018,2024
20-06-2022,395,False,104,331,False,78,440,False,122,2018,2024
13-06-2022,403,False,104,323,False,78,442,False,123,2018,2024
06-06-2022,412,False,101,322,False,75,490,False,109,2018,2024
23-05-2022,406,False,101,293,False,75,478,False,109,2018,2024
16-05-2022,411,False,98,291,False,72,495,False,102,2018,2024
09-05-2022,411,False,98,273,False,72,493,False,102,2018,2024
02-05-2022,450,False,84,318,False,57,538,False,87,2018,2024
25-04-2022,470,False,76,335,False,49,544,False,87,2018,2024
18-04-2022,519,False,61,397,False,34,540,False,87,2018,2024
11-04-2022,512,False,63,325,False,34,541,False,89,2018,2024
04-04-2022,488,False,69,303,False,34,539,False,89,2018,2024
21-03-2022,548,False,54,346,True,19,535,False,87,2018,2024
07-03-2022,555,False,54,294,False,19,587,False,77,2018,2024
28-02-2022,556,False,54,275,False,19,667,False,62,2018,2024
21-02-2022,567,False,54,251,False,19,671,False,62,2018,2024
14-02-2022,561,False,56,227,False,19,676,False,62,2018,2024
07-02-2022,572,False,54,213,False,17,686,False,60,2018,2024
31-01-2022,663,False,39,429,True,2,698,False,58,2018,2024
17-01-2022,682,False,37,0,False,0,704,False,58,2018,2024
10-01-2022,680,False,37,0,False,0,705,False,58,2018,2024
03-01-2022,681,False,37,0,False,0,758,False,49,2018,2024
27-12-2021,680,False,37,576,False,31,758,False,49,2018,2024
