rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,0,False,0,0,False,0,11,False,4675,2002,2024
27-05-2024,0,False,0,0,False,0,23,False,3565,2002,2024
20-05-2024,0,False,0,0,False,0,21,False,3655,2002,2024
06-05-2024,0,False,0,0,False,0,28,False,3385,2002,2024
22-04-2024,0,False,0,0,False,0,24,False,3385,2002,2024
15-04-2024,0,False,0,0,False,0,26,False,3385,2002,2024
08-04-2024,0,False,0,0,False,0,25,False,3205,2002,2024
01-04-2024,0,False,0,0,False,0,26,False,3205,2002,2024
18-03-2024,0,False,0,0,False,0,27,False,3205,2002,2024
04-03-2024,0,False,0,0,False,0,26,False,3025,2002,2024
26-02-2024,0,False,0,0,False,0,28,False,3025,2002,2024
19-02-2024,0,False,0,0,False,0,28,False,2845,2002,2024
12-02-2024,0,False,0,0,False,0,28,False,2845,2002,2024
05-02-2024,0,False,0,0,False,0,28,False,2845,2002,2024
29-01-2024,0,False,0,0,False,0,28,False,2845,2002,2024
15-01-2024,0,False,0,0,False,0,56,False,1645,2002,2024
08-01-2024,0,False,0,0,False,0,55,False,1645,2002,2024
01-01-2024,0,False,0,0,False,0,55,False,1645,2002,2024
25-12-2023,0,False,0,0,False,0,55,False,1645,2002,2024
18-12-2023,0,False,0,0,False,0,55,False,1645,2002,2024
11-12-2023,0,False,0,0,False,0,55,False,1645,2002,2024
04-12-2023,0,False,0,0,False,0,55,False,1645,2002,2024
27-11-2023,0,False,0,0,False,0,55,False,1645,2002,2024
20-11-2023,0,False,0,0,False,0,55,False,1645,2002,2024
13-11-2023,0,False,0,0,False,0,55,False,1645,2002,2024
06-11-2023,0,False,0,0,False,0,55,False,1600,2002,2024
30-10-2023,0,False,0,0,False,0,50,False,1690,2002,2024
23-10-2023,0,False,0,0,False,0,50,False,1690,2002,2024
16-10-2023,0,False,0,0,False,0,49,False,1690,2002,2024
02-10-2023,0,False,0,0,False,0,47,False,1825,2002,2024
25-09-2023,0,False,0,0,False,0,45,False,1915,2002,2024
18-09-2023,0,False,0,0,False,0,43,False,1915,2002,2024
11-09-2023,0,False,0,0,False,0,43,False,1915,2002,2024
28-08-2023,0,False,0,0,False,0,43,False,2095,2002,2024
21-08-2023,0,False,0,0,False,0,43,False,2140,2002,2024
14-08-2023,0,False,0,0,False,0,43,False,2095,2002,2024
07-08-2023,0,False,0,0,False,0,43,False,2140,2002,2024
31-07-2023,0,False,0,0,False,0,43,False,2140,2002,2024
24-07-2023,0,False,0,0,False,0,41,False,2240,2002,2024
17-07-2023,0,False,0,0,False,0,42,False,2195,2002,2024
03-07-2023,0,False,0,0,False,0,42,False,2255,2002,2024
26-06-2023,0,False,0,0,False,0,41,False,2255,2002,2024
19-06-2023,0,False,0,0,False,0,42,False,1955,2002,2024
12-06-2023,0,False,0,0,False,0,42,False,1955,2002,2024
29-05-2023,0,False,0,0,False,0,45,False,1865,2002,2024
22-05-2023,0,False,0,0,False,0,46,False,1775,2002,2024
08-05-2023,0,False,0,0,False,0,43,False,2045,2002,2024
24-04-2023,0,False,0,0,False,0,40,False,2045,2002,2024
17-04-2023,0,False,0,0,False,0,37,False,2090,2002,2024
10-04-2023,0,False,0,0,False,0,39,False,2090,2002,2024
03-04-2023,0,False,0,0,False,0,39,False,2090,2002,2024
20-03-2023,0,False,0,0,False,0,30,False,2450,2002,2024
06-03-2023,0,False,0,0,False,0,34,False,2270,2002,2024
27-02-2023,0,False,0,0,False,0,34,False,2270,2002,2024
