rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,85,False,680,65,False,438,0,False,0,2004,2024
27-05-2024,81,False,715,59,False,428,0,False,0,2004,2024
20-05-2024,80,False,715,57,False,428,0,False,0,2004,2024
06-05-2024,85,False,703,56,False,403,0,False,0,2004,2024
22-04-2024,86,False,708,59,False,363,0,False,0,2004,2024
15-04-2024,84,False,703,68,False,313,0,False,0,2004,2024
08-04-2024,90,False,668,84,False,233,0,False,0,2004,2024
01-04-2024,93,False,654,83,False,208,0,False,0,2004,2024
18-03-2024,100,False,614,100,False,158,0,False,0,2004,2024
04-03-2024,98,False,614,86,False,158,0,False,0,2004,2024
26-02-2024,98,False,611,85,False,145,0,False,0,2004,2024
19-02-2024,97,False,621,72,False,145,0,False,0,2004,2024
12-02-2024,100,False,621,63,False,145,0,False,0,2004,2024
05-02-2024,102,False,606,60,False,120,0,False,0,2004,2024
29-01-2024,101,False,606,52,False,120,0,False,0,2004,2024
15-01-2024,72,False,776,22,False,110,0,False,0,2004,2024
08-01-2024,51,False,916,13,False,110,0,False,0,2004,2024
01-01-2024,57,False,886,18,True,60,0,False,0,2004,2024
25-12-2023,57,False,886,19,False,60,0,False,0,2004,2024
18-12-2023,57,False,886,19,False,60,0,False,0,2004,2024
11-12-2023,57,False,886,19,False,60,0,False,0,2004,2024
04-12-2023,57,False,886,19,False,60,0,False,0,2004,2024
27-11-2023,57,False,886,11,False,60,0,False,0,2004,2024
20-11-2023,62,False,836,0,False,0,0,False,0,2004,2024
13-11-2023,62,False,836,63,False,836,0,False,0,2004,2024
06-11-2023,60,False,826,60,False,826,0,False,0,2004,2024
30-10-2023,66,False,791,64,False,781,0,False,0,2004,2024
23-10-2023,48,False,961,61,False,781,0,False,0,2004,2024
16-10-2023,49,False,961,60,False,781,0,False,0,2004,2024
02-10-2023,40,False,1050,58,False,770,0,False,0,2004,2024
25-09-2023,42,False,1050,57,False,770,0,False,0,2004,2024
18-09-2023,42,False,1050,55,False,770,0,False,0,2004,2024
11-09-2023,42,False,1050,55,False,770,0,False,0,2004,2024
28-08-2023,42,False,1060,50,False,770,0,False,0,2004,2024
