rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,318,False,166,295,False,87,778,False,55,2006,2024
27-05-2024,307,False,174,274,False,87,786,False,55,2006,2024
20-05-2024,308,False,174,259,False,87,782,False,55,2006,2024
06-05-2024,324,False,160,275,False,73,778,False,55,2006,2024
22-04-2024,329,False,157,301,False,59,774,True,55,2006,2024
15-04-2024,371,False,135,392,False,37,1152,True,25,2006,2024
08-04-2024,367,False,135,376,False,37,0,False,0,2006,2024
01-04-2024,364,False,135,357,False,37,0,False,0,2006,2024
18-03-2024,258,False,219,319,False,37,0,False,0,2006,2024
04-03-2024,254,False,227,341,False,29,0,False,0,2006,2024
26-02-2024,247,False,238,321,False,29,0,False,0,2006,2024
19-02-2024,251,False,235,320,False,26,0,False,0,2006,2024
12-02-2024,258,False,229,348,False,20,0,False,0,2006,2024
05-02-2024,248,False,238,321,False,20,0,False,0,2006,2024
29-01-2024,248,False,238,298,False,20,0,False,0,2006,2024
15-01-2024,255,False,229,0,False,0,0,False,0,2006,2024
08-01-2024,237,False,259,0,False,0,0,False,0,2006,2024
01-01-2024,238,False,263,0,False,0,0,False,0,2006,2024
25-12-2023,238,False,263,0,False,0,0,False,0,2006,2024
18-12-2023,238,False,263,0,False,0,0,False,0,2006,2024
11-12-2023,238,False,263,0,False,0,0,False,0,2006,2024
04-12-2023,237,False,263,0,False,0,0,False,0,2006,2024
27-11-2023,234,False,263,0,False,0,0,False,0,2006,2024
20-11-2023,234,False,263,0,False,0,0,False,0,2006,2024
13-11-2023,232,False,263,236,False,263,0,False,0,2006,2024
06-11-2023,233,False,263,230,False,263,0,False,0,2006,2024
30-10-2023,230,False,263,228,False,263,0,False,0,2006,2024
23-10-2023,234,False,263,226,False,263,0,False,0,2006,2024
16-10-2023,231,False,270,221,False,263,1345,True,16,2006,2024
02-10-2023,234,False,270,210,False,263,1335,True,16,2006,2024
25-09-2023,231,False,270,206,False,263,1327,True,16,2006,2024
18-09-2023,231,False,270,200,False,263,1327,True,16,2006,2024
11-09-2023,231,False,270,196,False,263,1317,True,16,2006,2024
28-08-2023,254,False,240,210,False,229,1318,True,16,2006,2024
21-08-2023,257,False,236,209,False,229,1317,True,16,2006,2024
14-08-2023,239,False,261,204,False,229,1321,True,16,2006,2024
07-08-2023,238,False,261,203,False,225,1313,True,16,2006,2024
31-07-2023,198,False,306,193,False,225,1315,True,16,2006,2024
24-07-2023,199,False,297,192,False,220,1309,True,16,2006,2024
17-07-2023,194,False,300,188,False,213,1299,True,16,2006,2024
03-07-2023,204,False,283,182,False,196,1288,True,16,2006,2024
26-06-2023,203,False,283,180,False,196,1263,True,16,2006,2024
19-06-2023,204,False,283,175,False,196,1266,True,16,2006,2024
12-06-2023,212,False,271,180,False,184,1264,True,16,2006,2024
29-05-2023,217,False,273,170,False,176,1280,True,16,2006,2024
22-05-2023,216,False,273,165,False,176,1267,True,16,2006,2024
08-05-2023,216,False,273,153,False,176,1273,True,16,2006,2024
24-04-2023,217,False,262,145,False,165,1265,True,16,2006,2024
17-04-2023,218,False,262,132,False,165,1262,True,16,2006,2024
10-04-2023,217,False,262,123,False,165,1261,True,16,2006,2024
03-04-2023,216,False,262,113,False,165,1262,True,16,2006,2024
20-03-2023,235,False,233,188,False,81,1263,True,16,2006,2024
06-03-2023,253,False,217,204,False,65,1260,True,16,2006,2024
27-02-2023,263,False,206,212,False,54,1250,True,16,2006,2024
20-02-2023,189,False,316,196,False,54,1251,True,16,2006,2024
13-02-2023,190,False,316,175,False,54,1254,True,16,2006,2024
06-02-2023,193,False,307,190,False,45,1262,True,16,2006,2024
30-01-2023,193,False,307,173,False,45,1253,True,16,2006,2024
16-01-2023,171,False,341,149,True,34,1255,True,16,2006,2024
09-01-2023,185,False,311,516,True,4,1256,True,16,2006,2024
02-01-2023,168,False,339,0,False,0,488,False,106,2006,2024
26-12-2022,168,False,339,0,False,0,488,False,106,2006,2024
19-12-2022,168,False,339,0,False,0,489,False,106,2006,2024
12-12-2022,169,False,339,0,False,0,491,False,106,2006,2024
05-12-2022,170,False,339,0,False,0,495,False,106,2006,2024
28-11-2022,171,False,339,0,False,0,500,False,106,2006,2024
21-11-2022,168,False,339,0,False,0,496,False,106,2006,2024
14-11-2022,170,False,339,0,False,0,490,False,106,2006,2024
07-11-2022,168,False,339,168,False,339,488,False,106,2006,2024
31-10-2022,167,False,339,164,False,339,489,False,106,2006,2024
24-10-2022,161,False,339,156,False,339,481,False,106,2006,2024
17-10-2022,131,False,428,152,False,332,546,True,90,2006,2024
