rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,122,False,522,74,False,422,0,False,0,2006,2024
27-05-2024,120,False,531,70,False,406,0,False,0,2006,2024
20-05-2024,119,False,531,65,False,406,0,False,0,2006,2024
06-05-2024,119,False,541,59,False,396,0,False,0,2006,2024
22-04-2024,136,False,460,73,False,315,0,False,0,2006,2024
15-04-2024,137,False,460,67,False,315,0,False,0,2006,2024
08-04-2024,136,False,467,56,False,315,0,False,0,2006,2024
01-04-2024,140,False,467,53,False,315,0,False,0,2006,2024
18-03-2024,130,False,492,42,False,315,0,False,0,2006,2024
04-03-2024,147,False,454,50,False,261,0,False,0,2006,2024
26-02-2024,148,False,447,43,False,254,0,False,0,2006,2024
19-02-2024,140,False,467,35,False,254,0,False,0,2006,2024
12-02-2024,138,False,473,26,False,254,0,False,0,2006,2024
05-02-2024,207,False,295,99,False,76,0,False,0,2006,2024
29-01-2024,208,False,295,89,False,76,0,False,0,2006,2024
15-01-2024,241,False,249,214,True,20,0,False,0,2006,2024
08-01-2024,240,False,255,176,True,20,0,False,0,2006,2024
01-01-2024,242,False,255,112,True,20,0,False,0,2006,2024
25-12-2023,242,False,255,107,True,20,0,False,0,2006,2024
18-12-2023,242,False,255,100,True,20,0,False,0,2006,2024
11-12-2023,243,False,255,97,True,20,0,False,0,2006,2024
04-12-2023,242,False,255,87,True,20,0,False,0,2006,2024
27-11-2023,242,False,255,55,True,20,0,False,0,2006,2024
20-11-2023,225,False,275,27,True,20,0,False,0,2006,2024
13-11-2023,205,False,305,178,False,355,0,False,0,2006,2024
06-11-2023,198,False,315,202,False,305,0,False,0,2006,2024
30-10-2023,199,False,315,196,False,309,0,False,0,2006,2024
23-10-2023,198,False,315,193,False,309,0,False,0,2006,2024
16-10-2023,163,False,379,195,False,299,0,False,0,2006,2024
02-10-2023,160,False,389,189,False,293,0,False,0,2006,2024
25-09-2023,159,False,398,187,False,293,0,False,0,2006,2024
18-09-2023,148,False,419,183,False,290,0,False,0,2006,2024
11-09-2023,144,False,419,178,False,290,0,False,0,2006,2024
28-08-2023,135,False,446,168,False,282,0,False,0,2006,2024
21-08-2023,136,False,446,167,False,282,0,False,0,2006,2024
14-08-2023,139,False,446,166,False,276,0,False,0,2006,2024
07-08-2023,139,False,446,163,False,269,0,False,0,2006,2024
31-07-2023,135,False,454,161,False,264,0,False,0,2006,2024
24-07-2023,133,False,487,158,False,258,0,False,0,2006,2024
17-07-2023,136,False,462,170,False,232,0,False,0,2006,2024
03-07-2023,126,False,496,163,False,221,0,False,0,2006,2024
26-06-2023,126,False,496,160,False,221,0,False,0,2006,2024
19-06-2023,119,False,519,154,False,221,0,False,0,2006,2024
12-06-2023,118,False,519,148,False,221,0,False,0,2006,2024
29-05-2023,124,False,511,157,False,196,0,False,0,2006,2024
22-05-2023,124,False,511,152,False,196,0,False,0,2006,2024
08-05-2023,123,False,505,152,False,176,0,False,0,2006,2024
24-04-2023,116,False,505,132,False,176,0,False,0,2006,2024
17-04-2023,117,False,505,122,False,176,0,False,0,2006,2024
10-04-2023,118,False,505,118,False,169,0,False,0,2006,2024
03-04-2023,113,False,505,109,False,169,0,False,0,2006,2024
20-03-2023,100,False,561,116,False,144,0,False,0,2006,2024
06-03-2023,96,False,570,108,False,128,0,False,0,2006,2024
27-02-2023,94,False,570,96,False,128,0,False,0,2006,2024
20-02-2023,87,False,595,99,False,108,830,True,45,2006,2024
13-02-2023,88,False,595,90,False,102,829,False,45,2006,2024
06-02-2023,88,False,595,70,False,102,827,False,45,2006,2024
30-01-2023,88,False,595,66,False,102,819,True,45,2006,2024
16-01-2023,91,False,595,37,False,92,817,True,45,2006,2024
09-01-2023,90,False,595,30,False,86,556,False,90,2006,2024
02-01-2023,89,False,603,13,False,86,568,False,90,2006,2024
26-12-2022,89,False,603,13,False,86,569,False,90,2006,2024
19-12-2022,89,False,603,13,False,86,569,False,90,2006,2024
12-12-2022,89,False,603,13,False,86,570,False,90,2006,2024
05-12-2022,90,False,603,13,False,86,571,False,90,2006,2024
28-11-2022,89,False,603,12,False,86,575,False,90,2006,2024
21-11-2022,93,False,595,15,False,66,572,False,90,2006,2024
14-11-2022,103,False,556,38,True,16,572,False,90,2006,2024
07-11-2022,103,False,555,103,False,555,566,False,90,2006,2024
