rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,504,False,83,311,False,81,0,False,0,2007,2024
27-05-2024,512,False,79,296,False,77,0,False,0,2007,2024
20-05-2024,515,False,75,301,False,73,0,False,0,2007,2024
06-05-2024,531,False,71,288,False,69,0,False,0,2007,2024
22-04-2024,539,False,69,277,False,67,0,False,0,2007,2024
15-04-2024,546,False,69,261,False,67,0,False,0,2007,2024
08-04-2024,544,False,69,249,False,67,0,False,0,2007,2024
01-04-2024,543,False,69,229,False,67,0,False,0,2007,2024
18-03-2024,1086,False,9,710,False,7,0,False,0,2007,2024
04-03-2024,918,False,17,734,True,5,0,False,0,2007,2024
26-02-2024,956,False,14,954,True,2,0,False,0,2007,2024
19-02-2024,869,False,20,948,True,2,0,False,0,2007,2024
12-02-2024,766,False,30,896,True,2,0,False,0,2007,2024
05-02-2024,645,False,50,854,False,2,0,False,0,2007,2024
29-01-2024,647,False,50,815,False,2,0,False,0,2007,2024
15-01-2024,595,False,59,747,True,1,0,False,0,2007,2024
08-01-2024,596,False,58,0,False,0,0,False,0,2007,2024
01-01-2024,596,False,58,0,False,0,0,False,0,2007,2024
25-12-2023,596,False,58,0,False,0,0,False,0,2007,2024
18-12-2023,596,False,58,0,False,0,0,False,0,2007,2024
11-12-2023,597,False,58,0,False,0,0,False,0,2007,2024
04-12-2023,594,False,58,0,False,0,0,False,0,2007,2024
27-11-2023,588,False,58,0,False,0,0,False,0,2007,2024
20-11-2023,591,False,58,0,False,0,0,False,0,2007,2024
13-11-2023,592,False,58,598,False,58,0,False,0,2007,2024
06-11-2023,496,False,78,582,False,58,0,False,0,2007,2024
30-10-2023,393,False,121,498,False,76,0,False,0,2007,2024
23-10-2023,395,False,121,495,False,76,0,False,0,2007,2024
16-10-2023,394,False,121,490,False,76,0,False,0,2007,2024
02-10-2023,395,False,121,474,False,76,0,False,0,2007,2024
25-09-2023,396,False,121,468,False,76,0,False,0,2007,2024
18-09-2023,357,False,141,460,False,76,0,False,0,2007,2024
11-09-2023,357,False,141,454,False,76,0,False,0,2007,2024
28-08-2023,344,False,151,437,False,76,0,False,0,2007,2024
21-08-2023,345,False,151,430,False,76,0,False,0,2007,2024
14-08-2023,326,False,161,422,False,76,0,False,0,2007,2024
