rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,0,False,0,0,False,0,0,False,0,2008,2024
18-09-2023,0,False,0,0,False,0,0,False,0,2008,2024
11-09-2023,0,False,0,0,False,0,0,False,0,2008,2024
28-08-2023,1030,False,10,0,False,0,0,False,0,2008,2024
21-08-2023,1034,False,10,0,False,0,0,False,0,2008,2024
14-08-2023,1035,False,10,0,False,0,0,False,0,2008,2024
07-08-2023,1038,False,10,0,False,0,0,False,0,2008,2024
31-07-2023,1037,False,10,0,False,0,0,False,0,2008,2024
24-07-2023,1035,False,10,0,False,0,0,False,0,2008,2024
17-07-2023,1037,False,10,0,False,0,0,False,0,2008,2024
03-07-2023,1039,False,10,0,False,0,0,False,0,2008,2024
26-06-2023,1023,False,10,0,False,0,0,False,0,2008,2024
19-06-2023,1013,False,10,0,False,0,0,False,0,2008,2024
12-06-2023,1007,False,10,0,False,0,0,False,0,2008,2024
29-05-2023,438,False,100,0,False,0,0,False,0,2008,2024
22-05-2023,433,False,100,0,False,0,0,False,0,2008,2024
08-05-2023,432,False,100,0,False,0,0,False,0,2008,2024
24-04-2023,442,False,100,0,False,0,0,False,0,2008,2024
17-04-2023,385,False,120,0,False,0,0,False,0,2008,2024
10-04-2023,388,False,120,0,False,0,0,False,0,2008,2024
03-04-2023,390,False,120,0,False,0,0,False,0,2008,2024
20-03-2023,370,False,130,0,False,0,0,False,0,2008,2024
06-03-2023,351,False,140,0,False,0,0,False,0,2008,2024
27-02-2023,347,False,140,0,False,0,0,False,0,2008,2024
20-02-2023,348,False,140,0,False,0,0,False,0,2008,2024
13-02-2023,344,False,140,0,False,0,0,False,0,2008,2024
06-02-2023,342,False,140,0,False,0,0,False,0,2008,2024
30-01-2023,341,False,140,0,False,0,0,False,0,2008,2024
16-01-2023,345,False,140,0,False,0,0,False,0,2008,2024
09-01-2023,342,False,140,0,False,0,0,False,0,2008,2024
02-01-2023,347,False,140,0,False,0,0,False,0,2008,2024
26-12-2022,347,False,140,0,False,0,0,False,0,2008,2024
19-12-2022,346,False,140,0,False,0,0,False,0,2008,2024
12-12-2022,348,False,140,0,False,0,0,False,0,2008,2024
05-12-2022,350,False,140,0,False,0,0,False,0,2008,2024
28-11-2022,347,False,140,0,False,0,0,False,0,2008,2024
21-11-2022,345,False,140,0,False,0,0,False,0,2008,2024
14-11-2022,343,False,140,0,False,0,0,False,0,2008,2024
07-11-2022,337,False,140,337,False,140,0,False,0,2008,2024
31-10-2022,340,False,140,332,False,140,0,False,0,2008,2024
24-10-2022,345,False,140,330,False,140,0,False,0,2008,2024
17-10-2022,341,False,140,326,False,140,0,False,0,2008,2024
10-10-2022,343,False,140,321,False,140,0,False,0,2008,2024
03-10-2022,333,False,140,313,False,140,0,False,0,2008,2024
26-09-2022,333,False,140,307,False,140,0,False,0,2008,2024
19-09-2022,331,False,140,301,False,140,0,False,0,2008,2024
12-09-2022,330,False,140,297,False,140,0,False,0,2008,2024
29-08-2022,347,False,130,305,False,130,0,False,0,2008,2024
22-08-2022,343,False,130,291,False,130,0,False,0,2008,2024
15-08-2022,344,False,130,285,False,130,0,False,0,2008,2024
08-08-2022,284,False,170,275,False,130,0,False,0,2008,2024
01-08-2022,286,False,170,267,False,130,0,False,0,2008,2024
25-07-2022,283,False,170,254,False,130,0,False,0,2008,2024
18-07-2022,285,False,170,247,False,130,0,False,0,2008,2024
11-07-2022,259,False,193,242,False,130,0,False,0,2008,2024
27-06-2022,200,False,283,227,False,130,0,False,0,2008,2024
20-06-2022,202,False,283,227,False,130,0,False,0,2008,2024
13-06-2022,183,False,316,219,False,130,0,False,0,2008,2024
06-06-2022,161,False,361,212,False,130,785,False,45,2008,2024
23-05-2022,194,False,291,421,False,40,768,False,45,2008,2024
16-05-2022,175,False,336,409,False,40,766,False,45,2008,2024
09-05-2022,164,False,362,393,False,40,761,False,45,2008,2024
02-05-2022,166,False,362,387,False,40,764,False,45,2008,2024
25-04-2022,165,False,362,373,False,40,770,True,45,2008,2024
18-04-2022,164,False,372,483,False,20,525,False,90,2008,2024
11-04-2022,160,False,390,415,False,20,530,False,90,2008,2024
04-04-2022,146,False,435,394,False,20,529,False,90,2008,2024
21-03-2022,141,False,450,419,True,10,519,False,90,2008,2024
07-03-2022,133,False,485,0,False,0,523,False,90,2008,2024
28-02-2022,136,False,485,0,False,0,531,False,90,2008,2024
21-02-2022,131,False,505,0,False,0,537,False,90,2008,2024
14-02-2022,133,False,535,0,False,0,543,False,90,2008,2024
07-02-2022,114,False,625,0,False,0,538,False,90,2008,2024
31-01-2022,112,False,645,0,False,0,535,False,90,2008,2024
17-01-2022,111,False,680,0,False,0,533,False,90,2008,2024
10-01-2022,111,False,680,0,False,0,527,False,90,2008,2024
03-01-2022,109,False,715,0,False,0,530,True,90,2008,2024
27-12-2021,109,False,715,120,False,411,529,True,90,2008,2024
20-12-2021,109,False,715,120,False,411,529,True,90,2008,2024
13-12-2021,109,False,715,119,False,411,528,True,90,2008,2024
06-12-2021,109,False,715,119,False,411,528,True,90,2008,2024
29-11-2021,110,False,715,117,False,411,529,True,90,2008,2024
22-11-2021,109,False,715,116,False,411,529,True,90,2008,2024
15-11-2021,107,False,715,115,False,411,527,True,90,2008,2024
08-11-2021,108,False,715,112,True,411,527,True,90,2008,2024
01-11-2021,109,False,715,112,False,411,524,True,90,2008,2024
25-10-2021,110,False,717,109,False,411,525,False,90,2008,2024
18-10-2021,90,False,807,106,False,411,526,False,90,2008,2024
04-10-2021,94,False,807,103,False,411,432,False,135,2008,2024
27-09-2021,94,False,807,102,False,411,438,False,135,2008,2024
20-09-2021,92,False,812,100,False,411,432,False,135,2008,2024
13-09-2021,79,False,942,98,False,411,434,False,135,2008,2024
30-08-2021,67,False,1012,86,True,411,439,False,135,2008,2024
23-08-2021,66,False,1012,85,True,411,436,False,135,2008,2024
16-08-2021,61,False,1107,81,False,411,441,False,135,2008,2024
09-08-2021,58,False,1147,78,False,411,434,False,135,2008,2024
02-08-2021,58,False,1147,76,False,411,433,False,135,2008,2024
26-07-2021,60,False,1147,72,False,411,434,False,135,2008,2024
19-07-2021,58,False,1147,71,False,411,429,False,135,2008,2024
12-07-2021,56,False,1169,64,False,411,420,False,135,2008,2024
28-06-2021,64,False,1089,74,False,321,414,False,135,2008,2024
21-06-2021,64,False,1089,71,True,321,413,False,135,2008,2024
14-06-2021,60,False,1121,67,True,321,415,False,135,2008,2024
31-05-2021,56,False,1166,69,False,276,346,False,180,2008,2024
24-05-2021,54,False,1166,71,False,256,346,False,180,2008,2024
17-05-2021,55,False,1141,84,True,211,344,False,180,2008,2024
10-05-2021,57,False,1135,85,True,185,345,False,180,2008,2024
03-05-2021,57,False,1135,80,True,185,345,False,180,2008,2024
26-04-2021,57,False,1135,77,False,185,347,False,180,2008,2024
19-04-2021,56,False,1135,80,False,165,411,False,135,2008,2024
