rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,241,False,255,157,False,188,225,False,296,2009,2024
27-05-2024,240,False,257,143,False,183,189,False,371,2009,2024
20-05-2024,239,False,257,141,False,183,188,False,371,2009,2024
06-05-2024,238,False,251,138,False,177,191,False,371,2009,2024
22-04-2024,244,False,239,135,False,165,187,False,371,2009,2024
15-04-2024,244,False,233,132,False,159,187,False,371,2009,2024
08-04-2024,245,False,233,124,False,159,210,False,326,2009,2024
01-04-2024,247,False,233,110,False,159,209,False,326,2009,2024
18-03-2024,269,False,209,148,False,109,206,False,329,2009,2024
04-03-2024,289,False,193,143,False,93,215,False,329,2009,2024
26-02-2024,262,False,217,141,False,85,218,False,329,2009,2024
19-02-2024,264,False,217,125,False,85,216,False,329,2009,2024
12-02-2024,250,False,233,112,False,85,217,False,329,2009,2024
05-02-2024,255,False,233,91,False,85,233,False,299,2009,2024
29-01-2024,291,False,189,177,False,41,284,False,224,2009,2024
15-01-2024,288,False,197,101,False,41,179,False,404,2009,2024
08-01-2024,325,False,159,532,True,3,175,False,404,2009,2024
01-01-2024,328,False,156,0,False,0,175,False,424,2009,2024
25-12-2023,329,False,156,0,False,0,175,False,424,2009,2024
18-12-2023,328,False,156,0,False,0,175,False,424,2009,2024
11-12-2023,328,False,156,0,False,0,175,False,424,2009,2024
04-12-2023,329,False,156,0,False,0,175,False,424,2009,2024
27-11-2023,318,False,164,0,False,0,173,False,424,2009,2024
20-11-2023,319,False,165,0,False,0,170,False,424,2009,2024
13-11-2023,324,False,165,325,False,165,171,False,424,2009,2024
06-11-2023,321,False,165,319,False,165,172,False,424,2009,2024
30-10-2023,310,False,172,316,False,165,166,False,440,2009,2024
23-10-2023,311,False,172,313,False,165,168,False,440,2009,2024
16-10-2023,312,False,172,307,False,165,170,False,440,2009,2024
02-10-2023,286,False,197,296,False,165,172,False,440,2009,2024
25-09-2023,285,False,197,292,False,165,175,False,440,2009,2024
18-09-2023,323,False,165,332,False,133,176,False,440,2009,2024
11-09-2023,321,False,165,327,False,133,188,False,410,2009,2024
28-08-2023,323,False,165,316,False,133,230,False,310,2009,2024
21-08-2023,325,False,165,311,False,133,231,False,310,2009,2024
