rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,17,False,2150,21,False,1120,143,False,585,2011,2024
27-05-2024,17,False,2110,21,False,1070,148,False,585,2011,2024
20-05-2024,19,False,2020,22,False,970,148,False,585,2011,2024
06-05-2024,17,False,2055,21,False,960,285,False,225,2011,2024
22-04-2024,18,False,1992,18,False,860,280,False,225,2011,2024
15-04-2024,18,False,1992,17,False,860,286,False,225,2011,2024
08-04-2024,18,False,1992,14,False,850,285,False,225,2011,2024
01-04-2024,18,False,1992,14,False,850,291,False,225,2011,2024
18-03-2024,18,False,2002,12,False,840,217,False,315,2011,2024
04-03-2024,20,False,1984,10,False,790,225,False,315,2011,2024
26-02-2024,23,False,1699,17,False,460,224,False,315,2011,2024
19-02-2024,21,False,1739,13,False,410,224,False,315,2011,2024
12-02-2024,23,False,1699,14,False,360,227,False,315,2011,2024
05-02-2024,23,False,1699,11,False,360,224,False,315,2011,2024
29-01-2024,27,False,1459,57,True,110,222,False,315,2011,2024
15-01-2024,27,False,1459,24,True,100,222,False,315,2011,2024
08-01-2024,31,False,1369,0,False,0,225,False,315,2011,2024
01-01-2024,32,False,1369,0,False,0,223,False,315,2011,2024
25-12-2023,32,False,1369,0,False,0,224,False,315,2011,2024
18-12-2023,32,False,1369,0,False,0,224,False,315,2011,2024
11-12-2023,32,False,1369,0,False,0,224,False,315,2011,2024
04-12-2023,32,False,1369,0,False,0,223,False,315,2011,2024
27-11-2023,32,False,1369,0,False,0,220,False,315,2011,2024
20-11-2023,32,False,1369,0,False,0,220,False,315,2011,2024
13-11-2023,32,False,1369,32,False,1369,222,False,315,2011,2024
06-11-2023,32,False,1369,32,False,1369,223,False,315,2011,2024
30-10-2023,33,False,1289,32,False,1279,219,False,315,2011,2024
23-10-2023,30,False,1369,31,False,1279,222,False,315,2011,2024
16-10-2023,36,False,1129,35,False,1039,250,False,270,2011,2024
02-10-2023,35,False,1209,35,False,1039,256,False,270,2011,2024
25-09-2023,35,False,1209,34,False,1039,256,False,270,2011,2024
18-09-2023,29,False,1349,34,False,1039,289,False,225,2011,2024
11-09-2023,29,False,1349,34,False,1039,287,False,225,2011,2024
28-08-2023,27,False,1384,32,False,1029,225,False,315,2011,2024
21-08-2023,27,False,1384,31,False,1029,227,False,315,2011,2024
14-08-2023,27,False,1384,27,False,1029,231,False,315,2011,2024
07-08-2023,28,False,1384,26,False,1019,221,False,315,2011,2024
31-07-2023,25,False,1384,26,False,1019,250,False,270,2011,2024
24-07-2023,26,False,1384,26,False,1019,244,False,270,2011,2024
17-07-2023,27,False,1384,26,False,1019,240,False,270,2011,2024
03-07-2023,26,False,1354,26,False,839,240,False,270,2011,2024
26-06-2023,26,False,1354,26,False,839,239,False,270,2011,2024
19-06-2023,48,False,877,96,False,339,235,False,270,2011,2024
12-06-2023,47,False,880,100,False,319,233,True,270,2011,2024
29-05-2023,51,False,915,90,False,309,160,False,495,2011,2024
22-05-2023,48,False,915,89,False,309,158,False,495,2011,2024
08-05-2023,49,False,880,103,False,264,159,False,495,2011,2024
24-04-2023,55,False,865,109,False,207,160,False,495,2011,2024
17-04-2023,55,False,865,98,False,207,160,False,495,2011,2024
10-04-2023,53,False,865,99,False,197,158,False,495,2011,2024
03-04-2023,56,False,865,89,False,197,158,False,495,2011,2024
20-03-2023,48,False,900,83,False,187,178,False,405,2011,2024
06-03-2023,46,False,935,94,False,145,185,False,405,2011,2024
27-02-2023,46,False,935,123,False,100,181,False,405,2011,2024
20-02-2023,50,False,865,544,False,10,164,False,450,2011,2024
13-02-2023,50,False,865,514,True,10,175,False,405,2011,2024
06-02-2023,50,False,865,493,True,10,179,False,405,2011,2024
30-01-2023,36,False,1095,453,True,10,181,False,405,2011,2024
16-01-2023,36,False,1130,0,False,0,179,False,405,2011,2024
09-01-2023,36,False,1130,0,False,0,172,False,425,2011,2024
02-01-2023,37,False,1130,0,False,0,170,False,425,2011,2024
26-12-2022,37,False,1130,0,False,0,170,False,425,2011,2024
19-12-2022,37,False,1130,0,False,0,170,False,425,2011,2024
12-12-2022,37,False,1130,0,False,0,170,False,425,2011,2024
05-12-2022,37,False,1130,0,False,0,169,False,425,2011,2024
28-11-2022,37,False,1130,0,False,0,170,False,425,2011,2024
21-11-2022,37,False,1130,0,False,0,173,False,425,2011,2024
14-11-2022,37,False,1130,0,False,0,172,False,425,2011,2024
07-11-2022,37,False,1130,37,False,1130,165,False,425,2011,2024
31-10-2022,36,False,1165,36,False,1120,169,False,425,2011,2024
24-10-2022,38,False,1095,38,False,1050,169,False,425,2011,2024
17-10-2022,38,False,1095,36,False,1050,167,False,425,2011,2024
10-10-2022,43,False,1070,38,False,1025,163,False,425,2011,2024
03-10-2022,43,False,1045,39,False,980,156,False,425,2011,2024
26-09-2022,41,False,1045,38,False,980,156,False,425,2011,2024
19-09-2022,44,False,985,46,False,830,159,False,425,2011,2024
12-09-2022,44,False,985,46,False,830,160,False,425,2011,2024
29-08-2022,47,False,985,45,False,785,198,False,335,2011,2024
22-08-2022,47,False,985,44,False,785,198,False,335,2011,2024
15-08-2022,42,False,1030,42,False,785,199,False,335,2011,2024
08-08-2022,41,False,1065,39,False,775,199,False,335,2011,2024
01-08-2022,42,False,1065,38,False,775,196,False,335,2011,2024
25-07-2022,41,False,1065,37,False,775,202,False,335,2011,2024
18-07-2022,39,False,1065,34,False,775,201,False,335,2011,2024
11-07-2022,42,False,1035,43,False,625,190,False,380,2011,2024
27-06-2022,38,False,1105,43,False,625,179,False,425,2011,2024
20-06-2022,39,False,1105,47,False,580,182,False,425,2011,2024
13-06-2022,37,False,1105,50,False,535,184,False,425,2011,2024
06-06-2022,42,False,1108,54,False,515,62,False,1580,2011,2024
23-05-2022,42,False,1083,53,False,470,66,False,1400,2011,2024
