rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,172,False,357,329,False,74,677,False,70,2013,2024
27-05-2024,172,False,349,338,False,66,682,False,70,2013,2024
20-05-2024,172,False,349,327,False,66,675,False,70,2013,2024
06-05-2024,175,False,343,320,False,60,660,False,70,2013,2024
22-04-2024,176,False,343,298,False,60,664,False,70,2013,2024
15-04-2024,182,False,336,306,False,53,671,False,70,2013,2024
08-04-2024,168,False,359,422,False,31,670,False,70,2013,2024
01-04-2024,167,False,373,445,False,25,1259,True,20,2013,2024
18-03-2024,168,False,373,391,False,25,1253,True,20,2013,2024
04-03-2024,170,False,371,362,False,25,1252,True,20,2013,2024
26-02-2024,172,False,367,398,False,19,1247,True,20,2013,2024
19-02-2024,128,False,515,395,False,17,1237,True,20,2013,2024
12-02-2024,126,False,508,489,False,10,0,False,0,2013,2024
05-02-2024,126,False,508,467,False,10,0,False,0,2013,2024
29-01-2024,126,False,508,432,False,10,0,False,0,2013,2024
15-01-2024,106,False,588,0,False,0,191,False,360,2013,2024
08-01-2024,110,False,588,0,False,0,189,False,360,2013,2024
01-01-2024,73,False,738,0,False,0,189,False,360,2013,2024
25-12-2023,73,False,738,0,False,0,189,False,360,2013,2024
18-12-2023,73,False,738,0,False,0,189,False,360,2013,2024
11-12-2023,73,False,738,0,False,0,189,False,360,2013,2024
04-12-2023,73,False,738,0,False,0,189,False,360,2013,2024
27-11-2023,73,False,738,0,False,0,188,False,360,2013,2024
20-11-2023,73,False,738,0,False,0,189,False,360,2013,2024
13-11-2023,76,False,738,77,False,738,191,False,360,2013,2024
06-11-2023,75,False,738,74,False,738,193,False,360,2013,2024
30-10-2023,77,False,738,73,False,738,194,False,360,2013,2024
23-10-2023,87,False,686,85,False,678,193,False,360,2013,2024
16-10-2023,89,False,674,82,False,666,196,False,360,2013,2024
02-10-2023,89,False,665,75,False,657,201,False,360,2013,2024
25-09-2023,98,False,640,79,False,632,203,False,360,2013,2024
18-09-2023,93,False,660,79,False,632,202,False,360,2013,2024
11-09-2023,102,False,600,89,False,572,200,False,360,2013,2024
28-08-2023,108,False,555,94,False,482,200,True,360,2013,2024
21-08-2023,101,False,590,96,False,472,199,True,360,2013,2024
14-08-2023,101,False,593,98,False,465,202,False,360,2013,2024
07-08-2023,102,False,603,93,False,465,171,False,450,2013,2024
31-07-2023,102,False,603,92,False,465,173,False,450,2013,2024
24-07-2023,107,False,603,89,False,465,175,False,450,2013,2024
17-07-2023,107,False,603,86,False,465,172,False,450,2013,2024
03-07-2023,94,False,638,75,False,455,157,False,495,2013,2024
26-06-2023,93,False,638,75,False,455,157,False,495,2013,2024
19-06-2023,78,False,728,71,False,455,157,False,495,2013,2024
12-06-2023,76,False,728,64,False,455,157,False,495,2013,2024
29-05-2023,66,False,783,55,False,455,133,False,630,2013,2024
22-05-2023,65,False,783,51,False,455,133,False,630,2013,2024
08-05-2023,64,False,808,44,False,455,136,False,630,2013,2024
24-04-2023,45,False,920,38,False,455,133,False,630,2013,2024
17-04-2023,44,False,920,31,False,455,133,False,630,2013,2024
10-04-2023,48,False,901,32,False,410,132,False,630,2013,2024
03-04-2023,50,False,889,33,False,390,134,False,630,2013,2024
20-03-2023,49,False,899,24,False,390,128,False,630,2013,2024
06-03-2023,45,False,944,22,False,390,133,False,630,2013,2024
27-02-2023,45,False,944,17,False,390,133,False,630,2013,2024
20-02-2023,60,False,794,36,False,240,129,False,630,2013,2024
13-02-2023,48,False,884,28,False,240,125,False,675,2013,2024
06-02-2023,42,False,956,21,False,240,123,False,691,2013,2024
30-01-2023,45,False,956,21,False,240,123,False,691,2013,2024
16-01-2023,48,False,911,17,False,150,205,False,331,2013,2024
09-01-2023,50,False,911,13,True,150,203,False,331,2013,2024
02-01-2023,60,False,781,0,False,0,191,False,376,2013,2024
26-12-2022,60,False,781,0,False,0,191,False,376,2013,2024
19-12-2022,60,False,781,0,False,0,191,False,376,2013,2024
12-12-2022,60,False,781,0,False,0,192,False,376,2013,2024
05-12-2022,60,False,781,0,False,0,193,False,376,2013,2024
28-11-2022,60,False,781,0,False,0,192,False,376,2013,2024
21-11-2022,60,False,781,0,False,0,188,False,376,2013,2024
