rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,155,False,389,185,False,156,243,False,266,2013,2024
27-05-2024,157,False,378,190,False,137,241,True,266,2013,2024
20-05-2024,157,False,378,188,False,137,240,True,266,2013,2024
06-05-2024,154,False,393,172,False,137,243,True,266,2013,2024
22-04-2024,155,False,409,161,False,137,246,True,266,2013,2024
15-04-2024,127,False,484,154,False,137,246,True,266,2013,2024
08-04-2024,127,False,484,149,False,137,247,True,266,2013,2024
01-04-2024,107,False,559,136,False,137,250,True,266,2013,2024
18-03-2024,111,False,558,122,False,125,252,False,266,2013,2024
04-03-2024,103,False,588,109,False,125,255,False,266,2013,2024
26-02-2024,111,False,563,120,False,100,735,False,61,2013,2024
19-02-2024,120,False,533,196,False,50,737,False,61,2013,2024
12-02-2024,120,False,533,172,False,50,738,False,61,2013,2024
05-02-2024,108,False,578,153,False,50,738,False,61,2013,2024
29-01-2024,107,False,578,144,False,50,745,False,61,2013,2024
15-01-2024,93,False,630,83,False,50,736,False,61,2013,2024
08-01-2024,95,False,630,60,False,50,734,False,61,2013,2024
01-01-2024,103,False,630,34,False,50,726,False,61,2013,2024
25-12-2023,103,False,630,34,False,50,725,False,61,2013,2024
18-12-2023,103,False,630,34,False,50,724,False,61,2013,2024
11-12-2023,103,False,630,33,False,50,724,False,61,2013,2024
04-12-2023,103,False,630,32,False,50,722,False,61,2013,2024
27-11-2023,105,False,606,55,True,20,716,False,61,2013,2024
20-11-2023,104,False,606,27,True,20,720,False,61,2013,2024
13-11-2023,106,False,586,107,False,586,716,False,61,2013,2024
06-11-2023,105,False,586,104,False,586,718,False,61,2013,2024
30-10-2023,104,False,586,102,False,586,717,False,61,2013,2024
23-10-2023,105,False,586,101,False,586,707,False,61,2013,2024
16-10-2023,107,False,570,100,False,570,711,False,61,2013,2024
02-10-2023,108,False,570,99,False,570,721,False,61,2013,2024
25-09-2023,114,False,525,100,False,525,726,False,61,2013,2024
18-09-2023,115,False,525,99,False,525,731,False,61,2013,2024
11-09-2023,114,False,525,97,False,525,735,False,61,2013,2024
28-08-2023,117,False,525,86,False,525,874,True,45,2013,2024
21-08-2023,120,False,525,86,False,525,875,True,45,2013,2024
14-08-2023,119,False,525,86,False,519,867,True,45,2013,2024
07-08-2023,122,False,525,85,False,512,871,True,45,2013,2024
31-07-2023,121,False,525,81,False,512,864,True,45,2013,2024
24-07-2023,127,False,519,79,False,512,860,True,45,2013,2024
17-07-2023,125,False,519,76,False,512,849,True,45,2013,2024
03-07-2023,133,False,456,77,False,442,854,True,45,2013,2024
26-06-2023,133,False,456,77,False,442,846,True,45,2013,2024
19-06-2023,148,False,396,83,False,389,846,True,45,2013,2024
12-06-2023,161,False,360,87,False,353,845,True,45,2013,2024
29-05-2023,145,False,415,76,False,345,612,False,79,2013,2024
22-05-2023,145,False,415,75,False,345,602,False,79,2013,2024
08-05-2023,143,False,416,73,False,330,608,False,79,2013,2024
24-04-2023,133,False,450,64,False,314,489,False,109,2013,2024
17-04-2023,149,False,382,89,False,239,484,False,109,2013,2024
10-04-2023,145,False,391,82,False,239,412,False,129,2013,2024
03-04-2023,184,False,316,116,False,164,413,False,129,2013,2024
20-03-2023,183,False,321,111,False,153,415,False,129,2013,2024
06-03-2023,184,False,321,112,False,123,410,False,129,2013,2024
27-02-2023,183,False,321,101,False,123,580,False,84,2013,2024
20-02-2023,196,False,301,105,False,103,574,False,84,2013,2024
13-02-2023,197,False,301,89,False,103,573,False,84,2013,2024
06-02-2023,212,False,256,141,False,58,578,False,84,2013,2024
30-01-2023,213,False,262,128,False,58,572,False,84,2013,2024
16-01-2023,229,False,239,0,False,0,576,False,84,2013,2024
09-01-2023,230,False,239,0,False,0,580,False,84,2013,2024
02-01-2023,230,False,239,0,False,0,336,False,174,2013,2024
26-12-2022,230,False,239,0,False,0,336,False,174,2013,2024
19-12-2022,230,False,239,0,False,0,336,False,174,2013,2024
12-12-2022,231,False,239,0,False,0,337,False,174,2013,2024
05-12-2022,232,False,239,0,False,0,337,False,174,2013,2024
28-11-2022,232,False,239,0,False,0,335,False,174,2013,2024
21-11-2022,230,False,239,0,False,0,334,False,174,2013,2024
14-11-2022,225,False,239,0,False,0,335,False,174,2013,2024
07-11-2022,224,False,239,224,False,239,328,False,174,2013,2024
31-10-2022,224,False,239,219,False,239,333,False,174,2013,2024
24-10-2022,209,False,254,215,False,239,268,False,222,2013,2024
17-10-2022,210,False,254,210,False,239,272,False,222,2013,2024
10-10-2022,191,False,283,204,False,239,261,False,237,2013,2024
03-10-2022,189,False,283,198,False,239,257,False,237,2013,2024
26-09-2022,188,False,283,193,False,239,257,False,237,2013,2024
19-09-2022,189,False,283,185,False,239,257,False,237,2013,2024
12-09-2022,189,False,283,182,False,239,257,False,237,2013,2024
29-08-2022,160,False,323,170,False,239,237,False,252,2013,2024
22-08-2022,163,False,323,169,False,239,235,False,252,2013,2024
15-08-2022,163,False,323,165,False,239,234,False,252,2013,2024
08-08-2022,132,False,413,162,False,239,231,False,252,2013,2024
01-08-2022,130,False,428,161,False,239,235,False,252,2013,2024
25-07-2022,127,False,428,153,False,239,238,False,252,2013,2024
18-07-2022,127,False,430,146,False,239,242,False,252,2013,2024
11-07-2022,131,False,430,143,False,239,250,False,252,2013,2024
27-06-2022,129,False,458,140,False,232,248,False,260,2013,2024
20-06-2022,131,False,458,136,False,232,251,False,260,2013,2024
13-06-2022,124,False,504,130,False,232,260,False,260,2013,2024
06-06-2022,126,False,506,124,False,232,246,False,289,2013,2024
23-05-2022,137,False,453,143,False,169,261,False,255,2013,2024
16-05-2022,140,False,453,137,False,169,261,False,255,2013,2024
09-05-2022,135,False,470,150,False,153,260,False,255,2013,2024
02-05-2022,145,False,433,203,False,103,284,False,225,2013,2024
25-04-2022,147,False,433,196,False,103,272,False,240,2013,2024
18-04-2022,141,False,441,193,False,96,272,False,240,2013,2024
11-04-2022,144,False,440,174,False,87,293,False,220,2013,2024
04-04-2022,144,False,440,163,False,87,289,False,220,2013,2024
21-03-2022,147,False,428,154,False,71,293,False,220,2013,2024
07-03-2022,145,False,446,185,False,41,236,False,295,2013,2024
28-02-2022,149,False,446,179,False,41,245,False,280,2013,2024
21-02-2022,144,False,468,163,False,41,221,False,340,2013,2024
14-02-2022,145,False,473,152,False,41,220,False,369,2013,2024
07-02-2022,143,False,485,131,False,41,217,False,389,2013,2024
31-01-2022,143,False,485,123,False,35,223,False,374,2013,2024
17-01-2022,147,False,458,0,False,0,218,False,389,2013,2024
10-01-2022,151,False,458,0,False,0,222,False,374,2013,2024
03-01-2022,147,False,458,0,False,0,264,False,284,2013,2024
27-12-2021,147,False,458,123,False,396,264,False,284,2013,2024
20-12-2021,147,False,458,123,False,396,256,False,299,2013,2024
13-12-2021,147,False,458,122,False,396,255,False,299,2013,2024
06-12-2021,147,False,458,122,False,396,264,False,284,2013,2024
29-11-2021,148,False,458,122,False,396,253,False,299,2013,2024
22-11-2021,142,False,479,121,False,396,245,False,314,2013,2024
15-11-2021,142,False,479,120,False,396,236,False,329,2013,2024
08-11-2021,141,False,479,118,False,396,237,False,329,2013,2024
01-11-2021,142,False,479,115,False,396,242,False,329,2013,2024
25-10-2021,145,False,472,115,False,381,250,False,311,2013,2024
18-10-2021,145,False,472,113,False,381,242,False,326,2013,2024
04-10-2021,154,False,457,119,True,352,253,False,311,2013,2024
27-09-2021,155,False,457,115,False,352,257,False,311,2013,2024
20-09-2021,158,False,457,114,False,352,256,False,311,2013,2024
13-09-2021,159,False,457,113,False,352,261,False,311,2013,2024
30-08-2021,172,False,432,113,True,312,270,False,296,2013,2024
23-08-2021,172,False,432,111,False,312,269,False,296,2013,2024
16-08-2021,172,False,432,109,False,312,272,False,296,2013,2024
09-08-2021,193,False,370,139,False,232,272,False,296,2013,2024
