rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,706,False,41,640,False,20,1294,False,19,2014,2024
27-05-2024,760,False,33,729,False,12,1299,False,19,2014,2024
20-05-2024,784,False,29,831,True,8,1300,False,19,2014,2024
06-05-2024,686,False,43,806,False,8,1289,False,19,2014,2024
22-04-2024,656,False,49,837,False,6,1295,False,19,2014,2024
15-04-2024,654,False,49,822,False,6,1298,False,19,2014,2024
08-04-2024,653,False,49,805,False,6,1299,False,19,2014,2024
01-04-2024,661,False,48,817,False,5,718,False,64,2014,2024
18-03-2024,660,False,48,771,False,5,722,False,64,2014,2024
04-03-2024,646,False,51,722,True,5,723,False,64,2014,2024
26-02-2024,626,False,54,704,True,5,716,False,64,2014,2024
19-02-2024,639,False,52,679,True,5,717,False,64,2014,2024
12-02-2024,637,False,52,658,True,5,718,False,64,2014,2024
05-02-2024,635,False,52,632,True,5,722,False,64,2014,2024
29-01-2024,614,False,55,600,True,5,727,False,64,2014,2024
15-01-2024,507,False,78,572,True,3,754,False,59,2014,2024
08-01-2024,509,False,78,532,True,3,752,False,59,2014,2024
01-01-2024,507,False,78,432,True,3,745,False,59,2014,2024
25-12-2023,492,False,82,417,True,3,744,False,59,2014,2024
18-12-2023,494,False,82,395,True,3,742,False,59,2014,2024
11-12-2023,493,False,82,383,True,3,740,False,59,2014,2024
04-12-2023,488,False,82,329,True,3,736,False,59,2014,2024
27-11-2023,493,False,79,0,False,0,730,False,59,2014,2024
20-11-2023,491,False,79,0,False,0,732,False,59,2014,2024
13-11-2023,492,False,79,499,False,79,729,False,59,2014,2024
06-11-2023,558,False,65,550,False,64,729,False,59,2014,2024
30-10-2023,556,False,65,548,False,65,727,False,59,2014,2024
23-10-2023,561,False,65,543,False,65,809,False,50,2014,2024
16-10-2023,559,False,65,535,False,65,802,False,50,2014,2024
02-10-2023,548,False,67,516,False,65,806,False,50,2014,2024
25-09-2023,552,False,67,512,False,65,808,False,50,2014,2024
18-09-2023,466,False,92,503,False,65,810,False,50,2014,2024
11-09-2023,465,False,92,492,False,65,808,False,50,2014,2024
28-08-2023,476,False,90,493,False,61,810,False,51,2014,2024
21-08-2023,475,False,90,483,False,61,804,False,51,2014,2024
14-08-2023,477,False,90,476,False,61,796,False,51,2014,2024
07-08-2023,467,False,90,463,False,61,795,False,51,2014,2024
31-07-2023,468,False,90,454,False,61,788,False,51,2014,2024
24-07-2023,466,False,90,442,False,61,787,False,51,2014,2024
17-07-2023,458,False,92,430,False,61,781,False,51,2014,2024
03-07-2023,456,False,92,409,False,61,781,False,51,2014,2024
26-06-2023,450,False,92,402,False,61,772,False,51,2014,2024
19-06-2023,447,False,93,387,False,61,777,False,51,2014,2024
12-06-2023,448,False,93,376,False,61,784,False,51,2014,2024
29-05-2023,443,False,98,361,False,61,793,False,51,2014,2024
22-05-2023,438,False,98,355,False,61,787,False,51,2014,2024
08-05-2023,429,False,102,380,False,47,791,False,51,2014,2024
24-04-2023,448,False,98,403,False,39,796,False,51,2014,2024
17-04-2023,449,False,98,391,False,39,791,False,51,2014,2024
10-04-2023,448,False,98,382,False,39,789,False,51,2014,2024
03-04-2023,445,False,98,368,False,39,797,False,51,2014,2024
20-03-2023,442,False,100,336,False,39,798,False,51,2014,2024
06-03-2023,444,False,97,318,False,36,786,False,51,2014,2024
27-02-2023,446,False,94,321,False,33,779,False,51,2014,2024
20-02-2023,448,False,94,294,False,33,634,False,71,2014,2024
13-02-2023,449,False,94,272,False,33,633,False,71,2014,2024
06-02-2023,450,False,94,252,False,33,634,False,71,2014,2024
30-01-2023,452,False,91,256,False,30,630,False,71,2014,2024
16-01-2023,520,False,66,508,True,5,656,False,68,2014,2024
09-01-2023,521,False,66,480,True,5,661,False,68,2014,2024
02-01-2023,479,False,78,391,True,5,614,False,77,2014,2024
26-12-2022,486,False,74,625,True,1,614,False,77,2014,2024
19-12-2022,485,False,74,604,True,1,612,False,77,2014,2024
12-12-2022,426,False,103,581,True,1,616,False,77,2014,2024
05-12-2022,414,False,110,563,True,1,616,False,77,2014,2024
28-11-2022,412,False,110,497,True,1,618,False,77,2014,2024
21-11-2022,409,False,110,399,True,1,619,False,77,2014,2024
14-11-2022,409,False,110,267,True,1,611,False,77,2014,2024
07-11-2022,412,False,109,412,False,109,612,False,77,2014,2024
31-10-2022,401,False,111,401,False,109,608,False,77,2014,2024
