rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,81,False,688,48,False,562,472,False,120,2014,2024
27-05-2024,104,False,611,58,False,432,474,False,120,2014,2024
20-05-2024,102,False,611,56,False,432,476,False,120,2014,2024
06-05-2024,108,False,581,57,False,402,473,False,120,2014,2024
22-04-2024,103,False,597,52,False,402,481,False,120,2014,2024
15-04-2024,107,False,597,62,False,327,487,False,120,2014,2024
08-04-2024,109,False,564,64,False,283,480,False,120,2014,2024
01-04-2024,111,False,545,68,False,258,475,False,120,2014,2024
18-03-2024,114,False,535,61,False,248,474,False,120,2014,2024
04-03-2024,122,False,513,57,False,226,320,False,195,2014,2024
26-02-2024,123,False,524,49,False,226,319,False,195,2014,2024
19-02-2024,124,False,524,42,False,226,280,False,240,2014,2024
12-02-2024,132,False,499,39,False,201,275,False,240,2014,2024
05-02-2024,133,False,499,28,False,201,268,False,240,2014,2024
29-01-2024,131,False,499,25,False,201,265,False,240,2014,2024
15-01-2024,129,False,508,9,False,175,269,False,240,2014,2024
08-01-2024,130,False,508,5,False,175,269,False,240,2014,2024
01-01-2024,129,False,508,1,False,175,269,False,240,2014,2024
25-12-2023,129,False,508,1,False,175,269,False,240,2014,2024
18-12-2023,129,False,508,1,False,175,268,False,240,2014,2024
11-12-2023,129,False,508,1,False,175,268,False,240,2014,2024
04-12-2023,129,False,508,1,False,175,268,False,240,2014,2024
27-11-2023,153,False,408,9,False,75,265,False,240,2014,2024
20-11-2023,152,False,415,2,True,75,268,False,240,2014,2024
13-11-2023,174,False,358,171,False,376,268,False,240,2014,2024
06-11-2023,180,False,342,179,False,342,296,False,210,2014,2024
30-10-2023,184,False,342,178,False,342,299,False,210,2014,2024
23-10-2023,184,False,342,176,False,342,301,False,210,2014,2024
16-10-2023,185,False,342,174,False,342,299,False,210,2014,2024
02-10-2023,181,False,342,159,False,342,299,False,210,2014,2024
25-09-2023,181,False,342,158,False,342,298,False,210,2014,2024
18-09-2023,172,False,354,152,False,342,303,False,210,2014,2024
11-09-2023,176,False,345,155,False,333,300,False,210,2014,2024
28-08-2023,149,False,411,142,False,333,299,False,210,2014,2024
21-08-2023,151,False,411,140,False,333,300,False,210,2014,2024
14-08-2023,152,False,411,133,False,333,300,False,210,2014,2024
07-08-2023,150,False,411,129,False,333,298,False,210,2014,2024
31-07-2023,150,False,411,124,False,333,292,False,210,2014,2024
24-07-2023,158,False,386,126,False,308,289,False,210,2014,2024
17-07-2023,175,False,335,154,False,251,345,False,165,2014,2024
03-07-2023,178,False,327,144,False,243,346,False,165,2014,2024
26-06-2023,177,False,327,141,False,243,345,False,165,2014,2024
19-06-2023,182,False,316,142,False,232,438,False,120,2014,2024
12-06-2023,134,False,446,138,False,232,438,False,120,2014,2024
29-05-2023,131,False,467,168,False,179,441,False,120,2014,2024
22-05-2023,131,False,467,163,False,179,439,False,120,2014,2024
08-05-2023,131,False,467,150,False,179,448,False,120,2014,2024
24-04-2023,132,False,451,147,False,163,450,False,120,2014,2024
17-04-2023,156,False,376,235,False,88,446,False,120,2014,2024
10-04-2023,165,False,365,252,False,77,444,False,120,2014,2024
03-04-2023,167,False,359,248,False,71,441,False,120,2014,2024
20-03-2023,135,False,431,211,False,71,438,False,120,2014,2024
06-03-2023,139,False,431,194,False,71,841,True,45,2014,2024
27-02-2023,137,False,420,199,False,60,837,True,45,2014,2024
20-02-2023,132,False,427,179,False,60,0,False,0,2014,2024
13-02-2023,124,False,433,161,False,60,0,False,0,2014,2024
06-02-2023,112,False,463,135,False,60,996,False,30,2014,2024
30-01-2023,115,False,463,125,False,60,985,False,30,2014,2024
16-01-2023,130,False,428,209,False,25,986,False,30,2014,2024
09-01-2023,131,False,428,174,False,25,985,False,30,2014,2024
02-01-2023,129,False,435,109,False,25,997,False,30,2014,2024
26-12-2022,129,False,435,109,False,25,998,False,30,2014,2024
19-12-2022,129,False,435,108,False,25,996,False,30,2014,2024
12-12-2022,129,False,435,104,False,25,996,False,30,2014,2024
05-12-2022,131,False,435,98,False,25,1000,False,30,2014,2024
28-11-2022,132,False,435,83,False,25,1001,False,30,2014,2024
21-11-2022,133,False,428,72,True,18,1001,False,30,2014,2024
14-11-2022,135,False,410,0,False,0,999,True,30,2014,2024
07-11-2022,138,False,410,138,False,410,999,True,30,2014,2024
31-10-2022,137,False,410,135,False,410,997,True,30,2014,2024
24-10-2022,139,False,410,134,False,410,999,True,30,2014,2024
17-10-2022,139,False,410,130,False,410,996,False,30,2014,2024
10-10-2022,136,False,423,127,False,410,991,False,30,2014,2024
03-10-2022,131,False,423,122,False,410,980,False,30,2014,2024
26-09-2022,128,False,423,118,False,410,969,False,30,2014,2024
19-09-2022,134,False,411,120,False,398,961,False,30,2014,2024
12-09-2022,134,False,411,119,False,398,952,False,30,2014,2024
29-08-2022,154,False,353,125,False,332,794,False,45,2014,2024
22-08-2022,155,False,353,125,False,332,788,False,45,2014,2024
15-08-2022,154,False,353,122,False,332,778,False,45,2014,2024
08-08-2022,156,False,354,121,False,332,777,False,45,2014,2024
01-08-2022,158,False,354,119,False,332,782,False,45,2014,2024
25-07-2022,154,False,355,115,False,332,773,False,45,2014,2024
