rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,27,False,1610,26,False,900,295,False,225,2016,2024
27-05-2024,27,False,1590,30,False,700,290,False,225,2016,2024
20-05-2024,23,False,1740,28,False,700,289,False,225,2016,2024
06-05-2024,22,False,1870,28,False,650,886,False,45,2016,2024
22-04-2024,22,False,1680,42,False,450,882,False,45,2016,2024
15-04-2024,21,False,1720,46,False,400,884,False,45,2016,2024
08-04-2024,22,False,1715,48,False,350,889,False,45,2016,2024
01-04-2024,23,False,1715,46,False,350,893,False,45,2016,2024
18-03-2024,21,False,1845,49,False,300,887,False,45,2016,2024
04-03-2024,22,False,1840,52,False,250,888,False,45,2016,2024
26-02-2024,20,False,1840,46,False,250,887,False,45,2016,2024
19-02-2024,22,False,1685,191,False,50,893,False,45,2016,2024
12-02-2024,22,False,1720,168,False,50,889,False,45,2016,2024
05-02-2024,22,False,1720,148,True,50,890,False,45,2016,2024
29-01-2024,22,False,1720,139,True,50,894,False,45,2016,2024
15-01-2024,21,False,1760,0,False,0,897,False,45,2016,2024
08-01-2024,22,False,1760,0,False,0,895,False,45,2016,2024
01-01-2024,21,False,1760,0,False,0,0,False,0,2016,2024
25-12-2023,21,False,1760,0,False,0,0,False,0,2016,2024
18-12-2023,21,False,1760,0,False,0,0,False,0,2016,2024
11-12-2023,21,False,1760,0,False,0,0,False,0,2016,2024
04-12-2023,21,False,1760,0,False,0,0,False,0,2016,2024
27-11-2023,21,False,1760,0,False,0,0,False,0,2016,2024
20-11-2023,21,False,1760,0,False,0,0,False,0,2016,2024
13-11-2023,21,False,1760,21,False,1760,0,False,0,2016,2024
06-11-2023,20,False,1760,20,False,1760,0,False,0,2016,2024
30-10-2023,21,False,1680,20,False,1670,0,False,0,2016,2024
23-10-2023,21,False,1680,20,False,1670,339,False,180,2016,2024
16-10-2023,22,False,1680,20,False,1670,338,False,180,2016,2024
02-10-2023,21,False,1635,19,False,1580,340,False,180,2016,2024
25-09-2023,21,False,1635,18,False,1580,337,False,180,2016,2024
18-09-2023,21,False,1635,18,False,1580,339,False,180,2016,2024
11-09-2023,21,False,1635,18,False,1580,336,False,180,2016,2024
28-08-2023,20,False,1600,17,False,1535,334,False,180,2016,2024
21-08-2023,20,False,1600,17,False,1535,333,False,180,2016,2024
14-08-2023,21,False,1600,16,False,1525,330,False,180,2016,2024
07-08-2023,22,False,1565,16,False,1480,332,False,180,2016,2024
31-07-2023,21,False,1565,16,False,1480,331,False,180,2016,2024
24-07-2023,21,False,1565,16,False,1480,334,False,180,2016,2024
17-07-2023,20,False,1655,16,False,1435,326,False,180,2016,2024
03-07-2023,19,False,1860,16,False,1390,241,False,270,2016,2024
26-06-2023,19,False,1655,18,False,1150,240,False,270,2016,2024
19-06-2023,19,False,1655,17,False,1105,236,False,270,2016,2024
12-06-2023,20,False,1655,17,False,1105,237,False,270,2016,2024
29-05-2023,23,False,1485,16,False,925,239,False,270,2016,2024
22-05-2023,28,False,1345,18,False,775,238,False,270,2016,2024
08-05-2023,31,False,1200,25,False,595,240,False,270,2016,2024
24-04-2023,30,False,1235,22,False,585,240,False,270,2016,2024
17-04-2023,32,False,1165,23,False,495,239,False,270,2016,2024
10-04-2023,33,False,1140,28,False,450,239,False,270,2016,2024
03-04-2023,33,False,1140,23,False,450,239,False,270,2016,2024
20-03-2023,31,False,1320,53,False,270,239,False,270,2016,2024
06-03-2023,32,False,1275,53,False,225,242,False,270,2016,2024
27-02-2023,32,False,1275,46,False,225,238,False,270,2016,2024
20-02-2023,33,False,1230,45,False,180,239,False,270,2016,2024
13-02-2023,30,False,1365,58,True,135,240,False,270,2016,2024
06-02-2023,31,False,1377,83,True,90,242,False,270,2016,2024
30-01-2023,31,False,1377,77,True,90,245,False,270,2016,2024
16-01-2023,29,False,1383,0,False,0,209,False,320,2016,2024
09-01-2023,30,False,1383,0,False,0,209,False,320,2016,2024
02-01-2023,30,False,1395,0,False,0,212,False,320,2016,2024
26-12-2022,30,False,1395,0,False,0,212,False,320,2016,2024
19-12-2022,30,False,1395,0,False,0,212,False,320,2016,2024
12-12-2022,30,False,1395,0,False,0,212,False,320,2016,2024
05-12-2022,30,False,1395,0,False,0,213,False,320,2016,2024
28-11-2022,30,False,1395,0,False,0,214,False,320,2016,2024
21-11-2022,30,False,1412,0,False,0,216,False,320,2016,2024
14-11-2022,29,False,1425,0,False,0,215,False,320,2016,2024
07-11-2022,30,False,1425,30,False,1425,203,False,349,2016,2024
31-10-2022,30,False,1431,28,False,1415,203,False,349,2016,2024
24-10-2022,29,False,1398,28,False,1386,341,False,169,2016,2024
17-10-2022,28,False,1407,27,False,1378,334,False,169,2016,2024
10-10-2022,29,False,1394,28,False,1333,331,False,169,2016,2024
03-10-2022,29,False,1394,28,False,1333,326,False,169,2016,2024
26-09-2022,27,False,1394,26,False,1333,290,False,198,2016,2024
19-09-2022,27,False,1394,26,False,1333,292,False,198,2016,2024
12-09-2022,27,False,1394,26,False,1333,294,False,198,2016,2024
29-08-2022,27,False,1400,23,False,1323,294,False,198,2016,2024
22-08-2022,27,False,1400,23,False,1323,296,False,198,2016,2024
15-08-2022,27,False,1402,22,False,1313,295,False,198,2016,2024
08-08-2022,27,False,1401,20,False,1303,289,False,198,2016,2024
01-08-2022,25,False,1472,20,False,1303,275,False,213,2016,2024
25-07-2022,24,False,1472,18,False,1303,279,False,213,2016,2024
18-07-2022,30,False,1302,20,False,1123,287,False,213,2016,2024
11-07-2022,39,False,1064,28,False,873,427,False,123,2016,2024
27-06-2022,41,False,1070,27,False,873,388,False,148,2016,2024
20-06-2022,42,False,1070,27,False,873,389,False,148,2016,2024
13-06-2022,46,False,1035,28,False,828,396,False,148,2016,2024
06-06-2022,44,False,1051,28,False,828,374,False,166,2016,2024
23-05-2022,45,False,1051,24,False,818,351,False,173,2016,2024
16-05-2022,44,False,1041,24,False,798,351,False,173,2016,2024
09-05-2022,49,False,1016,24,False,763,348,False,174,2016,2024
02-05-2022,49,False,1016,23,False,763,346,False,175,2016,2024
25-04-2022,47,False,1016,22,False,763,348,False,175,2016,2024
18-04-2022,48,False,1018,18,False,763,351,False,175,2016,2024
11-04-2022,52,False,1018,19,False,705,294,False,220,2016,2024
04-04-2022,51,False,1018,18,False,705,290,False,220,2016,2024
21-03-2022,103,False,668,36,False,345,287,False,225,2016,2024
07-03-2022,100,False,668,30,False,345,288,False,225,2016,2024
28-02-2022,76,False,820,30,False,345,256,False,270,2016,2024
21-02-2022,76,False,830,24,False,345,263,False,270,2016,2024
14-02-2022,100,False,698,41,False,165,266,False,270,2016,2024
07-02-2022,107,False,651,53,False,108,269,False,270,2016,2024
31-01-2022,111,False,651,40,False,108,269,False,270,2016,2024
17-01-2022,127,False,574,113,True,12,313,False,220,2016,2024
10-01-2022,125,False,585,79,True,12,312,False,220,2016,2024
03-01-2022,127,False,582,0,False,0,306,False,220,2016,2024
27-12-2021,127,False,582,94,False,548,306,False,220,2016,2024
20-12-2021,127,False,582,94,False,548,306,False,220,2016,2024
13-12-2021,127,False,582,94,False,548,306,False,220,2016,2024
06-12-2021,127,False,582,94,False,548,303,False,220,2016,2024
29-11-2021,114,False,653,94,False,548,302,False,220,2016,2024
22-11-2021,115,False,639,98,False,519,300,False,220,2016,2024
15-11-2021,112,False,690,101,False,490,301,False,220,2016,2024
08-11-2021,112,False,690,99,False,490,329,False,191,2016,2024
01-11-2021,115,False,690,98,False,483,329,False,191,2016,2024
25-10-2021,113,False,695,96,False,483,336,False,191,2016,2024
18-10-2021,116,False,676,100,False,454,338,False,191,2016,2024
04-10-2021,110,False,721,104,False,410,347,False,191,2016,2024
27-09-2021,111,False,727,103,False,410,398,False,162,2016,2024
20-09-2021,103,False,751,101,False,410,372,False,177,2016,2024
13-09-2021,104,False,751,99,False,410,371,False,177,2016,2024
30-08-2021,107,False,748,93,False,394,378,False,177,2016,2024
23-08-2021,107,False,748,93,False,394,374,False,177,2016,2024
16-08-2021,112,False,753,89,False,394,372,False,177,2016,2024
09-08-2021,111,False,758,84,False,394,367,False,177,2016,2024
02-08-2021,119,False,690,104,False,314,383,False,162,2016,2024
26-07-2021,118,False,690,101,False,314,386,False,162,2016,2024
19-07-2021,116,False,698,95,False,314,381,False,162,2016,2024
12-07-2021,116,False,698,93,False,302,376,False,162,2016,2024
28-06-2021,117,False,694,86,False,286,411,False,137,2016,2024
21-06-2021,117,False,694,83,False,286,410,False,137,2016,2024
14-06-2021,117,False,694,79,False,276,412,False,137,2016,2024
31-05-2021,117,False,688,75,False,250,433,False,126,2016,2024
24-05-2021,116,False,688,72,False,250,430,False,126,2016,2024
17-05-2021,116,False,688,69,False,250,429,False,126,2016,2024
10-05-2021,117,False,688,65,False,250,429,False,127,2016,2024
03-05-2021,116,False,688,60,True,250,428,False,128,2016,2024
26-04-2021,116,False,688,58,False,250,428,False,128,2016,2024
19-04-2021,115,False,686,55,False,238,426,False,128,2016,2024
12-04-2021,115,False,686,52,False,238,564,False,83,2016,2024
05-04-2021,114,False,686,46,False,238,568,False,83,2016,2024
22-03-2021,115,False,686,44,False,238,548,False,88,2016,2024
15-03-2021,114,False,686,35,False,238,543,False,88,2016,2024
08-03-2021,112,False,686,29,False,238,543,False,88,2016,2024
01-03-2021,137,False,532,84,False,76,823,False,43,2016,2024
22-02-2021,135,False,520,92,False,56,822,False,43,2016,2024
08-02-2021,146,False,478,0,False,0,807,False,43,2016,2024
01-02-2021,141,False,478,0,False,0,806,False,43,2016,2024
25-01-2021,140,False,478,0,False,0,804,False,43,2016,2024
18-01-2021,139,False,478,0,False,0,803,False,43,2016,2024
11-01-2021,139,False,478,0,False,0,801,False,43,2016,2024
04-01-2021,139,False,478,0,False,317,800,False,43,2016,2024
28-12-2020,139,False,471,0,False,0,799,False,43,2016,2024
21-12-2020,139,False,471,0,False,0,799,False,43,2016,2024
14-12-2020,139,False,471,0,False,0,797,False,43,2016,2024
07-12-2020,139,False,471,0,False,0,797,False,43,2016,2024
30-11-2020,159,False,398,0,False,0,794,False,43,2016,2024
23-11-2020,162,False,390,0,False,0,794,False,43,2016,2024
16-11-2020,198,False,316,0,False,0,791,False,43,2016,2024
09-11-2020,194,False,316,0,False,0,790,False,43,2016,2024
02-11-2020,192,False,316,0,False,0,786,False,43,2016,2024
26-10-2020,191,False,316,0,False,0,785,False,43,2016,2024
19-10-2020,190,False,316,0,False,0,782,False,43,2016,2024
12-10-2020,189,False,316,0,False,0,775,False,43,2016,2024
28-09-2020,223,False,242,0,False,0,770,False,43,2016,2024
21-09-2020,235,False,218,0,False,0,946,False,28,2016,2024
