rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,184,False,335,191,False,152,325,False,195,2016,2024
27-05-2024,175,False,345,173,False,152,325,False,195,2016,2024
20-05-2024,176,False,345,172,False,152,325,False,195,2016,2024
06-05-2024,169,False,355,160,False,152,325,False,195,2016,2024
22-04-2024,178,False,343,170,False,130,319,False,195,2016,2024
15-04-2024,190,False,327,177,False,114,319,False,195,2016,2024
08-04-2024,193,False,315,201,False,92,321,False,195,2016,2024
01-04-2024,191,False,315,191,False,92,237,False,285,2016,2024
18-03-2024,188,False,325,167,False,92,239,False,285,2016,2024
04-03-2024,183,False,335,144,False,92,241,False,285,2016,2024
26-02-2024,182,False,335,132,False,92,113,False,785,2016,2024
19-02-2024,177,False,348,126,False,85,115,False,785,2016,2024
12-02-2024,170,False,368,143,False,60,115,False,785,2016,2024
05-02-2024,128,False,505,171,False,47,89,False,935,2016,2024
29-01-2024,128,False,505,157,False,47,88,False,935,2016,2024
15-01-2024,123,False,526,192,False,23,93,False,935,2016,2024
08-01-2024,124,False,526,158,False,23,93,False,935,2016,2024
01-01-2024,126,False,519,139,True,16,86,False,955,2016,2024
25-12-2023,126,False,519,137,True,16,86,False,955,2016,2024
18-12-2023,126,False,519,129,True,16,86,False,955,2016,2024
11-12-2023,126,False,519,124,True,16,86,False,955,2016,2024
04-12-2023,126,False,519,108,True,16,86,False,955,2016,2024
27-11-2023,125,False,519,65,True,16,86,False,955,2016,2024
20-11-2023,124,False,519,31,True,16,87,False,955,2016,2024
13-11-2023,127,False,503,127,False,503,86,False,955,2016,2024
06-11-2023,125,False,503,125,False,503,95,False,910,2016,2024
30-10-2023,113,False,548,121,False,503,96,False,910,2016,2024
23-10-2023,113,False,548,117,False,503,78,False,1090,2016,2024
16-10-2023,108,False,568,113,False,503,67,False,1180,2016,2024
02-10-2023,112,False,543,112,False,478,72,False,1165,2016,2024
25-09-2023,104,False,588,109,False,478,71,False,1165,2016,2024
18-09-2023,104,False,588,107,False,478,72,False,1165,2016,2024
11-09-2023,126,False,488,138,False,378,72,False,1165,2016,2024
28-08-2023,124,False,490,127,False,370,74,False,1165,2016,2024
21-08-2023,114,False,535,127,False,370,74,False,1165,2016,2024
14-08-2023,113,False,545,122,False,370,76,False,1165,2016,2024
07-08-2023,112,False,580,118,False,370,77,False,1165,2016,2024
31-07-2023,96,False,615,115,False,370,78,False,1165,2016,2024
24-07-2023,105,False,605,114,False,350,79,False,1165,2016,2024
17-07-2023,105,False,605,109,False,350,78,False,1165,2016,2024
03-07-2023,58,False,845,100,False,340,78,False,1165,2016,2024
26-06-2023,55,False,835,105,False,320,78,False,1165,2016,2024
19-06-2023,42,False,975,103,False,320,73,False,1210,2016,2024
12-06-2023,40,False,975,99,False,320,78,False,1120,2016,2024
29-05-2023,44,False,975,89,False,310,66,False,1300,2016,2024
22-05-2023,42,False,975,88,False,310,64,False,1300,2016,2024
08-05-2023,41,False,985,81,False,300,64,False,1300,2016,2024
24-04-2023,39,False,1010,78,False,290,67,False,1300,2016,2024
17-04-2023,39,False,1010,72,False,290,68,False,1300,2016,2024
10-04-2023,40,False,1016,70,False,280,67,False,1300,2016,2024
03-04-2023,38,False,1016,63,True,280,69,False,1210,2016,2024
20-03-2023,37,False,1016,55,False,270,72,False,1210,2016,2024
06-03-2023,37,False,1016,47,False,260,72,False,1210,2016,2024
27-02-2023,36,False,1016,39,False,260,117,False,710,2016,2024
20-02-2023,37,False,1016,38,False,240,119,False,710,2016,2024
13-02-2023,40,False,991,32,False,195,121,False,710,2016,2024
06-02-2023,51,False,857,179,True,45,143,False,560,2016,2024
30-01-2023,54,False,857,162,True,45,144,False,560,2016,2024
16-01-2023,41,False,992,0,False,0,138,False,560,2016,2024
09-01-2023,39,False,1021,0,False,0,135,False,560,2016,2024
02-01-2023,34,False,1163,0,False,0,141,False,540,2016,2024
26-12-2022,34,False,1163,0,False,0,141,False,540,2016,2024
19-12-2022,34,False,1163,0,False,0,141,False,540,2016,2024
12-12-2022,34,False,1163,0,False,0,142,False,540,2016,2024
05-12-2022,34,False,1163,0,False,0,143,False,540,2016,2024
28-11-2022,32,False,1223,0,False,0,142,False,540,2016,2024
21-11-2022,32,False,1223,0,False,0,144,False,540,2016,2024
14-11-2022,32,False,1223,0,False,0,141,False,540,2016,2024
07-11-2022,33,False,1251,33,False,1251,141,False,540,2016,2024
31-10-2022,34,False,1254,33,False,1206,135,False,555,2016,2024
24-10-2022,34,False,1257,32,False,1206,189,False,375,2016,2024
17-10-2022,33,False,1257,32,False,1206,234,False,285,2016,2024
10-10-2022,33,False,1269,32,False,1206,259,False,240,2016,2024
03-10-2022,32,False,1269,31,False,1206,254,False,240,2016,2024
26-09-2022,34,False,1253,33,False,1181,253,False,240,2016,2024
19-09-2022,34,False,1253,32,False,1181,252,False,240,2016,2024
12-09-2022,34,False,1253,32,False,1181,252,False,240,2016,2024
29-08-2022,32,False,1313,26,False,1171,246,False,240,2016,2024
22-08-2022,34,False,1294,27,False,1146,249,False,240,2016,2024
15-08-2022,32,False,1304,25,False,1136,246,False,240,2016,2024
08-08-2022,31,False,1279,25,False,1091,243,False,240,2016,2024
01-08-2022,32,False,1252,25,False,1064,246,False,240,2016,2024
25-07-2022,34,False,1252,25,False,1046,242,False,248,2016,2024
18-07-2022,33,False,1252,22,False,1046,249,False,248,2016,2024
11-07-2022,41,False,1047,31,False,814,255,False,248,2016,2024
27-06-2022,45,False,1047,32,False,796,259,False,248,2016,2024
20-06-2022,60,False,913,40,False,664,296,False,213,2016,2024
13-06-2022,63,False,909,37,False,660,301,False,213,2016,2024
06-06-2022,67,False,909,35,False,660,271,False,246,2016,2024
23-05-2022,62,False,914,29,False,650,641,False,66,2016,2024
16-05-2022,63,False,914,29,False,650,638,False,66,2016,2024
09-05-2022,62,False,908,27,False,634,640,False,66,2016,2024
02-05-2022,64,False,888,27,False,599,642,False,66,2016,2024
25-04-2022,65,False,876,26,False,594,641,False,66,2016,2024
18-04-2022,65,False,876,24,False,594,638,False,66,2016,2024
11-04-2022,69,False,858,31,False,407,642,False,66,2016,2024
04-04-2022,70,False,858,29,False,407,635,False,66,2016,2024
21-03-2022,72,False,855,26,False,397,632,False,66,2016,2024
07-03-2022,72,False,852,24,False,387,639,False,66,2016,2024
28-02-2022,72,False,852,24,False,387,641,False,66,2016,2024
21-02-2022,67,False,913,18,False,387,642,False,66,2016,2024
