rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,181,False,340,238,False,121,1370,True,16,2017,2024
27-05-2024,178,False,340,228,False,113,1368,True,16,2017,2024
20-05-2024,178,False,340,220,False,113,1373,True,16,2017,2024
06-05-2024,167,False,359,219,False,106,1364,True,16,2017,2024
22-04-2024,179,False,342,232,False,81,1364,True,16,2017,2024
15-04-2024,153,False,417,220,False,81,1367,True,16,2017,2024
08-04-2024,152,False,417,215,False,81,1367,True,16,2017,2024
01-04-2024,153,False,417,206,False,81,1373,True,16,2017,2024
18-03-2024,157,False,417,183,False,81,1360,True,16,2017,2024
04-03-2024,160,False,399,202,False,63,1363,True,16,2017,2024
26-02-2024,161,False,393,349,False,25,1379,True,16,2017,2024
19-02-2024,161,False,390,464,False,12,1381,True,16,2017,2024
12-02-2024,163,False,390,443,False,12,1369,True,16,2017,2024
05-02-2024,148,False,435,416,True,12,1366,True,16,2017,2024
29-01-2024,146,False,435,382,False,12,1364,True,16,2017,2024
15-01-2024,138,False,443,0,False,0,1363,True,16,2017,2024
08-01-2024,133,False,493,0,False,0,1364,True,16,2017,2024
01-01-2024,120,False,543,0,False,0,1358,True,16,2017,2024
25-12-2023,120,False,543,0,False,0,1356,True,16,2017,2024
18-12-2023,120,False,543,0,False,0,1355,True,16,2017,2024
11-12-2023,120,False,543,0,False,0,1365,True,16,2017,2024
04-12-2023,120,False,543,0,False,0,1358,True,16,2017,2024
27-11-2023,118,False,543,0,False,0,1352,True,16,2017,2024
20-11-2023,115,False,543,0,False,0,1358,True,16,2017,2024
13-11-2023,116,False,543,117,False,543,1357,True,16,2017,2024
06-11-2023,116,False,544,115,False,543,1364,True,16,2017,2024
30-10-2023,116,False,544,116,False,537,1359,True,16,2017,2024
23-10-2023,114,False,544,113,False,537,1361,True,16,2017,2024
16-10-2023,99,False,617,108,False,537,1361,True,16,2017,2024
02-10-2023,102,False,611,108,False,515,1348,True,16,2017,2024
25-09-2023,88,False,684,103,False,515,1339,True,16,2017,2024
18-09-2023,89,False,691,102,False,512,1339,True,16,2017,2024
11-09-2023,91,False,668,106,False,482,0,False,0,2017,2024
28-08-2023,93,False,630,106,False,437,0,False,0,2017,2024
21-08-2023,100,False,591,118,False,392,0,False,0,2017,2024
14-08-2023,103,False,591,116,False,392,0,False,0,2017,2024
07-08-2023,107,False,591,112,False,392,0,False,0,2017,2024
31-07-2023,106,False,585,110,False,386,0,False,0,2017,2024
24-07-2023,110,False,585,107,False,386,0,False,0,2017,2024
17-07-2023,100,False,615,100,False,386,0,False,0,2017,2024
03-07-2023,111,False,560,106,False,331,0,False,0,2017,2024
26-06-2023,110,False,560,104,False,331,0,False,0,2017,2024
19-06-2023,110,False,560,98,False,331,0,False,0,2017,2024
12-06-2023,109,False,560,96,False,331,0,False,0,2017,2024
29-05-2023,105,False,601,82,False,323,0,False,0,2017,2024
22-05-2023,104,False,601,81,False,323,0,False,0,2017,2024
08-05-2023,105,False,575,84,False,297,0,False,0,2017,2024
24-04-2023,104,False,567,79,False,289,0,False,0,2017,2024
17-04-2023,123,False,492,97,False,214,0,False,0,2017,2024
10-04-2023,123,False,492,91,False,214,0,False,0,2017,2024
03-04-2023,119,False,492,78,False,214,0,False,0,2017,2024
20-03-2023,105,False,537,67,False,214,0,False,0,2017,2024
06-03-2023,104,False,547,59,False,214,0,False,0,2017,2024
27-02-2023,108,False,515,56,False,182,0,False,0,2017,2024
20-02-2023,107,False,505,49,False,172,0,False,0,2017,2024
13-02-2023,105,False,505,39,False,172,0,False,0,2017,2024
06-02-2023,114,False,460,51,False,127,0,False,0,2017,2024
30-01-2023,119,False,460,46,False,127,0,False,0,2017,2024
16-01-2023,126,False,450,26,True,107,0,False,0,2017,2024
09-01-2023,143,False,400,55,False,57,0,False,0,2017,2024
02-01-2023,151,False,370,316,True,7,0,False,0,2017,2024
26-12-2022,151,False,370,309,True,7,0,False,0,2017,2024
19-12-2022,151,False,370,302,True,7,0,False,0,2017,2024
12-12-2022,151,False,370,296,True,7,0,False,0,2017,2024
05-12-2022,152,False,370,281,True,7,0,False,0,2017,2024
28-11-2022,155,False,370,245,True,7,0,False,0,2017,2024
21-11-2022,154,False,370,182,True,7,0,False,0,2017,2024
14-11-2022,146,False,385,111,True,7,0,False,0,2017,2024
07-11-2022,149,False,378,149,False,378,0,False,0,2017,2024
31-10-2022,151,False,371,148,False,371,0,False,0,2017,2024
24-10-2022,136,False,419,146,False,371,0,False,0,2017,2024
17-10-2022,156,False,368,175,False,291,0,False,0,2017,2024
10-10-2022,155,False,367,185,False,275,0,False,0,2017,2024
03-10-2022,148,False,367,181,False,275,0,False,0,2017,2024
26-09-2022,178,False,302,233,False,195,1261,True,15,2017,2024
19-09-2022,187,False,286,243,False,179,1243,True,15,2017,2024
12-09-2022,186,False,286,238,False,179,1230,True,15,2017,2024
29-08-2022,124,False,446,228,False,179,1221,True,15,2017,2024
22-08-2022,125,False,446,222,False,179,1214,True,15,2017,2024
15-08-2022,119,False,475,218,False,179,927,False,30,2017,2024
08-08-2022,99,False,525,211,False,179,907,False,31,2017,2024
01-08-2022,101,False,525,208,False,179,762,False,46,2017,2024
25-07-2022,107,False,525,200,False,179,755,False,46,2017,2024
18-07-2022,110,False,495,225,False,149,755,False,46,2017,2024
11-07-2022,114,False,495,218,False,149,761,False,46,2017,2024
27-06-2022,122,False,495,206,False,149,742,False,49,2017,2024
20-06-2022,121,False,495,202,False,149,732,False,49,2017,2024
13-06-2022,125,False,500,192,False,149,735,False,50,2017,2024
06-06-2022,120,False,522,187,False,149,742,False,50,2017,2024
23-05-2022,129,False,476,241,False,100,718,False,51,2017,2024
16-05-2022,132,False,476,231,False,100,717,False,51,2017,2024
09-05-2022,123,False,505,217,False,100,713,False,52,2017,2024
02-05-2022,127,False,505,208,False,100,707,False,53,2017,2024
25-04-2022,113,False,584,199,False,100,710,False,53,2017,2024
18-04-2022,116,False,584,186,False,100,711,False,53,2017,2024
11-04-2022,116,False,584,177,False,85,714,False,53,2017,2024
04-04-2022,117,False,584,165,False,85,707,False,53,2017,2024
21-03-2022,122,False,541,211,False,40,704,False,53,2017,2024
07-03-2022,119,False,561,224,False,30,695,False,56,2017,2024
28-02-2022,119,False,562,213,False,30,682,False,59,2017,2024
21-02-2022,79,False,821,193,False,30,691,False,59,2017,2024
14-02-2022,80,False,821,181,False,30,693,False,59,2017,2024
07-02-2022,80,False,822,157,False,30,695,False,59,2017,2024
31-01-2022,79,False,822,138,False,30,691,False,59,2017,2024
17-01-2022,80,False,818,81,True,20,450,False,120,2017,2024
10-01-2022,81,False,818,56,True,20,452,False,120,2017,2024
03-01-2022,90,False,803,0,False,0,451,False,120,2017,2024
27-12-2021,90,False,803,64,False,780,451,False,120,2017,2024
20-12-2021,90,False,803,64,False,780,453,False,120,2017,2024
13-12-2021,90,False,803,64,False,780,452,False,120,2017,2024
06-12-2021,90,False,803,64,False,780,449,False,120,2017,2024
29-11-2021,90,False,803,64,False,780,451,False,120,2017,2024
22-11-2021,89,False,805,63,False,780,421,False,135,2017,2024
15-11-2021,89,False,795,62,False,765,404,False,141,2017,2024
08-11-2021,91,False,795,62,False,765,408,False,141,2017,2024
01-11-2021,85,False,819,56,False,765,405,False,141,2017,2024
25-10-2021,94,False,777,63,False,717,408,False,145,2017,2024
18-10-2021,102,False,753,65,False,688,402,False,147,2017,2024
04-10-2021,103,False,748,61,False,673,405,False,151,2017,2024
27-09-2021,105,False,737,60,False,658,434,False,136,2017,2024
20-09-2021,106,False,740,58,False,658,406,False,151,2017,2024
13-09-2021,108,False,740,58,False,658,405,False,151,2017,2024
30-08-2021,135,False,594,73,False,498,405,False,154,2017,2024
23-08-2021,135,False,594,69,True,498,404,False,154,2017,2024
16-08-2021,139,False,571,70,False,469,421,False,145,2017,2024
09-08-2021,148,False,527,75,False,421,415,False,146,2017,2024
02-08-2021,145,False,527,73,False,421,446,False,132,2017,2024
26-07-2021,146,False,527,69,False,421,445,False,132,2017,2024
19-07-2021,144,False,527,68,False,421,440,False,132,2017,2024
12-07-2021,144,False,527,62,False,421,428,False,132,2017,2024
28-06-2021,141,False,527,57,False,421,416,False,135,2017,2024
21-06-2021,141,False,527,55,False,421,414,False,135,2017,2024
14-06-2021,141,False,532,53,False,421,414,False,136,2017,2024
31-05-2021,147,False,513,47,False,397,412,False,137,2017,2024
24-05-2021,147,False,513,46,False,397,410,False,137,2017,2024
17-05-2021,146,False,513,44,False,397,408,False,137,2017,2024
10-05-2021,152,False,486,42,False,368,409,False,138,2017,2024
03-05-2021,152,False,486,40,False,368,409,False,139,2017,2024
26-04-2021,176,False,408,49,False,288,407,False,139,2017,2024
19-04-2021,175,False,408,45,False,288,406,False,139,2017,2024
12-04-2021,174,False,408,41,False,288,405,False,139,2017,2024
05-04-2021,176,False,410,34,False,288,403,False,139,2017,2024
22-03-2021,176,False,410,30,False,288,401,False,139,2017,2024
15-03-2021,175,False,410,25,False,288,398,False,139,2017,2024
08-03-2021,182,False,392,24,False,268,395,False,139,2017,2024
01-03-2021,181,False,392,19,False,268,393,False,139,2017,2024
22-02-2021,335,False,132,325,False,6,389,False,139,2017,2024
08-02-2021,332,False,132,187,True,6,382,False,139,2017,2024
01-02-2021,332,False,132,105,True,6,380,False,139,2017,2024
25-01-2021,341,False,127,0,False,0,379,False,139,2017,2024
18-01-2021,341,False,127,0,False,0,390,False,129,2017,2024
11-01-2021,341,False,127,0,False,0,390,False,129,2017,2024
04-01-2021,341,False,127,0,False,41,390,False,129,2017,2024
