rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,50,False,955,39,False,650,1390,True,16,2017,2024
27-05-2024,53,False,940,38,False,600,1384,True,16,2017,2024
20-05-2024,56,False,860,46,False,500,1389,True,16,2017,2024
06-05-2024,57,False,868,46,False,470,1390,True,16,2017,2024
22-04-2024,64,False,848,49,False,420,1391,True,16,2017,2024
15-04-2024,62,False,880,41,False,420,1394,True,16,2017,2024
08-04-2024,63,False,880,38,False,420,1394,True,16,2017,2024
01-04-2024,63,False,865,37,False,395,566,False,91,2017,2024
18-03-2024,63,False,865,34,False,365,563,False,91,2017,2024
04-03-2024,62,False,880,31,False,355,556,False,91,2017,2024
26-02-2024,69,False,825,36,False,280,555,False,91,2017,2024
19-02-2024,69,False,825,32,False,267,560,False,91,2017,2024
12-02-2024,72,False,779,37,False,210,567,False,91,2017,2024
05-02-2024,71,False,779,27,False,210,563,False,91,2017,2024
29-01-2024,76,False,738,36,False,160,572,False,91,2017,2024
15-01-2024,100,False,617,148,True,30,447,False,127,2017,2024
08-01-2024,102,False,617,114,True,30,446,False,127,2017,2024
01-01-2024,101,False,640,68,True,30,444,False,127,2017,2024
25-12-2023,101,False,640,65,True,30,442,False,127,2017,2024
18-12-2023,101,False,640,63,True,30,440,False,127,2017,2024
11-12-2023,101,False,640,60,True,30,439,False,127,2017,2024
04-12-2023,101,False,640,56,True,30,441,False,127,2017,2024
27-11-2023,100,False,640,32,True,30,439,False,127,2017,2024
20-11-2023,100,False,640,14,True,30,442,False,127,2017,2024
13-11-2023,98,False,619,101,False,619,440,False,127,2017,2024
06-11-2023,100,False,619,98,False,619,440,False,127,2017,2024
30-10-2023,98,False,619,98,False,610,490,False,111,2017,2024
23-10-2023,95,False,640,96,False,610,496,False,111,2017,2024
16-10-2023,106,False,574,105,False,544,493,False,111,2017,2024
02-10-2023,121,False,497,119,False,453,497,False,111,2017,2024
25-09-2023,122,False,497,118,False,453,491,False,111,2017,2024
18-09-2023,129,False,476,122,False,430,490,False,111,2017,2024
11-09-2023,132,False,462,125,False,405,480,False,111,2017,2024
28-08-2023,137,False,442,128,False,369,478,False,111,2017,2024
21-08-2023,138,False,442,128,False,369,474,False,111,2017,2024
14-08-2023,142,False,442,124,False,369,476,False,111,2017,2024
07-08-2023,143,False,442,121,False,362,478,False,111,2017,2024
31-07-2023,142,False,442,116,False,362,476,False,111,2017,2024
24-07-2023,148,False,417,118,False,337,478,False,111,2017,2024
17-07-2023,148,False,408,117,False,328,474,False,111,2017,2024
03-07-2023,150,False,390,127,False,278,477,False,111,2017,2024
26-06-2023,150,False,390,124,False,278,472,False,111,2017,2024
19-06-2023,149,False,390,122,False,278,473,False,111,2017,2024
12-06-2023,149,False,401,117,False,278,475,False,111,2017,2024
29-05-2023,159,False,378,117,False,243,473,False,111,2017,2024
22-05-2023,159,False,378,116,False,243,469,False,111,2017,2024
08-05-2023,183,False,327,142,False,185,478,False,111,2017,2024
24-04-2023,182,False,327,155,False,155,481,False,111,2017,2024
17-04-2023,208,False,277,211,False,98,477,False,111,2017,2024
10-04-2023,204,False,286,198,False,98,478,False,111,2017,2024
03-04-2023,204,False,286,186,False,98,582,False,86,2017,2024
20-03-2023,177,False,332,258,False,57,584,False,86,2017,2024
06-03-2023,165,False,353,288,False,41,580,False,86,2017,2024
27-02-2023,166,False,353,265,False,41,574,False,86,2017,2024
20-02-2023,168,False,353,246,False,41,566,False,86,2017,2024
13-02-2023,170,False,353,229,False,41,562,False,86,2017,2024
06-02-2023,172,False,353,213,False,41,570,False,86,2017,2024
30-01-2023,173,False,353,192,False,41,564,False,86,2017,2024
16-01-2023,164,False,360,165,False,32,769,False,50,2017,2024
09-01-2023,164,False,360,132,False,32,772,False,50,2017,2024
02-01-2023,171,False,335,0,False,0,781,False,50,2017,2024
26-12-2022,171,False,335,0,False,0,783,False,50,2017,2024
19-12-2022,171,False,335,0,False,0,782,False,50,2017,2024
12-12-2022,173,False,335,0,False,0,787,False,50,2017,2024
05-12-2022,173,False,335,0,False,0,788,False,50,2017,2024
28-11-2022,170,False,343,0,False,0,785,False,50,2017,2024
21-11-2022,161,False,351,0,False,0,786,False,50,2017,2024
14-11-2022,164,False,351,0,False,0,781,False,50,2017,2024
07-11-2022,161,False,351,161,False,351,783,False,50,2017,2024
31-10-2022,162,False,351,160,False,344,776,False,50,2017,2024
24-10-2022,167,False,328,166,False,321,779,False,50,2017,2024
17-10-2022,167,False,328,163,False,321,780,False,50,2017,2024
10-10-2022,164,False,345,160,False,316,682,False,65,2017,2024
03-10-2022,159,False,341,156,False,312,669,False,65,2017,2024
26-09-2022,150,False,363,152,False,312,370,False,145,2017,2024
19-09-2022,150,False,363,149,False,312,350,False,160,2017,2024
12-09-2022,152,False,359,148,False,307,351,False,160,2017,2024
29-08-2022,152,False,360,147,False,291,350,False,160,2017,2024
22-08-2022,139,False,401,147,False,291,349,False,160,2017,2024
15-08-2022,134,False,401,146,False,285,348,False,160,2017,2024
08-08-2022,134,False,401,149,False,278,354,False,160,2017,2024
01-08-2022,138,False,401,143,False,278,351,False,160,2017,2024
25-07-2022,133,False,409,137,False,271,357,False,160,2017,2024
18-07-2022,134,False,409,128,False,271,358,False,160,2017,2024
11-07-2022,137,False,408,129,False,262,365,False,160,2017,2024
27-06-2022,145,False,407,134,False,246,368,False,160,2017,2024
20-06-2022,145,False,407,130,False,246,367,False,160,2017,2024
13-06-2022,150,False,403,126,False,242,374,False,160,2017,2024
06-06-2022,157,False,399,121,False,237,359,False,175,2017,2024
23-05-2022,153,False,411,115,False,222,349,False,175,2017,2024
16-05-2022,153,False,411,115,False,222,319,False,190,2017,2024
09-05-2022,150,False,418,113,False,222,323,False,190,2017,2024
02-05-2022,150,False,418,110,False,222,322,False,190,2017,2024
25-04-2022,146,False,436,116,False,192,321,False,190,2017,2024
18-04-2022,143,False,440,110,False,186,324,False,190,2017,2024
11-04-2022,145,False,434,121,False,140,316,False,192,2017,2024
04-04-2022,147,False,434,112,False,140,391,False,144,2017,2024
21-03-2022,165,False,361,172,False,60,395,False,144,2017,2024
07-03-2022,177,False,338,262,True,23,398,False,144,2017,2024
28-02-2022,178,False,338,248,False,23,405,False,144,2017,2024
21-02-2022,184,False,338,226,False,23,408,False,144,2017,2024
14-02-2022,190,False,338,206,False,23,416,False,144,2017,2024
07-02-2022,193,False,338,181,True,23,415,False,144,2017,2024
31-01-2022,192,False,338,157,True,23,413,False,144,2017,2024
17-01-2022,199,False,326,138,True,7,407,False,144,2017,2024
10-01-2022,199,False,326,91,True,7,403,False,144,2017,2024
03-01-2022,205,False,321,0,False,0,407,False,144,2017,2024
27-12-2021,205,False,321,151,False,321,408,False,144,2017,2024
20-12-2021,205,False,321,151,False,321,410,False,144,2017,2024
13-12-2021,203,False,321,150,False,321,409,False,144,2017,2024
06-12-2021,203,False,321,150,False,321,405,False,144,2017,2024
29-11-2021,208,False,308,154,False,308,402,False,144,2017,2024
22-11-2021,214,False,295,157,False,295,403,False,144,2017,2024
15-11-2021,218,False,295,155,False,295,403,False,144,2017,2024
08-11-2021,221,False,295,152,False,295,404,False,144,2017,2024
01-11-2021,221,False,295,149,False,295,402,False,144,2017,2024
25-10-2021,219,False,295,147,False,295,403,False,146,2017,2024
18-10-2021,219,False,295,147,False,295,404,False,146,2017,2024
04-10-2021,243,False,263,156,False,259,442,False,131,2017,2024
27-09-2021,257,False,246,166,True,230,720,False,57,2017,2024
20-09-2021,264,False,239,167,False,223,839,False,42,2017,2024
13-09-2021,264,False,239,164,False,223,843,False,42,2017,2024
30-08-2021,281,False,215,165,False,199,863,False,42,2017,2024
23-08-2021,313,False,167,196,True,151,614,False,77,2017,2024
16-08-2021,313,False,165,198,False,149,493,False,112,2017,2024
09-08-2021,314,False,165,194,False,149,489,False,112,2017,2024
02-08-2021,315,False,165,191,False,149,491,False,112,2017,2024
26-07-2021,331,False,150,194,False,134,486,False,112,2017,2024
19-07-2021,328,False,150,187,False,134,472,False,112,2017,2024
12-07-2021,340,False,135,196,True,119,466,False,112,2017,2024
28-06-2021,369,False,120,197,True,104,461,False,112,2017,2024
21-06-2021,370,False,120,194,True,104,460,False,112,2017,2024
14-06-2021,379,False,113,190,False,97,457,False,112,2017,2024
31-05-2021,386,False,113,169,True,97,500,False,97,2017,2024
24-05-2021,429,False,93,191,False,77,494,False,97,2017,2024
17-05-2021,446,False,89,193,False,73,569,False,82,2017,2024
10-05-2021,449,False,89,187,False,73,571,False,82,2017,2024
03-05-2021,450,False,89,182,False,73,573,False,82,2017,2024
