rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,75,False,735,72,False,423,0,False,0,2019,2024
27-05-2024,77,False,725,67,False,413,0,False,0,2019,2024
20-05-2024,77,False,725,63,False,413,0,False,0,2019,2024
06-05-2024,75,False,740,54,False,413,0,False,0,2019,2024
22-04-2024,75,False,748,50,False,413,0,False,0,2019,2024
15-04-2024,75,False,748,42,False,413,0,False,0,2019,2024
08-04-2024,75,False,752,39,False,413,0,False,0,2019,2024
01-04-2024,74,False,752,33,False,413,0,False,0,2019,2024
18-03-2024,74,False,774,28,False,413,0,False,0,2019,2024
04-03-2024,77,False,769,26,False,400,0,False,0,2019,2024
26-02-2024,86,False,701,27,False,325,0,False,0,2019,2024
19-02-2024,83,False,701,20,False,325,0,False,0,2019,2024
12-02-2024,81,False,714,16,False,325,0,False,0,2019,2024
05-02-2024,80,False,714,13,False,325,0,False,0,2019,2024
29-01-2024,83,False,696,13,False,300,0,False,0,2019,2024
15-01-2024,122,False,529,24,True,100,0,False,0,2019,2024
08-01-2024,108,False,601,16,True,100,0,False,0,2019,2024
01-01-2024,130,False,508,0,False,0,0,False,0,2019,2024
25-12-2023,130,False,508,0,False,0,0,False,0,2019,2024
18-12-2023,130,False,508,0,False,0,0,False,0,2019,2024
11-12-2023,130,False,508,0,False,0,0,False,0,2019,2024
04-12-2023,130,False,508,0,False,0,0,False,0,2019,2024
27-11-2023,129,False,508,0,False,0,0,False,0,2019,2024
20-11-2023,128,False,508,0,False,0,0,False,0,2019,2024
13-11-2023,125,False,508,125,False,508,0,False,0,2019,2024
06-11-2023,123,False,508,123,False,508,0,False,0,2019,2024
30-10-2023,124,False,508,123,False,501,0,False,0,2019,2024
23-10-2023,126,False,494,121,False,488,0,False,0,2019,2024
16-10-2023,123,False,489,119,False,483,0,False,0,2019,2024
02-10-2023,124,False,488,117,False,474,0,False,0,2019,2024
25-09-2023,125,False,488,115,False,474,0,False,0,2019,2024
18-09-2023,131,False,469,115,False,455,0,False,0,2019,2024
11-09-2023,130,False,469,113,False,455,0,False,0,2019,2024
28-08-2023,119,False,520,109,False,429,0,False,0,2019,2024
21-08-2023,121,False,520,108,False,429,0,False,0,2019,2024
14-08-2023,126,False,496,114,False,399,0,False,0,2019,2024
07-08-2023,128,False,495,113,False,392,0,False,0,2019,2024
31-07-2023,138,False,451,119,False,348,0,False,0,2019,2024
24-07-2023,141,False,449,116,False,348,0,False,0,2019,2024
17-07-2023,142,False,442,111,False,345,0,False,0,2019,2024
03-07-2023,139,False,442,102,False,339,0,False,0,2019,2024
26-06-2023,139,False,442,100,False,339,0,False,0,2019,2024
19-06-2023,147,False,399,113,False,300,0,False,0,2019,2024
12-06-2023,181,False,321,147,False,222,0,False,0,2019,2024
29-05-2023,190,False,321,129,False,222,0,False,0,2019,2024
22-05-2023,193,False,315,131,False,218,0,False,0,2019,2024
08-05-2023,197,False,300,132,False,203,0,False,0,2019,2024
24-04-2023,204,False,286,118,False,189,0,False,0,2019,2024
17-04-2023,191,False,302,111,False,189,0,False,0,2019,2024
10-04-2023,199,False,291,113,False,178,0,False,0,2019,2024
03-04-2023,205,False,285,108,False,172,0,False,0,2019,2024
20-03-2023,218,False,259,119,False,142,0,False,0,2019,2024
06-03-2023,219,False,259,97,False,142,0,False,0,2019,2024
27-02-2023,217,False,259,83,False,142,0,False,0,2019,2024
20-02-2023,218,False,259,71,False,142,0,False,0,2019,2024
13-02-2023,229,False,239,67,False,122,0,False,0,2019,2024
06-02-2023,233,False,233,62,False,116,0,False,0,2019,2024
30-01-2023,230,False,233,57,False,116,0,False,0,2019,2024
16-01-2023,265,False,200,47,False,83,0,False,0,2019,2024
09-01-2023,382,False,121,540,True,4,0,False,0,2019,2024
02-01-2023,381,False,121,446,True,4,0,False,0,2019,2024
26-12-2022,382,False,121,439,True,4,0,False,0,2019,2024
