rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,1075,False,10,804,False,10,0,False,0,2004,2024
27-05-2024,1063,False,10,770,False,10,0,False,0,2004,2024
20-05-2024,1063,False,10,745,False,10,0,False,0,2004,2024
06-05-2024,1060,False,10,731,False,10,0,False,0,2004,2024
22-04-2024,1061,False,10,706,False,10,0,False,0,2004,2024
15-04-2024,1064,False,10,697,False,10,0,False,0,2004,2024
08-04-2024,1058,False,10,681,False,10,0,False,0,2004,2024
01-04-2024,1056,False,10,659,False,10,0,False,0,2004,2024
18-03-2024,1047,False,10,599,False,10,0,False,0,2004,2024
04-03-2024,1042,False,10,561,True,10,0,False,0,2004,2024
26-02-2024,1042,False,10,533,True,10,0,False,0,2004,2024
19-02-2024,1044,False,10,506,True,10,0,False,0,2004,2024
12-02-2024,1044,False,10,479,True,10,0,False,0,2004,2024
05-02-2024,1042,False,10,457,True,10,0,False,0,2004,2024
29-01-2024,1044,False,10,420,True,10,0,False,0,2004,2024
15-01-2024,0,False,0,0,False,0,0,False,0,2004,2024
08-01-2024,0,False,0,0,False,0,0,False,0,2004,2024
01-01-2024,674,False,45,0,False,0,0,False,0,2004,2024
25-12-2023,672,False,45,0,False,0,0,False,0,2004,2024
18-12-2023,668,False,45,0,False,0,0,False,0,2004,2024
11-12-2023,670,False,45,0,False,0,0,False,0,2004,2024
04-12-2023,666,False,45,0,False,0,0,False,0,2004,2024
27-11-2023,665,False,45,0,False,0,0,False,0,2004,2024
20-11-2023,664,False,45,0,False,0,0,False,0,2004,2024
13-11-2023,666,False,45,670,False,45,0,False,0,2004,2024
06-11-2023,663,False,45,659,False,45,0,False,0,2004,2024
30-10-2023,606,False,55,656,False,45,0,False,0,2004,2024
23-10-2023,602,False,55,648,False,45,0,False,0,2004,2024
16-10-2023,611,False,55,640,False,45,0,False,0,2004,2024
02-10-2023,441,False,100,627,False,45,0,False,0,2004,2024
25-09-2023,245,False,250,617,False,45,0,False,0,2004,2024
18-09-2023,242,False,250,609,False,45,0,False,0,2004,2024
11-09-2023,243,False,250,596,False,45,0,False,0,2004,2024
