rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,1074,False,10,0,False,0,0,False,0,2004,2024
27-05-2024,1062,False,10,0,False,0,0,False,0,2004,2024
20-05-2024,1062,False,10,0,False,0,0,False,0,2004,2024
06-05-2024,876,False,20,0,False,0,1031,False,32,2004,2024
22-04-2024,769,False,30,0,False,0,1043,True,32,2004,2024
15-04-2024,770,False,30,0,False,0,1049,False,32,2004,2024
08-04-2024,773,False,30,0,False,0,1050,False,32,2004,2024
01-04-2024,765,False,30,0,False,0,1049,False,32,2004,2024
18-03-2024,761,False,30,0,False,0,1048,False,32,2004,2024
04-03-2024,764,False,30,0,False,0,1048,False,32,2004,2024
26-02-2024,762,False,30,0,False,0,1033,False,32,2004,2024
19-02-2024,763,False,30,0,False,0,1032,False,32,2004,2024
12-02-2024,765,False,30,0,False,0,1025,False,32,2004,2024
05-02-2024,765,False,30,0,False,0,1032,False,32,2004,2024
29-01-2024,767,False,30,0,False,0,1029,False,32,2004,2024
15-01-2024,518,False,75,0,False,0,118,False,752,2004,2024
08-01-2024,522,False,75,0,False,0,111,False,797,2004,2024
01-01-2024,522,False,75,0,False,0,111,False,797,2004,2024
25-12-2023,519,False,75,0,False,0,111,False,797,2004,2024
18-12-2023,522,False,75,0,False,0,111,False,797,2004,2024
11-12-2023,516,False,75,0,False,0,111,False,797,2004,2024
04-12-2023,514,False,75,0,False,0,111,False,797,2004,2024
27-11-2023,511,False,75,0,False,0,112,False,797,2004,2024
20-11-2023,508,False,75,0,False,0,113,False,797,2004,2024
13-11-2023,505,False,75,510,False,75,113,False,797,2004,2024
06-11-2023,512,False,75,502,False,75,110,False,797,2004,2024
30-10-2023,512,False,75,503,False,75,112,False,797,2004,2024
23-10-2023,512,False,75,499,False,75,114,False,797,2004,2024
16-10-2023,510,False,75,492,False,75,113,False,797,2004,2024
02-10-2023,513,False,75,478,False,75,112,False,797,2004,2024
25-09-2023,517,False,75,471,False,75,112,False,797,2004,2024
18-09-2023,517,False,75,465,False,75,114,False,797,2004,2024
11-09-2023,514,False,75,459,False,75,112,False,797,2004,2024
28-08-2023,511,False,75,440,False,75,110,False,797,2004,2024
21-08-2023,512,False,75,434,False,75,110,False,797,2004,2024
14-08-2023,508,False,75,428,False,75,109,False,797,2004,2024
07-08-2023,507,False,75,414,False,75,108,False,797,2004,2024
31-07-2023,506,False,75,404,False,75,107,False,797,2004,2024
24-07-2023,507,False,75,397,False,75,106,False,797,2004,2024
17-07-2023,504,False,75,388,False,75,105,False,797,2004,2024
03-07-2023,542,False,65,391,False,65,106,False,797,2004,2024
26-06-2023,534,False,65,386,False,65,105,False,797,2004,2024
19-06-2023,528,False,65,374,False,65,105,False,797,2004,2024
12-06-2023,528,False,65,361,False,65,106,False,797,2004,2024
29-05-2023,538,False,65,344,False,65,111,False,797,2004,2024
22-05-2023,537,False,65,337,False,65,111,False,797,2004,2024
08-05-2023,591,False,55,347,False,55,118,False,765,2004,2024
24-04-2023,635,False,45,360,False,45,114,False,765,2004,2024
17-04-2023,637,False,45,355,False,45,114,False,765,2004,2024
10-04-2023,635,False,45,345,False,45,113,False,765,2004,2024
03-04-2023,637,False,45,332,False,45,112,False,765,2004,2024
20-03-2023,631,False,45,298,False,45,109,False,765,2004,2024
06-03-2023,627,False,45,264,True,45,110,False,765,2004,2024
27-02-2023,629,False,45,246,True,45,108,False,765,2004,2024
20-02-2023,628,False,45,222,True,45,109,False,765,2004,2024
13-02-2023,628,False,45,201,True,45,108,False,765,2004,2024
06-02-2023,629,False,45,177,True,45,107,False,765,2004,2024
30-01-2023,628,False,45,160,True,45,108,False,765,2004,2024
16-01-2023,0,False,0,0,False,0,815,False,45,2004,2024
09-01-2023,0,False,0,0,False,0,0,False,0,2004,2024
12-09-2022,0,False,0,0,False,0,0,False,0,2004,2024
29-08-2022,968,False,10,0,False,0,532,True,90,2004,2024
22-08-2022,967,False,10,0,False,0,530,True,90,2004,2024
15-08-2022,955,False,10,0,False,0,525,True,90,2004,2024
08-08-2022,956,False,10,0,False,0,522,True,90,2004,2024
01-08-2022,960,False,10,0,False,0,320,False,180,2004,2024
25-07-2022,969,False,10,0,False,0,319,False,180,2004,2024
18-07-2022,977,False,10,0,False,0,324,False,180,2004,2024
11-07-2022,661,False,33,0,False,0,330,False,180,2004,2024
27-06-2022,474,False,78,0,False,0,198,False,360,2004,2024
20-06-2022,473,False,78,0,False,0,197,False,360,2004,2024
13-06-2022,407,False,101,0,False,0,183,False,428,2004,2024
06-06-2022,388,False,111,0,False,0,168,False,518,2004,2024
23-05-2022,346,False,131,0,False,0,164,False,518,2004,2024
16-05-2022,344,False,131,0,False,0,166,False,518,2004,2024
09-05-2022,335,False,135,0,False,0,122,False,818,2004,2024
02-05-2022,279,False,180,0,False,0,121,False,818,2004,2024
25-04-2022,255,False,200,0,False,0,105,False,943,2004,2024
18-04-2022,236,False,220,0,False,0,86,False,1123,2004,2024
11-04-2022,210,False,265,0,False,0,85,False,1123,2004,2024
04-04-2022,209,False,265,0,False,0,83,False,1146,2004,2024
21-03-2022,200,False,288,0,False,0,82,False,1146,2004,2024
07-03-2022,160,False,378,0,False,0,72,False,1326,2004,2024
28-02-2022,135,False,488,0,False,0,66,False,1506,2004,2024
