rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,876,False,21,803,False,10,0,False,0,2008,2024
27-05-2024,1049,False,11,0,False,0,0,False,0,2008,2024
20-05-2024,1047,False,11,0,False,0,0,False,0,2008,2024
06-05-2024,1049,False,11,0,False,0,0,False,0,2008,2024
22-04-2024,1052,False,11,0,False,0,0,False,0,2008,2024
15-04-2024,1052,False,11,0,False,0,0,False,0,2008,2024
08-04-2024,1050,False,11,0,False,0,0,False,0,2008,2024
01-04-2024,1049,False,11,0,False,0,0,False,0,2008,2024
18-03-2024,1037,False,11,0,False,0,0,False,0,2008,2024
04-03-2024,1033,False,11,0,False,0,0,False,0,2008,2024
26-02-2024,1032,False,11,0,False,0,0,False,0,2008,2024
19-02-2024,1030,False,11,0,False,0,0,False,0,2008,2024
12-02-2024,1032,False,11,0,False,0,0,False,0,2008,2024
05-02-2024,1030,False,11,0,False,0,0,False,0,2008,2024
29-01-2024,1030,False,11,0,False,0,0,False,0,2008,2024
15-01-2024,605,False,56,0,False,0,0,False,0,2008,2024
08-01-2024,606,False,56,0,False,0,0,False,0,2008,2024
01-01-2024,607,False,56,0,False,0,0,False,0,2008,2024
25-12-2023,606,False,56,0,False,0,0,False,0,2008,2024
18-12-2023,606,False,56,0,False,0,0,False,0,2008,2024
11-12-2023,607,False,56,0,False,0,0,False,0,2008,2024
04-12-2023,604,False,56,0,False,0,0,False,0,2008,2024
27-11-2023,595,False,56,0,False,0,0,False,0,2008,2024
20-11-2023,601,False,56,0,False,0,0,False,0,2008,2024
13-11-2023,603,False,56,609,False,56,0,False,0,2008,2024
06-11-2023,604,False,56,595,False,56,0,False,0,2008,2024
30-10-2023,347,False,146,595,False,56,0,False,0,2008,2024
23-10-2023,253,False,236,590,False,56,0,False,0,2008,2024
16-10-2023,216,False,281,585,False,56,0,False,0,2008,2024
02-10-2023,195,False,315,625,False,45,0,False,0,2008,2024
25-09-2023,193,False,315,614,False,45,0,False,0,2008,2024
18-09-2023,191,False,315,607,False,45,0,False,0,2008,2024
