rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,421,False,110,521,False,35,953,False,39,2009,2024
27-05-2024,426,False,110,500,False,35,958,False,39,2009,2024
20-05-2024,427,False,110,484,False,35,952,False,39,2009,2024
06-05-2024,382,False,130,450,False,35,953,False,39,2009,2024
22-04-2024,371,False,135,425,False,35,955,False,39,2009,2024
15-04-2024,361,False,140,417,False,35,962,False,39,2009,2024
08-04-2024,360,False,140,400,False,35,959,False,39,2009,2024
01-04-2024,346,False,147,389,False,34,993,False,36,2009,2024
18-03-2024,339,False,154,338,False,33,1037,False,33,2009,2024
04-03-2024,325,False,163,321,False,33,1036,False,33,2009,2024
26-02-2024,328,False,163,311,False,31,1024,False,33,2009,2024
19-02-2024,334,False,151,403,False,17,1022,False,33,2009,2024
12-02-2024,291,False,195,426,False,14,1017,False,33,2009,2024
05-02-2024,287,False,197,401,False,14,1023,False,33,2009,2024
29-01-2024,285,False,197,372,False,14,735,False,63,2009,2024
15-01-2024,289,False,197,299,False,12,724,False,63,2009,2024
08-01-2024,289,False,193,392,True,6,1017,False,33,2009,2024
01-01-2024,288,False,193,307,False,6,1013,False,33,2009,2024
25-12-2023,288,False,193,301,False,6,1013,False,33,2009,2024
18-12-2023,288,False,193,291,True,6,1014,False,33,2009,2024
11-12-2023,288,False,193,284,False,6,1009,False,33,2009,2024
04-12-2023,289,False,191,426,True,2,1008,False,33,2009,2024
27-11-2023,287,False,191,341,True,2,1002,False,33,2009,2024
20-11-2023,287,False,194,0,False,0,1004,False,33,2009,2024
13-11-2023,286,False,194,289,False,194,1001,False,33,2009,2024
06-11-2023,291,False,194,284,False,194,1007,False,33,2009,2024
30-10-2023,290,False,194,287,False,192,1006,False,33,2009,2024
23-10-2023,295,False,191,285,False,191,1008,False,33,2009,2024
16-10-2023,324,False,166,305,False,166,1060,False,30,2009,2024
02-10-2023,279,False,205,298,False,164,728,False,60,2009,2024
25-09-2023,280,False,203,297,False,162,732,False,60,2009,2024
18-09-2023,282,False,203,289,False,162,738,False,60,2009,2024
11-09-2023,284,False,203,286,False,162,742,False,60,2009,2024
28-08-2023,283,False,201,278,False,160,746,False,60,2009,2024
21-08-2023,283,False,201,273,False,160,742,False,60,2009,2024
14-08-2023,283,False,201,269,False,160,736,False,60,2009,2024
07-08-2023,282,False,201,266,False,160,741,False,60,2009,2024
31-07-2023,280,False,201,254,False,160,734,False,60,2009,2024
24-07-2023,274,False,201,245,False,160,729,False,60,2009,2024
17-07-2023,258,False,221,236,False,160,726,False,60,2009,2024
03-07-2023,261,False,219,222,False,158,714,False,60,2009,2024
26-06-2023,265,False,212,223,False,151,705,False,60,2009,2024
19-06-2023,269,False,201,223,False,140,705,False,60,2009,2024
12-06-2023,288,False,181,248,False,120,708,False,60,2009,2024
29-05-2023,268,False,200,232,False,120,723,True,60,2009,2024
22-05-2023,264,False,200,225,False,120,716,True,60,2009,2024
08-05-2023,286,False,181,240,False,99,717,True,60,2009,2024
24-04-2023,284,False,183,238,False,92,719,False,60,2009,2024
17-04-2023,297,False,176,243,False,85,722,False,60,2009,2024
10-04-2023,295,False,176,233,False,85,721,False,60,2009,2024
03-04-2023,312,False,167,238,False,76,722,False,60,2009,2024
20-03-2023,324,False,158,218,False,67,725,False,60,2009,2024
06-03-2023,342,False,147,228,False,56,714,False,60,2009,2024
27-02-2023,312,False,163,206,False,56,705,False,60,2009,2024
20-02-2023,305,False,170,189,False,56,705,False,60,2009,2024
13-02-2023,380,False,123,552,True,9,701,False,60,2009,2024
06-02-2023,388,False,119,638,True,5,697,False,60,2009,2024
30-01-2023,388,False,119,601,True,5,984,False,30,2009,2024
16-01-2023,342,False,145,501,True,5,985,False,30,2009,2024
09-01-2023,335,False,145,473,True,5,984,False,30,2009,2024
02-01-2023,294,False,175,386,True,5,995,False,30,2009,2024
26-12-2022,294,False,175,377,True,5,996,False,30,2009,2024
19-12-2022,294,False,175,368,True,5,994,False,30,2009,2024
12-12-2022,296,False,175,358,True,5,994,False,30,2009,2024
05-12-2022,300,False,175,340,True,5,998,False,30,2009,2024
28-11-2022,294,False,175,291,True,5,999,False,30,2009,2024
21-11-2022,302,False,170,0,False,0,999,False,30,2009,2024
14-11-2022,302,False,170,0,False,0,997,True,30,2009,2024
07-11-2022,301,False,170,301,False,170,997,True,30,2009,2024
31-10-2022,295,False,170,289,False,170,995,True,30,2009,2024
24-10-2022,295,False,170,286,False,170,576,False,85,2009,2024
17-10-2022,290,False,170,283,False,170,573,False,85,2009,2024
10-10-2022,271,False,186,315,False,145,575,False,85,2009,2024
03-10-2022,285,False,170,329,False,129,729,False,55,2009,2024
26-09-2022,271,False,182,322,False,129,729,False,55,2009,2024
19-09-2022,270,False,182,319,False,129,728,False,55,2009,2024
12-09-2022,261,False,189,316,False,129,720,False,55,2009,2024
29-08-2022,252,False,199,308,False,129,714,False,55,2009,2024
22-08-2022,251,False,199,295,False,129,702,False,55,2009,2024
15-08-2022,249,False,199,290,False,129,698,False,55,2009,2024
08-08-2022,242,False,207,280,False,129,697,False,55,2009,2024
01-08-2022,244,False,207,273,False,129,698,False,55,2009,2024
25-07-2022,240,False,207,259,False,129,695,False,55,2009,2024
18-07-2022,263,False,187,290,False,109,694,False,55,2009,2024
11-07-2022,229,False,238,279,False,109,700,False,55,2009,2024
27-06-2022,198,False,285,265,False,109,562,False,84,2009,2024
20-06-2022,200,False,285,260,False,109,556,False,84,2009,2024
13-06-2022,205,False,285,253,False,109,558,False,84,2009,2024
06-06-2022,206,False,290,268,False,98,569,False,84,2009,2024
23-05-2022,204,False,282,264,False,90,556,False,84,2009,2024
16-05-2022,207,False,282,249,False,90,555,False,84,2009,2024
09-05-2022,191,False,303,240,False,88,547,False,84,2009,2024
02-05-2022,192,False,302,250,False,79,547,False,84,2009,2024
25-04-2022,190,False,308,239,False,79,556,False,84,2009,2024
18-04-2022,188,False,308,234,False,79,553,False,84,2009,2024
11-04-2022,166,False,378,187,False,79,559,False,84,2009,2024
04-04-2022,158,False,386,175,False,79,555,False,84,2009,2024
21-03-2022,156,False,392,145,False,79,541,False,84,2009,2024
07-03-2022,151,False,408,124,False,79,483,False,107,2009,2024
28-02-2022,156,False,402,138,False,63,388,False,152,2009,2024
21-02-2022,153,False,415,135,False,56,393,False,152,2009,2024
14-02-2022,150,False,452,118,False,56,184,False,497,2009,2024
07-02-2022,151,False,452,98,False,56,184,False,497,2009,2024
31-01-2022,145,False,476,80,False,56,186,False,497,2009,2024
17-01-2022,146,False,458,70,True,30,186,False,497,2009,2024
10-01-2022,150,False,458,49,True,30,170,False,587,2009,2024
03-01-2022,157,False,436,0,False,0,170,False,587,2009,2024
27-12-2021,157,False,436,171,False,272,170,False,587,2009,2024
20-12-2021,157,False,436,171,False,272,170,False,587,2009,2024
13-12-2021,157,False,436,170,False,272,169,False,587,2009,2024
06-12-2021,157,False,436,169,False,272,168,False,587,2009,2024
29-11-2021,157,False,436,169,False,272,168,False,587,2009,2024
22-11-2021,157,False,436,166,True,272,167,False,587,2009,2024
15-11-2021,155,False,436,163,True,272,167,False,587,2009,2024
08-11-2021,144,False,473,161,False,272,170,False,587,2009,2024
01-11-2021,139,False,492,159,False,272,170,False,587,2009,2024
25-10-2021,142,False,492,156,False,272,179,False,532,2009,2024
18-10-2021,135,False,514,156,False,272,180,False,532,2009,2024
04-10-2021,135,False,548,171,False,231,181,False,532,2009,2024
27-09-2021,128,False,616,173,False,219,175,False,532,2009,2024
20-09-2021,124,False,624,168,False,219,175,False,532,2009,2024
13-09-2021,125,False,634,168,False,212,176,False,532,2009,2024
30-08-2021,113,False,735,161,True,202,185,False,532,2009,2024
23-08-2021,113,False,735,159,False,202,185,False,532,2009,2024
16-08-2021,113,False,752,158,False,202,189,False,532,2009,2024
09-08-2021,113,False,752,159,False,194,190,False,532,2009,2024
02-08-2021,111,False,752,157,False,194,188,False,532,2009,2024
26-07-2021,109,False,752,154,False,194,188,False,532,2009,2024
19-07-2021,109,False,752,148,True,194,183,False,532,2009,2024
12-07-2021,96,False,803,140,True,194,184,False,532,2009,2024
28-06-2021,96,False,809,145,True,155,184,False,503,2009,2024
21-06-2021,97,False,809,143,True,155,182,False,503,2009,2024
14-06-2021,97,False,809,138,True,155,183,False,503,2009,2024
31-05-2021,82,False,906,119,True,145,188,False,503,2009,2024
24-05-2021,81,False,906,113,True,145,188,False,503,2009,2024
17-05-2021,81,False,906,107,True,145,188,False,503,2009,2024
10-05-2021,81,False,928,102,True,145,188,False,503,2009,2024
03-05-2021,80,False,928,99,True,145,191,False,503,2009,2024
26-04-2021,81,False,928,94,False,145,190,False,503,2009,2024
19-04-2021,81,False,928,89,False,145,189,False,503,2009,2024
12-04-2021,89,False,876,153,False,75,189,False,503,2009,2024
05-04-2021,87,False,876,145,False,75,188,False,503,2009,2024
22-03-2021,85,False,876,142,False,65,188,False,503,2009,2024
15-03-2021,84,False,876,130,False,65,187,False,503,2009,2024
08-03-2021,79,False,898,113,True,65,180,False,525,2009,2024
01-03-2021,79,False,898,99,True,65,180,False,525,2009,2024
22-02-2021,77,False,898,83,True,65,178,False,525,2009,2024
08-02-2021,78,False,863,98,True,20,177,False,525,2009,2024
01-02-2021,76,False,858,0,False,0,168,False,525,2009,2024
25-01-2021,76,False,858,0,False,0,167,False,525,2009,2024
18-01-2021,76,False,858,0,False,0,166,False,525,2009,2024
11-01-2021,76,False,858,0,False,0,190,False,435,2009,2024
04-01-2021,76,False,858,0,False,416,190,False,435,2009,2024
28-12-2020,76,False,843,0,False,0,190,False,435,2009,2024
21-12-2020,76,False,843,0,False,0,190,False,435,2009,2024
14-12-2020,76,False,843,0,False,0,190,False,435,2009,2024
07-12-2020,76,False,843,0,False,0,190,False,435,2009,2024
30-11-2020,76,False,843,0,False,0,190,False,435,2009,2024
23-11-2020,76,False,843,0,False,0,190,False,435,2009,2024
16-11-2020,76,False,843,0,False,0,189,False,435,2009,2024
09-11-2020,82,False,813,0,False,0,189,False,435,2009,2024
02-11-2020,81,False,802,0,False,0,183,False,435,2009,2024
26-10-2020,79,False,802,0,False,0,182,False,435,2009,2024
