rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,412,False,112,343,False,72,876,True,45,2010,2024
27-05-2024,403,False,116,345,False,66,889,True,45,2010,2024
20-05-2024,387,False,124,371,False,54,882,True,45,2010,2024
06-05-2024,328,False,159,391,False,44,880,False,45,2010,2024
22-04-2024,288,False,197,379,False,41,876,False,45,2010,2024
15-04-2024,288,False,197,359,False,41,876,False,45,2010,2024
08-04-2024,287,False,197,346,False,41,881,False,45,2010,2024
01-04-2024,219,False,281,373,False,35,884,True,45,2010,2024
18-03-2024,216,False,281,328,False,35,882,False,45,2010,2024
04-03-2024,219,False,281,310,False,35,880,True,45,2010,2024
26-02-2024,198,False,301,291,False,35,879,True,45,2010,2024
19-02-2024,202,False,301,269,False,35,882,True,45,2010,2024
12-02-2024,198,False,301,240,False,35,881,True,45,2010,2024
05-02-2024,197,False,314,262,False,28,882,False,45,2010,2024
29-01-2024,200,False,308,287,False,22,886,False,45,2010,2024
15-01-2024,216,False,286,0,False,0,888,False,45,2010,2024
08-01-2024,217,False,286,0,False,0,885,False,45,2010,2024
01-01-2024,198,False,306,0,False,0,884,True,45,2010,2024
25-12-2023,198,False,306,0,False,0,883,True,45,2010,2024
18-12-2023,199,False,306,0,False,0,882,True,45,2010,2024
11-12-2023,199,False,306,0,False,0,881,True,45,2010,2024
04-12-2023,200,False,306,0,False,0,873,True,45,2010,2024
27-11-2023,201,False,306,0,False,0,862,True,45,2010,2024
20-11-2023,200,False,306,0,False,0,858,True,45,2010,2024
13-11-2023,203,False,306,207,False,306,854,True,45,2010,2024
06-11-2023,207,False,306,201,False,306,859,True,45,2010,2024
30-10-2023,185,False,340,201,False,306,855,True,45,2010,2024
23-10-2023,179,False,347,197,False,306,855,True,45,2010,2024
16-10-2023,172,False,363,193,False,306,854,True,45,2010,2024
02-10-2023,136,False,443,184,False,306,856,True,45,2010,2024
25-09-2023,115,False,523,181,False,306,858,True,45,2010,2024
18-09-2023,109,False,548,174,False,306,860,True,45,2010,2024
11-09-2023,110,False,559,171,False,306,870,True,45,2010,2024
28-08-2023,109,False,549,158,False,296,879,False,45,2010,2024
21-08-2023,109,False,549,158,False,296,880,False,45,2010,2024
14-08-2023,111,False,549,155,False,296,872,False,45,2010,2024
07-08-2023,110,False,582,149,False,296,876,False,45,2010,2024
31-07-2023,108,False,582,140,False,296,868,True,45,2010,2024
24-07-2023,96,False,619,146,False,276,864,True,45,2010,2024
17-07-2023,95,False,628,137,False,276,0,False,0,2010,2024
03-07-2023,89,False,673,133,False,266,0,False,0,2010,2024
26-06-2023,88,False,673,131,False,266,0,False,0,2010,2024
19-06-2023,87,False,673,130,False,266,0,False,0,2010,2024
12-06-2023,79,False,707,124,False,266,0,False,0,2010,2024
29-05-2023,72,False,742,113,False,256,0,False,0,2010,2024
22-05-2023,73,False,733,117,False,236,0,False,0,2010,2024
08-05-2023,83,False,720,137,False,191,0,False,0,2010,2024
24-04-2023,85,False,688,161,False,150,0,False,0,2010,2024
17-04-2023,85,False,688,150,False,150,0,False,0,2010,2024
10-04-2023,81,False,688,138,False,150,0,False,0,2010,2024
03-04-2023,96,False,605,278,False,60,852,False,45,2010,2024
20-03-2023,95,False,605,245,False,60,851,False,45,2010,2024
06-03-2023,91,False,605,220,False,60,841,True,45,2010,2024
27-02-2023,91,False,592,271,False,40,837,True,45,2010,2024
20-02-2023,90,False,592,252,False,40,833,True,45,2010,2024
13-02-2023,89,False,592,235,False,40,834,True,45,2010,2024
06-02-2023,93,False,572,352,True,20,832,False,45,2010,2024
30-01-2023,95,False,572,326,True,20,823,True,45,2010,2024
16-01-2023,93,False,582,241,True,20,820,True,45,2010,2024
09-01-2023,93,False,582,211,True,20,820,True,45,2010,2024
02-01-2023,101,False,562,0,False,0,831,True,45,2010,2024
26-12-2022,101,False,562,0,False,0,830,True,45,2010,2024
19-12-2022,101,False,562,0,False,0,833,True,45,2010,2024
12-12-2022,102,False,562,0,False,0,834,True,45,2010,2024
05-12-2022,104,False,562,0,False,0,837,True,45,2010,2024
28-11-2022,105,False,562,0,False,0,834,True,45,2010,2024
21-11-2022,105,False,562,0,False,0,833,True,45,2010,2024
14-11-2022,101,False,562,0,False,0,831,True,45,2010,2024
07-11-2022,101,False,562,101,False,562,830,True,45,2010,2024
31-10-2022,109,False,528,105,False,528,822,True,45,2010,2024
24-10-2022,109,False,521,104,False,521,823,True,45,2010,2024
17-10-2022,98,False,553,104,False,505,820,True,45,2010,2024
10-10-2022,117,False,480,122,False,425,817,True,45,2010,2024
03-10-2022,114,False,480,119,False,425,800,True,45,2010,2024
26-09-2022,137,False,400,137,False,345,797,True,45,2010,2024
19-09-2022,147,False,375,142,False,320,796,True,45,2010,2024
12-09-2022,146,False,374,146,False,309,789,True,45,2010,2024
29-08-2022,142,False,384,134,False,309,787,True,45,2010,2024
22-08-2022,141,False,394,134,False,309,782,True,45,2010,2024
15-08-2022,136,False,394,131,False,309,775,True,45,2010,2024
08-08-2022,142,False,394,151,False,276,774,True,45,2010,2024
01-08-2022,140,False,399,144,False,276,779,True,45,2010,2024
25-07-2022,151,False,362,165,False,219,769,True,45,2010,2024
18-07-2022,147,False,373,167,False,210,543,True,90,2010,2024
11-07-2022,154,False,363,187,False,180,404,False,135,2010,2024
27-06-2022,166,False,332,222,False,139,411,False,135,2010,2024
20-06-2022,171,False,325,225,False,132,412,False,135,2010,2024
13-06-2022,206,False,280,301,False,87,414,False,135,2010,2024
06-06-2022,160,False,370,293,False,87,423,False,135,2010,2024
23-05-2022,131,False,475,413,False,42,411,False,135,2010,2024
16-05-2022,134,False,475,672,False,10,410,True,135,2010,2024
09-05-2022,122,False,510,662,False,10,406,False,135,2010,2024
02-05-2022,119,False,545,643,False,10,403,False,135,2010,2024
25-04-2022,109,False,610,632,False,10,403,False,135,2010,2024
18-04-2022,108,False,625,619,False,10,406,False,135,2010,2024
11-04-2022,100,False,688,503,False,10,409,False,135,2010,2024
04-04-2022,97,False,698,482,False,10,409,False,135,2010,2024
21-03-2022,93,False,711,422,True,10,410,False,135,2010,2024
07-03-2022,92,False,711,378,False,10,413,False,135,2010,2024
28-02-2022,95,False,711,354,False,10,417,False,135,2010,2024
21-02-2022,90,False,721,322,False,10,420,False,135,2010,2024
14-02-2022,92,False,721,289,False,10,431,False,135,2010,2024
07-02-2022,92,False,721,260,True,10,427,False,135,2010,2024
31-01-2022,98,False,721,230,True,10,426,False,135,2010,2024
17-01-2022,95,False,759,0,False,0,420,False,135,2010,2024
10-01-2022,97,False,759,0,False,0,420,False,135,2010,2024
03-01-2022,100,False,759,0,False,0,423,False,135,2010,2024
27-12-2021,100,False,759,77,False,654,424,False,135,2010,2024
20-12-2021,100,False,759,77,False,654,427,False,135,2010,2024
13-12-2021,100,False,759,77,False,654,426,False,135,2010,2024
06-12-2021,100,False,759,77,False,654,418,False,135,2010,2024
29-11-2021,100,False,759,77,False,654,420,False,135,2010,2024
22-11-2021,99,False,759,74,False,654,420,False,135,2010,2024
15-11-2021,96,False,759,73,False,654,416,False,135,2010,2024
08-11-2021,98,False,759,73,False,654,422,False,135,2010,2024
01-11-2021,92,False,774,71,False,654,421,False,135,2010,2024
25-10-2021,95,False,774,70,False,654,422,False,135,2010,2024
18-10-2021,104,False,746,72,False,616,425,False,135,2010,2024
04-10-2021,82,False,896,69,False,616,434,False,135,2010,2024
27-09-2021,83,False,896,65,False,616,440,False,135,2010,2024
20-09-2021,83,False,896,63,False,616,435,False,135,2010,2024
13-09-2021,84,False,896,64,False,606,437,False,135,2010,2024
30-08-2021,81,False,911,57,True,596,441,False,135,2010,2024
23-08-2021,80,False,911,57,True,586,438,False,135,2010,2024
16-08-2021,83,False,911,61,False,550,443,False,135,2010,2024
09-08-2021,86,False,898,61,False,537,436,False,135,2010,2024
02-08-2021,84,False,888,59,False,537,435,False,135,2010,2024
26-07-2021,83,False,888,57,False,533,435,False,135,2010,2024
19-07-2021,82,False,888,57,False,513,554,False,90,2010,2024
12-07-2021,82,False,888,55,False,493,829,False,45,2010,2024
28-06-2021,86,False,878,50,False,483,827,False,45,2010,2024
21-06-2021,84,False,878,50,False,483,827,False,45,2010,2024
14-06-2021,86,False,878,48,False,483,824,False,45,2010,2024
31-05-2021,83,False,903,48,False,393,817,False,45,2010,2024
24-05-2021,104,False,773,77,False,243,813,False,45,2010,2024
17-05-2021,104,False,761,84,True,211,815,False,45,2010,2024
10-05-2021,100,False,796,82,False,195,824,False,45,2010,2024
03-05-2021,104,False,771,90,False,160,827,False,45,2010,2024
26-04-2021,94,False,816,98,False,140,823,False,45,2010,2024
19-04-2021,94,False,816,111,False,120,821,False,45,2010,2024
12-04-2021,92,False,836,196,False,50,818,False,45,2010,2024
05-04-2021,93,False,834,248,False,30,0,False,0,2010,2024
22-03-2021,90,False,856,217,False,30,0,False,0,2010,2024
15-03-2021,89,False,856,203,False,30,0,False,0,2010,2024
08-03-2021,89,False,838,186,False,30,0,False,0,2010,2024
01-03-2021,89,False,838,166,True,30,0,False,0,2010,2024
22-02-2021,87,False,838,240,True,10,0,False,0,2010,2024
08-02-2021,82,False,838,0,False,0,0,False,0,2010,2024
01-02-2021,79,False,838,0,False,0,0,False,0,2010,2024
25-01-2021,79,False,838,0,False,0,0,False,0,2010,2024
18-01-2021,79,False,838,0,False,0,0,False,0,2010,2024
11-01-2021,79,False,838,0,False,0,0,False,0,2010,2024
04-01-2021,79,False,838,0,False,511,0,False,0,2010,2024
28-12-2020,80,False,828,0,False,0,0,False,0,2010,2024
21-12-2020,80,False,828,0,False,0,0,False,0,2010,2024
14-12-2020,80,False,828,0,False,0,0,False,0,2010,2024
