rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,88,False,664,76,False,409,0,False,0,2012,2024
27-05-2024,73,False,744,73,False,399,0,False,0,2012,2024
20-05-2024,71,False,744,69,False,399,0,False,0,2012,2024
06-05-2024,55,False,914,64,False,389,0,False,0,2012,2024
22-04-2024,34,False,1244,63,False,359,0,False,0,2012,2024
15-04-2024,32,False,1244,53,False,359,0,False,0,2012,2024
08-04-2024,33,False,1204,59,False,309,0,False,0,2012,2024
01-04-2024,32,False,1204,56,False,309,0,False,0,2012,2024
18-03-2024,33,False,1214,45,False,309,0,False,0,2012,2024
04-03-2024,35,False,1194,45,False,279,0,False,0,2012,2024
26-02-2024,31,False,1274,37,False,279,0,False,0,2012,2024
19-02-2024,31,False,1274,27,False,279,0,False,0,2012,2024
12-02-2024,31,False,1274,23,False,279,0,False,0,2012,2024
05-02-2024,31,False,1309,18,False,279,0,False,0,2012,2024
29-01-2024,37,False,1154,56,False,114,0,False,0,2012,2024
15-01-2024,40,False,1100,103,False,40,0,False,0,2012,2024
08-01-2024,39,False,1100,73,False,40,0,False,0,2012,2024
01-01-2024,37,False,1135,0,False,0,0,False,0,2012,2024
25-12-2023,37,False,1135,0,False,0,0,False,0,2012,2024
18-12-2023,37,False,1135,0,False,0,0,False,0,2012,2024
11-12-2023,37,False,1135,0,False,0,0,False,0,2012,2024
04-12-2023,37,False,1135,0,False,0,0,False,0,2012,2024
27-11-2023,37,False,1135,0,False,0,0,False,0,2012,2024
20-11-2023,37,False,1135,0,False,0,0,False,0,2012,2024
13-11-2023,37,False,1135,37,False,1135,0,False,0,2012,2024
06-11-2023,37,False,1135,37,False,1135,0,False,0,2012,2024
30-10-2023,38,False,1145,37,False,1135,0,False,0,2012,2024
23-10-2023,33,False,1325,36,False,1135,0,False,0,2012,2024
16-10-2023,33,False,1325,33,False,1135,0,False,0,2012,2024
02-10-2023,28,False,1415,33,False,1135,0,False,0,2012,2024
25-09-2023,26,False,1415,31,False,1135,0,False,0,2012,2024
18-09-2023,26,False,1415,31,False,1135,0,False,0,2012,2024
11-09-2023,26,False,1415,31,False,1135,0,False,0,2012,2024
28-08-2023,23,False,1450,28,False,1125,0,False,0,2012,2024
21-08-2023,29,False,1360,29,False,1035,0,False,0,2012,2024
14-08-2023,16,False,2315,31,False,990,0,False,0,2012,2024
07-08-2023,15,False,2315,29,False,980,0,False,0,2012,2024
