rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,147,False,408,129,False,242,479,False,116,2017,2024
27-05-2024,176,False,344,163,False,162,481,False,116,2017,2024
20-05-2024,177,False,344,162,False,162,486,False,116,2017,2024
06-05-2024,162,False,368,159,False,152,442,False,132,2017,2024
22-04-2024,156,False,400,165,False,134,447,False,132,2017,2024
15-04-2024,158,False,408,161,False,126,446,False,132,2017,2024
08-04-2024,155,False,408,156,False,126,442,False,132,2017,2024
01-04-2024,155,False,416,161,False,114,441,False,132,2017,2024
18-03-2024,151,False,436,160,False,100,384,False,157,2017,2024
04-03-2024,137,False,469,135,False,100,358,False,173,2017,2024
26-02-2024,137,False,469,119,False,100,357,False,173,2017,2024
19-02-2024,143,False,463,107,False,94,404,False,143,2017,2024
12-02-2024,141,False,463,95,False,94,362,False,168,2017,2024
05-02-2024,140,False,466,81,False,94,358,False,168,2017,2024
29-01-2024,139,False,466,72,False,94,354,False,168,2017,2024
15-01-2024,161,False,393,271,False,14,357,False,168,2017,2024
08-01-2024,148,False,423,239,True,14,358,False,168,2017,2024
01-01-2024,153,False,413,0,False,0,376,False,157,2017,2024
25-12-2023,153,False,413,0,False,0,376,False,157,2017,2024
18-12-2023,153,False,413,0,False,0,376,False,157,2017,2024
11-12-2023,153,False,413,0,False,0,376,False,157,2017,2024
04-12-2023,153,False,413,0,False,0,372,False,157,2017,2024
27-11-2023,151,False,413,0,False,0,367,False,157,2017,2024
20-11-2023,153,False,413,0,False,0,370,False,157,2017,2024
13-11-2023,150,False,413,153,False,413,370,False,157,2017,2024
06-11-2023,146,False,413,145,False,413,372,False,157,2017,2024
30-10-2023,145,False,427,144,False,411,367,False,157,2017,2024
23-10-2023,146,False,427,143,False,411,273,False,237,2017,2024
16-10-2023,138,False,436,138,False,411,272,False,237,2017,2024
02-10-2023,138,False,439,130,False,408,249,False,287,2017,2024
25-09-2023,137,False,439,129,False,408,249,False,287,2017,2024
18-09-2023,138,False,449,126,False,408,262,False,262,2017,2024
11-09-2023,135,False,449,123,False,408,264,False,262,2017,2024
28-08-2023,141,False,433,125,False,373,270,False,246,2017,2024
21-08-2023,143,False,433,125,False,373,269,False,246,2017,2024
14-08-2023,183,False,337,169,False,273,272,False,246,2017,2024
07-08-2023,178,False,341,162,False,270,272,False,246,2017,2024
31-07-2023,174,False,341,157,False,270,267,False,246,2017,2024
24-07-2023,180,False,333,155,False,261,256,False,246,2017,2024
17-07-2023,176,False,333,147,False,261,254,False,246,2017,2024
03-07-2023,177,False,328,140,False,253,250,False,246,2017,2024
26-06-2023,176,False,328,138,False,253,249,False,246,2017,2024
19-06-2023,176,False,328,136,False,253,273,False,221,2017,2024
12-06-2023,180,False,322,134,False,247,269,False,221,2017,2024
29-05-2023,195,False,314,122,False,231,268,False,221,2017,2024
22-05-2023,195,False,314,122,False,231,267,False,221,2017,2024
08-05-2023,210,False,280,135,False,197,291,False,205,2017,2024
24-04-2023,234,False,246,166,False,147,216,False,301,2017,2024
17-04-2023,243,False,230,168,False,131,213,False,301,2017,2024
10-04-2023,243,False,230,155,False,131,213,False,301,2017,2024
03-04-2023,251,False,221,170,False,111,215,False,301,2017,2024
20-03-2023,273,False,194,195,False,77,198,False,356,2017,2024
06-03-2023,294,False,177,275,False,44,188,False,386,2017,2024
27-02-2023,295,False,177,255,False,44,184,False,386,2017,2024
20-02-2023,295,False,177,233,False,44,183,False,386,2017,2024
13-02-2023,294,False,177,214,False,44,196,False,361,2017,2024
06-02-2023,295,False,174,208,False,41,177,False,406,2017,2024
30-01-2023,295,False,174,188,False,41,177,False,406,2017,2024
16-01-2023,287,False,183,149,True,34,175,False,406,2017,2024
09-01-2023,325,False,153,516,True,4,175,False,406,2017,2024
02-01-2023,288,False,179,0,False,0,182,False,397,2017,2024
26-12-2022,288,False,179,0,False,0,182,False,397,2017,2024
19-12-2022,288,False,179,0,False,0,182,False,397,2017,2024
12-12-2022,289,False,179,0,False,0,184,False,397,2017,2024
05-12-2022,291,False,179,0,False,0,186,False,397,2017,2024
28-11-2022,287,False,179,0,False,0,184,False,397,2017,2024
21-11-2022,290,False,179,0,False,0,181,False,397,2017,2024
14-11-2022,285,False,179,0,False,0,180,False,397,2017,2024
07-11-2022,281,False,179,281,False,179,174,False,397,2017,2024
31-10-2022,249,False,211,306,False,163,154,False,477,2017,2024
24-10-2022,241,False,218,298,False,163,176,False,397,2017,2024
17-10-2022,225,False,235,310,False,151,166,False,426,2017,2024
10-10-2022,225,False,235,305,False,151,170,False,406,2017,2024
03-10-2022,225,False,228,309,False,144,179,False,376,2017,2024
26-09-2022,223,False,228,304,False,144,178,False,376,2017,2024
19-09-2022,218,False,227,323,False,128,160,False,424,2017,2024
12-09-2022,205,False,254,320,False,128,154,False,449,2017,2024
29-08-2022,213,False,238,333,False,112,154,False,449,2017,2024
22-08-2022,212,False,238,326,False,112,156,False,449,2017,2024
15-08-2022,212,False,238,324,False,112,152,False,464,2017,2024
08-08-2022,219,False,234,332,False,104,145,False,495,2017,2024
01-08-2022,218,False,236,326,False,104,147,False,498,2017,2024
25-07-2022,220,False,236,320,False,104,150,False,498,2017,2024
18-07-2022,216,False,243,307,False,104,153,False,498,2017,2024
11-07-2022,209,False,263,295,False,104,153,False,522,2017,2024
27-06-2022,215,False,265,279,False,104,143,False,568,2017,2024
20-06-2022,216,False,265,274,False,104,144,False,568,2017,2024
13-06-2022,160,False,347,264,False,104,149,False,568,2017,2024
06-06-2022,171,False,347,253,False,104,144,False,647,2017,2024
23-05-2022,170,False,341,250,False,96,135,False,698,2017,2024
16-05-2022,172,False,341,238,False,96,137,False,698,2017,2024
09-05-2022,173,False,341,224,False,96,136,False,698,2017,2024
02-05-2022,172,False,341,214,False,96,137,False,687,2017,2024
25-04-2022,177,False,327,236,False,80,148,False,610,2017,2024
18-04-2022,180,False,327,231,False,80,147,False,610,2017,2024
11-04-2022,181,False,327,186,False,80,150,False,622,2017,2024
04-04-2022,185,False,318,187,False,69,150,False,622,2017,2024
21-03-2022,189,False,313,169,False,62,168,False,547,2017,2024
07-03-2022,189,False,312,174,False,46,154,False,610,2017,2024
28-02-2022,188,False,321,168,True,46,153,False,642,2017,2024
21-02-2022,193,False,325,151,True,46,155,False,643,2017,2024
14-02-2022,200,False,325,136,False,46,157,False,643,2017,2024
07-02-2022,202,False,325,117,False,46,164,False,603,2017,2024
31-01-2022,201,False,325,100,False,46,165,False,603,2017,2024
17-01-2022,207,False,313,70,True,30,166,False,608,2017,2024
10-01-2022,207,False,313,49,True,30,165,False,608,2017,2024
03-01-2022,226,False,285,0,False,0,167,False,608,2017,2024
27-12-2021,226,False,285,189,False,250,167,False,608,2017,2024
20-12-2021,226,False,285,189,False,250,167,False,608,2017,2024
13-12-2021,224,False,285,188,False,250,165,False,608,2017,2024
06-12-2021,221,False,285,187,False,250,165,False,608,2017,2024
29-11-2021,221,False,285,184,False,250,165,False,608,2017,2024
22-11-2021,220,False,290,181,True,250,165,False,608,2017,2024
15-11-2021,203,False,321,181,True,250,165,False,608,2017,2024
08-11-2021,207,False,321,180,False,250,166,False,608,2017,2024
01-11-2021,232,False,276,200,False,202,179,False,548,2017,2024
25-10-2021,223,False,289,199,True,195,177,False,548,2017,2024
18-10-2021,239,False,263,219,False,166,179,False,539,2017,2024
04-10-2021,246,False,263,212,True,166,179,False,539,2017,2024
27-09-2021,244,False,263,208,True,166,174,False,539,2017,2024
20-09-2021,247,False,260,214,True,151,184,False,497,2017,2024
13-09-2021,266,False,235,237,False,124,193,False,478,2017,2024
30-08-2021,263,False,245,229,False,124,199,False,478,2017,2024
23-08-2021,259,False,245,223,True,124,199,False,478,2017,2024
16-08-2021,253,False,253,219,False,124,204,False,468,2017,2024
09-08-2021,254,False,251,217,False,120,207,False,444,2017,2024
02-08-2021,255,False,253,214,False,120,207,False,445,2017,2024
26-07-2021,255,False,253,209,False,120,204,False,445,2017,2024
19-07-2021,258,False,248,209,True,113,203,False,445,2017,2024
12-07-2021,263,False,239,222,True,98,194,False,469,2017,2024
28-06-2021,262,False,241,206,False,97,206,False,444,2017,2024
21-06-2021,260,False,241,203,False,97,204,False,444,2017,2024
14-06-2021,319,False,159,463,True,13,204,False,444,2017,2024
31-05-2021,322,False,159,455,True,11,221,False,373,2017,2024
24-05-2021,322,False,159,444,True,11,245,False,324,2017,2024
17-05-2021,322,False,159,448,True,10,245,False,324,2017,2024
10-05-2021,324,False,159,440,True,10,245,False,324,2017,2024
03-05-2021,324,False,159,430,True,10,249,False,324,2017,2024
26-04-2021,323,False,159,431,False,10,244,False,327,2017,2024
19-04-2021,324,False,159,418,False,10,244,False,327,2017,2024
12-04-2021,323,False,159,438,True,8,246,False,315,2017,2024
05-04-2021,322,False,159,420,True,8,246,False,315,2017,2024
22-03-2021,313,False,161,389,True,8,242,False,323,2017,2024
15-03-2021,313,False,161,362,False,8,240,False,323,2017,2024
08-03-2021,312,False,161,322,False,8,277,False,249,2017,2024
01-03-2021,315,False,156,493,True,1,299,False,222,2017,2024
22-02-2021,313,False,156,459,True,1,297,False,222,2017,2024
08-02-2021,307,False,156,262,True,1,289,False,222,2017,2024
01-02-2021,307,False,156,159,True,1,287,False,222,2017,2024
25-01-2021,306,False,156,0,False,0,287,False,222,2017,2024
18-01-2021,306,False,156,0,False,0,287,False,222,2017,2024
11-01-2021,302,False,156,0,False,0,286,False,222,2017,2024
04-01-2021,302,False,156,0,False,83,286,False,222,2017,2024
28-12-2020,301,False,154,0,False,0,288,False,219,2017,2024
21-12-2020,301,False,154,0,False,0,288,False,219,2017,2024
14-12-2020,301,False,154,0,False,0,288,False,219,2017,2024
07-12-2020,301,False,154,0,False,0,288,False,219,2017,2024
30-11-2020,301,False,154,0,False,0,287,False,219,2017,2024
23-11-2020,305,False,149,0,False,0,285,False,219,2017,2024
16-11-2020,349,False,118,0,False,0,281,False,219,2017,2024
09-11-2020,348,False,118,0,False,0,280,False,219,2017,2024
02-11-2020,349,False,117,0,False,0,292,False,202,2017,2024
26-10-2020,349,False,117,0,False,0,292,False,202,2017,2024
19-10-2020,351,False,116,0,False,0,294,False,199,2017,2024
12-10-2020,351,False,116,0,False,0,293,False,199,2017,2024
28-09-2020,349,False,116,0,False,0,291,False,198,2017,2024
21-09-2020,368,False,105,0,False,0,291,False,198,2017,2024
14-09-2020,368,False,105,0,False,0,289,False,198,2017,2024
31-08-2020,373,False,102,0,False,0,284,False,198,2017,2024
24-08-2020,371,False,102,0,False,0,283,False,198,2017,2024
16-03-2020,369,False,102,272,False,35,284,False,198,2017,2024
09-03-2020,400,False,88,368,False,20,306,False,171,2017,2024
02-03-2020,409,False,83,420,False,14,313,False,161,2017,2024
24-02-2020,429,False,77,519,True,8,312,False,157,2017,2024
17-02-2020,419,False,79,478,True,8,311,False,157,2017,2024
10-02-2020,419,False,79,453,True,8,314,False,159,2017,2024
03-02-2020,418,False,79,426,True,8,313,False,159,2017,2024
20-01-2020,436,False,73,624,True,2,321,False,151,2017,2024
13-01-2020,433,False,73,568,True,2,321,False,151,2017,2024
06-01-2020,433,False,73,478,True,2,316,False,151,2017,2024
30-12-2019,436,False,73,478,True,2,321,False,151,2017,2024
23-12-2019,428,False,77,471,True,2,321,False,151,2017,2024
16-12-2019,427,False,77,441,True,2,319,False,153,2017,2024
09-12-2019,428,False,77,413,True,2,319,False,153,2017,2024
02-12-2019,429,False,77,390,True,2,320,False,153,2017,2024
25-11-2019,426,False,78,356,True,2,320,False,153,2017,2024
18-11-2019,433,False,78,294,True,2,321,False,153,2017,2024
11-11-2019,427,False,80,0,False,0,317,False,155,2017,2024
04-11-2019,423,False,80,423,False,80,317,False,155,2017,2024
28-10-2019,492,False,61,496,False,60,311,False,155,2017,2024
21-10-2019,491,False,61,490,False,60,334,False,137,2017,2024
14-10-2019,489,False,61,481,False,60,334,False,137,2017,2024
07-10-2019,498,False,60,478,False,59,339,False,136,2017,2024
30-09-2019,494,False,60,463,False,59,346,False,136,2017,2024
23-09-2019,496,False,60,459,False,59,348,False,130,2017,2024
16-09-2019,496,False,60,456,False,59,347,False,130,2017,2024
09-09-2019,488,False,60,442,False,59,339,False,130,2017,2024
26-08-2019,533,False,49,471,False,49,347,False,128,2017,2024
19-08-2019,597,False,39,510,False,39,354,False,124,2017,2024
12-08-2019,597,False,39,498,False,39,362,False,120,2017,2024
05-08-2019,628,False,35,517,False,35,376,False,114,2017,2024
29-07-2019,601,True,3,541,True,3,444,True,48,2017,2024
22-07-2019,601,True,3,534,True,3,446,False,48,2017,2024
15-07-2019,0,False,0,0,False,0,0,False,0,2017,2024
01-07-2019,0,False,0,0,False,0,0,False,0,2017,2024
24-06-2019,0,False,0,0,False,0,0,False,0,2017,2024
17-06-2019,0,False,0,0,False,0,0,False,0,2017,2024
10-06-2019,0,False,0,0,False,0,0,False,0,2017,2024
27-05-2019,0,False,0,0,False,0,0,False,0,2017,2024
20-05-2019,0,False,0,0,False,0,0,False,0,2017,2024
13-05-2019,0,False,0,0,False,0,0,False,0,2017,2024
06-05-2019,0,False,0,0,False,0,0,False,0,2017,2024
29-04-2019,0,False,0,0,False,0,0,False,0,2017,2024
22-04-2019,0,False,0,0,False,0,0,False,0,2017,2024
15-04-2019,0,False,0,0,False,0,0,False,0,2017,2024
08-04-2019,0,False,0,0,False,0,0,False,0,2017,2024
01-04-2019,0,False,0,0,False,0,0,False,0,2017,2024
18-03-2019,0,False,0,0,False,0,0,False,0,2017,2024
11-03-2019,0,False,0,0,False,0,0,False,0,2017,2024
04-03-2019,0,False,0,0,False,0,0,False,0,2017,2024
25-02-2019,0,False,0,0,False,0,0,False,0,2017,2024
18-02-2019,0,False,0,0,False,0,0,False,0,2017,2024
11-02-2019,0,False,0,0,False,0,0,False,0,2017,2024
04-02-2019,0,False,0,0,False,0,0,False,0,2017,2024
28-01-2019,0,False,0,0,False,0,0,False,0,2017,2024
14-01-2019,0,False,0,0,False,0,0,False,0,2017,2024
07-01-2019,0,False,0,0,False,0,0,False,0,2017,2024
31-12-2018,0,False,0,0,False,0,0,False,0,2017,2024
24-12-2018,0,False,0,0,False,0,0,False,0,2017,2024
17-12-2018,1091,False,8,264,True,8,1542,True,6,2017,2024
10-12-2018,1095,False,8,246,True,8,1552,True,6,2017,2024
03-12-2018,1098,False,8,223,True,8,1557,True,6,2017,2024
26-11-2018,1122,True,7,220,True,7,1538,True,6,2017,2024
19-11-2018,1162,True,6,189,True,6,1500,True,6,2017,2024
12-11-2018,0,False,0,0,False,0,0,False,0,2017,2024
05-11-2018,0,False,0,0,False,0,0,False,0,2017,2024
29-10-2018,0,False,0,0,False,0,0,False,0,2017,2024
22-10-2018,0,False,0,0,False,0,0,False,0,2017,2024
15-10-2018,0,False,0,0,False,0,0,False,0,2017,2024
08-10-2018,0,False,0,0,False,0,0,False,0,2017,2024
01-10-2018,0,False,0,0,False,0,0,False,0,2017,2024
24-09-2018,0,False,0,0,False,0,0,False,0,2017,2024
17-09-2018,0,False,0,0,False,0,0,False,0,2017,2024
10-09-2018,0,False,0,0,False,0,0,False,0,2017,2024
27-08-2018,0,False,0,0,False,0,0,False,0,2017,2024
20-08-2018,0,False,0,0,False,0,0,False,0,2017,2024
13-08-2018,0,False,0,0,False,0,0,False,0,2017,2024
06-08-2018,0,False,0,0,False,0,0,False,0,2017,2024
30-07-2018,0,False,0,0,False,0,0,False,0,2017,2024
23-07-2018,0,False,0,0,False,0,0,False,0,2017,2024
16-07-2018,0,False,0,0,False,0,0,False,0,2017,2024
02-07-2018,0,False,0,0,False,0,0,False,0,2017,2024
25-06-2018,0,False,0,0,False,0,0,False,0,2017,2024
18-06-2018,0,False,0,0,False,0,0,False,0,2017,2024
11-06-2018,0,False,0,0,False,0,0,False,0,2017,2024
28-05-2018,0,False,0,0,False,0,0,False,0,2017,2024
21-05-2018,0,False,0,0,False,0,0,False,0,2017,2024
14-05-2018,0,False,0,0,False,0,0,False,0,2017,2024
07-05-2018,0,False,0,0,False,0,0,False,0,2017,2024
30-04-2018,0,False,0,0,False,0,0,False,0,2017,2024
23-04-2018,0,False,0,0,False,0,0,False,0,2017,2024
16-04-2018,0,False,0,0,False,0,0,False,0,2017,2024
09-04-2018,0,False,0,0,False,0,0,False,0,2017,2024
02-04-2018,0,False,0,0,False,0,0,False,0,2017,2024
19-03-2018,0,False,0,0,False,0,0,False,0,2017,2024
05-03-2018,0,False,0,0,False,0,0,False,0,2017,2024
26-02-2018,0,False,0,0,False,0,0,False,0,2017,2024
19-02-2018,0,False,0,0,False,0,0,False,0,2017,2024
12-02-2018,0,False,0,0,False,0,0,False,0,2017,2024
05-02-2018,0,False,0,0,False,0,0,False,0,2017,2024
29-01-2018,0,False,0,0,False,0,0,False,0,2017,2024
15-01-2018,0,False,0,0,False,0,0,False,0,2017,2024
08-01-2018,0,False,0,0,False,0,0,False,0,2017,2024
01-01-2018,0,False,0,0,False,0,0,False,0,2017,2024
25-12-2017,0,False,0,0,False,0,0,False,0,2017,2024
18-12-2017,0,False,0,0,False,0,0,False,0,2017,2024
11-12-2017,0,False,0,0,False,0,0,False,0,2017,2024
04-12-2017,0,False,0,0,False,0,0,False,0,2017,2024
27-11-2017,0,False,0,0,False,0,0,False,0,2017,2024
20-11-2017,0,False,0,0,False,0,0,False,0,2017,2024
13-11-2017,0,False,0,0,False,0,0,False,0,2017,2024
06-11-2017,0,False,0,0,False,0,0,False,0,2017,2024
30-10-2017,0,False,0,0,False,0,0,False,0,2017,2024
23-10-2017,0,False,0,0,False,0,0,False,0,2017,2024
16-10-2017,0,False,0,0,False,0,0,False,0,2017,2024
09-10-2017,0,False,0,0,False,0,0,False,0,2017,2024
02-10-2017,0,False,0,0,False,0,0,False,0,2017,2024
25-09-2017,0,False,0,0,False,0,0,False,0,2017,2024
18-09-2017,0,False,0,0,False,0,0,False,0,2017,2024
11-09-2017,0,False,0,0,False,0,0,False,0,2017,2024
28-08-2017,0,False,0,0,False,0,0,False,0,2017,2024
21-08-2017,0,False,0,0,False,0,0,False,0,2017,2024
14-08-2017,0,False,0,0,False,0,0,False,0,2017,2024
07-08-2017,0,False,0,0,False,0,0,False,0,2017,2024
31-07-2017,0,False,0,0,False,0,0,False,0,2017,2024
24-07-2017,0,False,0,0,False,0,0,False,0,2017,2024
17-07-2017,0,False,0,0,False,0,0,False,0,2017,2024
10-07-2017,0,False,0,0,False,0,0,False,0,2017,2024
03-07-2017,0,False,0,0,False,0,0,False,0,2017,2024
