rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,64,False,818,40,False,644,0,False,0,2017,2024
27-05-2024,55,False,908,36,False,644,0,False,0,2017,2024
20-05-2024,54,False,908,33,False,644,0,False,0,2017,2024
06-05-2024,48,False,983,29,False,644,0,False,0,2017,2024
22-04-2024,47,False,1048,26,False,634,0,False,0,2017,2024
15-04-2024,53,False,958,25,False,534,0,False,0,2017,2024
08-04-2024,53,False,943,28,False,508,0,False,0,2017,2024
01-04-2024,55,False,943,26,False,508,0,False,0,2017,2024
18-03-2024,55,False,943,25,False,498,0,False,0,2017,2024
04-03-2024,52,False,963,20,False,498,0,False,0,2017,2024
26-02-2024,52,False,948,16,False,473,0,False,0,2017,2024
19-02-2024,59,False,907,12,False,423,0,False,0,2017,2024
12-02-2024,87,False,677,51,False,173,0,False,0,2017,2024
05-02-2024,95,False,634,59,False,123,0,False,0,2017,2024
29-01-2024,94,False,634,51,False,123,0,False,0,2017,2024
15-01-2024,90,False,661,21,False,113,1232,True,20,2017,2024
08-01-2024,93,False,655,21,True,100,1231,True,20,2017,2024
01-01-2024,95,False,668,4,True,100,1230,True,20,2017,2024
25-12-2023,95,False,668,4,True,100,1229,True,20,2017,2024
18-12-2023,95,False,668,4,True,100,1228,True,20,2017,2024
11-12-2023,95,False,668,4,True,100,1230,True,20,2017,2024
04-12-2023,95,False,668,4,True,100,1229,True,20,2017,2024
27-11-2023,95,False,668,2,True,100,1226,True,20,2017,2024
20-11-2023,93,False,668,1,False,100,1233,True,20,2017,2024
13-11-2023,111,False,575,109,False,582,1229,True,20,2017,2024
06-11-2023,106,False,584,108,False,575,669,False,70,2017,2024
30-10-2023,107,False,575,107,False,568,466,False,120,2017,2024
23-10-2023,109,False,575,107,False,568,469,False,120,2017,2024
16-10-2023,98,False,618,101,False,568,465,False,120,2017,2024
02-10-2023,106,False,587,104,False,530,466,False,120,2017,2024
25-09-2023,105,False,587,98,False,530,348,False,170,2017,2024
18-09-2023,99,False,610,96,False,530,312,False,200,2017,2024
11-09-2023,99,False,610,95,False,530,308,False,200,2017,2024
28-08-2023,94,False,629,87,False,516,246,False,290,2017,2024
21-08-2023,93,False,626,88,False,512,246,False,290,2017,2024
14-08-2023,94,False,626,89,False,506,248,False,290,2017,2024
07-08-2023,96,False,626,87,False,499,244,False,290,2017,2024
31-07-2023,94,False,626,85,False,499,235,False,290,2017,2024
24-07-2023,94,False,626,82,False,499,233,False,290,2017,2024
17-07-2023,97,False,616,80,False,490,230,False,290,2017,2024
03-07-2023,115,False,548,83,False,415,218,False,306,2017,2024
26-06-2023,114,False,548,82,False,415,215,False,306,2017,2024
19-06-2023,117,False,533,82,False,401,216,False,306,2017,2024
12-06-2023,115,False,533,78,False,401,212,False,306,2017,2024
29-05-2023,137,False,441,99,False,300,205,False,342,2017,2024
22-05-2023,137,False,441,97,False,300,205,False,342,2017,2024
08-05-2023,134,False,446,116,False,225,191,False,372,2017,2024
24-04-2023,160,False,378,162,False,150,192,False,372,2017,2024
17-04-2023,161,False,371,157,False,143,190,False,372,2017,2024
10-04-2023,158,False,372,146,False,143,191,False,372,2017,2024
03-04-2023,165,False,366,138,False,137,188,False,372,2017,2024
20-03-2023,163,False,366,124,False,137,186,False,372,2017,2024
06-03-2023,172,False,336,130,False,107,193,False,372,2017,2024
27-02-2023,171,False,336,116,False,107,189,False,372,2017,2024
20-02-2023,177,False,336,101,False,107,191,False,372,2017,2024
13-02-2023,191,False,316,112,False,87,192,False,372,2017,2024
06-02-2023,188,False,316,92,False,87,190,False,372,2017,2024
30-01-2023,188,False,316,85,False,87,191,False,372,2017,2024
16-01-2023,203,False,272,104,False,43,188,False,382,2017,2024
09-01-2023,198,False,281,84,False,43,184,False,391,2017,2024
02-01-2023,191,False,291,121,True,23,174,False,421,2017,2024
26-12-2022,191,False,291,121,True,23,174,False,421,2017,2024
19-12-2022,191,False,291,119,True,23,174,False,421,2017,2024
12-12-2022,193,False,291,111,True,23,175,False,421,2017,2024
05-12-2022,192,False,298,107,True,23,174,False,421,2017,2024
28-11-2022,187,False,313,90,True,23,173,False,421,2017,2024
21-11-2022,183,False,313,56,True,23,175,False,421,2017,2024
14-11-2022,184,False,306,38,True,16,174,False,421,2017,2024
07-11-2022,188,False,290,188,False,290,193,False,371,2017,2024
31-10-2022,193,False,283,189,False,283,208,False,336,2017,2024
24-10-2022,189,False,283,185,False,283,210,False,336,2017,2024
17-10-2022,228,False,233,217,False,233,206,False,336,2017,2024
10-10-2022,216,False,244,212,False,233,207,False,336,2017,2024
03-10-2022,213,False,244,206,False,233,202,False,336,2017,2024
26-09-2022,212,False,244,202,False,233,221,False,286,2017,2024
19-09-2022,231,False,214,214,False,203,241,False,256,2017,2024
12-09-2022,222,False,234,212,False,203,241,False,256,2017,2024
29-08-2022,249,False,204,238,False,170,336,False,172,2017,2024
22-08-2022,228,False,225,234,False,170,327,False,175,2017,2024
15-08-2022,225,False,225,228,False,170,323,False,175,2017,2024
08-08-2022,224,False,228,222,False,170,326,False,175,2017,2024
01-08-2022,223,False,229,216,False,170,300,False,195,2017,2024
25-07-2022,225,False,230,209,False,170,301,False,195,2017,2024
18-07-2022,228,False,231,203,False,170,306,False,197,2017,2024
11-07-2022,236,False,231,198,False,170,262,False,245,2017,2024
27-06-2022,241,False,221,200,False,158,282,False,229,2017,2024
20-06-2022,240,False,221,196,False,158,282,False,229,2017,2024
13-06-2022,240,False,221,186,False,158,284,False,229,2017,2024
06-06-2022,246,False,226,181,False,158,328,False,193,2017,2024
23-05-2022,241,False,225,160,False,149,318,False,198,2017,2024
16-05-2022,235,False,228,156,False,149,312,False,199,2017,2024
09-05-2022,316,False,149,283,False,69,355,False,171,2017,2024
02-05-2022,318,False,149,273,False,69,349,False,172,2017,2024
25-04-2022,325,False,144,278,False,62,341,False,179,2017,2024
18-04-2022,319,False,147,266,False,62,343,False,179,2017,2024
11-04-2022,319,False,147,286,False,39,338,False,179,2017,2024
