rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,40,False,1131,44,False,585,0,False,0,2017,2024
27-05-2024,39,False,1131,41,False,575,0,False,0,2017,2024
20-05-2024,35,False,1166,38,False,575,0,False,0,2017,2024
06-05-2024,40,False,1136,33,False,545,0,False,0,2017,2024
22-04-2024,43,False,1106,32,False,515,0,False,0,2017,2024
15-04-2024,46,False,1066,32,False,465,0,False,0,2017,2024
08-04-2024,39,False,1101,30,False,455,0,False,0,2017,2024
01-04-2024,39,False,1101,27,False,455,0,False,0,2017,2024
18-03-2024,42,False,1071,27,False,425,0,False,0,2017,2024
04-03-2024,37,False,1151,24,False,415,0,False,0,2017,2024
26-02-2024,50,False,951,52,False,215,0,False,0,2017,2024
19-02-2024,53,False,951,45,False,215,0,False,0,2017,2024
12-02-2024,51,False,951,34,False,215,0,False,0,2017,2024
05-02-2024,51,False,951,24,True,215,0,False,0,2017,2024
29-01-2024,51,False,951,21,True,215,0,False,0,2017,2024
15-01-2024,55,False,911,10,True,165,0,False,0,2017,2024
08-01-2024,62,False,836,0,False,0,0,False,0,2017,2024
01-01-2024,61,False,856,0,False,0,0,False,0,2017,2024
25-12-2023,61,False,856,0,False,0,0,False,0,2017,2024
18-12-2023,61,False,856,0,False,0,0,False,0,2017,2024
11-12-2023,61,False,856,0,False,0,0,False,0,2017,2024
04-12-2023,61,False,856,0,False,0,0,False,0,2017,2024
27-11-2023,61,False,856,0,False,0,0,False,0,2017,2024
20-11-2023,60,False,856,0,False,0,0,False,0,2017,2024
13-11-2023,61,False,856,62,False,856,0,False,0,2017,2024
06-11-2023,82,False,706,80,False,706,0,False,0,2017,2024
30-10-2023,91,False,676,93,False,631,0,False,0,2017,2024
23-10-2023,91,False,676,91,False,631,0,False,0,2017,2024
16-10-2023,88,False,676,92,False,611,0,False,0,2017,2024
02-10-2023,92,False,656,95,False,591,0,False,0,2017,2024
25-09-2023,106,False,581,101,False,516,0,False,0,2017,2024
18-09-2023,105,False,581,101,False,516,0,False,0,2017,2024
11-09-2023,106,False,581,99,False,516,0,False,0,2017,2024
28-08-2023,123,False,491,141,False,336,0,False,0,2017,2024
21-08-2023,118,False,526,145,False,326,0,False,0,2017,2024
14-08-2023,123,False,510,147,False,310,0,False,0,2017,2024
07-08-2023,83,False,715,139,False,310,0,False,0,2017,2024
31-07-2023,81,False,735,133,False,310,0,False,0,2017,2024
24-07-2023,78,False,741,125,False,310,0,False,0,2017,2024
