rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,3,False,8360,10,False,1860,0,False,0,2003,2024
27-05-2024,1,False,9960,12,False,1460,0,False,0,2003,2024
20-05-2024,1,False,9860,14,False,1360,0,False,0,2003,2024
06-05-2024,1,False,9990,12,False,1310,0,False,0,2003,2024
22-04-2024,1,False,9990,9,False,1310,0,False,0,2003,2024
15-04-2024,1,False,10035,9,False,1310,0,False,0,2003,2024
08-04-2024,1,False,9725,13,False,910,0,False,0,2003,2024
01-04-2024,1,False,9725,12,False,910,0,False,0,2003,2024
18-03-2024,1,False,9725,11,False,910,0,False,0,2003,2024
04-03-2024,1,False,9675,8,False,860,0,False,0,2003,2024
26-02-2024,1,False,9855,4,False,860,0,False,0,2003,2024
19-02-2024,1,False,9855,4,False,860,0,False,0,2003,2024
12-02-2024,1,False,9855,4,False,860,0,False,0,2003,2024
05-02-2024,1,False,9855,4,False,860,0,False,0,2003,2024
29-01-2024,1,False,9855,4,False,860,0,False,0,2003,2024
15-01-2024,1,False,11055,56,True,60,0,False,0,2003,2024
08-01-2024,1,False,11055,41,True,60,0,False,0,2003,2024
01-01-2024,1,False,11245,0,False,0,0,False,0,2003,2024
25-12-2023,1,False,11245,0,False,0,0,False,0,2003,2024
18-12-2023,1,False,11245,0,False,0,0,False,0,2003,2024
11-12-2023,1,False,11245,0,False,0,0,False,0,2003,2024
04-12-2023,1,False,11245,0,False,0,0,False,0,2003,2024
27-11-2023,1,False,11245,0,False,0,0,False,0,2003,2024
20-11-2023,1,False,11245,0,False,0,0,False,0,2003,2024
13-11-2023,1,False,9945,1,False,9945,0,False,0,2003,2024
06-11-2023,1,False,11445,1,False,9945,0,False,0,2003,2024
30-10-2023,1,False,11045,1,False,8945,0,False,0,2003,2024
23-10-2023,1,False,11045,1,False,8945,0,False,0,2003,2024
16-10-2023,1,False,11045,1,False,8945,0,False,0,2003,2024
02-10-2023,1,False,11545,1,False,8945,0,False,0,2003,2024
25-09-2023,1,False,11795,1,False,8945,0,False,0,2003,2024
18-09-2023,1,False,11795,1,False,8945,0,False,0,2003,2024
11-09-2023,1,False,11795,1,False,8945,0,False,0,2003,2024
28-08-2023,2,False,9795,2,False,6945,0,False,0,2003,2024
21-08-2023,2,False,9795,2,False,6945,0,False,0,2003,2024
14-08-2023,2,False,8795,2,False,5945,0,False,0,2003,2024
07-08-2023,2,False,8795,2,False,5945,0,False,0,2003,2024
31-07-2023,2,False,8795,2,False,5945,0,False,0,2003,2024
24-07-2023,2,False,8795,2,False,5945,0,False,0,2003,2024
17-07-2023,2,False,8795,2,False,5945,0,False,0,2003,2024
03-07-2023,2,False,7595,1,False,4745,0,False,0,2003,2024
26-06-2023,2,False,7595,1,False,4745,0,False,0,2003,2024
19-06-2023,1,False,7595,1,False,4745,0,False,0,2003,2024
12-06-2023,1,False,7595,1,False,4745,0,False,0,2003,2024
29-05-2023,3,False,5955,3,False,2745,0,False,0,2003,2024
22-05-2023,3,False,5955,3,False,2745,0,False,0,2003,2024
08-05-2023,1,False,6775,3,False,2565,0,False,0,2003,2024
24-04-2023,1,False,7135,2,False,2565,0,False,0,2003,2024
17-04-2023,1,False,7240,2,False,2520,0,False,0,2003,2024
10-04-2023,1,False,7160,2,False,2430,0,False,0,2003,2024
03-04-2023,1,False,7160,2,False,2430,0,False,0,2003,2024
20-03-2023,2,False,7160,1,False,2430,0,False,0,2003,2024
06-03-2023,1,False,7160,1,False,2430,0,False,0,2003,2024
27-02-2023,1,False,6980,1,False,2250,0,False,0,2003,2024
20-02-2023,1,False,7070,1,False,2250,0,False,0,2003,2024
13-02-2023,1,False,7070,1,False,2250,0,False,0,2003,2024
06-02-2023,1,False,7070,1,False,2250,0,False,0,2003,2024
30-01-2023,1,False,7070,1,False,2250,0,False,0,2003,2024
16-01-2023,5,False,5070,5,True,250,0,False,0,2003,2024
09-01-2023,5,False,5070,3,True,250,0,False,0,2003,2024
02-01-2023,5,False,4820,0,False,0,0,False,0,2003,2024
26-12-2022,5,False,4820,0,False,0,0,False,0,2003,2024
19-12-2022,5,False,4820,0,False,0,0,False,0,2003,2024
12-12-2022,5,False,4820,0,False,0,0,False,0,2003,2024
05-12-2022,5,False,4820,0,False,0,0,False,0,2003,2024
28-11-2022,5,False,4820,0,False,0,0,False,0,2003,2024
21-11-2022,5,False,4820,0,False,0,0,False,0,2003,2024
14-11-2022,8,False,3320,0,False,0,0,False,0,2003,2024
07-11-2022,8,False,3320,8,False,3320,0,False,0,2003,2024
31-10-2022,7,False,4320,10,False,2720,551,True,90,2003,2024
24-10-2022,7,False,4320,10,False,2720,544,True,90,2003,2024
17-10-2022,7,False,4320,10,False,2720,538,True,90,2003,2024
10-10-2022,7,False,4320,10,False,2720,537,True,90,2003,2024
03-10-2022,7,False,3820,15,False,2220,525,True,90,2003,2024
26-09-2022,7,False,3570,15,False,1970,527,True,90,2003,2024
19-09-2022,7,False,3570,15,False,1970,535,True,90,2003,2024
12-09-2022,7,False,3570,15,False,1970,537,True,90,2003,2024
29-08-2022,6,False,4770,13,False,1970,532,True,90,2003,2024
22-08-2022,6,False,4770,13,False,1970,530,True,90,2003,2024
15-08-2022,6,False,4770,12,False,1970,525,True,90,2003,2024
08-08-2022,6,False,4770,10,False,1970,522,True,90,2003,2024
01-08-2022,6,False,4770,10,False,1970,521,True,90,2003,2024
25-07-2022,7,False,4770,10,False,1970,527,False,90,2003,2024
18-07-2022,7,False,4770,10,False,1970,533,False,90,2003,2024
11-07-2022,7,False,4770,10,False,1970,541,False,90,2003,2024
27-06-2022,3,False,6770,10,False,1970,533,False,90,2003,2024
20-06-2022,3,False,6770,9,False,1970,334,False,180,2003,2024
13-06-2022,3,False,6770,9,False,1970,337,False,180,2003,2024
06-06-2022,1,False,8770,9,False,1970,342,False,180,2003,2024
23-05-2022,1,False,8660,10,False,1610,335,False,180,2003,2024
16-05-2022,1,False,8660,10,False,1610,330,False,180,2003,2024
09-05-2022,1,False,8260,28,False,610,335,False,180,2003,2024
02-05-2022,1,False,8400,97,False,250,334,False,180,2003,2024
25-04-2022,1,False,8400,95,False,250,334,False,180,2003,2024
18-04-2022,1,False,8340,187,False,100,337,False,180,2003,2024
11-04-2022,1,False,8420,168,False,90,333,False,180,2003,2024
04-04-2022,1,False,8420,157,False,90,331,False,180,2003,2024
21-03-2022,1,False,8465,130,False,90,336,False,180,2003,2024
07-03-2022,2,False,8465,111,False,90,341,False,180,2003,2024
28-02-2022,2,False,8465,109,False,90,344,False,180,2003,2024
21-02-2022,1,False,8875,0,False,0,350,False,180,2003,2024
14-02-2022,1,False,10875,0,False,0,357,False,180,2003,2024
07-02-2022,1,False,10875,0,False,0,359,False,180,2003,2024
31-01-2022,1,False,11015,0,False,0,304,False,230,2003,2024
17-01-2022,1,False,11015,0,False,0,304,False,230,2003,2024
10-01-2022,1,False,11015,0,False,0,302,False,230,2003,2024
03-01-2022,1,False,11540,0,False,0,255,False,300,2003,2024
27-12-2021,1,False,11540,1,False,9370,255,False,300,2003,2024
20-12-2021,1,False,11540,1,False,9370,255,False,300,2003,2024
