rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,175,False,352,222,False,131,386,False,156,2009,2024
27-05-2024,168,False,358,204,False,127,386,False,156,2009,2024
20-05-2024,168,False,358,200,False,127,316,False,201,2009,2024
06-05-2024,163,False,366,189,False,127,315,False,201,2009,2024
22-04-2024,173,False,344,210,False,102,305,False,201,2009,2024
15-04-2024,178,False,342,205,False,94,309,False,201,2009,2024
08-04-2024,178,False,342,198,False,94,311,False,201,2009,2024
01-04-2024,176,False,342,188,False,94,316,False,201,2009,2024
18-03-2024,183,False,336,174,False,88,314,False,201,2009,2024
04-03-2024,161,False,399,173,False,76,389,False,151,2009,2024
26-02-2024,157,False,399,157,False,76,388,False,151,2009,2024
19-02-2024,135,False,489,135,False,76,389,False,151,2009,2024
12-02-2024,135,False,482,126,False,69,388,False,151,2009,2024
05-02-2024,112,False,559,180,False,44,386,False,151,2009,2024
29-01-2024,111,False,559,164,False,44,383,False,151,2009,2024
15-01-2024,105,False,597,123,False,36,381,False,151,2009,2024
08-01-2024,109,False,597,90,False,36,383,False,151,2009,2024
01-01-2024,112,False,597,53,False,36,385,False,151,2009,2024
25-12-2023,112,False,597,52,False,36,385,False,151,2009,2024
18-12-2023,112,False,597,50,False,36,384,False,151,2009,2024
11-12-2023,112,False,597,48,False,36,384,False,151,2009,2024
04-12-2023,112,False,597,47,False,36,380,False,151,2009,2024
27-11-2023,109,False,597,27,False,36,374,False,151,2009,2024
20-11-2023,108,False,597,12,False,36,375,False,151,2009,2024
13-11-2023,112,False,561,113,False,561,375,False,151,2009,2024
06-11-2023,111,False,561,111,False,561,378,False,151,2009,2024
30-10-2023,115,False,545,111,False,545,374,False,151,2009,2024
23-10-2023,129,False,470,127,False,470,383,False,151,2009,2024
16-10-2023,129,False,470,122,False,470,376,False,151,2009,2024
02-10-2023,137,False,441,124,False,441,377,False,151,2009,2024
25-09-2023,136,False,441,122,False,441,377,False,151,2009,2024
18-09-2023,143,False,432,120,False,432,372,False,151,2009,2024
11-09-2023,141,False,432,117,False,432,400,False,135,2009,2024
28-08-2023,147,False,422,110,False,422,404,False,135,2009,2024
21-08-2023,149,False,422,109,False,422,399,False,135,2009,2024
14-08-2023,150,False,422,106,False,422,400,False,135,2009,2024
07-08-2023,147,False,422,103,False,422,404,False,135,2009,2024
31-07-2023,165,False,362,117,False,362,407,False,135,2009,2024
24-07-2023,164,False,362,112,False,362,868,False,45,2009,2024
17-07-2023,167,False,350,110,False,350,855,False,45,2009,2024
03-07-2023,171,False,340,101,False,340,858,True,45,2009,2024
26-06-2023,170,False,340,99,False,340,850,True,45,2009,2024
19-06-2023,170,False,340,95,False,340,850,True,45,2009,2024
12-06-2023,172,False,340,94,False,340,849,False,45,2009,2024
29-05-2023,160,False,375,79,False,330,857,False,45,2009,2024
22-05-2023,160,False,375,77,False,330,0,False,0,2009,2024
08-05-2023,157,False,374,77,False,313,0,False,0,2009,2024
24-04-2023,135,False,441,65,False,313,0,False,0,2009,2024
17-04-2023,126,False,471,58,False,313,0,False,0,2009,2024
10-04-2023,117,False,506,53,False,313,0,False,0,2009,2024
03-04-2023,112,False,506,47,False,313,0,False,0,2009,2024
20-03-2023,111,False,506,36,False,313,0,False,0,2009,2024
06-03-2023,99,False,561,52,False,238,0,False,0,2009,2024
27-02-2023,96,False,561,45,False,238,0,False,0,2009,2024
20-02-2023,111,False,491,66,False,148,0,False,0,2009,2024
13-02-2023,107,False,501,50,False,148,0,False,0,2009,2024
06-02-2023,138,False,411,171,True,46,0,False,0,2009,2024
30-01-2023,139,False,411,154,True,46,0,False,0,2009,2024
16-01-2023,131,False,425,0,False,0,0,False,0,2009,2024
09-01-2023,132,False,425,0,False,0,0,False,0,2009,2024
02-01-2023,132,False,425,0,False,0,0,False,0,2009,2024
26-12-2022,132,False,425,0,False,0,0,False,0,2009,2024
19-12-2022,132,False,425,0,False,0,0,False,0,2009,2024
12-12-2022,132,False,425,0,False,0,0,False,0,2009,2024
05-12-2022,119,False,473,0,False,0,0,False,0,2009,2024
28-11-2022,119,False,488,0,False,0,0,False,0,2009,2024
21-11-2022,117,False,495,0,False,0,0,False,0,2009,2024
14-11-2022,114,False,495,0,False,0,0,False,0,2009,2024
07-11-2022,97,False,575,97,False,575,0,False,0,2009,2024
31-10-2022,97,False,582,94,False,575,0,False,0,2009,2024
24-10-2022,92,False,590,91,False,575,0,False,0,2009,2024
17-10-2022,88,False,598,88,False,575,0,False,0,2009,2024
10-10-2022,90,False,603,87,False,575,0,False,0,2009,2024
03-10-2022,89,False,603,86,False,575,0,False,0,2009,2024
26-09-2022,77,False,671,83,False,575,983,False,29,2009,2024
19-09-2022,78,False,671,79,False,575,973,True,29,2009,2024
12-09-2022,78,False,671,79,False,575,965,False,29,2009,2024
29-08-2022,74,False,683,68,False,575,952,False,29,2009,2024
22-08-2022,73,False,683,65,False,575,946,True,29,2009,2024
15-08-2022,70,False,683,63,False,568,938,True,29,2009,2024
08-08-2022,65,False,704,62,False,558,936,False,29,2009,2024
01-08-2022,64,False,704,61,False,558,948,True,29,2009,2024
25-07-2022,70,False,704,60,False,546,949,True,29,2009,2024
18-07-2022,74,False,704,60,False,546,951,True,29,2009,2024
11-07-2022,76,False,704,57,False,546,959,True,29,2009,2024
27-06-2022,80,False,704,59,False,531,961,False,29,2009,2024
20-06-2022,81,False,729,54,False,531,948,False,29,2009,2024
13-06-2022,83,False,732,51,False,531,654,False,64,2009,2024
06-06-2022,85,False,733,49,False,531,665,False,64,2009,2024
23-05-2022,90,False,703,51,False,486,654,False,64,2009,2024
16-05-2022,87,False,721,47,False,486,647,False,64,2009,2024
09-05-2022,81,False,775,47,False,470,599,False,73,2009,2024
02-05-2022,81,False,775,47,False,435,598,False,73,2009,2024
25-04-2022,85,False,758,46,False,418,508,False,96,2009,2024
18-04-2022,89,False,743,47,False,400,510,False,96,2009,2024
11-04-2022,92,False,723,73,False,232,516,False,96,2009,2024
04-04-2022,93,False,723,65,False,232,509,False,96,2009,2024
21-03-2022,90,False,723,60,False,232,498,False,96,2009,2024
07-03-2022,101,False,648,99,False,102,472,False,111,2009,2024
28-02-2022,103,False,648,97,False,102,473,False,111,2009,2024
21-02-2022,98,False,673,107,False,82,481,False,111,2009,2024
14-02-2022,103,False,684,103,False,72,453,False,126,2009,2024
07-02-2022,103,False,684,93,False,60,447,False,126,2009,2024
31-01-2022,109,False,684,77,False,60,444,False,126,2009,2024
17-01-2022,114,False,654,0,False,0,437,False,126,2009,2024
10-01-2022,113,False,654,0,False,0,437,False,126,2009,2024
03-01-2022,115,False,654,0,False,0,437,False,126,2009,2024
27-12-2021,115,False,654,101,False,511,437,False,126,2009,2024
20-12-2021,115,False,654,101,False,511,438,False,126,2009,2024
13-12-2021,115,False,654,101,False,511,437,False,126,2009,2024
06-12-2021,119,False,616,106,False,470,431,False,126,2009,2024
29-11-2021,119,False,611,107,False,455,433,False,126,2009,2024
22-11-2021,119,False,611,110,False,448,432,False,126,2009,2024
15-11-2021,120,False,611,108,False,448,428,False,126,2009,2024
08-11-2021,130,False,540,123,False,368,432,False,126,2009,2024
01-11-2021,129,False,546,123,False,361,431,False,126,2009,2024
25-10-2021,128,False,579,129,True,346,437,False,126,2009,2024
18-10-2021,128,False,584,133,False,331,438,False,126,2009,2024
04-10-2021,128,False,614,133,False,316,453,False,126,2009,2024
27-09-2021,141,False,543,163,False,236,481,False,112,2009,2024
20-09-2021,141,False,543,159,True,236,396,False,160,2009,2024
13-09-2021,144,False,543,155,False,236,396,False,160,2009,2024
30-08-2021,137,False,579,144,True,228,399,False,160,2009,2024
23-08-2021,137,False,579,144,True,228,394,False,160,2009,2024
16-08-2021,136,False,579,142,False,228,393,False,160,2009,2024
09-08-2021,142,False,555,158,False,195,391,False,160,2009,2024
02-08-2021,139,False,555,156,False,195,388,False,160,2009,2024
26-07-2021,140,False,558,153,False,195,338,False,205,2009,2024
19-07-2021,139,False,558,145,True,195,334,False,205,2009,2024
12-07-2021,135,False,578,138,True,195,328,False,205,2009,2024
28-06-2021,135,False,576,128,True,187,328,False,205,2009,2024
21-06-2021,130,False,616,126,True,187,327,False,205,2009,2024
14-06-2021,129,False,610,131,False,169,360,False,170,2009,2024
31-05-2021,124,False,639,111,True,153,363,False,170,2009,2024
24-05-2021,124,False,639,106,False,153,360,False,170,2009,2024
17-05-2021,121,False,646,123,True,128,358,False,170,2009,2024
10-05-2021,128,False,594,213,True,58,352,False,179,2009,2024
03-05-2021,127,False,629,216,True,51,352,False,179,2009,2024
26-04-2021,125,False,629,209,False,51,325,False,201,2009,2024
19-04-2021,125,False,629,199,False,51,323,False,201,2009,2024
12-04-2021,122,False,629,222,False,41,325,False,201,2009,2024
05-04-2021,121,False,629,211,False,41,322,False,201,2009,2024
22-03-2021,121,False,629,184,False,41,320,False,201,2009,2024
15-03-2021,121,False,629,172,False,41,317,False,201,2009,2024
08-03-2021,114,False,669,156,False,41,303,False,215,2009,2024
01-03-2021,113,False,669,144,False,41,303,False,215,2009,2024
22-02-2021,112,False,669,118,False,41,300,False,215,2009,2024
08-02-2021,112,False,646,0,False,0,305,False,200,2009,2024
01-02-2021,112,False,646,0,False,0,304,False,200,2009,2024
25-01-2021,112,False,646,0,False,0,304,False,200,2009,2024
18-01-2021,112,False,646,0,False,0,304,False,200,2009,2024
11-01-2021,111,False,646,0,False,0,304,False,200,2009,2024
04-01-2021,111,False,646,0,False,83,304,False,200,2009,2024
28-12-2020,111,False,638,0,False,0,303,False,200,2009,2024
