rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,208,False,295,306,False,82,704,False,66,2011,2024
27-05-2024,207,False,295,306,False,74,707,False,66,2011,2024
20-05-2024,209,False,295,297,False,74,700,False,66,2011,2024
06-05-2024,192,False,310,315,False,62,688,False,66,2011,2024
22-04-2024,205,False,298,342,False,50,691,False,66,2011,2024
15-04-2024,217,False,282,427,False,34,698,False,66,2011,2024
08-04-2024,216,False,282,407,False,34,699,False,66,2011,2024
01-04-2024,218,False,282,387,False,34,702,False,66,2011,2024
18-03-2024,218,False,278,355,False,30,701,False,66,2011,2024
04-03-2024,221,False,278,335,False,30,708,False,66,2011,2024
26-02-2024,217,False,278,314,False,30,697,False,66,2011,2024
19-02-2024,223,False,272,336,False,24,700,False,66,2011,2024
12-02-2024,222,False,272,316,False,24,704,False,66,2011,2024
05-02-2024,209,False,292,295,False,24,708,False,66,2011,2024
29-01-2024,210,False,292,269,False,24,712,False,66,2011,2024
15-01-2024,213,False,291,293,True,12,701,False,66,2011,2024
08-01-2024,196,False,309,0,False,0,699,False,66,2011,2024
01-01-2024,165,False,384,0,False,0,826,False,50,2011,2024
25-12-2023,165,False,384,0,False,0,827,False,50,2011,2024
18-12-2023,165,False,384,0,False,0,824,False,50,2011,2024
11-12-2023,165,False,384,0,False,0,821,False,50,2011,2024
04-12-2023,167,False,384,0,False,0,813,False,50,2011,2024
27-11-2023,166,False,384,0,False,0,802,False,50,2011,2024
20-11-2023,168,False,384,0,False,0,806,True,50,2011,2024
13-11-2023,167,False,384,167,False,384,803,True,50,2011,2024
06-11-2023,164,False,379,162,False,379,802,True,50,2011,2024
30-10-2023,165,False,386,161,False,379,800,True,50,2011,2024
23-10-2023,164,False,386,159,False,379,804,True,50,2011,2024
16-10-2023,176,False,356,166,False,349,0,False,0,2011,2024
02-10-2023,196,False,315,181,False,308,0,False,0,2011,2024
25-09-2023,194,False,315,178,False,308,0,False,0,2011,2024
18-09-2023,253,False,240,223,False,233,0,False,0,2011,2024
11-09-2023,192,False,315,219,False,233,0,False,0,2011,2024
28-08-2023,186,False,323,216,False,225,0,False,0,2011,2024
21-08-2023,187,False,323,215,False,225,0,False,0,2011,2024
14-08-2023,188,False,323,209,False,225,0,False,0,2011,2024
07-08-2023,159,False,373,202,False,225,0,False,0,2011,2024
31-07-2023,166,False,361,207,False,213,0,False,0,2011,2024
24-07-2023,157,False,386,199,False,213,0,False,0,2011,2024
17-07-2023,153,False,386,187,False,213,0,False,0,2011,2024
03-07-2023,159,False,362,200,False,178,0,False,0,2011,2024
26-06-2023,159,False,362,195,False,178,0,False,0,2011,2024
19-06-2023,158,False,360,191,False,176,0,False,0,2011,2024
12-06-2023,160,False,362,194,False,171,0,False,0,2011,2024
29-05-2023,163,False,362,185,False,163,0,False,0,2011,2024
22-05-2023,163,False,362,180,False,163,0,False,0,2011,2024
08-05-2023,174,False,335,185,False,136,0,False,0,2011,2024
24-04-2023,159,False,378,175,False,136,0,False,0,2011,2024
17-04-2023,148,False,385,160,False,136,1268,True,16,2011,2024
10-04-2023,148,False,385,149,False,136,1268,True,16,2011,2024
03-04-2023,141,False,415,140,False,136,1269,True,16,2011,2024
20-03-2023,142,False,415,126,False,136,1271,True,16,2011,2024
06-03-2023,144,False,415,103,False,136,1268,True,16,2011,2024
27-02-2023,141,False,415,86,False,136,1260,True,16,2011,2024
20-02-2023,140,False,415,73,False,136,1259,True,16,2011,2024
13-02-2023,137,False,415,57,False,136,1261,True,16,2011,2024
06-02-2023,143,False,402,61,False,116,1269,True,16,2011,2024
30-01-2023,144,False,402,56,False,116,1261,True,16,2011,2024
16-01-2023,132,False,421,28,False,105,953,False,32,2011,2024
09-01-2023,145,False,391,42,True,75,952,True,32,2011,2024
02-01-2023,180,False,316,0,False,0,964,True,32,2011,2024
26-12-2022,180,False,316,0,False,0,962,True,32,2011,2024
19-12-2022,180,False,316,0,False,0,961,True,32,2011,2024
12-12-2022,181,False,316,0,False,0,962,True,32,2011,2024
05-12-2022,183,False,316,0,False,0,963,True,32,2011,2024
28-11-2022,184,False,316,0,False,0,965,True,32,2011,2024
21-11-2022,181,False,316,0,False,0,969,False,32,2011,2024
14-11-2022,180,False,316,0,False,0,967,False,32,2011,2024
07-11-2022,175,False,316,175,False,316,964,False,32,2011,2024
31-10-2022,170,False,324,175,False,309,966,False,32,2011,2024
24-10-2022,155,False,369,170,False,309,968,False,32,2011,2024
17-10-2022,152,False,381,165,False,309,967,False,32,2011,2024
10-10-2022,145,False,398,163,False,309,964,False,32,2011,2024
03-10-2022,140,False,398,159,False,309,952,False,32,2011,2024
26-09-2022,114,False,473,155,False,309,942,False,32,2011,2024
19-09-2022,111,False,480,151,False,309,933,False,32,2011,2024
12-09-2022,136,False,405,185,False,234,926,False,32,2011,2024
29-08-2022,136,False,407,191,False,218,915,False,32,2011,2024
22-08-2022,137,False,407,188,False,218,906,False,32,2011,2024
15-08-2022,133,False,407,184,False,218,898,False,32,2011,2024
08-08-2022,155,False,357,228,False,168,900,False,32,2011,2024
01-08-2022,155,False,357,221,False,168,909,False,32,2011,2024
25-07-2022,166,False,332,239,False,143,913,False,32,2011,2024
18-07-2022,154,False,352,235,False,143,909,False,32,2011,2024
11-07-2022,153,False,364,229,False,143,910,False,32,2011,2024
27-06-2022,153,False,371,226,False,132,909,False,32,2011,2024
20-06-2022,155,False,371,226,False,132,901,False,32,2011,2024
13-06-2022,147,False,412,225,False,125,912,False,32,2011,2024
06-06-2022,154,False,417,228,False,117,601,False,77,2011,2024
23-05-2022,149,False,417,205,False,117,587,False,77,2011,2024
16-05-2022,150,False,417,202,False,117,581,False,77,2011,2024
09-05-2022,140,False,456,194,False,117,577,False,77,2011,2024
02-05-2022,148,False,427,246,False,81,579,False,77,2011,2024
25-04-2022,149,False,428,248,False,74,550,False,85,2011,2024
18-04-2022,148,False,428,257,False,67,618,False,69,2011,2024
11-04-2022,146,False,428,198,False,67,625,False,69,2011,2024
04-04-2022,137,False,461,278,False,37,623,False,69,2011,2024
21-03-2022,140,False,461,232,False,37,619,False,69,2011,2024
07-03-2022,140,False,461,204,False,37,618,False,69,2011,2024
28-02-2022,143,False,461,197,False,37,616,False,69,2011,2024
21-02-2022,121,False,557,178,False,37,619,False,69,2011,2024
14-02-2022,128,False,561,164,False,37,627,False,69,2011,2024
07-02-2022,128,False,561,164,True,30,624,False,69,2011,2024
31-01-2022,117,False,616,143,True,30,625,False,69,2011,2024
17-01-2022,118,False,621,0,False,0,731,False,53,2011,2024
10-01-2022,118,False,621,0,False,0,732,False,53,2011,2024
03-01-2022,119,False,621,0,False,0,729,False,53,2011,2024
27-12-2021,119,False,621,121,False,408,730,False,53,2011,2024
20-12-2021,119,False,621,121,False,408,731,False,53,2011,2024
13-12-2021,119,False,621,120,False,408,736,False,53,2011,2024
06-12-2021,117,False,621,120,False,408,731,False,53,2011,2024
29-11-2021,118,False,621,118,False,408,733,False,53,2011,2024
22-11-2021,118,False,621,117,False,408,731,False,53,2011,2024
15-11-2021,118,False,621,116,True,408,728,False,53,2011,2024
08-11-2021,119,False,621,114,True,408,726,False,53,2011,2024
01-11-2021,107,False,716,116,False,393,725,False,53,2011,2024
25-10-2021,116,False,681,126,False,348,730,False,53,2011,2024
18-10-2021,114,False,681,130,False,336,729,False,53,2011,2024
04-10-2021,111,False,717,131,False,319,734,False,53,2011,2024
27-09-2021,121,False,654,158,False,244,739,False,53,2011,2024
20-09-2021,120,False,654,158,False,237,745,False,53,2011,2024
13-09-2021,121,False,654,154,False,237,745,False,53,2011,2024
30-08-2021,125,False,646,150,False,219,754,False,53,2011,2024
23-08-2021,125,False,646,149,False,219,749,False,53,2011,2024
16-08-2021,127,False,652,147,False,219,754,False,53,2011,2024
09-08-2021,129,False,652,144,False,219,757,False,53,2011,2024
02-08-2021,129,False,652,142,False,219,758,False,53,2011,2024
26-07-2021,124,False,660,140,False,219,756,False,53,2011,2024
19-07-2021,124,False,652,142,True,199,751,False,53,2011,2024
12-07-2021,122,False,660,142,False,187,744,False,53,2011,2024
28-06-2021,122,False,677,137,True,177,741,False,53,2011,2024
21-06-2021,122,False,677,135,True,177,737,False,53,2011,2024
14-06-2021,110,False,714,133,False,167,734,False,53,2011,2024
31-05-2021,111,False,726,105,True,161,497,False,98,2011,2024
24-05-2021,110,False,726,102,True,161,491,False,98,2011,2024
17-05-2021,108,False,726,96,True,161,492,False,98,2011,2024
10-05-2021,109,False,720,121,True,126,497,False,98,2011,2024
03-05-2021,111,False,720,115,True,126,497,False,98,2011,2024
26-04-2021,111,False,723,118,False,120,475,False,105,2011,2024
19-04-2021,110,False,723,110,False,120,474,False,105,2011,2024
12-04-2021,110,False,723,99,False,120,473,False,105,2011,2024
05-04-2021,101,False,785,93,False,120,470,False,105,2011,2024
22-03-2021,100,False,785,80,False,120,466,False,105,2011,2024
15-03-2021,99,False,785,70,False,120,465,False,105,2011,2024
08-03-2021,98,False,785,57,False,120,472,False,105,2011,2024
01-03-2021,98,False,785,50,False,120,471,False,105,2011,2024
22-02-2021,102,False,752,68,False,75,467,False,105,2011,2024
08-02-2021,98,False,752,29,True,65,461,False,105,2011,2024
01-02-2021,100,False,737,0,False,0,456,False,105,2011,2024
25-01-2021,99,False,737,0,False,0,454,False,105,2011,2024
18-01-2021,99,False,737,0,False,0,452,False,105,2011,2024
11-01-2021,98,False,737,0,False,0,450,False,105,2011,2024
04-01-2021,98,False,737,0,False,255,450,False,105,2011,2024
28-12-2020,96,False,737,0,False,0,448,False,105,2011,2024
21-12-2020,96,False,737,0,False,0,448,False,105,2011,2024
14-12-2020,96,False,737,0,False,0,445,False,105,2011,2024
07-12-2020,96,False,737,0,False,0,444,False,105,2011,2024
30-11-2020,96,False,737,0,False,0,440,False,105,2011,2024
23-11-2020,96,False,737,0,False,0,438,False,105,2011,2024
16-11-2020,96,False,737,0,False,0,437,False,105,2011,2024
09-11-2020,96,False,737,0,False,0,436,False,105,2011,2024
02-11-2020,95,False,737,0,False,0,435,False,105,2011,2024
26-10-2020,92,False,737,0,False,0,433,False,105,2011,2024
19-10-2020,91,False,735,0,False,0,430,False,105,2011,2024
12-10-2020,94,False,700,0,False,0,425,False,105,2011,2024
28-09-2020,92,False,698,0,False,0,1246,True,15,2011,2024
21-09-2020,91,False,698,0,False,0,1244,False,15,2011,2024
14-09-2020,90,False,698,0,False,0,1244,False,15,2011,2024
31-08-2020,85,False,695,0,False,0,1238,True,15,2011,2024
24-08-2020,85,False,686,0,False,0,1235,True,15,2011,2024
16-03-2020,85,False,686,45,False,279,1236,True,15,2011,2024
09-03-2020,85,False,686,45,False,279,1217,True,15,2011,2024
02-03-2020,85,False,686,44,False,279,1211,True,15,2011,2024
24-02-2020,96,False,621,54,False,214,1211,True,15,2011,2024
17-02-2020,95,False,609,46,False,202,1201,True,15,2011,2024
10-02-2020,96,False,609,35,False,202,1199,True,15,2011,2024
03-02-2020,93,False,609,29,False,202,1201,True,15,2011,2024
20-01-2020,99,False,574,15,False,167,1194,False,15,2011,2024
13-01-2020,99,False,574,11,False,167,1194,False,15,2011,2024
06-01-2020,105,False,524,2,False,117,1193,False,15,2011,2024
30-12-2019,108,False,524,2,False,117,1198,True,15,2011,2024
23-12-2019,108,False,524,2,False,117,1200,True,15,2011,2024
16-12-2019,108,False,524,2,False,117,1198,True,15,2011,2024
09-12-2019,108,False,524,2,False,117,1197,True,15,2011,2024
