rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,9,False,3845,7,False,2255,294,False,225,2015,2024
27-05-2024,11,False,3490,8,False,1855,288,True,225,2015,2024
20-05-2024,11,False,3490,8,False,1855,287,False,225,2015,2024
06-05-2024,11,False,3435,8,False,1755,178,False,405,2015,2024
22-04-2024,11,False,3470,6,False,1745,176,False,405,2015,2024
15-04-2024,11,False,3510,6,False,1695,176,False,405,2015,2024
08-04-2024,11,False,3355,5,False,1495,174,False,405,2015,2024
01-04-2024,11,False,3355,5,False,1495,172,False,405,2015,2024
18-03-2024,10,False,3300,5,False,1395,175,False,405,2015,2024
04-03-2024,10,False,3210,3,False,1295,177,False,405,2015,2024
26-02-2024,9,False,3210,6,False,795,177,False,405,2015,2024
19-02-2024,9,False,3210,5,False,795,178,False,405,2015,2024
12-02-2024,11,False,2970,8,False,465,181,False,405,2015,2024
05-02-2024,11,False,2970,7,False,465,178,False,405,2015,2024
29-01-2024,11,False,2970,7,False,465,177,False,405,2015,2024
15-01-2024,10,False,2950,3,False,265,178,False,405,2015,2024
08-01-2024,10,False,2950,2,False,265,174,False,405,2015,2024
01-01-2024,12,False,2740,0,False,0,178,False,405,2015,2024
25-12-2023,12,False,2740,0,False,0,178,False,405,2015,2024
18-12-2023,12,False,2740,0,False,0,178,False,405,2015,2024
11-12-2023,12,False,2740,0,False,0,178,False,405,2015,2024
04-12-2023,12,False,2740,0,False,0,178,False,405,2015,2024
27-11-2023,12,False,2740,0,False,0,176,False,405,2015,2024
20-11-2023,12,False,2740,0,False,0,176,False,405,2015,2024
13-11-2023,12,False,2740,12,False,2740,176,False,405,2015,2024
06-11-2023,12,False,2740,12,False,2740,177,False,405,2015,2024
30-10-2023,13,False,2650,13,False,2560,177,False,405,2015,2024
23-10-2023,13,False,2650,13,False,2560,221,False,315,2015,2024
16-10-2023,13,False,2650,13,False,2515,223,False,315,2015,2024
02-10-2023,11,False,2685,11,False,2505,285,False,225,2015,2024
25-09-2023,12,False,2685,11,False,2505,287,False,225,2015,2024
18-09-2023,12,False,2685,11,False,2505,287,False,225,2015,2024
11-09-2023,12,False,2685,11,False,2505,285,False,225,2015,2024
28-08-2023,13,False,2595,11,False,2325,284,True,225,2015,2024
21-08-2023,13,False,2595,11,False,2325,286,True,225,2015,2024
14-08-2023,12,False,2595,11,False,2280,230,False,315,2015,2024
07-08-2023,18,False,2085,15,False,1680,187,False,405,2015,2024
31-07-2023,19,False,1945,15,False,1540,162,False,495,2015,2024
24-07-2023,17,False,2150,15,False,1505,162,False,495,2015,2024
17-07-2023,18,False,2150,15,False,1505,161,False,495,2015,2024
03-07-2023,17,False,2115,15,False,1460,158,False,495,2015,2024
26-06-2023,16,False,2115,15,False,1460,158,False,495,2015,2024
19-06-2023,18,False,1905,16,False,1170,158,False,495,2015,2024
12-06-2023,18,False,1905,16,False,1125,148,False,540,2015,2024
29-05-2023,19,False,1870,14,False,1080,149,False,540,2015,2024
22-05-2023,19,False,1870,14,False,1080,149,False,540,2015,2024
08-05-2023,18,False,1995,14,False,1070,199,False,360,2015,2024
24-04-2023,19,False,1995,13,False,1025,200,False,360,2015,2024
17-04-2023,19,False,2050,13,False,935,195,False,360,2015,2024
10-04-2023,19,False,2050,11,False,890,197,False,360,2015,2024
03-04-2023,19,False,2050,11,False,890,194,False,360,2015,2024
20-03-2023,18,False,2085,9,False,880,193,False,360,2015,2024
06-03-2023,18,False,2165,7,False,870,197,False,360,2015,2024
27-02-2023,22,False,1710,18,False,370,194,False,360,2015,2024
20-02-2023,23,False,1710,17,False,325,198,False,360,2015,2024
13-02-2023,25,False,1620,29,False,235,199,False,360,2015,2024
06-02-2023,25,False,1710,22,False,235,196,False,360,2015,2024
30-01-2023,25,False,1710,22,False,235,198,False,360,2015,2024
16-01-2023,24,False,1710,79,False,55,195,False,360,2015,2024
09-01-2023,24,False,1710,58,True,55,195,False,360,2015,2024
02-01-2023,24,False,1790,0,False,0,197,False,360,2015,2024
26-12-2022,24,False,1790,0,False,0,197,False,360,2015,2024
19-12-2022,24,False,1790,0,False,0,197,False,360,2015,2024
12-12-2022,24,False,1790,0,False,0,198,False,360,2015,2024
05-12-2022,24,False,1790,0,False,0,198,False,360,2015,2024
28-11-2022,24,False,1790,0,False,0,197,False,360,2015,2024
21-11-2022,24,False,1790,0,False,0,198,False,360,2015,2024
14-11-2022,24,False,1790,0,False,0,197,False,360,2015,2024
07-11-2022,24,False,1790,24,False,1790,199,False,360,2015,2024
31-10-2022,25,False,1710,23,False,1700,199,False,360,2015,2024
24-10-2022,24,False,1745,22,False,1700,197,False,360,2015,2024
17-10-2022,23,False,1665,23,False,1610,192,False,360,2015,2024
10-10-2022,23,False,1745,23,False,1610,191,False,360,2015,2024
03-10-2022,23,False,1745,22,False,1610,186,False,360,2015,2024
26-09-2022,22,False,1745,21,False,1610,185,False,360,2015,2024
19-09-2022,22,False,1745,21,False,1610,185,False,360,2015,2024
12-09-2022,22,False,1745,21,False,1610,186,False,360,2015,2024
29-08-2022,20,False,1665,19,False,1520,185,False,360,2015,2024
22-08-2022,20,False,1665,19,False,1520,188,False,360,2015,2024
15-08-2022,20,False,1665,19,False,1475,156,False,450,2015,2024
08-08-2022,21,False,1585,18,False,1385,191,False,360,2015,2024
01-08-2022,21,False,1585,18,False,1385,172,False,405,2015,2024
25-07-2022,30,False,1345,20,False,1135,174,False,405,2015,2024
18-07-2022,24,False,1460,19,False,1135,177,False,405,2015,2024
11-07-2022,26,False,1460,19,False,1135,181,False,405,2015,2024
27-06-2022,27,False,1473,19,False,1135,158,False,495,2015,2024
20-06-2022,24,False,1633,21,False,1045,159,False,495,2015,2024
13-06-2022,21,False,1768,21,False,1000,145,False,585,2015,2024
06-06-2022,22,False,1825,20,False,1000,131,False,720,2015,2024
23-05-2022,20,False,1838,17,False,990,132,False,720,2015,2024
16-05-2022,21,False,1771,21,False,900,134,False,720,2015,2024
09-05-2022,22,False,1691,21,False,810,133,False,720,2015,2024
02-05-2022,22,False,1736,22,False,765,132,False,720,2015,2024
25-04-2022,24,False,1736,21,False,765,132,False,720,2015,2024
18-04-2022,25,False,1601,25,False,585,131,False,720,2015,2024
11-04-2022,25,False,1566,21,False,540,133,False,720,2015,2024
04-04-2022,25,False,1566,21,False,540,136,False,720,2015,2024
21-03-2022,28,False,1531,17,False,495,138,False,720,2015,2024
07-03-2022,31,False,1451,18,False,405,139,False,720,2015,2024
28-02-2022,30,False,1486,18,False,405,141,False,720,2015,2024
21-02-2022,32,False,1486,16,False,405,141,False,720,2015,2024
14-02-2022,32,False,1566,13,False,405,144,False,720,2015,2024
07-02-2022,34,False,1486,17,False,315,143,False,720,2015,2024
31-01-2022,33,False,1486,17,False,315,145,False,720,2015,2024
17-01-2022,42,False,1316,18,False,135,143,False,720,2015,2024
10-01-2022,34,False,1556,13,False,135,144,False,720,2015,2024
03-01-2022,34,False,1561,0,False,0,135,False,775,2015,2024
27-12-2021,34,False,1561,31,False,1290,135,False,775,2015,2024
20-12-2021,34,False,1561,31,False,1290,135,False,775,2015,2024
13-12-2021,34,False,1561,31,False,1290,135,False,775,2015,2024
06-12-2021,34,False,1561,31,False,1290,135,False,775,2015,2024
29-11-2021,34,False,1561,31,False,1290,134,False,775,2015,2024
22-11-2021,34,False,1561,31,False,1290,133,False,775,2015,2024
15-11-2021,34,False,1561,31,False,1290,131,False,775,2015,2024
08-11-2021,33,False,1596,30,False,1290,131,False,775,2015,2024
01-11-2021,32,False,1676,30,False,1280,133,False,775,2015,2024
25-10-2021,32,False,1641,29,False,1235,133,False,775,2015,2024
18-10-2021,26,False,2071,29,False,1235,129,False,820,2015,2024
04-10-2021,27,False,1991,29,False,1145,130,False,820,2015,2024
27-09-2021,26,False,1991,28,True,1145,131,False,820,2015,2024
20-09-2021,21,False,2218,27,True,1145,132,False,820,2015,2024
13-09-2021,21,False,2218,27,True,1145,133,False,820,2015,2024
30-08-2021,17,False,2555,24,True,1135,124,False,910,2015,2024
23-08-2021,17,False,2555,23,True,1135,124,False,910,2015,2024
16-08-2021,18,False,2600,25,False,1090,67,False,1730,2015,2024
09-08-2021,18,False,2600,22,False,1080,67,False,1730,2015,2024
02-08-2021,18,False,2565,21,False,1080,66,False,1775,2015,2024
26-07-2021,18,False,2565,21,False,1080,66,False,1865,2015,2024
19-07-2021,17,False,2690,20,True,1080,68,False,1865,2015,2024
12-07-2021,17,False,2690,19,False,1080,68,False,1865,2015,2024
28-06-2021,15,False,2690,14,False,1070,68,False,1865,2015,2024
21-06-2021,18,False,2485,27,False,820,68,False,1865,2015,2024
14-06-2021,22,False,2350,34,False,640,69,False,1685,2015,2024
31-05-2021,22,False,2350,35,False,550,64,False,1730,2015,2024
24-05-2021,22,False,2350,34,False,550,64,False,1730,2015,2024
17-05-2021,22,False,2350,31,False,550,64,False,1730,2015,2024
10-05-2021,23,False,2315,28,False,540,64,False,1730,2015,2024
03-05-2021,24,False,2235,30,True,450,65,False,1730,2015,2024
26-04-2021,25,False,2235,29,False,450,66,False,1730,2015,2024
19-04-2021,25,False,2235,31,False,405,67,False,1730,2015,2024
12-04-2021,25,False,2235,27,False,395,66,False,1730,2015,2024
05-04-2021,25,False,2235,23,False,395,64,False,1730,2015,2024
22-03-2021,23,False,2190,20,False,385,64,False,1730,2015,2024
15-03-2021,23,False,2190,13,False,385,64,False,1730,2015,2024
08-03-2021,23,False,2155,13,False,385,64,False,1730,2015,2024
01-03-2021,23,False,2155,13,False,340,63,False,1730,2015,2024
22-02-2021,23,False,2155,11,False,340,63,False,1730,2015,2024
08-02-2021,23,False,2065,7,False,250,61,False,1730,2015,2024
01-02-2021,23,False,2065,1,True,250,61,False,1730,2015,2024
25-01-2021,23,False,2065,1,True,250,61,False,1730,2015,2024
18-01-2021,23,False,2065,1,True,250,61,False,1730,2015,2024
11-01-2021,23,False,1860,0,False,0,60,False,1730,2015,2024
04-01-2021,23,False,1860,0,False,815,60,False,1730,2015,2024
28-12-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
21-12-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
14-12-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
07-12-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
30-11-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
23-11-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
16-11-2020,23,False,1860,0,False,0,59,False,1730,2015,2024
09-11-2020,25,False,1815,0,False,0,59,False,1730,2015,2024
02-11-2020,25,False,1815,0,False,0,59,False,1730,2015,2024
26-10-2020,25,False,1815,0,False,0,59,False,1730,2015,2024
19-10-2020,29,False,1665,0,False,0,61,False,1685,2015,2024
12-10-2020,29,False,1665,0,False,0,58,False,1685,2015,2024
28-09-2020,28,False,1665,0,False,0,61,False,1595,2015,2024
21-09-2020,27,False,1665,0,False,0,61,False,1595,2015,2024
14-09-2020,27,False,1665,0,False,0,60,False,1595,2015,2024
31-08-2020,28,False,1485,0,False,0,59,False,1595,2015,2024
24-08-2020,26,False,1485,0,False,0,131,False,595,2015,2024
16-03-2020,26,False,1485,98,False,140,131,False,595,2015,2024
09-03-2020,26,False,1485,96,False,140,131,False,595,2015,2024
02-03-2020,26,False,1485,90,False,140,130,False,595,2015,2024
24-02-2020,25,False,1575,84,False,140,132,False,595,2015,2024
17-02-2020,24,False,1575,71,False,140,136,False,595,2015,2024
10-02-2020,24,False,1575,55,False,140,134,False,595,2015,2024
03-02-2020,25,False,1575,44,False,140,133,False,595,2015,2024
20-01-2020,23,False,1665,21,False,140,132,False,595,2015,2024
13-01-2020,21,False,1665,17,False,140,133,False,595,2015,2024
06-01-2020,18,False,1775,0,False,0,139,False,540,2015,2024
30-12-2019,18,False,1775,0,False,0,141,False,540,2015,2024
23-12-2019,18,False,1775,0,False,0,141,False,540,2015,2024
16-12-2019,18,False,1775,0,False,0,141,False,540,2015,2024
09-12-2019,18,False,1775,0,False,0,141,False,540,2015,2024
02-12-2019,18,False,1775,0,False,0,141,False,540,2015,2024
25-11-2019,18,False,1775,0,False,0,141,False,540,2015,2024
18-11-2019,18,False,1775,0,False,0,141,False,540,2015,2024
11-11-2019,18,False,1775,0,False,0,144,False,540,2015,2024
04-11-2019,18,False,1775,18,False,1775,143,False,540,2015,2024
28-10-2019,18,False,1695,18,False,1685,141,False,540,2015,2024
21-10-2019,28,False,1440,25,False,1430,142,False,540,2015,2024
14-10-2019,26,False,1440,23,False,1430,139,False,540,2015,2024
07-10-2019,24,False,1520,22,False,1420,137,False,540,2015,2024
30-09-2019,25,False,1520,22,False,1420,137,False,540,2015,2024
23-09-2019,31,False,1360,31,False,1170,134,False,540,2015,2024
16-09-2019,31,False,1360,29,False,1170,134,False,540,2015,2024
09-09-2019,31,False,1360,29,False,1170,134,False,540,2015,2024
26-08-2019,38,False,1270,32,False,990,156,False,450,2015,2024
19-08-2019,36,False,1270,31,False,990,156,False,450,2015,2024
12-08-2019,38,False,1225,35,False,900,160,False,450,2015,2024
05-08-2019,38,False,1215,32,False,890,185,False,360,2015,2024
29-07-2019,25,False,1515,30,False,890,256,False,180,2015,2024
22-07-2019,34,False,1285,55,False,640,258,False,180,2015,2024
15-07-2019,33,False,1285,52,False,640,259,False,180,2015,2024
01-07-2019,29,False,1330,50,False,595,357,False,90,2015,2024
24-06-2019,29,False,1330,48,False,595,356,False,90,2015,2024
17-06-2019,26,False,1330,46,False,595,356,False,90,2015,2024
10-06-2019,24,False,1410,48,False,550,0,False,0,2015,2024
27-05-2019,25,False,1410,45,False,505,0,False,0,2015,2024
20-05-2019,24,False,1410,45,False,505,0,False,0,2015,2024
13-05-2019,26,False,1420,39,False,495,0,False,0,2015,2024
06-05-2019,27,False,1439,38,False,485,648,True,15,2015,2024
29-04-2019,27,False,1439,37,False,485,414,False,60,2015,2024
22-04-2019,26,False,1439,32,False,485,411,False,60,2015,2024
15-04-2019,25,False,1439,27,False,485,408,False,60,2015,2024
08-04-2019,25,False,1439,25,False,485,410,False,60,2015,2024
01-04-2019,25,False,1467,25,False,485,407,False,60,2015,2024
18-03-2019,26,False,1493,20,False,485,409,False,60,2015,2024
11-03-2019,24,False,1508,17,False,475,410,False,60,2015,2024
04-03-2019,24,False,1508,17,False,475,410,False,60,2015,2024
25-02-2019,26,False,1443,16,False,385,408,False,60,2015,2024
18-02-2019,27,False,1443,14,False,385,409,False,60,2015,2024
11-02-2019,27,False,1443,10,False,385,409,False,60,2015,2024
04-02-2019,28,False,1443,8,False,385,414,False,60,2015,2024
28-01-2019,28,False,1443,8,False,385,415,False,60,2015,2024
14-01-2019,29,False,1353,1,False,295,408,False,60,2015,2024
07-01-2019,29,False,1253,50,True,45,408,False,60,2015,2024
31-12-2018,31,False,1298,0,False,0,406,False,60,2015,2024
24-12-2018,31,False,1298,0,False,0,406,False,60,2015,2024
17-12-2018,31,False,1298,0,False,0,666,False,60,2015,2024
10-12-2018,31,False,1298,0,False,0,666,False,60,2015,2024
03-12-2018,31,False,1298,0,False,0,666,False,60,2015,2024
26-11-2018,31,False,1298,0,False,0,669,False,60,2015,2024
19-11-2018,31,False,1298,0,False,0,672,False,60,2015,2024
12-11-2018,31,False,1298,0,False,0,673,False,60,2015,2024
05-11-2018,31,False,1298,31,False,1298,667,False,60,2015,2024
29-10-2018,33,False,1308,31,False,1288,662,False,60,2015,2024
22-10-2018,31,False,1308,29,False,1288,666,False,60,2015,2024
15-10-2018,31,False,1308,28,False,1288,674,False,60,2015,2024
08-10-2018,33,False,1238,30,False,1198,675,False,60,2015,2024
01-10-2018,38,False,1208,32,False,1173,680,False,60,2015,2024
24-09-2018,40,False,1133,35,False,1103,690,False,60,2015,2024
17-09-2018,38,False,1133,33,False,1103,695,False,60,2015,2024
10-09-2018,38,False,1133,33,False,1103,705,False,60,2015,2024
27-08-2018,45,False,1043,32,False,1013,691,False,60,2015,2024
20-08-2018,43,False,1043,30,False,1013,688,False,60,2015,2024
13-08-2018,43,False,1043,30,False,993,693,False,60,2015,2024
06-08-2018,45,False,1043,29,False,973,691,False,60,2015,2024
30-07-2018,72,False,803,48,False,693,689,False,60,2015,2024
23-07-2018,68,False,795,44,False,693,695,False,60,2015,2024
