rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,62,False,828,174,False,163,293,False,225,2005,2024
27-05-2024,62,False,831,179,False,145,286,False,225,2005,2024
20-05-2024,60,False,831,177,False,145,285,False,225,2005,2024
06-05-2024,67,False,806,209,False,110,215,False,315,2005,2024
22-04-2024,69,False,816,195,False,110,216,False,315,2005,2024
15-04-2024,49,False,996,184,False,110,216,False,315,2005,2024
08-04-2024,50,False,996,188,False,100,215,False,315,2005,2024
01-04-2024,42,False,1086,180,False,100,216,False,315,2005,2024
18-03-2024,43,False,1066,203,False,70,215,False,315,2005,2024
04-03-2024,45,False,1066,211,False,60,178,False,405,2005,2024
26-02-2024,41,False,1066,193,True,60,201,False,360,2005,2024
19-02-2024,42,False,1041,265,True,35,166,False,450,2005,2024
12-02-2024,44,False,1041,236,True,35,167,False,450,2005,2024
05-02-2024,42,False,1041,217,True,35,166,False,450,2005,2024
29-01-2024,42,False,1041,202,True,35,166,False,450,2005,2024
15-01-2024,38,False,1121,171,True,25,166,False,450,2005,2024
08-01-2024,40,False,1096,0,False,0,166,False,450,2005,2024
01-01-2024,38,False,1131,0,False,0,168,False,450,2005,2024
25-12-2023,38,False,1131,0,False,0,168,False,450,2005,2024
18-12-2023,38,False,1131,0,False,0,169,False,450,2005,2024
11-12-2023,38,False,1131,0,False,0,169,False,450,2005,2024
04-12-2023,38,False,1131,0,False,0,169,False,450,2005,2024
27-11-2023,38,False,1131,0,False,0,166,False,450,2005,2024
20-11-2023,38,False,1131,0,False,0,165,False,450,2005,2024
13-11-2023,38,False,1131,38,False,1131,166,False,450,2005,2024
06-11-2023,38,False,1131,38,False,1131,165,False,450,2005,2024
30-10-2023,37,False,1176,38,False,1131,147,False,540,2005,2024
23-10-2023,35,False,1266,37,False,1131,130,False,630,2005,2024
16-10-2023,34,False,1301,34,False,1131,125,False,675,2005,2024
02-10-2023,33,False,1301,34,False,1086,116,False,765,2005,2024
25-09-2023,33,False,1301,32,False,1086,114,False,765,2005,2024
18-09-2023,27,False,1381,32,False,1086,115,False,765,2005,2024
11-09-2023,27,False,1381,32,False,1086,115,False,765,2005,2024
28-08-2023,28,False,1381,34,False,996,115,False,765,2005,2024
21-08-2023,28,False,1381,34,False,996,115,False,765,2005,2024
14-08-2023,28,False,1381,32,False,986,115,False,765,2005,2024
07-08-2023,21,False,1731,30,False,976,62,False,1365,2005,2024
31-07-2023,30,False,1321,89,False,476,62,False,1365,2005,2024
24-07-2023,30,False,1321,86,False,476,64,False,1365,2005,2024
17-07-2023,29,False,1321,81,False,476,61,False,1365,2005,2024
03-07-2023,30,False,1321,71,False,466,63,False,1365,2005,2024
26-06-2023,30,False,1321,71,False,466,62,False,1365,2005,2024
19-06-2023,25,False,1331,66,False,466,69,False,1275,2005,2024
12-06-2023,28,False,1331,63,False,466,68,False,1275,2005,2024
29-05-2023,25,False,1480,58,False,445,69,False,1275,2005,2024
22-05-2023,24,False,1480,55,False,445,66,False,1275,2005,2024
08-05-2023,24,False,1480,47,False,435,73,False,1185,2005,2024
24-04-2023,24,False,1560,39,False,425,77,False,1185,2005,2024
17-04-2023,26,False,1390,87,False,245,74,False,1185,2005,2024
10-04-2023,28,False,1425,85,False,235,72,False,1185,2005,2024
03-04-2023,30,False,1345,132,False,145,72,False,1185,2005,2024
20-03-2023,29,False,1345,127,False,135,73,False,1185,2005,2024
06-03-2023,29,False,1380,109,False,125,78,False,1095,2005,2024
27-02-2023,28,False,1380,97,False,125,73,False,1095,2005,2024
20-02-2023,29,False,1380,81,False,125,79,False,1030,2005,2024
13-02-2023,29,False,1380,65,False,125,81,False,1030,2005,2024
06-02-2023,30,False,1380,53,False,125,80,False,1030,2005,2024
30-01-2023,30,False,1380,48,False,125,82,False,1030,2005,2024
16-01-2023,30,False,1380,147,False,35,80,False,1030,2005,2024
09-01-2023,27,False,1450,115,True,35,79,False,1030,2005,2024
02-01-2023,27,False,1585,0,False,0,74,False,1120,2005,2024
26-12-2022,27,False,1585,0,False,0,74,False,1120,2005,2024
19-12-2022,27,False,1585,0,False,0,74,False,1120,2005,2024
12-12-2022,27,False,1585,0,False,0,74,False,1120,2005,2024
05-12-2022,27,False,1585,0,False,0,74,False,1120,2005,2024
28-11-2022,27,False,1585,0,False,0,72,False,1120,2005,2024
21-11-2022,27,False,1585,0,False,0,72,False,1120,2005,2024
14-11-2022,27,False,1585,0,False,0,73,False,1120,2005,2024
07-11-2022,27,False,1585,27,False,1585,73,False,1120,2005,2024
31-10-2022,27,False,1585,27,False,1540,76,False,1120,2005,2024
24-10-2022,26,False,1515,27,False,1495,82,False,1030,2005,2024
17-10-2022,26,False,1490,25,False,1470,83,False,985,2005,2024
10-10-2022,25,False,1515,25,False,1470,88,False,985,2005,2024
03-10-2022,25,False,1490,24,False,1445,94,False,895,2005,2024
26-09-2022,25,False,1490,24,False,1445,93,False,895,2005,2024
19-09-2022,25,False,1420,25,False,1355,93,False,895,2005,2024
12-09-2022,25,False,1420,25,False,1355,94,False,895,2005,2024
29-08-2022,23,False,1510,24,False,1265,97,False,895,2005,2024
22-08-2022,22,False,1510,24,False,1265,98,False,895,2005,2024
15-08-2022,23,False,1520,23,False,1255,98,False,895,2005,2024
08-08-2022,39,False,1170,34,False,895,172,False,385,2005,2024
01-08-2022,40,False,1115,35,False,805,217,False,295,2005,2024
25-07-2022,39,False,1115,34,False,805,219,False,295,2005,2024
18-07-2022,36,False,1128,32,False,805,225,False,295,2005,2024
