rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,31,False,1290,25,False,910,297,False,225,2014,2024
27-05-2024,29,False,1550,25,False,810,293,False,225,2014,2024
20-05-2024,29,False,1410,32,False,645,292,False,225,2014,2024
06-05-2024,28,False,1460,31,False,595,893,False,45,2014,2024
22-04-2024,27,False,1475,29,False,560,889,False,45,2014,2024
15-04-2024,30,False,1295,52,False,360,891,False,45,2014,2024
08-04-2024,31,False,1260,57,False,310,894,False,45,2014,2024
01-04-2024,30,False,1310,82,False,210,898,False,45,2014,2024
18-03-2024,30,False,1325,78,False,200,893,False,45,2014,2024
04-03-2024,30,False,1335,65,False,200,895,False,45,2014,2024
26-02-2024,27,False,1470,57,False,200,895,False,45,2014,2024
19-02-2024,27,False,1470,52,False,200,425,False,135,2014,2024
12-02-2024,27,False,1465,59,False,150,588,False,90,2014,2024
05-02-2024,29,False,1430,71,True,100,586,False,90,2014,2024
29-01-2024,28,False,1430,63,True,100,596,False,90,2014,2024
15-01-2024,32,False,1375,0,False,0,587,False,90,2014,2024
08-01-2024,30,False,1375,0,False,0,589,False,90,2014,2024
01-01-2024,30,False,1375,0,False,0,590,False,90,2014,2024
25-12-2023,30,False,1375,0,False,0,591,False,90,2014,2024
18-12-2023,30,False,1375,0,False,0,589,False,90,2014,2024
11-12-2023,30,False,1375,0,False,0,589,False,90,2014,2024
04-12-2023,30,False,1375,0,False,0,589,False,90,2014,2024
27-11-2023,30,False,1375,0,False,0,584,False,90,2014,2024
20-11-2023,30,False,1375,0,False,0,586,False,90,2014,2024
13-11-2023,30,False,1375,30,False,1375,589,False,90,2014,2024
06-11-2023,30,False,1410,30,False,1375,585,False,90,2014,2024
30-10-2023,31,False,1380,30,False,1365,584,False,90,2014,2024
23-10-2023,32,False,1340,30,False,1290,586,False,90,2014,2024
16-10-2023,31,False,1341,30,False,1290,576,False,90,2014,2024
02-10-2023,31,False,1346,28,False,1280,586,False,90,2014,2024
25-09-2023,31,False,1316,27,False,1245,584,False,90,2014,2024
18-09-2023,35,False,1285,28,False,1210,582,False,90,2014,2024
11-09-2023,35,False,1285,28,False,1210,586,False,90,2014,2024
28-08-2023,34,False,1250,27,False,1165,589,False,90,2014,2024
21-08-2023,32,False,1250,25,False,1165,580,False,90,2014,2024
14-08-2023,31,False,1285,25,False,1155,465,False,115,2014,2024
07-08-2023,31,False,1305,24,False,1145,464,False,115,2014,2024
31-07-2023,34,False,1231,25,False,1067,296,False,205,2014,2024
24-07-2023,34,False,1231,24,False,1067,298,False,205,2014,2024
17-07-2023,34,False,1231,23,False,1067,291,False,205,2014,2024
03-07-2023,32,False,1201,21,False,1022,224,False,295,2014,2024
26-06-2023,32,False,1201,21,False,1022,222,False,295,2014,2024
19-06-2023,30,False,1201,20,False,1022,220,False,295,2014,2024
12-06-2023,32,False,1201,19,False,1022,216,False,295,2014,2024
29-05-2023,49,False,920,30,False,662,212,False,320,2014,2024
