rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,38,False,1155,36,False,690,568,True,90,2021,2024
27-05-2024,38,False,1145,32,False,680,576,True,90,2021,2024
20-05-2024,30,False,1375,30,False,680,573,True,90,2021,2024
06-05-2024,34,False,1251,42,False,495,571,True,90,2021,2024
22-04-2024,32,False,1273,35,False,485,572,True,90,2021,2024
15-04-2024,36,False,1185,49,False,385,577,True,90,2021,2024
08-04-2024,36,False,1145,53,False,335,576,True,90,2021,2024
01-04-2024,37,False,1130,55,False,310,578,True,90,2021,2024
18-03-2024,37,False,1128,50,False,300,576,True,90,2021,2024
04-03-2024,43,False,1078,53,False,250,569,True,90,2021,2024
26-02-2024,44,False,1028,58,True,200,567,True,90,2021,2024
19-02-2024,36,False,1118,53,False,200,575,True,90,2021,2024
12-02-2024,36,False,1118,43,False,200,582,True,90,2021,2024
05-02-2024,36,False,1208,34,False,200,582,True,90,2021,2024
29-01-2024,35,False,1208,30,False,200,589,True,90,2021,2024
15-01-2024,34,False,1233,14,False,150,582,True,90,2021,2024
08-01-2024,35,False,1208,51,True,50,582,True,90,2021,2024
01-01-2024,36,False,1158,0,False,0,583,False,90,2021,2024
25-12-2023,36,False,1158,0,False,0,584,False,90,2021,2024
18-12-2023,36,False,1158,0,False,0,583,False,90,2021,2024
11-12-2023,36,False,1158,0,False,0,584,False,90,2021,2024
04-12-2023,36,False,1158,0,False,0,584,False,90,2021,2024
27-11-2023,36,False,1158,0,False,0,578,False,90,2021,2024
20-11-2023,36,False,1162,0,False,0,578,False,90,2021,2024
13-11-2023,36,False,1162,36,False,1162,581,False,90,2021,2024
06-11-2023,36,False,1178,36,False,1162,577,False,90,2021,2024
30-10-2023,36,False,1203,36,False,1168,577,False,90,2021,2024
23-10-2023,38,False,1203,35,False,1168,580,False,90,2021,2024
16-10-2023,38,False,1061,36,False,1022,573,False,90,2021,2024
02-10-2023,44,False,1020,39,False,977,505,False,110,2021,2024
25-09-2023,44,False,1032,39,False,977,502,False,110,2021,2024
18-09-2023,44,False,1032,37,False,977,499,False,110,2021,2024
11-09-2023,44,False,1032,37,False,977,491,False,110,2021,2024
28-08-2023,48,False,1007,36,False,932,490,False,110,2021,2024
21-08-2023,48,False,1007,36,False,932,485,False,110,2021,2024
14-08-2023,46,False,976,35,False,897,486,False,110,2021,2024
07-08-2023,46,False,976,34,False,893,489,False,110,2021,2024
31-07-2023,47,False,976,31,False,893,488,False,110,2021,2024
24-07-2023,71,False,796,40,False,717,487,False,110,2021,2024
17-07-2023,68,False,800,38,False,717,485,False,110,2021,2024
03-07-2023,61,False,816,35,False,717,797,False,50,2021,2024
26-06-2023,58,False,816,33,False,717,791,False,50,2021,2024
19-06-2023,62,False,800,33,False,697,789,False,50,2021,2024
12-06-2023,66,False,790,32,False,685,590,False,80,2021,2024
29-05-2023,63,False,807,28,False,685,507,False,100,2021,2024
22-05-2023,112,False,559,58,False,435,502,False,100,2021,2024
08-05-2023,119,False,520,59,False,394,510,False,100,2021,2024
24-04-2023,124,False,491,57,False,354,516,False,100,2021,2024
17-04-2023,122,False,495,51,False,354,515,False,100,2021,2024
10-04-2023,122,False,495,46,False,354,514,False,100,2021,2024
03-04-2023,118,False,495,38,False,354,515,False,100,2021,2024
20-03-2023,109,False,516,32,False,354,519,False,100,2021,2024
06-03-2023,111,False,516,25,False,354,509,False,100,2021,2024
27-02-2023,104,False,525,21,False,354,503,False,100,2021,2024
20-02-2023,118,False,449,31,False,264,495,False,100,2021,2024
13-02-2023,117,False,449,23,False,264,493,False,100,2021,2024
06-02-2023,163,False,361,31,False,174,495,False,100,2021,2024
30-01-2023,164,False,361,31,False,174,497,False,100,2021,2024
16-01-2023,195,False,288,33,False,99,499,False,100,2021,2024
09-01-2023,252,False,213,176,False,24,499,False,100,2021,2024
02-01-2023,251,False,213,112,True,24,508,False,100,2021,2024
26-12-2022,251,False,213,111,True,24,508,False,100,2021,2024
19-12-2022,250,False,215,110,True,24,508,False,100,2021,2024
12-12-2022,251,False,215,106,True,24,511,False,100,2021,2024
05-12-2022,249,False,219,100,True,24,513,False,100,2021,2024
28-11-2022,248,False,219,86,True,24,519,False,100,2021,2024
21-11-2022,251,False,217,63,True,20,519,False,100,2021,2024
14-11-2022,246,False,217,30,True,20,516,False,100,2021,2024
07-11-2022,260,False,199,260,False,199,512,False,100,2021,2024
31-10-2022,308,False,164,303,False,164,512,False,100,2021,2024
24-10-2022,315,False,157,307,False,156,485,False,106,2021,2024
17-10-2022,320,False,157,301,False,156,470,False,109,2021,2024
10-10-2022,321,False,157,296,False,156,562,False,89,2021,2024
03-10-2022,316,False,157,285,False,156,547,False,89,2021,2024
