rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,12,False,3090,11,False,1780,164,False,480,2014,2024
27-05-2024,12,False,2980,10,False,1580,162,False,480,2014,2024
20-05-2024,12,False,3025,10,False,1580,162,False,480,2014,2024
06-05-2024,13,False,2870,10,False,1380,161,False,480,2014,2024
22-04-2024,13,False,2560,15,False,980,147,False,570,2014,2024
15-04-2024,15,False,2450,18,False,815,147,False,570,2014,2024
08-04-2024,13,False,2765,15,False,805,165,False,480,2014,2024
01-04-2024,13,False,2765,15,False,805,163,False,480,2014,2024
18-03-2024,13,False,2935,15,False,795,161,False,480,2014,2024
04-03-2024,12,False,3015,13,False,695,159,False,480,2014,2024
26-02-2024,10,False,3150,10,False,695,159,False,480,2014,2024
19-02-2024,10,False,3150,9,False,695,160,False,480,2014,2024
12-02-2024,9,False,3150,9,False,445,159,False,480,2014,2024
05-02-2024,9,False,3195,8,False,445,160,False,480,2014,2024
29-01-2024,9,False,3195,8,False,445,159,False,480,2014,2024
15-01-2024,12,False,2840,93,False,45,159,False,480,2014,2024
08-01-2024,12,False,2840,66,True,45,158,False,480,2014,2024
01-01-2024,10,False,3100,0,False,0,155,False,480,2014,2024
25-12-2023,10,False,3100,0,False,0,155,False,480,2014,2024
18-12-2023,10,False,3100,0,False,0,155,False,480,2014,2024
11-12-2023,10,False,3100,0,False,0,155,False,480,2014,2024
04-12-2023,10,False,3100,0,False,0,157,False,480,2014,2024
27-11-2023,10,False,3100,0,False,0,157,False,480,2014,2024
20-11-2023,10,False,3100,0,False,0,156,False,480,2014,2024
13-11-2023,10,False,3100,10,False,3100,156,False,480,2014,2024
06-11-2023,9,False,3500,10,False,3100,156,False,480,2014,2024
30-10-2023,10,False,3500,10,False,3055,159,False,480,2014,2024
23-10-2023,9,False,3500,9,False,3055,159,False,480,2014,2024
16-10-2023,10,False,3410,9,False,2965,161,False,480,2014,2024
02-10-2023,8,False,3865,9,False,2920,163,False,480,2014,2024
25-09-2023,8,False,3955,9,False,3010,163,False,480,2014,2024
18-09-2023,8,False,3955,9,False,3010,160,False,480,2014,2024
11-09-2023,8,False,3955,9,False,3010,162,False,480,2014,2024
28-08-2023,9,False,3605,9,False,2650,161,False,480,2014,2024
21-08-2023,9,False,3605,9,False,2650,162,False,480,2014,2024
14-08-2023,9,False,3605,9,False,2470,162,False,480,2014,2024
