rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,82,False,683,133,False,237,0,False,0,2015,2024
27-05-2024,88,False,673,123,False,227,0,False,0,2015,2024
20-05-2024,104,False,610,161,False,164,0,False,0,2015,2024
06-05-2024,96,False,630,149,False,164,0,False,0,2015,2024
22-04-2024,95,False,642,147,False,151,1071,False,30,2015,2024
15-04-2024,96,False,642,140,False,151,1074,False,30,2015,2024
08-04-2024,95,False,642,132,False,151,1076,False,30,2015,2024
01-04-2024,89,False,662,116,False,151,1074,False,30,2015,2024
18-03-2024,89,False,662,102,False,151,1074,False,30,2015,2024
04-03-2024,85,False,704,89,False,151,1073,True,30,2015,2024
26-02-2024,85,False,704,80,False,151,1063,True,30,2015,2024
19-02-2024,81,False,713,68,False,151,1060,True,30,2015,2024
12-02-2024,82,False,711,65,False,138,1054,False,30,2015,2024
05-02-2024,86,False,684,73,False,100,1059,False,30,2015,2024
29-01-2024,88,False,684,65,False,100,1058,True,30,2015,2024
15-01-2024,97,False,626,136,False,34,1062,True,30,2015,2024
08-01-2024,99,False,626,103,False,34,1062,True,30,2015,2024
01-01-2024,104,False,621,112,True,20,825,False,50,2015,2024
25-12-2023,104,False,621,107,True,20,826,False,50,2015,2024
18-12-2023,104,False,621,100,True,20,823,False,50,2015,2024
11-12-2023,104,False,621,97,True,20,820,False,50,2015,2024
04-12-2023,104,False,621,87,True,20,812,False,50,2015,2024
27-11-2023,103,False,621,55,True,20,801,False,50,2015,2024
20-11-2023,102,False,609,0,False,0,805,False,50,2015,2024
13-11-2023,101,False,609,102,False,609,802,False,50,2015,2024
06-11-2023,83,False,701,100,False,609,804,False,50,2015,2024
30-10-2023,84,False,701,83,False,693,802,False,50,2015,2024
23-10-2023,92,False,673,87,False,665,806,False,50,2015,2024
16-10-2023,96,False,634,89,False,628,799,False,50,2015,2024
02-10-2023,94,False,647,87,False,608,803,False,50,2015,2024
25-09-2023,89,False,681,88,False,603,804,False,50,2015,2024
18-09-2023,91,False,681,87,False,603,806,False,50,2015,2024
11-09-2023,87,False,703,86,False,592,804,False,50,2015,2024
28-08-2023,99,False,598,95,False,477,818,False,50,2015,2024
21-08-2023,98,False,598,94,False,477,815,False,50,2015,2024
14-08-2023,100,False,598,93,False,477,808,False,50,2015,2024
07-08-2023,95,False,633,89,False,477,807,False,50,2015,2024
31-07-2023,92,False,633,88,False,477,801,False,50,2015,2024
24-07-2023,92,False,633,84,False,477,800,False,50,2015,2024
17-07-2023,120,False,533,104,False,377,795,False,50,2015,2024
03-07-2023,137,False,445,130,False,269,791,False,50,2015,2024
26-06-2023,137,False,445,128,False,269,785,False,50,2015,2024
19-06-2023,135,False,445,127,False,269,784,False,50,2015,2024
12-06-2023,137,False,445,122,False,269,792,False,50,2015,2024
29-05-2023,109,False,580,112,False,269,804,False,50,2015,2024
22-05-2023,108,False,580,111,False,269,798,False,50,2015,2024
08-05-2023,110,False,560,108,False,249,634,False,75,2015,2024
24-04-2023,106,False,555,100,False,224,856,False,45,2015,2024
17-04-2023,107,False,555,93,False,224,855,False,45,2015,2024
10-04-2023,105,False,555,89,False,224,849,False,45,2015,2024
03-04-2023,104,False,535,84,False,204,853,False,45,2015,2024
20-03-2023,98,False,580,72,False,204,852,False,45,2015,2024
06-03-2023,106,False,529,96,False,143,843,False,45,2015,2024
27-02-2023,103,False,529,82,False,143,839,False,45,2015,2024
20-02-2023,106,False,509,84,False,123,835,False,45,2015,2024
13-02-2023,103,False,523,75,False,117,403,False,135,2015,2024
06-02-2023,101,False,533,59,False,117,405,False,135,2015,2024
30-01-2023,101,False,533,54,False,117,404,False,135,2015,2024
16-01-2023,104,False,535,24,False,109,276,False,225,2015,2024
09-01-2023,105,False,535,17,False,109,276,False,225,2015,2024
02-01-2023,108,False,526,10,False,100,301,False,205,2015,2024
26-12-2022,108,False,526,10,False,100,301,False,205,2015,2024
19-12-2022,108,False,526,10,False,100,301,False,205,2015,2024
12-12-2022,110,False,526,10,False,100,302,False,205,2015,2024
05-12-2022,111,False,526,10,False,100,304,False,205,2015,2024
28-11-2022,111,False,526,8,False,100,303,False,205,2015,2024
21-11-2022,111,False,526,2,False,100,298,False,205,2015,2024
14-11-2022,106,False,526,1,False,100,296,False,205,2015,2024
07-11-2022,132,False,426,132,False,426,290,False,205,2015,2024
31-10-2022,84,False,631,130,False,426,286,False,205,2015,2024
24-10-2022,83,False,639,129,False,426,280,False,217,2015,2024
17-10-2022,80,False,639,125,False,426,279,False,217,2015,2024
10-10-2022,77,False,687,121,False,426,278,False,217,2015,2024
03-10-2022,79,False,654,126,False,393,271,False,217,2015,2024
26-09-2022,81,False,638,134,False,348,271,False,217,2015,2024
19-09-2022,79,False,667,133,False,348,275,False,217,2015,2024
12-09-2022,85,False,634,141,False,315,277,False,217,2015,2024
29-08-2022,72,False,692,137,False,305,270,False,217,2015,2024
22-08-2022,71,False,692,137,False,305,271,False,217,2015,2024
15-08-2022,68,False,692,135,False,305,269,False,217,2015,2024
08-08-2022,76,False,657,152,False,270,266,False,217,2015,2024
01-08-2022,74,False,657,146,False,270,271,False,217,2015,2024
25-07-2022,75,False,657,138,False,270,271,False,217,2015,2024
18-07-2022,59,False,810,129,False,270,263,False,227,2015,2024
11-07-2022,58,False,851,139,False,250,257,False,247,2015,2024
27-06-2022,66,False,863,130,False,250,261,False,247,2015,2024
20-06-2022,65,False,863,128,False,250,258,False,250,2015,2024
13-06-2022,67,False,867,122,False,250,268,False,250,2015,2024
06-06-2022,66,False,912,136,False,205,225,False,340,2015,2024
23-05-2022,74,False,828,208,False,115,221,False,340,2015,2024
16-05-2022,68,False,867,205,False,115,220,False,340,2015,2024
09-05-2022,68,False,867,195,False,115,232,False,315,2015,2024
02-05-2022,68,False,867,184,False,115,236,False,315,2015,2024
25-04-2022,72,False,857,204,False,95,226,False,330,2015,2024
18-04-2022,64,False,897,195,False,95,228,False,330,2015,2024
11-04-2022,65,False,897,160,False,95,229,False,330,2015,2024
04-04-2022,63,False,897,146,False,95,225,False,330,2015,2024
21-03-2022,68,False,877,187,False,50,223,False,330,2015,2024
07-03-2022,68,False,887,188,True,40,222,False,330,2015,2024
28-02-2022,70,False,887,182,True,40,222,False,330,2015,2024
21-02-2022,70,False,887,165,False,40,228,False,330,2015,2024
14-02-2022,68,False,923,222,False,20,293,False,240,2015,2024
07-02-2022,69,False,921,267,True,10,294,False,240,2015,2024
31-01-2022,69,False,921,235,True,10,280,False,255,2015,2024
17-01-2022,67,False,919,0,False,0,367,False,165,2015,2024
10-01-2022,67,False,919,0,False,0,364,False,165,2015,2024
03-01-2022,67,False,919,0,False,0,352,False,182,2015,2024
27-12-2021,67,False,919,62,False,797,352,False,182,2015,2024
20-12-2021,67,False,919,62,False,797,352,False,182,2015,2024
13-12-2021,67,False,919,62,False,797,351,False,182,2015,2024
06-12-2021,67,False,919,62,False,797,350,False,182,2015,2024
29-11-2021,67,False,919,62,False,797,349,False,182,2015,2024
22-11-2021,66,False,919,61,True,797,347,False,182,2015,2024
15-11-2021,67,False,919,61,False,797,347,False,182,2015,2024
08-11-2021,67,False,919,61,False,797,347,False,182,2015,2024
01-11-2021,103,False,722,82,False,592,344,False,182,2015,2024
25-10-2021,107,False,730,82,False,584,370,False,170,2015,2024
18-10-2021,106,False,742,79,False,584,370,False,173,2015,2024
04-10-2021,112,False,714,86,False,536,379,False,173,2015,2024
27-09-2021,116,False,693,84,False,507,377,False,173,2015,2024
20-09-2021,115,False,684,86,False,478,376,False,173,2015,2024
13-09-2021,118,False,684,85,False,478,376,False,173,2015,2024
30-08-2021,127,False,632,88,False,410,379,False,175,2015,2024
23-08-2021,127,False,632,87,False,410,305,False,235,2015,2024
16-08-2021,129,False,632,85,False,410,273,False,295,2015,2024
09-08-2021,130,False,632,82,False,410,273,False,295,2015,2024
02-08-2021,131,False,632,77,False,410,273,False,295,2015,2024
26-07-2021,133,False,632,73,False,410,271,False,295,2015,2024
19-07-2021,155,False,489,116,False,260,265,False,305,2015,2024
12-07-2021,165,False,435,135,True,200,272,False,288,2015,2024
28-06-2021,162,False,437,125,False,190,271,False,288,2015,2024
21-06-2021,160,False,443,123,False,190,271,False,291,2015,2024
14-06-2021,160,False,439,121,False,180,266,False,291,2015,2024
31-05-2021,141,False,531,101,False,180,325,False,201,2015,2024
24-05-2021,141,False,531,98,False,180,325,False,201,2015,2024
17-05-2021,151,False,492,116,True,135,322,False,201,2015,2024
10-05-2021,150,False,492,113,True,135,323,False,201,2015,2024
03-05-2021,149,False,492,107,True,135,325,False,201,2015,2024
26-04-2021,147,False,502,101,False,135,341,False,186,2015,2024
19-04-2021,158,False,466,149,False,87,341,False,186,2015,2024
12-04-2021,160,False,465,149,False,80,340,False,186,2015,2024
05-04-2021,158,False,465,139,False,80,339,False,186,2015,2024
22-03-2021,162,False,445,161,False,55,335,False,186,2015,2024
15-03-2021,161,False,445,154,False,55,333,False,186,2015,2024
08-03-2021,166,False,425,173,False,35,333,False,186,2015,2024
01-03-2021,162,False,425,161,False,35,331,False,186,2015,2024
22-02-2021,162,False,425,139,False,35,329,False,186,2015,2024
08-02-2021,168,False,395,0,False,0,319,False,186,2015,2024
01-02-2021,166,False,395,0,False,0,338,False,171,2015,2024
25-01-2021,164,False,395,0,False,0,338,False,171,2015,2024
18-01-2021,161,False,395,0,False,0,338,False,171,2015,2024
11-01-2021,161,False,395,0,False,0,338,False,171,2015,2024
04-01-2021,161,False,395,0,False,235,338,False,171,2015,2024
28-12-2020,162,False,390,0,False,0,337,False,171,2015,2024
21-12-2020,162,False,390,0,False,0,337,False,171,2015,2024
14-12-2020,162,False,390,0,False,0,336,False,171,2015,2024
07-12-2020,162,False,390,0,False,0,336,False,171,2015,2024
30-11-2020,162,False,390,0,False,0,336,False,171,2015,2024
23-11-2020,161,False,390,0,False,0,335,False,171,2015,2024
16-11-2020,161,False,390,0,False,0,334,False,171,2015,2024
09-11-2020,161,False,390,0,False,0,331,False,171,2015,2024
02-11-2020,161,False,390,0,False,0,328,False,171,2015,2024
26-10-2020,162,False,387,0,False,0,327,False,171,2015,2024
19-10-2020,159,False,387,0,False,0,326,False,171,2015,2024
12-10-2020,157,False,387,0,False,0,321,False,171,2015,2024
28-09-2020,239,False,215,0,False,0,318,False,171,2015,2024
21-09-2020,239,False,215,0,False,0,318,False,171,2015,2024
14-09-2020,236,False,215,0,False,0,314,False,171,2015,2024
31-08-2020,231,False,215,0,False,0,309,False,171,2015,2024
24-08-2020,229,False,215,0,False,0,394,False,111,2015,2024
16-03-2020,228,False,215,239,False,42,673,False,51,2015,2024
09-03-2020,227,False,215,236,False,42,663,False,51,2015,2024
02-03-2020,223,False,215,228,False,42,656,False,51,2015,2024
24-02-2020,228,False,212,240,False,34,656,False,51,2015,2024
17-02-2020,248,False,187,598,True,5,648,False,51,2015,2024
10-02-2020,248,False,187,566,True,5,648,False,51,2015,2024
03-02-2020,252,False,187,539,True,5,646,False,51,2015,2024
20-01-2020,246,False,189,447,True,5,661,False,51,2015,2024
13-01-2020,244,False,189,391,True,5,658,False,51,2015,2024
06-01-2020,246,False,185,0,False,0,830,False,34,2015,2024
30-12-2019,252,False,185,0,False,0,835,False,34,2015,2024
23-12-2019,252,False,185,0,False,0,837,False,34,2015,2024
16-12-2019,252,False,185,0,False,0,832,False,34,2015,2024
09-12-2019,252,False,185,0,False,0,826,False,34,2015,2024
02-12-2019,253,False,185,0,False,0,824,False,34,2015,2024
25-11-2019,253,False,185,0,False,0,826,False,34,2015,2024
18-11-2019,255,False,185,0,False,0,830,False,34,2015,2024
11-11-2019,257,False,185,0,False,0,827,False,34,2015,2024
04-11-2019,252,False,185,252,False,185,824,False,34,2015,2024
28-10-2019,266,False,170,259,False,169,823,False,34,2015,2024
21-10-2019,286,False,145,277,False,145,872,False,31,2015,2024
14-10-2019,290,False,145,276,False,145,872,False,31,2015,2024
07-10-2019,329,False,125,303,False,125,869,False,31,2015,2024
30-09-2019,323,False,126,294,False,125,869,False,31,2015,2024
23-09-2019,379,False,98,345,False,97,866,False,31,2015,2024
16-09-2019,379,False,98,336,False,97,878,False,31,2015,2024
09-09-2019,372,False,98,332,False,97,880,False,31,2015,2024
26-08-2019,385,False,92,337,False,91,908,False,29,2015,2024
19-08-2019,383,False,92,335,False,91,907,False,29,2015,2024
12-08-2019,377,False,92,322,False,91,903,False,29,2015,2024
