rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
05-02-2024,0,False,0,0,False,0,0,False,0,2004,2024
29-01-2024,0,False,0,0,False,0,0,False,0,2004,2024
15-01-2024,893,False,18,0,False,0,0,False,0,2004,2024
08-01-2024,894,False,18,0,False,0,0,False,0,2004,2024
01-01-2024,897,False,18,0,False,0,0,False,0,2004,2024
25-12-2023,896,False,18,0,False,0,0,False,0,2004,2024
18-12-2023,896,False,18,0,False,0,0,False,0,2004,2024
11-12-2023,896,False,18,0,False,0,0,False,0,2004,2024
04-12-2023,893,False,18,0,False,0,0,False,0,2004,2024
27-11-2023,888,False,18,0,False,0,0,False,0,2004,2024
20-11-2023,893,False,18,0,False,0,0,False,0,2004,2024
13-11-2023,892,False,18,896,False,18,0,False,0,2004,2024
06-11-2023,889,False,18,885,False,18,0,False,0,2004,2024
30-10-2023,894,False,18,882,False,18,0,False,0,2004,2024
23-10-2023,897,False,18,879,False,18,0,False,0,2004,2024
16-10-2023,894,False,18,871,False,18,0,False,0,2004,2024
02-10-2023,899,False,18,861,False,18,0,False,0,2004,2024
25-09-2023,903,False,18,852,False,18,0,False,0,2004,2024
18-09-2023,900,False,18,843,False,18,0,False,0,2004,2024
11-09-2023,890,False,18,829,False,18,0,False,0,2004,2024
28-08-2023,891,False,18,807,False,18,0,False,0,2004,2024
21-08-2023,890,False,18,796,False,18,0,False,0,2004,2024
14-08-2023,889,False,18,786,False,18,0,False,0,2004,2024
07-08-2023,888,False,18,770,False,18,0,False,0,2004,2024
31-07-2023,800,False,25,763,False,18,0,False,0,2004,2024
24-07-2023,426,False,105,750,False,18,0,False,0,2004,2024
17-07-2023,410,False,110,739,False,18,0,False,0,2004,2024
03-07-2023,408,False,112,713,False,18,0,False,0,2004,2024
26-06-2023,403,False,112,696,False,18,0,False,0,2004,2024
19-06-2023,385,False,119,672,False,18,0,False,0,2004,2024
12-06-2023,375,False,121,655,False,18,0,False,0,2004,2024
29-05-2023,367,False,127,635,False,18,0,False,0,2004,2024
22-05-2023,365,False,127,624,False,18,0,False,0,2004,2024
08-05-2023,368,False,129,607,False,18,0,False,0,2004,2024
24-04-2023,364,False,131,572,False,18,0,False,0,2004,2024
17-04-2023,359,False,131,559,False,18,0,False,0,2004,2024
10-04-2023,363,False,131,543,False,18,0,False,0,2004,2024
03-04-2023,367,False,131,534,False,18,0,False,0,2004,2024
20-03-2023,368,False,131,490,False,18,0,False,0,2004,2024
06-03-2023,372,False,131,461,False,18,0,False,0,2004,2024
27-02-2023,373,False,131,447,False,18,0,False,0,2004,2024
20-02-2023,340,False,145,429,False,18,0,False,0,2004,2024
13-02-2023,337,False,145,397,False,18,0,False,0,2004,2024
06-02-2023,293,False,175,373,False,18,0,False,0,2004,2024
30-01-2023,289,False,181,346,False,18,0,False,0,2004,2024
16-01-2023,314,False,163,0,False,0,0,False,0,2004,2024
09-01-2023,311,False,163,0,False,0,0,False,0,2004,2024
02-01-2023,307,False,165,0,False,0,0,False,0,2004,2024
26-12-2022,307,False,165,0,False,0,0,False,0,2004,2024
19-12-2022,307,False,165,0,False,0,0,False,0,2004,2024
12-12-2022,309,False,165,0,False,0,0,False,0,2004,2024
05-12-2022,311,False,165,0,False,0,0,False,0,2004,2024
28-11-2022,310,False,165,0,False,0,0,False,0,2004,2024
21-11-2022,312,False,165,0,False,0,0,False,0,2004,2024
14-11-2022,310,False,165,0,False,0,0,False,0,2004,2024
07-11-2022,310,False,165,310,False,165,0,False,0,2004,2024
31-10-2022,307,False,165,302,False,165,0,False,0,2004,2024
24-10-2022,304,False,165,296,False,165,0,False,0,2004,2024
