rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
04-03-2024,0,False,0,0,False,0,0,False,0,2007,2024
26-02-2024,0,False,0,0,False,0,1243,True,20,2007,2024
19-02-2024,1230,True,5,0,False,0,1234,True,20,2007,2024
12-02-2024,1230,False,5,0,False,0,1225,True,20,2007,2024
05-02-2024,1226,False,5,0,False,0,1232,True,20,2007,2024
29-01-2024,768,False,30,0,False,0,1231,True,20,2007,2024
15-01-2024,765,False,31,0,False,0,1232,True,20,2007,2024
08-01-2024,706,False,38,0,False,0,1231,True,20,2007,2024
01-01-2024,707,False,38,0,False,0,1230,True,20,2007,2024
25-12-2023,707,False,38,0,False,0,1229,True,20,2007,2024
18-12-2023,703,False,38,0,False,0,1228,True,20,2007,2024
11-12-2023,706,False,38,0,False,0,1230,True,20,2007,2024
04-12-2023,701,False,38,0,False,0,1229,True,20,2007,2024
27-11-2023,697,False,38,0,False,0,1226,True,20,2007,2024
20-11-2023,702,False,38,0,False,0,1233,True,20,2007,2024
13-11-2023,612,False,54,538,False,70,1229,True,20,2007,2024
06-11-2023,578,False,61,602,False,54,1230,True,20,2007,2024
30-10-2023,577,False,61,567,False,61,1235,True,20,2007,2024
23-10-2023,579,False,61,563,False,61,1231,True,20,2007,2024
16-10-2023,579,False,61,558,False,61,1230,True,20,2007,2024
02-10-2023,535,False,69,537,False,61,1229,True,20,2007,2024
25-09-2023,541,False,69,531,False,61,1228,True,20,2007,2024
18-09-2023,540,False,69,520,False,61,1227,True,20,2007,2024
11-09-2023,535,False,69,512,False,61,1222,True,20,2007,2024
28-08-2023,524,False,73,492,False,61,1217,True,20,2007,2024
21-08-2023,520,False,73,482,False,61,1217,True,20,2007,2024
14-08-2023,517,False,73,475,False,61,1218,True,20,2007,2024
07-08-2023,493,False,81,462,False,61,1217,True,20,2007,2024
31-07-2023,482,False,84,452,False,61,1208,True,20,2007,2024
24-07-2023,481,False,84,441,False,61,1200,True,20,2007,2024
17-07-2023,459,False,92,429,False,61,1194,True,20,2007,2024
03-07-2023,457,False,92,408,False,61,1183,True,20,2007,2024
26-06-2023,451,False,92,401,False,61,1167,True,20,2007,2024
19-06-2023,454,False,92,386,False,61,1164,True,20,2007,2024
12-06-2023,453,False,92,375,False,61,1160,True,20,2007,2024
29-05-2023,456,False,92,360,False,61,1181,True,20,2007,2024
22-05-2023,453,False,92,354,False,61,1170,True,20,2007,2024
08-05-2023,457,False,92,337,False,61,1165,True,20,2007,2024
24-04-2023,446,False,99,315,False,61,1146,True,20,2007,2024
17-04-2023,446,False,99,300,False,61,1148,True,20,2007,2024
10-04-2023,445,False,99,283,False,61,1148,True,20,2007,2024
03-04-2023,441,False,99,275,False,61,1149,True,20,2007,2024
20-03-2023,431,False,103,243,False,61,1142,True,20,2007,2024
06-03-2023,313,False,163,219,False,61,1146,True,20,2007,2024
27-02-2023,313,False,163,197,False,61,0,False,0,2007,2024
20-02-2023,321,False,158,190,False,56,0,False,0,2007,2024
13-02-2023,319,False,158,169,False,56,0,False,0,2007,2024
06-02-2023,306,False,165,146,False,56,0,False,0,2007,2024
30-01-2023,342,False,140,248,False,31,0,False,0,2007,2024
16-01-2023,339,False,147,181,True,30,0,False,0,2007,2024
09-01-2023,343,False,140,185,True,23,0,False,0,2007,2024
02-01-2023,348,False,140,125,False,23,0,False,0,2007,2024
26-12-2022,348,False,140,125,False,23,0,False,0,2007,2024
19-12-2022,347,False,140,123,False,23,0,False,0,2007,2024
12-12-2022,349,False,140,115,False,23,0,False,0,2007,2024
05-12-2022,351,False,140,111,False,23,0,False,0,2007,2024
28-11-2022,349,False,140,94,False,23,0,False,0,2007,2024
21-11-2022,347,False,140,56,True,23,0,False,0,2007,2024
14-11-2022,381,False,124,111,True,7,0,False,0,2007,2024
07-11-2022,382,False,124,382,False,124,0,False,0,2007,2024
31-10-2022,345,False,139,376,False,124,0,False,0,2007,2024
24-10-2022,349,False,139,363,False,124,0,False,0,2007,2024
17-10-2022,343,False,139,356,False,124,0,False,0,2007,2024
10-10-2022,356,False,131,372,False,116,0,False,0,2007,2024
03-10-2022,350,False,131,366,False,116,0,False,0,2007,2024
26-09-2022,348,False,131,358,False,116,0,False,0,2007,2024
19-09-2022,336,False,138,352,False,116,0,False,0,2007,2024
12-09-2022,335,False,138,347,False,116,0,False,0,2007,2024
29-08-2022,329,False,142,334,False,112,0,False,0,2007,2024
22-08-2022,321,False,142,327,False,112,0,False,0,2007,2024
15-08-2022,324,False,142,325,False,112,0,False,0,2007,2024
08-08-2022,337,False,134,333,False,104,0,False,0,2007,2024
01-08-2022,327,False,141,336,False,101,0,False,0,2007,2024
25-07-2022,310,False,154,331,False,101,0,False,0,2007,2024
18-07-2022,295,False,161,333,False,93,0,False,0,2007,2024
11-07-2022,303,False,161,327,False,93,0,False,0,2007,2024
27-06-2022,287,False,173,303,False,93,0,False,0,2007,2024
20-06-2022,274,False,183,297,False,93,0,False,0,2007,2024
13-06-2022,278,False,183,291,False,93,0,False,0,2007,2024
06-06-2022,280,False,187,280,False,93,0,False,0,2007,2024
23-05-2022,275,False,187,256,False,93,0,False,0,2007,2024
16-05-2022,271,False,187,241,False,93,0,False,0,2007,2024
09-05-2022,268,False,187,228,False,93,0,False,0,2007,2024
02-05-2022,268,False,187,218,False,93,0,False,0,2007,2024
25-04-2022,271,False,183,223,False,86,0,False,0,2007,2024
18-04-2022,273,False,183,215,False,86,0,False,0,2007,2024
11-04-2022,238,False,227,188,False,79,1306,False,13,2007,2024
