rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,109,False,583,98,False,325,0,False,0,2008,2024
27-05-2024,115,False,543,102,False,275,0,False,0,2008,2024
20-05-2024,115,False,550,108,False,262,0,False,0,2008,2024
06-05-2024,114,False,562,104,False,249,0,False,0,2008,2024
22-04-2024,101,False,612,95,False,249,0,False,0,2008,2024
15-04-2024,100,False,621,85,False,249,0,False,0,2008,2024
08-04-2024,99,False,621,78,False,249,0,False,0,2008,2024
01-04-2024,102,False,594,81,False,211,0,False,0,2008,2024
18-03-2024,106,False,583,76,False,201,0,False,0,2008,2024
04-03-2024,112,False,553,79,False,168,0,False,0,2008,2024
26-02-2024,113,False,553,71,False,168,0,False,0,2008,2024
19-02-2024,112,False,561,62,False,168,877,True,45,2008,2024
12-02-2024,133,False,498,100,False,93,876,True,45,2008,2024
05-02-2024,134,False,496,93,False,80,875,True,45,2008,2024
29-01-2024,134,False,496,85,False,80,879,True,45,2008,2024
15-01-2024,112,False,570,141,False,32,878,True,45,2008,2024
08-01-2024,107,False,603,109,False,32,875,True,45,2008,2024
01-01-2024,111,False,599,139,True,16,874,True,45,2008,2024
25-12-2023,111,False,599,160,False,16,873,True,45,2008,2024
18-12-2023,111,False,599,153,False,16,872,True,45,2008,2024
11-12-2023,111,False,599,149,False,16,871,True,45,2008,2024
04-12-2023,111,False,599,135,False,16,863,True,45,2008,2024
27-11-2023,108,False,599,92,False,16,852,True,45,2008,2024
20-11-2023,107,False,599,52,False,16,848,True,45,2008,2024
13-11-2023,105,False,594,106,False,594,845,True,45,2008,2024
06-11-2023,104,False,594,103,False,594,850,True,45,2008,2024
30-10-2023,110,False,554,112,False,544,845,True,45,2008,2024
23-10-2023,111,False,554,110,False,544,845,True,45,2008,2024
16-10-2023,105,False,579,109,False,534,843,True,45,2008,2024
02-10-2023,99,False,624,107,False,524,846,True,45,2008,2024
25-09-2023,102,False,609,104,False,509,849,True,45,2008,2024
18-09-2023,100,False,609,103,False,509,851,True,45,2008,2024
11-09-2023,100,False,609,100,False,509,861,True,45,2008,2024
28-08-2023,96,False,609,90,False,499,867,True,45,2008,2024
