rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,267,False,213,268,False,98,632,False,78,2009,2024
27-05-2024,268,False,214,248,False,98,600,False,86,2009,2024
20-05-2024,275,False,206,250,False,90,595,False,86,2009,2024
06-05-2024,321,False,162,382,False,46,663,False,70,2009,2024
22-04-2024,332,False,156,386,False,40,667,False,70,2009,2024
15-04-2024,337,False,154,378,False,38,673,False,70,2009,2024
08-04-2024,336,False,154,365,False,38,672,False,70,2009,2024
01-04-2024,336,False,154,341,False,38,678,False,70,2009,2024
18-03-2024,337,False,154,313,False,38,680,False,70,2009,2024
04-03-2024,338,False,152,298,False,36,682,False,70,2009,2024
26-02-2024,339,False,150,296,False,34,673,False,70,2009,2024
19-02-2024,358,False,137,355,False,21,675,False,70,2009,2024
12-02-2024,368,False,133,374,False,17,682,False,70,2009,2024
05-02-2024,342,False,147,348,False,17,685,False,70,2009,2024
29-01-2024,340,False,149,318,False,17,692,False,70,2009,2024
15-01-2024,338,False,149,232,False,17,685,False,70,2009,2024
08-01-2024,336,False,149,198,False,17,684,False,70,2009,2024
01-01-2024,366,False,132,0,False,0,680,False,70,2009,2024
25-12-2023,366,False,132,0,False,0,680,False,70,2009,2024
18-12-2023,366,False,132,0,False,0,678,False,70,2009,2024
11-12-2023,366,False,132,0,False,0,678,False,70,2009,2024
04-12-2023,366,False,132,0,False,0,674,False,70,2009,2024
27-11-2023,364,False,132,0,False,0,669,False,70,2009,2024
20-11-2023,368,False,132,0,False,0,674,False,70,2009,2024
13-11-2023,366,False,132,371,False,132,671,False,70,2009,2024
06-11-2023,367,False,130,362,False,130,670,False,70,2009,2024
30-10-2023,368,False,130,361,False,130,672,False,70,2009,2024
23-10-2023,371,False,130,359,False,130,668,False,70,2009,2024
16-10-2023,397,False,119,378,False,119,675,False,70,2009,2024
02-10-2023,503,False,78,465,False,78,807,False,50,2009,2024
25-09-2023,661,False,46,607,False,46,806,False,50,2009,2024
18-09-2023,664,False,46,600,False,46,808,False,50,2009,2024
11-09-2023,762,False,30,708,False,30,805,False,50,2009,2024
28-08-2023,783,False,27,712,False,27,1129,False,25,2009,2024
21-08-2023,784,False,27,700,False,27,1127,False,25,2009,2024
14-08-2023,788,False,27,688,False,27,1128,False,25,2009,2024
07-08-2023,814,False,24,715,False,24,1124,False,25,2009,2024
31-07-2023,810,False,24,698,False,24,1118,False,25,2009,2024
24-07-2023,897,False,17,766,False,17,1557,True,8,2009,2024
17-07-2023,892,False,17,756,False,17,1554,True,8,2009,2024
03-07-2023,724,False,33,726,False,17,1548,True,8,2009,2024
26-06-2023,715,False,33,706,False,17,1529,True,8,2009,2024
19-06-2023,711,False,33,683,False,17,1529,True,8,2009,2024
12-06-2023,710,False,33,669,False,17,1524,True,8,2009,2024
29-05-2023,672,False,40,668,False,16,0,False,0,2009,2024
22-05-2023,667,False,40,653,False,16,0,False,0,2009,2024
08-05-2023,672,False,40,637,False,16,0,False,0,2009,2024
24-04-2023,505,False,72,607,False,16,0,False,0,2009,2024
17-04-2023,436,False,102,588,False,16,0,False,0,2009,2024
10-04-2023,431,False,102,573,False,16,0,False,0,2009,2024
03-04-2023,431,False,102,565,False,16,0,False,0,2009,2024
20-03-2023,434,False,102,520,False,16,0,False,0,2009,2024
06-03-2023,428,False,102,491,False,16,0,False,0,2009,2024
27-02-2023,425,False,102,476,False,16,0,False,0,2009,2024
20-02-2023,424,False,102,459,False,16,0,False,0,2009,2024
