rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,115,False,563,105,False,300,0,False,0,2010,2024
27-05-2024,113,False,563,92,False,300,0,False,0,2010,2024
20-05-2024,112,False,563,91,False,300,0,False,0,2010,2024
06-05-2024,100,False,608,83,False,300,0,False,0,2010,2024
22-04-2024,92,False,653,77,False,300,0,False,0,2010,2024
15-04-2024,106,False,598,109,False,200,0,False,0,2010,2024
08-04-2024,103,False,598,99,False,200,0,False,0,2010,2024
01-04-2024,112,False,543,182,False,100,0,False,0,2010,2024
18-03-2024,104,False,590,177,False,86,0,False,0,2010,2024
04-03-2024,87,False,690,163,False,80,0,False,0,2010,2024
26-02-2024,83,False,710,148,False,80,0,False,0,2010,2024
19-02-2024,88,False,660,290,False,30,0,False,0,2010,2024
12-02-2024,91,False,660,268,False,30,0,False,0,2010,2024
05-02-2024,87,False,680,246,False,30,0,False,0,2010,2024
29-01-2024,89,False,680,224,False,30,0,False,0,2010,2024
15-01-2024,86,False,680,212,True,20,0,False,0,2010,2024
08-01-2024,88,False,680,174,True,20,0,False,0,2010,2024
01-01-2024,82,False,709,110,True,20,0,False,0,2010,2024
25-12-2023,82,False,709,114,False,20,0,False,0,2010,2024
18-12-2023,82,False,709,107,False,20,0,False,0,2010,2024
11-12-2023,82,False,709,104,False,20,0,False,0,2010,2024
04-12-2023,82,False,709,94,False,20,0,False,0,2010,2024
27-11-2023,83,False,709,61,False,20,0,False,0,2010,2024
20-11-2023,87,False,696,0,False,0,0,False,0,2010,2024
13-11-2023,88,False,696,88,False,696,0,False,0,2010,2024
06-11-2023,87,False,696,85,False,696,0,False,0,2010,2024
30-10-2023,86,False,696,84,False,689,0,False,0,2010,2024
23-10-2023,85,False,696,80,False,689,0,False,0,2010,2024
16-10-2023,94,False,651,87,False,631,0,False,0,2010,2024
02-10-2023,98,False,626,88,False,606,0,False,0,2010,2024
25-09-2023,99,False,616,91,False,596,0,False,0,2010,2024
18-09-2023,102,False,596,89,False,576,0,False,0,2010,2024
11-09-2023,103,False,596,87,False,576,0,False,0,2010,2024
28-08-2023,90,False,641,83,False,576,0,False,0,2010,2024
21-08-2023,91,False,641,83,False,576,0,False,0,2010,2024
14-08-2023,91,False,641,79,False,576,0,False,0,2010,2024
07-08-2023,101,False,606,81,False,541,0,False,0,2010,2024
31-07-2023,101,False,606,76,False,541,0,False,0,2010,2024
24-07-2023,120,False,541,85,False,476,0,False,0,2010,2024
17-07-2023,119,False,534,84,False,469,0,False,0,2010,2024
03-07-2023,124,False,498,78,False,433,0,False,0,2010,2024
26-06-2023,124,False,498,78,False,433,0,False,0,2010,2024
19-06-2023,125,False,498,73,False,433,0,False,0,2010,2024
12-06-2023,124,False,498,69,False,433,0,False,0,2010,2024
29-05-2023,107,False,588,61,False,433,0,False,0,2010,2024
22-05-2023,106,False,588,59,False,433,0,False,0,2010,2024
08-05-2023,79,False,723,61,False,388,0,False,0,2010,2024
24-04-2023,73,False,723,60,False,343,0,False,0,2010,2024
17-04-2023,86,False,678,65,False,298,0,False,0,2010,2024
10-04-2023,84,False,678,57,False,298,0,False,0,2010,2024
03-04-2023,74,False,723,69,False,253,0,False,0,2010,2024
20-03-2023,82,False,672,75,False,192,0,False,0,2010,2024
06-03-2023,97,False,566,161,False,86,0,False,0,2010,2024
27-02-2023,100,False,546,182,False,66,0,False,0,2010,2024
20-02-2023,98,False,546,167,False,66,0,False,0,2010,2024
13-02-2023,100,False,546,147,False,66,0,False,0,2010,2024
06-02-2023,103,False,526,171,True,46,0,False,0,2010,2024
30-01-2023,102,False,526,154,True,46,0,False,0,2010,2024
16-01-2023,87,False,606,138,False,36,0,False,0,2010,2024
09-01-2023,87,False,606,111,False,36,0,False,0,2010,2024
02-01-2023,85,False,615,0,False,0,0,False,0,2010,2024
