rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,108,False,594,115,False,271,0,False,0,2011,2024
27-05-2024,106,False,609,111,False,261,0,False,0,2011,2024
20-05-2024,105,False,606,113,False,248,0,False,0,2011,2024
06-05-2024,90,False,656,109,False,238,0,False,0,2011,2024
22-04-2024,89,False,666,129,False,178,0,False,0,2011,2024
15-04-2024,93,False,651,137,False,153,0,False,0,2011,2024
08-04-2024,85,False,716,130,False,153,0,False,0,2011,2024
01-04-2024,83,False,711,143,False,128,0,False,0,2011,2024
18-03-2024,84,False,712,132,False,118,0,False,0,2011,2024
04-03-2024,84,False,709,141,False,95,0,False,0,2011,2024
26-02-2024,84,False,709,128,False,95,0,False,0,2011,2024
19-02-2024,78,False,744,106,False,95,0,False,0,2011,2024
12-02-2024,80,False,716,151,False,57,0,False,0,2011,2024
05-02-2024,78,False,716,132,False,57,0,False,0,2011,2024
29-01-2024,79,False,716,124,False,57,0,False,0,2011,2024
15-01-2024,87,False,676,389,True,7,0,False,0,2011,2024
08-01-2024,89,False,676,346,True,7,0,False,0,2011,2024
01-01-2024,93,False,676,0,False,0,0,False,0,2011,2024
25-12-2023,93,False,676,0,False,0,0,False,0,2011,2024
18-12-2023,93,False,676,0,False,0,0,False,0,2011,2024
11-12-2023,93,False,676,0,False,0,0,False,0,2011,2024
04-12-2023,93,False,676,0,False,0,0,False,0,2011,2024
27-11-2023,93,False,676,0,False,0,0,False,0,2011,2024
20-11-2023,91,False,676,0,False,0,0,False,0,2011,2024
13-11-2023,91,False,676,91,False,676,0,False,0,2011,2024
06-11-2023,93,False,670,91,False,670,0,False,0,2011,2024
30-10-2023,96,False,630,96,False,620,0,False,0,2011,2024
23-10-2023,98,False,630,94,False,620,0,False,0,2011,2024
16-10-2023,92,False,665,91,False,620,0,False,0,2011,2024
02-10-2023,90,False,664,86,False,609,0,False,0,2011,2024
25-09-2023,91,False,664,86,False,609,0,False,0,2011,2024
18-09-2023,87,False,699,85,False,609,0,False,0,2011,2024
11-09-2023,88,False,699,82,False,609,0,False,0,2011,2024
28-08-2023,71,False,804,78,False,599,0,False,0,2011,2024
21-08-2023,70,False,804,78,False,599,0,False,0,2011,2024
14-08-2023,67,False,833,77,False,583,0,False,0,2011,2024
07-08-2023,68,False,833,77,False,573,0,False,0,2011,2024
31-07-2023,76,False,798,77,False,538,0,False,0,2011,2024
24-07-2023,67,False,808,74,False,538,0,False,0,2011,2024
17-07-2023,56,False,863,72,False,538,0,False,0,2011,2024
03-07-2023,85,False,693,97,False,358,0,False,0,2011,2024
26-06-2023,84,False,687,96,False,346,0,False,0,2011,2024
19-06-2023,82,False,687,93,False,346,0,False,0,2011,2024
12-06-2023,83,False,692,90,False,346,0,False,0,2011,2024
29-05-2023,91,False,671,88,False,311,0,False,0,2011,2024
22-05-2023,90,False,671,87,False,311,0,False,0,2011,2024
08-05-2023,94,False,647,107,False,251,0,False,0,2011,2024
24-04-2023,100,False,586,123,False,181,0,False,0,2011,2024
17-04-2023,96,False,616,115,False,181,0,False,0,2011,2024
10-04-2023,92,False,641,181,False,106,0,False,0,2011,2024
03-04-2023,94,False,621,213,False,86,0,False,0,2011,2024
20-03-2023,89,False,641,228,False,65,0,False,0,2011,2024
06-03-2023,89,False,639,234,False,55,0,False,0,2011,2024
27-02-2023,83,False,639,210,False,55,0,False,0,2011,2024
20-02-2023,88,False,594,543,False,10,0,False,0,2011,2024
13-02-2023,85,False,614,510,True,10,0,False,0,2011,2024
06-02-2023,83,False,614,486,True,10,0,False,0,2011,2024
30-01-2023,81,False,665,445,True,10,0,False,0,2011,2024
16-01-2023,70,False,735,0,False,0,0,False,0,2011,2024
09-01-2023,68,False,735,0,False,0,0,False,0,2011,2024
02-01-2023,67,False,741,0,False,0,0,False,0,2011,2024
26-12-2022,67,False,741,0,False,0,0,False,0,2011,2024
19-12-2022,67,False,741,0,False,0,0,False,0,2011,2024
12-12-2022,67,False,741,0,False,0,0,False,0,2011,2024
05-12-2022,67,False,741,0,False,0,0,False,0,2011,2024
28-11-2022,67,False,741,0,False,0,0,False,0,2011,2024
21-11-2022,69,False,741,0,False,0,0,False,0,2011,2024
14-11-2022,70,False,741,0,False,0,0,False,0,2011,2024
07-11-2022,72,False,741,72,False,741,0,False,0,2011,2024
31-10-2022,68,False,750,68,False,735,0,False,0,2011,2024
24-10-2022,68,False,750,67,False,735,0,False,0,2011,2024
17-10-2022,72,False,712,69,False,696,0,False,0,2011,2024
10-10-2022,71,False,716,65,False,696,0,False,0,2011,2024
03-10-2022,71,False,716,65,False,696,0,False,0,2011,2024
26-09-2022,69,False,716,62,False,696,0,False,0,2011,2024
19-09-2022,75,False,677,67,False,651,0,False,0,2011,2024
12-09-2022,75,False,677,66,False,651,0,False,0,2011,2024
29-08-2022,94,False,568,76,False,536,0,False,0,2011,2024
22-08-2022,94,False,568,75,False,536,0,False,0,2011,2024
15-08-2022,99,False,523,79,False,491,0,False,0,2011,2024
08-08-2022,97,False,539,75,False,491,0,False,0,2011,2024
01-08-2022,95,False,553,73,False,491,0,False,0,2011,2024
25-07-2022,99,False,539,73,False,471,0,False,0,2011,2024
18-07-2022,113,False,480,87,False,406,0,False,0,2011,2024
11-07-2022,117,False,476,86,False,400,1496,True,8,2011,2024
27-06-2022,109,False,528,84,False,400,1507,True,8,2011,2024
20-06-2022,112,False,528,81,False,400,1499,True,8,2011,2024
13-06-2022,113,False,529,80,False,389,1498,True,8,2011,2024
06-06-2022,108,False,575,74,False,389,1510,True,8,2011,2024
23-05-2022,106,False,575,67,False,381,1508,True,8,2011,2024
16-05-2022,108,False,575,67,False,381,1496,True,8,2011,2024
09-05-2022,105,False,599,69,False,345,1498,True,8,2011,2024
02-05-2022,109,False,597,67,False,336,1501,True,8,2011,2024
25-04-2022,105,False,622,64,False,336,1503,True,8,2011,2024
18-04-2022,113,False,599,68,False,306,1516,True,8,2011,2024
11-04-2022,128,False,505,79,False,206,1521,True,8,2011,2024
04-04-2022,121,False,550,72,False,206,1524,True,8,2011,2024
21-03-2022,118,False,554,82,False,165,1527,True,8,2011,2024
07-03-2022,103,False,636,72,False,157,1549,True,8,2011,2024
28-02-2022,105,False,636,72,False,157,1558,True,8,2011,2024
21-02-2022,104,False,639,60,False,157,1556,True,8,2011,2024
14-02-2022,112,False,626,55,False,137,1556,True,8,2011,2024
07-02-2022,113,False,626,43,False,137,1554,True,8,2011,2024
31-01-2022,127,False,582,56,False,86,1554,True,8,2011,2024
17-01-2022,121,False,605,161,True,6,766,False,48,2011,2024
10-01-2022,119,False,618,111,True,6,765,False,48,2011,2024
03-01-2022,120,False,618,0,False,0,766,False,48,2011,2024
27-12-2021,120,False,618,113,False,427,766,False,48,2011,2024
20-12-2021,120,False,618,113,False,427,770,False,48,2011,2024
13-12-2021,120,False,618,113,False,427,771,False,48,2011,2024
06-12-2021,118,False,618,112,False,427,766,False,48,2011,2024
29-11-2021,115,False,639,112,False,427,773,False,48,2011,2024
22-11-2021,111,False,711,112,False,427,577,False,77,2011,2024
15-11-2021,110,False,711,110,False,427,519,False,92,2011,2024
08-11-2021,102,False,730,108,False,427,518,False,92,2011,2024
01-11-2021,102,False,725,111,False,412,515,False,92,2011,2024
25-10-2021,106,False,730,108,False,412,517,False,92,2011,2024
18-10-2021,107,False,735,109,False,405,476,False,107,2011,2024
04-10-2021,105,False,735,108,False,395,487,False,107,2011,2024
27-09-2021,106,False,735,108,False,395,484,False,107,2011,2024
20-09-2021,108,False,735,104,False,395,490,False,107,2011,2024
13-09-2021,110,False,735,102,False,395,492,False,107,2011,2024
30-08-2021,110,False,741,92,False,395,504,False,107,2011,2024
23-08-2021,111,False,741,92,False,395,500,False,107,2011,2024
16-08-2021,115,False,741,88,False,395,504,False,107,2011,2024
09-08-2021,115,False,735,89,False,379,502,False,107,2011,2024
02-08-2021,113,False,725,90,False,359,501,False,107,2011,2024
26-07-2021,113,False,725,85,False,359,493,False,107,2011,2024
19-07-2021,113,False,727,81,False,359,482,False,107,2011,2024
12-07-2021,110,False,727,73,False,359,459,False,114,2011,2024
28-06-2021,112,False,706,76,False,314,454,False,114,2011,2024
21-06-2021,112,False,706,73,False,314,453,False,114,2011,2024
14-06-2021,111,False,711,71,False,304,452,False,114,2011,2024
31-05-2021,107,False,764,72,False,261,448,False,114,2011,2024
24-05-2021,106,False,764,69,False,261,445,False,114,2011,2024
17-05-2021,103,False,764,67,False,261,445,False,114,2011,2024
10-05-2021,110,False,712,78,True,201,451,False,114,2011,2024
03-05-2021,112,False,712,74,False,201,454,False,114,2011,2024
26-04-2021,115,False,688,84,False,169,456,False,114,2011,2024
19-04-2021,114,False,688,79,False,169,453,False,114,2011,2024
12-04-2021,114,False,688,71,False,169,453,False,114,2011,2024
05-04-2021,110,False,739,68,False,169,452,False,114,2011,2024
22-03-2021,113,False,702,78,False,124,452,False,114,2011,2024
15-03-2021,112,False,702,68,False,124,451,False,114,2011,2024
08-03-2021,121,False,619,174,False,34,448,False,114,2011,2024
01-03-2021,117,False,619,162,False,34,446,False,114,2011,2024
22-02-2021,116,False,619,140,False,34,442,False,114,2011,2024
08-02-2021,115,False,619,68,False,27,436,False,114,2011,2024
01-02-2021,115,False,619,47,False,20,432,False,114,2011,2024
25-01-2021,115,False,619,37,True,20,470,False,99,2011,2024
18-01-2021,115,False,619,19,True,20,575,False,74,2011,2024
11-01-2021,115,False,606,0,False,0,573,False,74,2011,2024
04-01-2021,115,False,606,0,False,386,573,False,74,2011,2024
28-12-2020,115,False,599,0,False,0,571,False,74,2011,2024
21-12-2020,115,False,599,0,False,0,571,False,74,2011,2024
14-12-2020,115,False,599,0,False,0,569,False,74,2011,2024
07-12-2020,115,False,599,0,False,0,566,False,74,2011,2024
30-11-2020,117,False,577,0,False,0,565,False,74,2011,2024
23-11-2020,129,False,504,0,False,0,769,False,45,2011,2024
16-11-2020,128,False,504,0,False,0,933,False,30,2011,2024
09-11-2020,133,False,481,0,False,0,925,False,30,2011,2024
02-11-2020,131,False,481,0,False,0,923,False,30,2011,2024
26-10-2020,132,False,471,0,False,0,919,False,30,2011,2024
19-10-2020,131,False,471,0,False,0,918,False,30,2011,2024
12-10-2020,128,False,469,0,False,0,910,False,30,2011,2024
28-09-2020,153,False,379,0,False,0,906,False,30,2011,2024
21-09-2020,152,False,379,0,False,0,903,False,30,2011,2024
14-09-2020,151,False,379,0,False,0,902,False,30,2011,2024
31-08-2020,148,False,379,0,False,0,898,False,30,2011,2024
24-08-2020,147,False,379,0,False,0,893,False,30,2011,2024
16-03-2020,148,False,379,111,False,126,889,False,30,2011,2024
09-03-2020,148,False,379,110,False,126,876,False,30,2011,2024
02-03-2020,148,False,379,105,False,126,875,False,30,2011,2024
24-02-2020,148,False,372,101,False,116,877,False,30,2011,2024
17-02-2020,146,False,376,90,False,116,713,False,45,2011,2024
10-02-2020,144,False,376,71,False,116,711,False,45,2011,2024
03-02-2020,140,False,376,57,False,116,706,False,45,2011,2024
20-01-2020,185,False,269,392,True,6,715,False,45,2011,2024
13-01-2020,186,False,269,349,True,6,712,False,45,2011,2024
06-01-2020,188,False,263,0,False,0,706,False,45,2011,2024
30-12-2019,191,False,263,0,False,0,716,False,45,2011,2024
23-12-2019,191,False,263,0,False,0,714,False,45,2011,2024
16-12-2019,191,False,263,0,False,0,714,False,45,2011,2024
09-12-2019,192,False,263,0,False,0,712,False,45,2011,2024
02-12-2019,193,False,263,0,False,0,712,False,45,2011,2024
25-11-2019,193,False,263,0,False,0,709,False,45,2011,2024
18-11-2019,194,False,263,0,False,0,707,True,45,2011,2024
11-11-2019,191,False,263,0,False,0,711,True,45,2011,2024
04-11-2019,193,False,263,193,False,263,713,True,45,2011,2024
28-10-2019,199,False,256,195,False,256,710,False,45,2011,2024
21-10-2019,210,False,241,203,False,241,886,False,30,2011,2024
14-10-2019,204,False,241,197,False,241,880,False,30,2011,2024
07-10-2019,207,False,241,192,False,241,875,False,30,2011,2024
30-09-2019,206,False,241,188,False,241,880,False,30,2011,2024
23-09-2019,203,False,241,187,False,241,871,True,30,2011,2024
16-09-2019,201,False,241,182,False,241,883,True,30,2011,2024
09-09-2019,200,False,241,176,False,241,889,True,30,2011,2024
26-08-2019,207,False,236,181,False,220,890,False,30,2011,2024
19-08-2019,207,False,236,181,False,220,883,False,30,2011,2024
12-08-2019,207,False,236,178,False,220,878,False,30,2011,2024
05-08-2019,211,False,236,175,False,220,881,False,30,2011,2024
29-07-2019,211,False,236,171,False,220,524,False,30,2011,2024
22-07-2019,215,False,224,173,False,208,528,False,30,2011,2024
15-07-2019,173,False,311,166,False,205,625,True,15,2011,2024
01-07-2019,194,False,267,180,False,161,523,False,30,2011,2024
24-06-2019,198,False,267,179,False,161,522,False,30,2011,2024
17-06-2019,197,False,267,180,False,146,517,False,30,2011,2024
10-06-2019,186,False,275,175,False,146,517,False,30,2011,2024
27-05-2019,197,False,259,180,False,122,506,False,30,2011,2024
20-05-2019,203,False,259,179,False,122,510,False,30,2011,2024
13-05-2019,205,False,259,176,False,122,511,False,30,2011,2024
06-05-2019,201,False,259,171,False,122,508,False,30,2011,2024
29-04-2019,198,False,259,164,False,122,510,False,30,2011,2024
22-04-2019,196,False,267,157,False,122,508,True,30,2011,2024
15-04-2019,201,False,259,155,False,114,512,True,30,2011,2024
08-04-2019,241,False,192,353,False,12,514,True,30,2011,2024
01-04-2019,246,False,187,385,True,7,513,True,30,2011,2024
18-03-2019,228,False,216,381,True,7,518,True,30,2011,2024
11-03-2019,226,False,216,376,True,7,517,True,30,2011,2024
04-03-2019,226,False,216,376,True,7,517,True,30,2011,2024
25-02-2019,231,False,216,371,True,7,517,True,30,2011,2024
18-02-2019,233,False,216,0,False,0,604,True,15,2011,2024
11-02-2019,233,False,216,0,False,0,605,True,15,2011,2024
04-02-2019,227,False,224,0,False,0,606,True,15,2011,2024
28-01-2019,228,False,224,0,False,0,604,True,15,2011,2024
14-01-2019,221,False,224,0,False,0,606,True,15,2011,2024
07-01-2019,222,False,224,0,False,0,607,True,15,2011,2024
