rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,180,False,340,158,False,187,0,False,0,2013,2024
27-05-2024,185,False,332,148,False,179,1160,False,25,2013,2024
20-05-2024,185,False,332,146,False,179,1162,False,25,2013,2024
06-05-2024,173,False,350,136,False,179,1142,False,25,2013,2024
22-04-2024,153,False,411,128,False,179,1154,False,25,2013,2024
15-04-2024,159,False,407,122,False,171,1156,False,25,2013,2024
08-04-2024,156,False,407,114,False,171,1153,False,25,2013,2024
01-04-2024,156,False,413,100,False,171,1155,True,25,2013,2024
18-03-2024,137,False,478,98,False,161,1140,False,25,2013,2024
04-03-2024,146,False,455,98,False,131,1146,True,25,2013,2024
26-02-2024,144,False,455,92,False,131,1147,False,25,2013,2024
19-02-2024,151,False,417,110,False,93,1145,False,25,2013,2024
12-02-2024,148,False,424,99,False,93,926,False,41,2013,2024
05-02-2024,155,False,411,92,False,80,924,False,41,2013,2024
29-01-2024,151,False,420,84,False,80,927,False,41,2013,2024
15-01-2024,178,False,340,0,False,0,927,False,41,2013,2024
08-01-2024,179,False,340,0,False,0,923,False,41,2013,2024
01-01-2024,175,False,349,0,False,0,922,False,41,2013,2024
25-12-2023,175,False,349,0,False,0,923,False,41,2013,2024
18-12-2023,176,False,349,0,False,0,925,False,41,2013,2024
11-12-2023,176,False,349,0,False,0,921,False,41,2013,2024
04-12-2023,177,False,349,0,False,0,912,False,41,2013,2024
27-11-2023,177,False,349,0,False,0,905,False,41,2013,2024
20-11-2023,177,False,349,0,False,0,904,False,41,2013,2024
13-11-2023,178,False,349,181,False,349,902,False,41,2013,2024
06-11-2023,174,False,349,174,False,349,905,False,41,2013,2024
30-10-2023,183,False,342,177,False,342,905,False,41,2013,2024
23-10-2023,183,False,342,175,False,342,904,False,41,2013,2024
16-10-2023,184,False,342,173,False,342,904,False,41,2013,2024
02-10-2023,213,False,291,198,False,282,902,False,41,2013,2024
25-09-2023,214,False,291,195,False,282,902,False,41,2013,2024
18-09-2023,216,False,291,186,False,282,906,False,41,2013,2024
11-09-2023,204,False,299,182,False,282,908,False,41,2013,2024
28-08-2023,138,False,440,167,False,282,911,False,41,2013,2024
21-08-2023,139,False,440,166,False,282,916,False,41,2013,2024
14-08-2023,143,False,440,161,False,282,908,False,41,2013,2024
07-08-2023,144,False,440,154,False,282,901,False,41,2013,2024
31-07-2023,143,False,440,149,False,282,897,False,41,2013,2024
24-07-2023,122,False,530,141,False,282,891,True,41,2013,2024
17-07-2023,135,False,462,193,False,207,882,False,41,2013,2024
03-07-2023,129,False,478,173,False,207,888,True,41,2013,2024
26-06-2023,129,False,478,172,False,207,880,True,41,2013,2024
19-06-2023,127,False,478,168,False,207,880,False,41,2013,2024
12-06-2023,127,False,478,169,False,196,880,False,41,2013,2024
29-05-2023,122,False,518,155,False,196,1299,True,16,2013,2024
22-05-2023,122,False,518,150,False,196,1287,True,16,2013,2024
08-05-2023,124,False,504,151,False,178,1286,True,16,2013,2024
24-04-2023,128,False,466,196,False,117,1286,True,16,2013,2024
17-04-2023,127,False,466,189,False,113,1284,True,16,2013,2024
10-04-2023,128,False,466,176,False,113,1284,True,16,2013,2024
03-04-2023,129,False,464,173,False,107,1283,True,16,2013,2024
20-03-2023,146,False,397,382,False,32,1282,False,16,2013,2024
06-03-2023,151,False,390,405,False,25,1279,True,16,2013,2024
27-02-2023,152,False,390,388,False,25,1273,True,16,2013,2024
20-02-2023,150,False,390,361,False,25,1274,False,16,2013,2024
13-02-2023,151,False,383,400,False,18,0,False,0,2013,2024
06-02-2023,148,False,390,377,False,18,784,False,50,2013,2024
30-01-2023,148,False,381,489,True,9,775,False,50,2013,2024
16-01-2023,147,False,381,370,True,9,766,False,50,2013,2024
09-01-2023,147,False,381,341,True,9,769,False,50,2013,2024
02-01-2023,141,False,388,0,False,0,778,False,50,2013,2024
26-12-2022,141,False,388,0,False,0,780,False,50,2013,2024
19-12-2022,141,False,388,0,False,0,779,False,50,2013,2024
12-12-2022,141,False,388,0,False,0,784,False,50,2013,2024
05-12-2022,142,False,388,0,False,0,785,False,50,2013,2024
28-11-2022,142,False,388,0,False,0,782,False,50,2013,2024
21-11-2022,142,False,388,0,False,0,783,False,50,2013,2024
14-11-2022,144,False,388,0,False,0,779,False,50,2013,2024
07-11-2022,114,False,488,114,False,488,782,False,50,2013,2024
31-10-2022,118,False,488,113,False,488,775,False,50,2013,2024
24-10-2022,118,False,488,111,False,488,664,False,67,2013,2024
17-10-2022,116,False,488,109,False,488,667,False,67,2013,2024
10-10-2022,105,False,527,106,False,479,665,False,67,2013,2024
03-10-2022,101,False,527,101,False,479,654,False,67,2013,2024
26-09-2022,97,False,554,101,False,479,650,False,67,2013,2024
19-09-2022,96,False,557,100,False,479,655,False,67,2013,2024
12-09-2022,95,False,564,99,False,471,654,False,67,2013,2024
29-08-2022,119,False,459,128,False,330,505,False,96,2013,2024
22-08-2022,122,False,459,128,False,330,508,False,96,2013,2024
15-08-2022,123,False,459,124,False,330,502,False,96,2013,2024
08-08-2022,123,False,459,123,False,330,500,False,96,2013,2024
01-08-2022,120,False,459,120,False,330,501,False,96,2013,2024
25-07-2022,131,False,412,152,False,240,500,False,96,2013,2024
18-07-2022,132,False,420,152,False,233,513,False,96,2013,2024
11-07-2022,135,False,420,149,False,233,422,False,125,2013,2024
27-06-2022,141,False,424,153,False,217,418,False,132,2013,2024
20-06-2022,136,False,446,149,False,217,418,False,132,2013,2024
13-06-2022,142,False,442,149,False,206,420,False,132,2013,2024
06-06-2022,150,False,429,153,False,186,397,False,147,2013,2024
23-05-2022,150,False,415,151,False,162,389,False,147,2013,2024
16-05-2022,151,False,416,144,False,162,390,False,147,2013,2024
09-05-2022,151,False,416,140,False,162,384,False,147,2013,2024
02-05-2022,154,False,400,151,False,142,381,False,147,2013,2024
25-04-2022,154,False,398,148,False,135,383,False,147,2013,2024
18-04-2022,156,False,399,149,False,131,388,False,147,2013,2024
11-04-2022,158,False,399,338,False,31,387,False,148,2013,2024
04-04-2022,155,False,399,316,False,31,384,False,148,2013,2024
21-03-2022,154,False,406,310,False,23,391,False,148,2013,2024
07-03-2022,152,False,408,266,True,23,383,False,152,2013,2024
28-02-2022,154,False,408,253,True,23,389,False,152,2013,2024
21-02-2022,151,False,421,229,True,23,362,False,170,2013,2024
14-02-2022,157,False,423,207,True,23,373,False,170,2013,2024
07-02-2022,158,False,421,223,True,16,460,False,120,2013,2024
31-01-2022,158,False,421,191,True,16,457,False,120,2013,2024
17-01-2022,155,False,445,97,True,16,449,False,120,2013,2024
10-01-2022,149,False,459,70,True,16,451,False,120,2013,2024
03-01-2022,150,False,450,0,False,0,450,False,120,2013,2024
27-12-2021,150,False,450,126,False,389,450,False,120,2013,2024
20-12-2021,150,False,450,126,False,389,452,False,120,2013,2024
13-12-2021,150,False,450,126,False,389,451,False,120,2013,2024
06-12-2021,150,False,450,125,False,389,448,False,120,2013,2024
29-11-2021,150,False,450,125,False,389,450,False,120,2013,2024
22-11-2021,150,False,450,124,False,389,450,False,120,2013,2024
15-11-2021,150,False,450,121,False,389,448,False,120,2013,2024
08-11-2021,184,False,370,155,True,289,449,False,120,2013,2024
01-11-2021,183,False,370,152,False,289,443,False,120,2013,2024
25-10-2021,184,False,370,150,False,289,488,False,103,2013,2024
18-10-2021,188,False,371,150,False,289,484,False,103,2013,2024
04-10-2021,203,False,330,165,True,241,499,False,103,2013,2024
27-09-2021,210,False,310,175,False,214,493,False,103,2013,2024
20-09-2021,210,False,310,172,False,207,499,False,103,2013,2024
13-09-2021,219,False,302,184,True,192,500,False,103,2013,2024
30-08-2021,241,False,281,197,False,156,505,False,107,2013,2024
23-08-2021,242,False,281,191,True,156,501,False,107,2013,2024
16-08-2021,244,False,281,190,False,156,505,False,107,2013,2024
09-08-2021,242,False,281,187,False,156,503,False,107,2013,2024
02-08-2021,242,False,281,185,False,156,502,False,107,2013,2024
26-07-2021,246,False,270,206,False,123,494,False,107,2013,2024
19-07-2021,252,False,261,215,True,108,483,False,107,2013,2024
12-07-2021,253,False,261,207,True,108,604,False,78,2013,2024
28-06-2021,256,False,253,218,True,88,600,False,79,2013,2024
21-06-2021,265,False,229,266,True,59,598,False,79,2013,2024
14-06-2021,262,False,229,256,True,59,592,False,79,2013,2024
31-05-2021,264,False,232,229,True,55,659,False,64,2013,2024
24-05-2021,263,False,232,226,True,55,653,False,64,2013,2024
17-05-2021,263,False,232,234,True,50,652,False,64,2013,2024
10-05-2021,265,False,232,230,True,50,657,False,64,2013,2024
03-05-2021,265,False,232,222,True,50,657,False,64,2013,2024
26-04-2021,263,False,236,217,False,50,658,False,64,2013,2024
19-04-2021,258,False,240,215,False,48,658,False,64,2013,2024
12-04-2021,258,False,240,206,False,48,654,False,65,2013,2024
05-04-2021,258,False,240,203,False,44,653,False,65,2013,2024
22-03-2021,262,False,231,225,True,29,654,False,65,2013,2024
15-03-2021,257,False,231,207,False,29,650,False,65,2013,2024
08-03-2021,254,False,235,190,False,29,634,False,68,2013,2024
