rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,168,False,368,0,False,0,0,False,0,2013,2024
27-05-2024,158,False,376,0,False,0,0,False,0,2013,2024
20-05-2024,159,False,376,0,False,0,0,False,0,2013,2024
06-05-2024,151,False,406,0,False,0,0,False,0,2013,2024
22-04-2024,134,False,464,0,False,0,0,False,0,2013,2024
15-04-2024,135,False,464,0,False,0,0,False,0,2013,2024
08-04-2024,137,False,464,0,False,0,0,False,0,2013,2024
01-04-2024,120,False,514,0,False,0,0,False,0,2013,2024
18-03-2024,119,False,522,0,False,0,0,False,0,2013,2024
04-03-2024,115,False,548,0,False,0,0,False,0,2013,2024
26-02-2024,105,False,578,0,False,0,0,False,0,2013,2024
19-02-2024,91,False,653,0,False,0,0,False,0,2013,2024
12-02-2024,93,False,653,0,False,0,0,False,0,2013,2024
05-02-2024,92,False,653,0,False,0,0,False,0,2013,2024
29-01-2024,91,False,653,0,False,0,0,False,0,2013,2024
15-01-2024,89,False,664,0,False,0,0,False,0,2013,2024
08-01-2024,91,False,664,0,False,0,0,False,0,2013,2024
01-01-2024,72,False,744,0,False,0,0,False,0,2013,2024
25-12-2023,72,False,744,0,False,0,0,False,0,2013,2024
18-12-2023,72,False,744,0,False,0,0,False,0,2013,2024
11-12-2023,72,False,744,0,False,0,0,False,0,2013,2024
04-12-2023,72,False,744,0,False,0,0,False,0,2013,2024
27-11-2023,72,False,744,0,False,0,0,False,0,2013,2024
20-11-2023,72,False,744,0,False,0,0,False,0,2013,2024
13-11-2023,74,False,744,76,False,744,0,False,0,2013,2024
06-11-2023,73,False,744,72,False,744,0,False,0,2013,2024
30-10-2023,73,False,751,72,False,744,0,False,0,2013,2024
23-10-2023,77,False,741,88,False,654,0,False,0,2013,2024
16-10-2023,76,False,747,83,False,654,0,False,0,2013,2024
02-10-2023,74,False,747,77,False,654,0,False,0,2013,2024
25-09-2023,75,False,747,76,False,654,0,False,0,2013,2024
18-09-2023,77,False,747,76,False,654,0,False,0,2013,2024
11-09-2023,77,False,747,74,False,654,0,False,0,2013,2024
28-08-2023,105,False,559,104,False,449,0,False,0,2013,2024
21-08-2023,106,False,559,102,False,449,0,False,0,2013,2024
14-08-2023,114,False,541,105,False,424,0,False,0,2013,2024
07-08-2023,117,False,550,106,False,418,0,False,0,2013,2024
31-07-2023,115,False,560,103,False,404,0,False,0,2013,2024
24-07-2023,115,False,560,101,False,404,0,False,0,2013,2024
17-07-2023,114,False,560,96,False,404,0,False,0,2013,2024
03-07-2023,112,False,557,87,False,394,0,False,0,2013,2024
26-06-2023,111,False,557,86,False,388,0,False,0,2013,2024
19-06-2023,111,False,557,84,False,388,0,False,0,2013,2024
12-06-2023,111,False,551,82,False,376,0,False,0,2013,2024
29-05-2023,104,False,618,72,False,368,0,False,0,2013,2024
22-05-2023,103,False,618,72,False,368,0,False,0,2013,2024
08-05-2023,102,False,594,72,False,338,0,False,0,2013,2024
24-04-2023,110,False,538,83,False,280,0,False,0,2013,2024
17-04-2023,109,False,545,76,False,280,0,False,0,2013,2024
10-04-2023,108,False,545,71,False,280,0,False,0,2013,2024
03-04-2023,117,False,495,77,False,230,0,False,0,2013,2024
20-03-2023,113,False,501,66,False,222,0,False,0,2013,2024
06-03-2023,121,False,475,62,False,196,0,False,0,2013,2024
27-02-2023,127,False,445,67,False,166,0,False,0,2013,2024
20-02-2023,160,False,370,116,False,91,0,False,0,2013,2024
13-02-2023,145,False,400,102,False,91,0,False,0,2013,2024
06-02-2023,116,False,454,82,False,91,0,False,0,2013,2024
30-01-2023,121,False,454,76,False,91,0,False,0,2013,2024
16-01-2023,125,False,454,52,True,80,0,False,0,2013,2024
09-01-2023,124,False,461,34,True,80,1264,True,16,2013,2024
02-01-2023,144,False,381,0,False,0,1275,True,16,2013,2024
26-12-2022,144,False,381,0,False,0,1272,True,16,2013,2024
19-12-2022,144,False,381,0,False,0,1270,True,16,2013,2024
12-12-2022,144,False,381,0,False,0,1267,True,16,2013,2024
05-12-2022,145,False,381,0,False,0,1269,True,16,2013,2024
28-11-2022,144,False,381,0,False,0,1271,True,16,2013,2024
21-11-2022,145,False,381,0,False,0,1265,True,16,2013,2024
14-11-2022,147,False,381,0,False,0,1267,True,16,2013,2024
07-11-2022,145,False,388,145,False,388,833,False,45,2013,2024
31-10-2022,148,False,381,145,False,381,825,False,45,2013,2024
24-10-2022,182,False,301,174,False,301,826,False,45,2013,2024
17-10-2022,184,False,301,176,False,289,823,False,45,2013,2024
10-10-2022,187,False,295,177,False,283,713,False,60,2013,2024
03-10-2022,181,False,295,172,False,283,701,False,60,2013,2024
26-09-2022,181,False,295,169,False,283,700,False,60,2013,2024
19-09-2022,183,False,295,161,False,283,609,False,75,2013,2024
12-09-2022,164,False,324,157,False,283,599,False,75,2013,2024
29-08-2022,176,False,300,160,False,259,548,False,90,2013,2024
22-08-2022,179,False,300,160,False,259,547,False,90,2013,2024
15-08-2022,176,False,300,159,False,259,541,False,90,2013,2024
08-08-2022,187,False,284,161,False,243,536,False,90,2013,2024
01-08-2022,198,False,265,179,False,213,535,False,90,2013,2024
25-07-2022,196,False,269,171,False,213,539,False,90,2013,2024
18-07-2022,181,False,286,165,False,213,547,False,90,2013,2024
11-07-2022,167,False,317,158,False,213,554,False,90,2013,2024
27-06-2022,174,False,317,154,False,213,542,False,90,2013,2024
20-06-2022,177,False,317,150,False,213,538,False,90,2013,2024
13-06-2022,181,False,317,147,False,211,464,False,115,2013,2024
06-06-2022,192,False,317,141,False,200,471,False,115,2013,2024
23-05-2022,222,False,249,189,False,130,460,False,115,2013,2024
16-05-2022,222,False,249,186,False,130,439,False,122,2013,2024
09-05-2022,219,False,254,175,False,130,433,False,122,2013,2024
02-05-2022,217,False,254,169,False,130,434,False,122,2013,2024
25-04-2022,217,False,254,158,False,130,433,False,122,2013,2024
18-04-2022,221,False,249,156,False,123,438,False,122,2013,2024
11-04-2022,225,False,249,142,False,116,438,False,122,2013,2024
04-04-2022,222,False,249,129,False,116,440,False,122,2013,2024
21-03-2022,234,False,237,117,False,102,436,False,122,2013,2024
07-03-2022,231,False,239,97,False,102,442,False,122,2013,2024
28-02-2022,235,False,239,95,False,102,482,False,107,2013,2024
21-02-2022,236,False,248,89,False,102,455,False,122,2013,2024
14-02-2022,250,False,234,102,False,72,462,False,122,2013,2024
07-02-2022,288,False,182,208,False,18,456,False,122,2013,2024
31-01-2022,281,False,195,179,False,18,490,False,107,2013,2024
17-01-2022,286,False,188,138,True,7,394,False,151,2013,2024
10-01-2022,284,False,196,0,False,0,450,False,120,2013,2024
03-01-2022,284,False,196,0,False,0,449,False,120,2013,2024
27-12-2021,284,False,196,287,False,130,449,False,120,2013,2024
20-12-2021,284,False,196,287,False,130,426,False,135,2013,2024
13-12-2021,283,False,196,285,False,130,425,False,135,2013,2024
06-12-2021,281,False,196,279,False,130,447,False,120,2013,2024
29-11-2021,279,False,196,272,False,130,449,False,120,2013,2024
22-11-2021,276,False,196,267,True,130,449,False,120,2013,2024
15-11-2021,277,False,196,263,True,130,447,False,120,2013,2024
08-11-2021,281,False,191,264,True,123,519,False,91,2013,2024
01-11-2021,282,False,191,260,False,123,518,False,91,2013,2024
25-10-2021,282,False,198,257,True,123,482,False,106,2013,2024
18-10-2021,245,False,253,279,False,111,480,False,106,2013,2024
04-10-2021,216,False,308,270,True,111,535,False,91,2013,2024
27-09-2021,217,False,308,269,True,111,531,False,91,2013,2024
20-09-2021,208,False,319,265,True,111,597,False,76,2013,2024
13-09-2021,225,False,294,298,True,82,602,False,76,2013,2024
30-08-2021,233,False,294,288,True,82,703,False,61,2013,2024
23-08-2021,234,False,294,283,True,82,703,False,61,2013,2024
16-08-2021,234,False,294,280,False,82,707,False,61,2013,2024
09-08-2021,234,False,294,276,False,82,706,False,61,2013,2024
02-08-2021,235,False,295,283,False,75,704,False,61,2013,2024
26-07-2021,233,False,298,276,False,75,702,False,61,2013,2024
19-07-2021,225,False,314,269,True,75,697,False,61,2013,2024
12-07-2021,235,False,289,313,True,46,686,False,61,2013,2024
28-06-2021,238,False,289,299,True,46,686,False,61,2013,2024
21-06-2021,237,False,289,295,True,46,687,False,61,2013,2024
14-06-2021,235,False,289,284,True,44,913,False,36,2013,2024
31-05-2021,233,False,282,310,True,31,903,False,36,2013,2024
24-05-2021,232,False,282,302,True,31,902,False,36,2013,2024
17-05-2021,232,False,282,294,True,31,1000,False,29,2013,2024
10-05-2021,238,False,277,330,True,24,998,False,29,2013,2024
03-05-2021,238,False,277,321,True,24,999,False,29,2013,2024
26-04-2021,237,False,277,313,False,24,994,False,29,2013,2024
19-04-2021,236,False,278,297,False,24,998,False,29,2013,2024
12-04-2021,234,False,278,290,False,24,998,False,29,2013,2024
05-04-2021,234,False,278,281,False,24,998,False,29,2013,2024
22-03-2021,232,False,278,247,False,24,997,False,29,2013,2024
15-03-2021,228,False,278,230,False,24,993,False,29,2013,2024
08-03-2021,225,False,278,210,False,24,993,False,29,2013,2024
01-03-2021,225,False,278,194,False,24,989,False,29,2013,2024
22-02-2021,224,False,273,205,True,16,987,True,29,2013,2024
08-02-2021,229,False,258,0,False,0,974,True,29,2013,2024
01-02-2021,226,False,258,0,False,0,973,True,29,2013,2024
25-01-2021,223,False,258,0,False,0,968,True,29,2013,2024
18-01-2021,223,False,258,0,False,0,968,True,29,2013,2024
11-01-2021,223,False,258,0,False,0,968,False,29,2013,2024
04-01-2021,223,False,258,0,False,130,968,False,29,2013,2024
28-12-2020,221,False,257,0,False,0,968,False,29,2013,2024
21-12-2020,221,False,257,0,False,0,966,False,29,2013,2024
14-12-2020,221,False,257,0,False,0,966,False,29,2013,2024
07-12-2020,221,False,257,0,False,0,960,False,29,2013,2024
30-11-2020,221,False,257,0,False,0,954,False,29,2013,2024
23-11-2020,221,False,257,0,False,0,951,False,29,2013,2024
16-11-2020,221,False,257,0,False,0,949,False,29,2013,2024
09-11-2020,220,False,257,0,False,0,943,False,29,2013,2024
02-11-2020,219,False,257,0,False,0,941,False,29,2013,2024
26-10-2020,217,False,257,0,False,0,938,False,29,2013,2024
19-10-2020,245,False,218,0,False,0,937,False,29,2013,2024
12-10-2020,256,False,208,0,False,0,931,False,29,2013,2024
28-09-2020,270,False,179,0,False,0,923,False,29,2013,2024
21-09-2020,281,False,164,0,False,0,921,False,29,2013,2024
14-09-2020,280,False,164,0,False,0,919,False,29,2013,2024
31-08-2020,278,False,163,0,False,0,917,True,29,2013,2024
24-08-2020,275,False,163,0,False,0,912,True,29,2013,2024
16-03-2020,279,False,162,253,False,39,909,True,29,2013,2024
09-03-2020,277,False,162,250,False,39,899,True,29,2013,2024
02-03-2020,277,False,162,241,False,39,898,True,29,2013,2024
24-02-2020,276,False,157,241,False,34,902,False,29,2013,2024
17-02-2020,273,False,157,210,False,34,892,False,29,2013,2024
10-02-2020,268,False,157,189,False,34,892,True,29,2013,2024
03-02-2020,273,False,151,258,False,19,896,False,29,2013,2024
20-01-2020,264,False,164,197,True,15,0,False,0,2013,2024
13-01-2020,275,False,149,0,False,0,0,False,0,2013,2024
06-01-2020,275,False,149,0,False,0,0,False,0,2013,2024
30-12-2019,276,False,149,0,False,0,0,False,0,2013,2024
23-12-2019,276,False,149,0,False,0,0,False,0,2013,2024
16-12-2019,276,False,149,0,False,0,0,False,0,2013,2024
09-12-2019,276,False,149,0,False,0,0,False,0,2013,2024
02-12-2019,279,False,149,0,False,0,0,False,0,2013,2024
25-11-2019,279,False,149,0,False,0,0,False,0,2013,2024
18-11-2019,280,False,149,0,False,0,0,False,0,2013,2024
11-11-2019,281,False,149,0,False,0,0,False,0,2013,2024
04-11-2019,279,False,149,279,False,149,0,False,0,2013,2024
28-10-2019,292,False,140,286,False,140,0,False,0,2013,2024
21-10-2019,353,False,111,342,False,111,0,False,0,2013,2024
