rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,23,False,1690,32,False,760,61,False,1220,2014,2024
27-05-2024,25,False,1635,35,False,660,64,False,1220,2014,2024
20-05-2024,27,False,1605,35,False,610,63,False,1220,2014,2024
06-05-2024,26,False,1595,30,False,600,63,False,1220,2014,2024
22-04-2024,25,False,1505,34,False,500,65,False,1220,2014,2024
15-04-2024,25,False,1505,29,False,500,63,False,1220,2014,2024
08-04-2024,26,False,1475,33,False,450,64,False,1220,2014,2024
01-04-2024,25,False,1500,29,False,450,64,False,1265,2014,2024
18-03-2024,26,False,1450,29,False,400,64,False,1265,2014,2024
04-03-2024,27,False,1445,33,False,350,63,False,1265,2014,2024
26-02-2024,28,False,1440,31,False,300,115,False,765,2014,2024
19-02-2024,28,False,1440,23,False,300,112,False,810,2014,2024
12-02-2024,29,False,1420,84,False,100,113,False,810,2014,2024
05-02-2024,30,False,1420,70,False,100,113,False,810,2014,2024
29-01-2024,29,False,1420,61,True,100,110,False,810,2014,2024
15-01-2024,31,False,1410,0,False,0,109,False,810,2014,2024
08-01-2024,28,False,1410,0,False,0,109,False,810,2014,2024
01-01-2024,23,False,1640,0,False,0,110,False,810,2014,2024
25-12-2023,23,False,1640,0,False,0,110,False,810,2014,2024
18-12-2023,23,False,1640,0,False,0,110,False,810,2014,2024
11-12-2023,23,False,1640,0,False,0,110,False,810,2014,2024
04-12-2023,23,False,1640,0,False,0,110,False,810,2014,2024
27-11-2023,23,False,1640,0,False,0,108,False,810,2014,2024
20-11-2023,23,False,1640,0,False,0,109,False,810,2014,2024
13-11-2023,23,False,1640,23,False,1640,109,False,810,2014,2024
06-11-2023,21,False,1640,21,False,1640,108,False,810,2014,2024
30-10-2023,23,False,1570,21,False,1550,110,False,810,2014,2024
23-10-2023,25,False,1500,23,False,1480,113,False,810,2014,2024
16-10-2023,25,False,1475,24,False,1455,88,False,970,2014,2024
02-10-2023,24,False,1481,22,False,1445,87,False,970,2014,2024
25-09-2023,24,False,1446,23,False,1410,87,False,970,2014,2024
18-09-2023,24,False,1446,22,False,1410,86,False,970,2014,2024
11-09-2023,24,False,1446,22,False,1410,87,False,970,2014,2024
28-08-2023,24,False,1446,18,False,1400,111,False,790,2014,2024
21-08-2023,25,False,1436,18,False,1390,111,False,790,2014,2024
14-08-2023,25,False,1439,17,False,1380,110,False,790,2014,2024
07-08-2023,26,False,1439,17,False,1370,109,False,790,2014,2024
31-07-2023,37,False,1149,24,False,1090,117,False,745,2014,2024
24-07-2023,36,False,1149,23,False,1090,107,False,790,2014,2024
17-07-2023,36,False,1184,22,False,1090,106,False,790,2014,2024
03-07-2023,31,False,1254,20,False,1080,176,False,430,2014,2024
26-06-2023,31,False,1254,20,False,1080,175,False,430,2014,2024
19-06-2023,29,False,1209,21,False,1000,172,False,430,2014,2024
12-06-2023,38,False,1024,26,False,760,187,False,385,2014,2024
29-05-2023,39,False,1034,24,False,715,189,False,385,2014,2024
22-05-2023,39,False,1024,22,False,695,188,False,385,2014,2024
08-05-2023,36,False,1091,18,False,695,189,False,385,2014,2024
