rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,227,False,267,276,False,93,346,False,181,2015,2024
27-05-2024,229,False,267,255,False,93,376,False,165,2015,2024
20-05-2024,230,False,267,245,False,93,377,False,165,2015,2024
06-05-2024,235,False,256,283,False,71,331,False,190,2015,2024
22-04-2024,245,False,238,328,False,53,298,False,206,2015,2024
15-04-2024,256,False,226,362,False,41,350,False,176,2015,2024
08-04-2024,243,False,236,461,False,26,465,False,126,2015,2024
01-04-2024,232,False,261,441,False,26,396,False,151,2015,2024
18-03-2024,232,False,261,388,False,26,390,False,151,2015,2024
04-03-2024,235,False,257,394,False,22,390,False,151,2015,2024
26-02-2024,233,False,257,374,False,22,389,False,151,2015,2024
19-02-2024,229,False,266,354,False,22,268,False,251,2015,2024
12-02-2024,228,False,266,336,False,22,262,False,251,2015,2024
05-02-2024,227,False,266,310,False,22,275,False,231,2015,2024
29-01-2024,230,False,266,290,False,22,271,False,231,2015,2024
15-01-2024,202,False,301,204,False,22,272,False,231,2015,2024
08-01-2024,202,False,301,167,False,22,271,False,231,2015,2024
01-01-2024,208,False,295,0,False,0,272,False,231,2015,2024
25-12-2023,208,False,295,0,False,0,272,False,231,2015,2024
18-12-2023,208,False,295,0,False,0,271,False,231,2015,2024
11-12-2023,208,False,295,0,False,0,270,False,231,2015,2024
04-12-2023,208,False,295,0,False,0,271,False,231,2015,2024
27-11-2023,210,False,295,0,False,0,292,False,211,2015,2024
20-11-2023,210,False,295,0,False,0,241,False,291,2015,2024
13-11-2023,209,False,295,212,False,295,242,False,291,2015,2024
06-11-2023,212,False,295,217,False,279,243,False,291,2015,2024
30-10-2023,169,False,375,205,False,295,243,False,291,2015,2024
23-10-2023,161,False,391,200,False,295,225,False,307,2015,2024
16-10-2023,158,False,391,196,False,295,228,False,307,2015,2024
02-10-2023,184,False,338,244,False,214,232,False,311,2015,2024
25-09-2023,183,False,338,241,False,214,234,False,311,2015,2024
18-09-2023,181,False,338,238,False,214,234,False,311,2015,2024
11-09-2023,180,False,338,233,False,214,232,False,311,2015,2024
28-08-2023,237,False,268,300,False,144,229,False,311,2015,2024
21-08-2023,237,False,268,294,False,144,230,False,311,2015,2024
14-08-2023,238,False,261,298,False,137,233,False,311,2015,2024
07-08-2023,237,False,261,287,False,137,226,False,311,2015,2024
31-07-2023,231,False,261,279,False,137,223,False,311,2015,2024
24-07-2023,226,False,261,274,False,137,221,False,311,2015,2024
17-07-2023,226,False,263,266,False,137,217,False,311,2015,2024
03-07-2023,196,False,296,249,False,137,195,False,382,2015,2024
26-06-2023,195,False,296,242,False,137,194,False,382,2015,2024
19-06-2023,190,False,304,231,False,137,179,False,407,2015,2024
12-06-2023,189,False,307,221,False,137,175,False,415,2015,2024
29-05-2023,186,False,323,206,False,137,166,False,481,2015,2024
22-05-2023,186,False,323,203,False,137,163,False,481,2015,2024
08-05-2023,193,False,313,199,False,126,170,False,456,2015,2024
24-04-2023,188,False,313,188,False,126,170,False,440,2015,2024
17-04-2023,186,False,313,176,False,126,167,False,440,2015,2024
10-04-2023,201,False,288,192,False,101,175,False,415,2015,2024
03-04-2023,215,False,263,236,False,76,182,False,390,2015,2024
20-03-2023,206,False,280,198,False,76,166,False,440,2015,2024
06-03-2023,205,False,282,183,False,76,164,False,465,2015,2024
27-02-2023,203,False,282,169,False,76,156,False,481,2015,2024
20-02-2023,206,False,274,164,False,67,187,False,381,2015,2024
13-02-2023,200,False,298,145,False,67,183,False,389,2015,2024
06-02-2023,197,False,298,124,False,67,180,False,405,2015,2024
30-01-2023,198,False,298,114,False,67,169,False,430,2015,2024
16-01-2023,209,False,265,166,True,32,166,False,437,2015,2024
09-01-2023,208,False,265,134,False,32,168,False,437,2015,2024
02-01-2023,221,False,250,182,True,16,165,False,437,2015,2024
26-12-2022,221,False,250,179,True,16,165,False,439,2015,2024
19-12-2022,220,False,253,174,True,16,165,False,439,2015,2024
12-12-2022,221,False,253,169,True,16,166,False,439,2015,2024
05-12-2022,222,False,253,161,True,16,158,False,481,2015,2024
28-11-2022,223,False,253,138,True,16,150,False,501,2015,2024
21-11-2022,220,False,253,87,True,16,167,False,436,2015,2024
14-11-2022,217,False,253,38,True,16,165,False,436,2015,2024
07-11-2022,226,False,238,226,False,238,160,False,436,2015,2024
31-10-2022,315,False,159,312,False,158,165,False,436,2015,2024
24-10-2022,334,False,144,323,False,143,168,False,430,2015,2024
17-10-2022,335,False,144,320,False,143,165,False,430,2015,2024
10-10-2022,342,False,142,320,False,141,160,False,430,2015,2024
03-10-2022,383,False,117,365,False,117,158,False,422,2015,2024
26-09-2022,380,False,117,357,False,117,157,False,422,2015,2024
19-09-2022,379,False,117,351,False,117,161,False,422,2015,2024
12-09-2022,377,False,117,345,False,117,158,False,429,2015,2024
29-08-2022,360,False,120,330,False,116,159,False,429,2015,2024
22-08-2022,357,False,123,322,False,116,161,False,429,2015,2024
15-08-2022,358,False,123,318,False,115,162,False,429,2015,2024
08-08-2022,356,False,123,313,False,114,162,False,431,2015,2024
01-08-2022,341,False,130,306,False,114,165,False,431,2015,2024
25-07-2022,342,False,130,295,False,113,169,False,431,2015,2024
18-07-2022,332,False,140,281,False,112,152,False,499,2015,2024
11-07-2022,307,False,159,290,False,106,149,False,549,2015,2024
27-06-2022,334,False,135,337,False,81,154,False,530,2015,2024
20-06-2022,340,False,128,347,False,74,157,False,515,2015,2024
13-06-2022,350,False,128,349,False,71,163,False,515,2015,2024
06-06-2022,365,False,121,357,False,63,170,False,509,2015,2024
23-05-2022,371,False,116,372,False,54,172,False,474,2015,2024
16-05-2022,372,False,117,362,False,54,172,False,474,2015,2024
09-05-2022,366,False,119,345,False,54,174,False,474,2015,2024
02-05-2022,365,False,119,333,False,54,178,False,474,2015,2024
25-04-2022,360,False,119,312,False,54,179,False,474,2015,2024
18-04-2022,361,False,119,299,False,54,180,False,474,2015,2024
11-04-2022,358,False,119,250,False,49,181,False,474,2015,2024
04-04-2022,356,False,119,219,False,49,181,False,474,2015,2024
21-03-2022,354,False,116,264,False,32,192,False,436,2015,2024
07-03-2022,331,False,134,234,False,29,197,False,417,2015,2024
28-02-2022,333,False,134,222,False,29,198,False,411,2015,2024
21-02-2022,335,False,135,205,False,29,204,False,415,2015,2024
14-02-2022,364,False,120,447,False,4,207,False,413,2015,2024
07-02-2022,367,False,120,443,True,3,214,False,403,2015,2024
31-01-2022,365,False,120,439,True,2,219,False,384,2015,2024
17-01-2022,365,False,120,0,False,0,223,False,375,2015,2024
10-01-2022,362,False,123,0,False,0,221,False,379,2015,2024
03-01-2022,362,False,123,0,False,0,222,False,379,2015,2024
27-12-2021,362,False,123,330,False,106,223,False,375,2015,2024
20-12-2021,363,False,122,338,False,102,223,False,375,2015,2024
13-12-2021,361,False,122,337,False,102,222,False,375,2015,2024
06-12-2021,360,False,122,329,False,102,235,False,330,2015,2024
29-11-2021,358,False,122,324,False,102,251,False,304,2015,2024
22-11-2021,358,False,122,318,False,101,255,False,293,2015,2024
15-11-2021,358,False,122,315,False,101,256,False,293,2015,2024
08-11-2021,364,False,122,309,False,101,256,False,293,2015,2024
01-11-2021,362,False,122,306,False,101,254,False,293,2015,2024
25-10-2021,362,False,122,300,True,101,260,False,293,2015,2024
18-10-2021,358,False,122,295,False,101,259,False,293,2015,2024
04-10-2021,364,False,122,291,True,101,260,False,303,2015,2024
27-09-2021,367,False,122,286,True,101,262,False,304,2015,2024
20-09-2021,365,False,122,282,True,101,259,False,304,2015,2024
13-09-2021,365,False,122,275,False,101,258,False,314,2015,2024
30-08-2021,361,False,129,270,True,98,264,False,314,2015,2024
23-08-2021,357,False,128,269,True,94,261,False,313,2015,2024
16-08-2021,359,False,128,269,False,93,265,False,313,2015,2024
09-08-2021,360,False,128,258,False,93,268,False,306,2015,2024
02-08-2021,358,False,128,263,False,87,260,False,316,2015,2024
26-07-2021,360,False,128,255,False,87,261,False,316,2015,2024
19-07-2021,352,False,130,258,True,80,298,False,242,2015,2024
12-07-2021,394,False,107,295,True,53,374,False,164,2015,2024
28-06-2021,391,False,107,286,True,52,370,False,164,2015,2024
21-06-2021,391,False,107,283,False,51,372,False,162,2015,2024
14-06-2021,388,False,110,266,True,51,377,False,156,2015,2024
31-05-2021,387,False,113,242,True,51,373,False,160,2015,2024
24-05-2021,383,False,113,238,True,51,373,False,160,2015,2024
17-05-2021,382,False,114,229,True,51,368,False,162,2015,2024
10-05-2021,379,False,117,225,True,51,372,False,162,2015,2024
03-05-2021,384,False,117,216,True,51,372,False,162,2015,2024
26-04-2021,383,False,117,214,False,51,372,False,162,2015,2024
19-04-2021,379,False,117,202,False,51,371,False,162,2015,2024
12-04-2021,381,False,117,193,False,51,370,False,162,2015,2024
05-04-2021,379,False,117,187,False,51,373,False,162,2015,2024
22-03-2021,403,False,106,194,False,37,360,False,167,2015,2024
15-03-2021,422,False,97,216,False,27,355,False,167,2015,2024
08-03-2021,447,False,88,255,False,17,356,False,165,2015,2024
01-03-2021,449,False,86,240,True,15,360,False,158,2015,2024
22-02-2021,456,False,82,230,True,11,369,False,151,2015,2024
08-02-2021,497,False,71,0,False,0,370,False,143,2015,2024
01-02-2021,497,False,71,0,False,0,370,False,143,2015,2024
25-01-2021,497,False,71,0,False,0,369,False,143,2015,2024
18-01-2021,494,False,71,0,False,0,368,False,143,2015,2024
11-01-2021,492,False,71,0,False,0,368,False,143,2015,2024
04-01-2021,492,False,71,0,False,12,368,False,143,2015,2024
28-12-2020,490,False,71,0,False,0,367,False,143,2015,2024
21-12-2020,488,False,71,0,False,0,367,False,143,2015,2024
14-12-2020,488,False,71,0,False,0,367,False,143,2015,2024
07-12-2020,485,False,71,0,False,0,366,False,143,2015,2024
30-11-2020,481,False,71,0,False,0,364,False,143,2015,2024
23-11-2020,479,False,71,0,False,0,363,False,143,2015,2024
16-11-2020,477,False,71,0,False,0,363,False,143,2015,2024
09-11-2020,477,False,71,0,False,0,361,False,143,2015,2024
02-11-2020,476,False,71,0,False,0,360,False,143,2015,2024
26-10-2020,475,False,71,0,False,0,359,False,143,2015,2024
19-10-2020,472,False,71,0,False,0,359,False,143,2015,2024
12-10-2020,469,False,71,0,False,0,357,False,143,2015,2024
28-09-2020,463,False,71,0,False,0,353,False,143,2015,2024
21-09-2020,459,False,71,0,False,0,352,False,143,2015,2024
14-09-2020,459,False,71,0,False,0,349,False,143,2015,2024
31-08-2020,458,False,71,0,False,0,342,False,143,2015,2024
24-08-2020,458,False,71,0,False,0,341,False,143,2015,2024
16-03-2020,459,False,71,487,False,12,341,False,143,2015,2024
09-03-2020,475,False,65,634,True,6,340,False,137,2015,2024
02-03-2020,469,False,65,624,True,6,335,False,137,2015,2024
24-02-2020,467,False,65,594,True,6,333,False,140,2015,2024
17-02-2020,468,False,65,550,True,6,332,False,142,2015,2024
10-02-2020,472,False,65,525,True,6,333,False,142,2015,2024
03-02-2020,470,False,65,496,True,6,338,False,138,2015,2024
20-01-2020,470,False,65,392,True,6,326,False,146,2015,2024
13-01-2020,493,False,59,0,False,0,337,False,138,2015,2024
06-01-2020,496,False,59,0,False,0,318,False,148,2015,2024
30-12-2019,498,False,59,0,False,0,313,False,165,2015,2024
23-12-2019,497,False,59,0,False,0,312,False,165,2015,2024
16-12-2019,494,False,59,0,False,0,312,False,165,2015,2024
09-12-2019,492,False,59,0,False,0,312,False,165,2015,2024
02-12-2019,495,False,59,0,False,0,312,False,165,2015,2024
25-11-2019,495,False,59,0,False,0,312,False,165,2015,2024
18-11-2019,487,False,63,0,False,0,311,False,165,2015,2024
11-11-2019,484,False,64,0,False,0,304,False,172,2015,2024
04-11-2019,484,False,64,484,False,64,302,False,175,2015,2024
28-10-2019,466,False,67,476,False,64,301,False,175,2015,2024
21-10-2019,462,False,67,472,False,64,300,False,175,2015,2024
14-10-2019,466,False,67,466,False,64,300,False,166,2015,2024
07-10-2019,478,False,64,468,False,61,307,False,163,2015,2024
30-09-2019,489,False,61,471,False,58,313,False,160,2015,2024
23-09-2019,490,False,61,464,False,58,310,False,160,2015,2024
16-09-2019,490,False,61,460,False,58,259,False,210,2015,2024
09-09-2019,486,False,61,445,False,58,259,False,208,2015,2024
26-08-2019,528,False,50,486,False,46,260,False,204,2015,2024
19-08-2019,524,False,50,477,False,46,261,False,204,2015,2024
12-08-2019,527,False,50,467,False,46,263,False,204,2015,2024
05-08-2019,559,False,44,486,False,40,274,False,184,2015,2024
29-07-2019,680,False,1,608,False,1,369,False,82,2015,2024
22-07-2019,644,True,3,0,False,0,372,False,82,2015,2024
15-07-2019,645,False,3,0,False,0,368,False,82,2015,2024
01-07-2019,642,False,3,0,False,0,365,False,82,2015,2024
24-06-2019,642,False,3,0,False,0,364,False,82,2015,2024
17-06-2019,635,True,3,0,False,0,363,False,82,2015,2024
10-06-2019,633,False,3,0,False,0,364,False,82,2015,2024
27-05-2019,625,True,3,0,False,0,360,False,82,2015,2024
20-05-2019,626,True,3,0,False,0,360,False,82,2015,2024
13-05-2019,622,True,3,0,False,0,365,False,82,2015,2024
06-05-2019,623,True,3,0,False,0,363,False,82,2015,2024
29-04-2019,625,True,3,0,False,0,368,False,82,2015,2024
22-04-2019,627,True,3,0,False,0,367,False,82,2015,2024
15-04-2019,627,True,3,0,False,0,364,False,82,2015,2024
08-04-2019,626,True,3,0,False,0,304,False,127,2015,2024
01-04-2019,623,True,3,0,False,0,306,False,127,2015,2024
18-03-2019,625,True,3,0,False,0,308,False,130,2015,2024
11-03-2019,628,True,3,0,False,0,311,False,130,2015,2024
04-03-2019,628,True,3,0,False,0,311,False,130,2015,2024
25-02-2019,627,True,3,0,False,0,313,False,130,2015,2024
18-02-2019,625,True,3,0,False,0,308,False,130,2015,2024
11-02-2019,623,True,3,0,False,0,308,False,130,2015,2024
04-02-2019,625,True,3,0,False,0,308,False,130,2015,2024
28-01-2019,627,True,3,0,False,0,307,False,130,2015,2024
14-01-2019,618,True,3,0,False,0,304,False,130,2015,2024
07-01-2019,619,True,3,0,False,0,305,False,129,2015,2024
31-12-2018,618,True,3,0,False,0,306,False,126,2015,2024
24-12-2018,618,True,3,0,False,0,306,False,126,2015,2024
17-12-2018,572,False,54,280,True,7,275,False,216,2015,2024
10-12-2018,573,False,54,265,True,7,277,False,216,2015,2024
03-12-2018,572,False,54,243,True,7,278,False,216,2015,2024
26-11-2018,576,False,54,228,True,7,272,False,224,2015,2024
19-11-2018,610,False,48,406,True,1,267,False,230,2015,2024
12-11-2018,608,False,47,0,False,0,292,False,212,2015,2024
05-11-2018,607,False,47,607,False,47,298,False,204,2015,2024
29-10-2018,629,False,44,624,False,44,296,False,204,2015,2024
22-10-2018,622,False,45,617,False,44,294,False,204,2015,2024
15-10-2018,616,False,45,605,False,44,296,False,204,2015,2024
08-10-2018,611,False,45,595,False,44,295,False,204,2015,2024
01-10-2018,607,False,45,585,False,44,278,False,224,2015,2024
24-09-2018,611,False,45,582,False,44,281,False,224,2015,2024
17-09-2018,610,False,45,576,False,44,374,False,149,2015,2024
10-09-2018,613,False,45,574,False,44,372,False,149,2015,2024
27-08-2018,616,False,44,557,False,43,382,False,143,2015,2024
20-08-2018,618,False,44,551,False,43,385,False,143,2015,2024
13-08-2018,611,False,44,540,False,43,382,False,143,2015,2024
06-08-2018,616,False,44,525,False,43,383,False,143,2015,2024
30-07-2018,673,False,36,563,False,35,441,False,116,2015,2024
23-07-2018,1059,False,9,920,True,8,436,False,116,2015,2024
16-07-2018,1056,False,9,908,False,8,445,False,116,2015,2024
02-07-2018,1061,False,9,878,False,8,457,False,116,2015,2024
25-06-2018,1066,False,9,862,True,8,458,False,116,2015,2024
18-06-2018,1065,False,9,852,False,8,458,False,116,2015,2024
11-06-2018,1064,False,9,844,False,8,461,False,116,2015,2024
28-05-2018,1602,False,2,1491,True,1,491,False,106,2015,2024
21-05-2018,1969,True,1,0,False,0,488,False,106,2015,2024
14-05-2018,1968,True,1,0,False,0,492,False,106,2015,2024
07-05-2018,1969,True,1,0,False,0,491,False,106,2015,2024
30-04-2018,1962,False,1,0,False,0,487,False,106,2015,2024
23-04-2018,1963,True,1,0,False,0,484,False,106,2015,2024
16-04-2018,1965,False,1,0,False,0,485,False,106,2015,2024
09-04-2018,1971,True,1,0,False,0,700,False,61,2015,2024
02-04-2018,1971,True,1,0,False,0,696,False,61,2015,2024
19-03-2018,1970,True,1,0,False,0,939,False,34,2015,2024
05-03-2018,1931,True,1,0,False,0,932,False,34,2015,2024
26-02-2018,1932,True,1,0,False,0,931,False,34,2015,2024
19-02-2018,1937,True,1,0,False,0,935,False,34,2015,2024
12-02-2018,1938,True,1,0,False,0,937,False,34,2015,2024
05-02-2018,1942,True,1,0,False,0,934,False,34,2015,2024
29-01-2018,1944,True,1,0,False,0,933,False,34,2015,2024
15-01-2018,1953,True,1,0,False,0,928,False,34,2015,2024
08-01-2018,1573,True,2,0,False,0,926,False,34,2015,2024
01-01-2018,1585,True,2,0,False,0,931,False,34,2015,2024
25-12-2017,1588,True,2,0,False,0,925,False,34,2015,2024
18-12-2017,1593,True,2,0,False,0,921,False,34,2015,2024
11-12-2017,1594,True,2,0,False,0,921,False,34,2015,2024
04-12-2017,1591,True,2,0,False,0,923,False,34,2015,2024
27-11-2017,1578,True,2,0,False,0,1031,False,26,2015,2024
20-11-2017,1569,True,2,0,False,0,1102,False,20,2015,2024
13-11-2017,1555,True,2,0,False,0,1100,False,20,2015,2024
06-11-2017,1559,True,2,1559,True,2,1111,False,20,2015,2024
30-10-2017,1068,False,8,1558,True,2,1116,False,20,2015,2024
23-10-2017,1109,True,7,1950,True,1,1124,False,20,2015,2024
16-10-2017,1045,False,9,1946,True,1,1126,False,20,2015,2024
09-10-2017,1046,False,9,1938,True,1,1138,False,20,2015,2024
02-10-2017,1046,False,9,1879,True,1,0,False,0,2015,2024
25-09-2017,1047,True,9,1784,True,1,0,False,0,2015,2024
18-09-2017,1053,True,9,1773,True,1,1080,True,25,2015,2024
11-09-2017,1057,True,9,1752,True,1,1082,False,25,2015,2024
28-08-2017,1057,True,9,1719,True,1,1075,False,25,2015,2024
21-08-2017,1060,False,9,1706,True,1,1073,False,25,2015,2024
14-08-2017,1062,False,9,1686,True,1,1072,False,25,2015,2024
07-08-2017,1064,False,9,1666,True,1,1067,False,25,2015,2024
31-07-2017,1054,False,9,1637,True,1,1054,False,25,2015,2024
24-07-2017,1051,False,9,1604,True,1,1052,False,25,2015,2024
17-07-2017,1047,False,9,1588,True,1,1046,False,25,2015,2024
10-07-2017,1043,True,9,1521,True,1,1056,False,25,2015,2024
03-07-2017,1043,True,9,1521,True,1,1056,False,25,2015,2024
26-06-2017,1031,False,9,1466,True,1,1040,False,25,2015,2024
19-06-2017,1027,False,9,1433,True,1,1033,False,25,2015,2024
12-06-2017,1032,False,9,1417,True,1,1036,False,25,2015,2024
29-05-2017,1042,False,9,1385,True,1,1053,False,25,2015,2024
22-05-2017,1032,False,9,1369,True,1,1048,False,25,2015,2024
15-05-2017,1036,False,9,1348,True,1,1041,False,25,2015,2024
08-05-2017,1038,False,9,1331,True,1,1039,False,25,2015,2024
01-05-2017,1040,True,9,1318,True,1,1038,False,25,2015,2024
24-04-2017,1046,True,9,1305,True,1,1039,False,25,2015,2024
17-04-2017,1050,True,9,1302,True,1,1038,False,25,2015,2024
10-04-2017,1051,True,9,1279,True,1,1041,False,25,2015,2024
03-04-2017,1049,True,9,1261,True,1,1042,False,25,2015,2024
20-03-2017,1050,True,9,1229,True,1,1042,False,25,2015,2024
06-03-2017,1055,True,9,1192,True,1,1054,False,25,2015,2024
27-02-2017,1057,False,9,1176,True,1,1053,False,25,2015,2024
20-02-2017,1056,False,9,1153,True,1,1051,False,25,2015,2024
13-02-2017,1056,False,9,1147,True,1,1057,False,25,2015,2024
06-02-2017,1055,False,9,1121,True,1,1053,False,25,2015,2024
30-01-2017,1058,False,9,1098,True,1,1052,False,25,2015,2024
16-01-2017,1060,False,9,989,True,1,1047,False,25,2015,2024
09-01-2017,1100,True,8,0,False,0,1047,False,25,2015,2024
02-01-2017,1100,True,8,0,False,0,1048,False,25,2015,2024
26-12-2016,1097,True,8,0,False,0,1047,False,25,2015,2024
19-12-2016,1096,True,8,0,False,0,1048,False,25,2015,2024
12-12-2016,1092,True,8,0,False,0,1049,False,25,2015,2024
05-12-2016,1099,True,8,0,False,0,1045,False,25,2015,2024
28-11-2016,1102,True,8,0,False,0,1042,False,25,2015,2024
21-11-2016,1097,True,8,0,False,0,1042,False,25,2015,2024
14-11-2016,1093,True,8,0,False,0,1041,False,25,2015,2024
07-11-2016,1094,True,8,1094,True,8,1046,False,25,2015,2024
31-10-2016,1465,True,2,1443,True,2,1048,False,25,2015,2024
24-10-2016,1458,True,2,1424,True,2,1036,True,25,2015,2024
17-10-2016,0,False,0,0,False,0,1030,True,25,2015,2024
10-10-2016,0,False,0,0,False,0,1029,True,25,2015,2024
03-10-2016,0,False,0,0,False,0,1033,True,25,2015,2024
26-09-2016,0,False,0,0,False,0,1030,True,25,2015,2024
19-09-2016,0,False,0,0,False,0,0,False,0,2015,2024
12-09-2016,0,False,0,0,False,0,0,False,0,2015,2024
29-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
22-08-2016,1791,True,1,0,False,0,0,False,0,2015,2024
15-08-2016,1792,True,1,0,False,0,0,False,0,2015,2024
08-08-2016,1799,True,1,0,False,0,0,False,0,2015,2024
01-08-2016,1809,True,1,0,False,0,0,False,0,2015,2024
25-07-2016,1817,True,1,0,False,0,0,False,0,2015,2024
18-07-2016,1811,True,1,0,False,0,0,False,0,2015,2024
11-07-2016,1803,True,1,0,False,0,0,False,0,2015,2024
27-06-2016,1825,True,1,0,False,0,0,False,0,2015,2024
20-06-2016,1834,True,1,0,False,0,0,False,0,2015,2024
13-06-2016,1844,True,1,0,False,0,0,False,0,2015,2024
06-06-2016,1857,True,1,0,False,0,0,False,0,2015,2024
23-05-2016,1856,True,1,0,False,0,0,False,0,2015,2024
16-05-2016,1850,True,1,0,False,0,0,False,0,2015,2024
09-05-2016,1858,True,1,0,False,0,0,False,0,2015,2024
02-05-2016,1858,True,1,0,False,0,0,False,0,2015,2024
25-04-2016,1860,True,1,0,False,0,0,False,0,2015,2024
18-04-2016,1867,True,1,0,False,0,0,False,0,2015,2024
11-04-2016,1868,True,1,0,False,0,0,False,0,2015,2024
04-04-2016,1872,True,1,0,False,0,0,False,0,2015,2024
21-03-2016,1881,True,1,0,False,0,0,False,0,2015,2024
07-03-2016,1887,True,1,0,False,0,0,False,0,2015,2024
29-02-2016,1888,True,1,0,False,0,0,False,0,2015,2024
22-02-2016,1895,True,1,0,False,0,0,False,0,2015,2024
15-02-2016,1896,True,1,0,False,0,0,False,0,2015,2024
08-02-2016,1896,True,1,0,False,0,0,False,0,2015,2024
01-02-2016,1891,True,1,0,False,0,0,False,0,2015,2024
18-01-2016,1894,True,1,0,False,0,0,False,0,2015,2024
