rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,251,False,238,163,False,180,0,False,0,2015,2024
27-05-2024,299,False,182,212,False,124,0,False,0,2015,2024
20-05-2024,298,False,182,209,False,124,0,False,0,2015,2024
06-05-2024,262,False,221,199,False,118,0,False,0,2015,2024
22-04-2024,267,False,222,190,False,112,0,False,0,2015,2024
15-04-2024,261,False,222,179,False,112,0,False,0,2015,2024
08-04-2024,261,False,222,173,False,112,0,False,0,2015,2024
01-04-2024,257,False,221,174,False,105,0,False,0,2015,2024
18-03-2024,288,False,193,189,False,77,0,False,0,2015,2024
04-03-2024,288,False,193,172,False,77,0,False,0,2015,2024
26-02-2024,276,False,203,155,False,77,0,False,0,2015,2024
19-02-2024,295,False,190,159,False,64,0,False,0,2015,2024
12-02-2024,296,False,190,133,False,64,0,False,0,2015,2024
05-02-2024,278,False,202,116,False,64,0,False,0,2015,2024
29-01-2024,275,False,209,105,False,64,0,False,0,2015,2024
15-01-2024,244,False,246,145,False,31,0,False,0,2015,2024
08-01-2024,253,False,234,185,True,19,0,False,0,2015,2024
01-01-2024,263,False,222,269,True,7,0,False,0,2015,2024
25-12-2023,263,False,222,264,True,7,0,False,0,2015,2024
18-12-2023,263,False,222,254,True,7,0,False,0,2015,2024
11-12-2023,263,False,222,246,True,7,0,False,0,2015,2024
04-12-2023,263,False,222,214,True,7,0,False,0,2015,2024
27-11-2023,262,False,222,161,True,7,0,False,0,2015,2024
20-11-2023,265,False,222,93,True,7,0,False,0,2015,2024
13-11-2023,269,False,215,271,False,215,0,False,0,2015,2024
06-11-2023,279,False,208,271,False,208,0,False,0,2015,2024
30-10-2023,285,False,199,286,False,192,0,False,0,2015,2024
23-10-2023,274,False,215,283,False,192,0,False,0,2015,2024
16-10-2023,273,False,215,279,False,192,0,False,0,2015,2024
02-10-2023,281,False,199,279,False,176,0,False,0,2015,2024
25-09-2023,290,False,192,286,False,169,0,False,0,2015,2024
18-09-2023,292,False,192,280,False,169,0,False,0,2015,2024
11-09-2023,293,False,192,278,False,169,0,False,0,2015,2024
28-08-2023,243,False,254,276,False,161,0,False,0,2015,2024
21-08-2023,244,False,254,271,False,161,0,False,0,2015,2024
