rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,80,False,708,123,False,250,51,False,1676,2017,2024
27-05-2024,78,False,723,120,False,240,55,False,1586,2017,2024
20-05-2024,78,False,723,119,False,240,55,False,1586,2017,2024
06-05-2024,79,False,724,112,False,230,54,False,1611,2017,2024
22-04-2024,79,False,743,103,False,230,54,False,1636,2017,2024
15-04-2024,77,False,738,102,False,214,55,False,1611,2017,2024
08-04-2024,80,False,738,91,False,214,57,False,1611,2017,2024
01-04-2024,80,False,723,91,False,189,57,False,1611,2017,2024
18-03-2024,81,False,724,85,False,179,56,False,1611,2017,2024
04-03-2024,78,False,754,75,False,179,59,False,1511,2017,2024
26-02-2024,79,False,752,72,False,166,58,False,1511,2017,2024
19-02-2024,79,False,737,73,False,141,56,False,1511,2017,2024
12-02-2024,84,False,697,102,False,91,54,False,1616,2017,2024
05-02-2024,88,False,680,112,False,66,58,False,1466,2017,2024
29-01-2024,74,False,747,111,False,60,59,False,1466,2017,2024
15-01-2024,71,False,782,78,True,50,24,False,3376,2017,2024
08-01-2024,70,False,782,51,True,50,24,False,3376,2017,2024
01-01-2024,71,False,744,0,False,0,23,False,3376,2017,2024
25-12-2023,71,False,744,0,False,0,23,False,3376,2017,2024
18-12-2023,71,False,744,0,False,0,23,False,3376,2017,2024
11-12-2023,71,False,744,0,False,0,23,False,3376,2017,2024
04-12-2023,71,False,744,0,False,0,23,False,3376,2017,2024
27-11-2023,71,False,744,0,False,0,23,False,3376,2017,2024
20-11-2023,71,False,744,0,False,0,23,False,3376,2017,2024
13-11-2023,73,False,744,75,False,744,23,False,3376,2017,2024
06-11-2023,72,False,744,71,False,744,24,False,3376,2017,2024
30-10-2023,80,False,722,79,False,714,23,False,3392,2017,2024
23-10-2023,70,False,772,78,False,692,24,False,3392,2017,2024
16-10-2023,70,False,769,76,False,689,31,False,2892,2017,2024
02-10-2023,75,False,747,78,False,648,37,False,2554,2017,2024
25-09-2023,76,False,747,77,False,648,35,False,2554,2017,2024
18-09-2023,72,False,769,77,False,648,36,False,2554,2017,2024
11-09-2023,82,False,727,84,False,601,38,False,2479,2017,2024
28-08-2023,110,False,547,111,False,421,38,False,2479,2017,2024
21-08-2023,111,False,544,113,False,411,38,False,2479,2017,2024
14-08-2023,110,False,553,111,False,411,37,False,2479,2017,2024
07-08-2023,118,False,544,111,False,395,38,False,2463,2017,2024
31-07-2023,110,False,569,108,False,395,39,False,2418,2017,2024
24-07-2023,114,False,569,105,False,395,37,False,2434,2017,2024
17-07-2023,116,False,556,105,False,375,37,False,2434,2017,2024
03-07-2023,114,False,551,96,False,367,37,False,2374,2017,2024
26-06-2023,113,False,551,93,False,367,36,False,2374,2017,2024
19-06-2023,114,False,540,91,False,356,34,False,2374,2017,2024
12-06-2023,133,False,449,128,False,260,36,False,2329,2017,2024
29-05-2023,136,False,442,118,False,235,34,False,2329,2017,2024
22-05-2023,136,False,442,118,False,235,33,False,2329,2017,2024
08-05-2023,139,False,431,117,False,224,34,False,2304,2017,2024
24-04-2023,141,False,420,120,False,183,37,False,2279,2017,2024
17-04-2023,138,False,420,112,False,183,35,False,2279,2017,2024
10-04-2023,137,False,425,105,False,183,37,False,2279,2017,2024
03-04-2023,136,False,425,97,False,183,37,False,2250,2017,2024
20-03-2023,125,False,472,85,False,183,36,False,2258,2017,2024
06-03-2023,130,False,451,102,False,139,36,False,2258,2017,2024
27-02-2023,123,False,451,85,False,139,33,False,2283,2017,2024
20-02-2023,117,False,451,72,False,139,32,False,2283,2017,2024
13-02-2023,116,False,451,55,False,139,35,False,2133,2017,2024
06-02-2023,119,False,451,46,False,139,35,False,2133,2017,2024
30-01-2023,149,False,381,117,False,64,35,False,2133,2017,2024
16-01-2023,169,False,344,259,False,19,277,False,223,2017,2024
09-01-2023,169,False,344,231,False,19,277,False,223,2017,2024
02-01-2023,164,False,344,321,True,7,278,False,223,2017,2024
26-12-2022,164,False,344,314,True,7,278,False,223,2017,2024
19-12-2022,164,False,344,307,True,7,278,False,223,2017,2024
