rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,139,False,448,110,False,279,85,False,1025,2008,2024
27-05-2024,142,False,450,100,False,279,83,False,1025,2008,2024
20-05-2024,143,False,450,100,False,279,84,False,1025,2008,2024
06-05-2024,140,False,447,92,False,276,78,False,1085,2008,2024
22-04-2024,143,False,447,83,False,276,77,False,1085,2008,2024
15-04-2024,148,False,447,76,False,276,73,False,1085,2008,2024
08-04-2024,147,False,447,69,False,276,75,False,1085,2008,2024
01-04-2024,146,False,447,64,False,276,74,False,1085,2008,2024
18-03-2024,160,False,413,72,False,212,73,False,1085,2008,2024
04-03-2024,158,False,408,68,False,200,76,False,1085,2008,2024
26-02-2024,166,False,383,67,False,175,77,False,1085,2008,2024
19-02-2024,165,False,375,63,False,167,78,False,1060,2008,2024
12-02-2024,167,False,375,53,False,167,78,False,1060,2008,2024
05-02-2024,168,False,368,42,False,160,77,False,1060,2008,2024
29-01-2024,167,False,368,38,False,160,77,False,1060,2008,2024
15-01-2024,252,False,235,162,False,27,78,False,1060,2008,2024
08-01-2024,234,False,265,131,False,27,78,False,1060,2008,2024
01-01-2024,237,False,265,84,True,27,77,False,1090,2008,2024
25-12-2023,237,False,265,81,True,27,77,False,1090,2008,2024
18-12-2023,237,False,265,77,True,27,77,False,1090,2008,2024
11-12-2023,236,False,265,74,True,27,77,False,1090,2008,2024
04-12-2023,236,False,265,69,True,27,77,False,1090,2008,2024
27-11-2023,233,False,265,43,False,27,77,False,1090,2008,2024
20-11-2023,250,False,240,173,True,2,77,False,1090,2008,2024
13-11-2023,251,False,238,254,False,238,74,False,1135,2008,2024
06-11-2023,344,False,148,340,False,148,77,False,1090,2008,2024
30-10-2023,372,False,128,367,False,128,76,False,1090,2008,2024
23-10-2023,375,False,128,364,False,128,77,False,1090,2008,2024
16-10-2023,375,False,128,358,False,128,76,False,1090,2008,2024
02-10-2023,396,False,119,363,False,119,80,False,1090,2008,2024
25-09-2023,397,False,119,353,False,119,83,False,1065,2008,2024
18-09-2023,393,False,119,347,False,119,81,False,1065,2008,2024
11-09-2023,397,False,119,342,False,119,80,False,1065,2008,2024
28-08-2023,397,False,119,328,False,119,213,False,345,2008,2024
21-08-2023,397,False,119,323,False,119,213,False,345,2008,2024
14-08-2023,397,False,119,318,False,119,211,False,345,2008,2024
07-08-2023,394,False,119,310,False,119,209,False,345,2008,2024
31-07-2023,450,False,94,345,False,94,210,False,345,2008,2024
24-07-2023,451,False,94,339,False,94,257,False,245,2008,2024
17-07-2023,450,False,94,330,False,94,277,False,215,2008,2024
03-07-2023,502,False,75,361,False,75,569,False,90,2008,2024
26-06-2023,494,False,75,350,False,75,557,False,90,2008,2024
19-06-2023,493,False,75,338,False,75,557,False,90,2008,2024
12-06-2023,445,False,94,351,False,69,555,False,90,2008,2024
29-05-2023,401,False,114,337,False,67,402,False,135,2008,2024
22-05-2023,396,False,114,329,False,67,397,False,135,2008,2024
08-05-2023,397,False,114,317,False,67,633,False,75,2008,2024
24-04-2023,374,False,126,294,False,67,635,False,75,2008,2024
17-04-2023,371,False,126,278,False,67,630,False,75,2008,2024
10-04-2023,374,False,126,269,False,67,631,False,75,2008,2024
03-04-2023,375,False,126,261,False,67,634,False,75,2008,2024
20-03-2023,377,False,126,348,False,37,359,False,155,2008,2024
06-03-2023,395,False,119,362,False,30,358,False,155,2008,2024
27-02-2023,392,False,119,344,False,30,359,False,155,2008,2024
20-02-2023,374,False,128,319,False,30,357,False,155,2008,2024
13-02-2023,332,False,148,297,False,30,358,False,155,2008,2024
06-02-2023,307,False,164,280,False,30,357,False,155,2008,2024
30-01-2023,269,False,196,255,False,30,178,False,405,2008,2024
16-01-2023,269,False,196,175,False,30,176,False,405,2008,2024
09-01-2023,304,False,166,0,False,0,176,False,405,2008,2024
02-01-2023,305,False,166,0,False,0,193,False,375,2008,2024
26-12-2022,305,False,166,0,False,0,193,False,375,2008,2024
19-12-2022,305,False,166,0,False,0,193,False,375,2008,2024
12-12-2022,307,False,166,0,False,0,195,False,375,2008,2024
05-12-2022,309,False,166,0,False,0,195,False,375,2008,2024
28-11-2022,307,False,166,0,False,0,194,False,375,2008,2024
21-11-2022,310,False,166,0,False,0,189,False,375,2008,2024
14-11-2022,308,False,166,0,False,0,190,False,375,2008,2024
07-11-2022,307,False,166,307,False,166,189,False,375,2008,2024
31-10-2022,304,False,166,299,False,166,39,False,2275,2008,2024
24-10-2022,301,False,166,294,False,166,38,False,2275,2008,2024
17-10-2022,286,False,172,289,False,166,38,False,2275,2008,2024
10-10-2022,266,False,189,279,False,166,38,False,2275,2008,2024
03-10-2022,258,False,189,272,False,166,35,False,2275,2008,2024
26-09-2022,250,False,199,268,False,166,34,False,2400,2008,2024
19-09-2022,252,False,199,259,False,166,34,False,2400,2008,2024
12-09-2022,251,False,199,255,False,166,34,False,2400,2008,2024
29-08-2022,243,False,209,243,False,166,28,False,2760,2008,2024
22-08-2022,222,False,232,238,False,166,29,False,2760,2008,2024
15-08-2022,220,False,232,234,False,166,29,False,2760,2008,2024
08-08-2022,221,False,232,229,False,166,29,False,2760,2008,2024
01-08-2022,216,False,237,222,False,166,29,False,2760,2008,2024
25-07-2022,212,False,243,215,False,166,26,False,2760,2008,2024
18-07-2022,215,False,243,211,False,166,24,False,2760,2008,2024
11-07-2022,224,False,243,205,False,166,25,False,2760,2008,2024
27-06-2022,223,False,253,191,False,166,26,False,2850,2008,2024
20-06-2022,218,False,263,189,False,166,25,False,2850,2008,2024
13-06-2022,170,False,328,205,False,141,23,False,3395,2008,2024
06-06-2022,165,False,355,206,False,135,8,False,5350,2008,2024
23-05-2022,171,False,339,199,False,119,8,False,5350,2008,2024
16-05-2022,168,False,349,198,False,119,7,False,5500,2008,2024
09-05-2022,169,False,349,191,False,119,8,False,5500,2008,2024
02-05-2022,160,False,379,182,False,119,8,False,5680,2008,2024
25-04-2022,157,False,387,186,False,107,8,False,5680,2008,2024
18-04-2022,142,False,440,176,False,107,8,False,5680,2008,2024
11-04-2022,136,False,476,147,False,107,8,False,5860,2008,2024
04-04-2022,133,False,476,136,False,107,8,False,5860,2008,2024
21-03-2022,134,False,471,148,False,77,8,False,5870,2008,2024
07-03-2022,111,False,611,127,False,77,8,False,6050,2008,2024
28-02-2022,112,False,611,121,False,77,8,False,6140,2008,2024
21-02-2022,101,False,646,121,False,68,8,False,6140,2008,2024
14-02-2022,109,False,636,133,False,48,9,False,6500,2008,2024
07-02-2022,111,False,630,153,False,32,8,False,6910,2008,2024
31-01-2022,113,False,643,0,False,0,9,False,6660,2008,2024
17-01-2022,112,False,678,0,False,0,8,False,6660,2008,2024
10-01-2022,112,False,678,0,False,0,8,False,6660,2008,2024
03-01-2022,110,False,713,0,False,0,8,False,6660,2008,2024
27-12-2021,110,False,713,130,False,366,8,False,6660,2008,2024
20-12-2021,110,False,713,130,False,366,8,False,6660,2008,2024
13-12-2021,110,False,713,130,False,366,8,False,6660,2008,2024
06-12-2021,110,False,713,130,False,366,8,False,6660,2008,2024
29-11-2021,111,False,713,130,False,366,8,False,6660,2008,2024
22-11-2021,110,False,713,129,False,366,8,False,6660,2008,2024
15-11-2021,109,False,713,126,False,366,9,False,5360,2008,2024
08-11-2021,110,False,713,124,False,366,9,False,5360,2008,2024
01-11-2021,99,False,748,120,False,366,8,False,6440,2008,2024
25-10-2021,104,False,748,118,False,366,6,False,7260,2008,2024
18-10-2021,97,False,770,122,False,360,6,False,7440,2008,2024
04-10-2021,100,False,763,122,True,343,6,False,7735,2008,2024
27-09-2021,100,False,763,124,True,333,6,False,7610,2008,2024
20-09-2021,100,False,763,120,False,333,6,False,7610,2008,2024
13-09-2021,98,False,773,117,False,333,6,False,7610,2008,2024
30-08-2021,104,False,773,110,False,323,9,False,7250,2008,2024
23-08-2021,104,False,760,116,False,300,8,False,7275,2008,2024
16-08-2021,103,False,795,115,False,300,8,False,7490,2008,2024
09-08-2021,103,False,795,113,False,300,5,False,7490,2008,2024
02-08-2021,100,False,795,109,False,300,6,False,7490,2008,2024
